"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0SA1xt4HUX5ny8xfgHOqQI","Daydreamer","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","spotify:album:3uftDqGs13LsE1s8nn5XSe","19","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","2008-11-17","https://i.scdn.co/image/ab67616d0000b273756527c53c3e52f122db4644","1","1","220506","https://p.scdn.co/mp3-preview/4dfb51e759e724793b555a79d8ee54ae203afe88?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBBKS0700581","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:37:20Z"
"spotify:track:4YyIcE6UYsEIdywfIeakTd","Best For Last","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","spotify:album:3uftDqGs13LsE1s8nn5XSe","19","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","2008-11-17","https://i.scdn.co/image/ab67616d0000b273756527c53c3e52f122db4644","1","2","258506","https://p.scdn.co/mp3-preview/6044378b8b980e81d4a868af97ddef6a329f6d60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","GBBKS0700582","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:37:20Z"
"spotify:track:4YoGMmUJJ9dZpQ2CLOmPl2","Chasing Pavements","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","spotify:album:3uftDqGs13LsE1s8nn5XSe","19","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","2008-11-17","https://i.scdn.co/image/ab67616d0000b273756527c53c3e52f122db4644","1","3","210506","https://p.scdn.co/mp3-preview/209e4b33acb8fd535c65ab403087a6c0c3dabc65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBBKS0700574","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:37:20Z"
"spotify:track:78foNmu2hGDPwm3cJVlikF","Cold Shoulder","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","spotify:album:3uftDqGs13LsE1s8nn5XSe","19","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","2008-11-17","https://i.scdn.co/image/ab67616d0000b273756527c53c3e52f122db4644","1","4","191866","https://p.scdn.co/mp3-preview/b603ef2f8880eef52789921bc6acd8ae8c841d44?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","GBBKS0700585","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:37:20Z"
"spotify:track:2Mu0WHDu931jSNOC6GDIp5","Crazy For You","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","spotify:album:3uftDqGs13LsE1s8nn5XSe","19","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","2008-11-17","https://i.scdn.co/image/ab67616d0000b273756527c53c3e52f122db4644","1","5","208040","https://p.scdn.co/mp3-preview/3b2c77cee83f71198e041f7455d891585230911f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBBKS0700583","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:37:20Z"
"spotify:track:1Ty11iX5DIhZRRD9zCHP3l","Melt My Heart To Stone","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","spotify:album:3uftDqGs13LsE1s8nn5XSe","19","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","2008-11-17","https://i.scdn.co/image/ab67616d0000b273756527c53c3e52f122db4644","1","6","203906","https://p.scdn.co/mp3-preview/cd9ae9e9b90cf3558621803eb6d9443c513d92f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","GBBKS0700584","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:37:20Z"
"spotify:track:4GIyHmvDwjlggh0FEivFNe","First Love","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","spotify:album:3uftDqGs13LsE1s8nn5XSe","19","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","2008-11-17","https://i.scdn.co/image/ab67616d0000b273756527c53c3e52f122db4644","1","7","190280","https://p.scdn.co/mp3-preview/c02dfd14cf533e6b2b688bd73be4821e200a1e8a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBBKS0700385","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:37:20Z"
"spotify:track:3jNughzX6earazVYR5VP47","Right As Rain","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","spotify:album:3uftDqGs13LsE1s8nn5XSe","19","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","2008-11-17","https://i.scdn.co/image/ab67616d0000b273756527c53c3e52f122db4644","1","8","197346","https://p.scdn.co/mp3-preview/25b1ee7bea6dee62e809c7b1ff340aa982cb4328?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GBBKS0700587","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:37:20Z"
"spotify:track:5PuJtgZFBzZ98GIWDpS2sF","Make You Feel My Love","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","spotify:album:3uftDqGs13LsE1s8nn5XSe","19","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","2008-11-17","https://i.scdn.co/image/ab67616d0000b273756527c53c3e52f122db4644","1","9","212040","https://p.scdn.co/mp3-preview/3d9582dbaa291a0bdf96e750281595574f0de3ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBBKS0700586","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:37:20Z"
"spotify:track:7pbQxZifd3jTQ2MJuAOoSh","My Same","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","spotify:album:3uftDqGs13LsE1s8nn5XSe","19","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","2008-11-17","https://i.scdn.co/image/ab67616d0000b273756527c53c3e52f122db4644","1","10","195653","https://p.scdn.co/mp3-preview/27ebf033af75ebd7d3d49b227f67927b86252a35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBBKS0700386","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:37:20Z"
