"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3MCCYUXWRRGVk4sf2IhzoJ","Lazy (feat. David Byrne)","spotify:artist:1mlZXof4sEGLFspPzlQdFL, spotify:artist:20vuBdFblWUo2FCOvUzusB","X-Press 2, David Byrne","spotify:album:4NS4zVtdf0k9jIsaOsonQV","Raise Your Hands","spotify:artist:1mlZXof4sEGLFspPzlQdFL","X-Press 2","2008-03-01","https://i.scdn.co/image/ab67616d0000b273cd2868361188bd824a3452f3","1","1","255920","https://p.scdn.co/mp3-preview/fd53fbead6c805dbc5b08807b300c1c802a997bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","GBBMQ0800199","spotify:user:11100324499","2022-06-27T09:29:06Z"
"spotify:track:7lrIYVaHBzP9mz8sEFChiq","Days Go By - Radio Edit","spotify:artist:2IkHcHKErbWa0TA14yHkbl","Dirty Vegas","spotify:album:6lF3xY1CDqokXI5RgPVvB5","Dirty Vegas","spotify:artist:2IkHcHKErbWa0TA14yHkbl","Dirty Vegas","2002","https://i.scdn.co/image/ab67616d0000b273d8868b0e78659c2b15bd0e40","1","13","222800","https://p.scdn.co/mp3-preview/f90d14bd70ba6e4e614385eb858d5feabf2041ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBAYE0200599","spotify:user:11100324499","2022-06-27T09:30:31Z"
"spotify:track:1RKUoGiLEbcXN4GY4spQDx","Clint Eastwood","spotify:artist:3AA28KZvwAUcZuOKwyblJQ","Gorillaz","spotify:album:4tUxQkrduOE8sfgwJ5BI2F","Gorillaz","spotify:artist:3AA28KZvwAUcZuOKwyblJQ","Gorillaz","2001-03-26","https://i.scdn.co/image/ab67616d0000b273f6c46838e4425ea96e2562fe","1","5","340920","https://p.scdn.co/mp3-preview/5273a4def05afe6a5c27c352241a684c403f5b6a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","GBAYE0001408","spotify:user:11100324499","2022-06-27T09:30:39Z"
"spotify:track:6xafhALodnlJCwPMrB3ezD","Radio","spotify:artist:1IjPJum5sJ6iSr3mBsSYJk","Client","spotify:album:5UmutZQbUoCUIjKhgM7VwU","City","spotify:artist:1IjPJum5sJ6iSr3mBsSYJk","Client","2004-09-06","https://i.scdn.co/image/ab67616d0000b2731a0ffeeccfc9a4ebcbea5c4c","1","1","256333","https://p.scdn.co/mp3-preview/b912403fe84af835b70c806abff7c052ce30215e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","GBAJH0401480","spotify:user:11100324499","2022-06-27T09:35:25Z"
"spotify:track:4LkDrOFg9M9szoQ9CjYebO","Over And Over - Radio Edit","spotify:artist:37uLId6Z5ZXCx19vuruvv5","Hot Chip","spotify:album:2KMbbwJjx7AHdNkzlQXwZu","Over And Over (The B-Sides)","spotify:artist:37uLId6Z5ZXCx19vuruvv5","Hot Chip","2008-03-28","https://i.scdn.co/image/ab67616d0000b273022b8c51dc1e6cf3c9dfc115","1","1","231093","https://p.scdn.co/mp3-preview/d6b3ad4779830884757d859cfe842c9c805038ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","GBAYE0501854","spotify:user:11100324499","2022-06-27T09:35:41Z"
"spotify:track:6xiyLxwNw6xdExsnoo0Hub","Remind Me - Someone Else's Radio Mix","spotify:artist:5nPOO9iTcrs9k6yFffPxjH","Röyksopp","spotify:album:7HbsTHRJHp0S3dl2n16jgb","Remind Me","spotify:artist:5nPOO9iTcrs9k6yFffPxjH","Röyksopp","2001","https://i.scdn.co/image/ab67616d0000b273476c6a18113964e5188ac28d","1","1","246200","https://p.scdn.co/mp3-preview/3675af9f906e8c33f55b33f0990e709469d06aac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","GBCFC0200040","spotify:user:11100324499","2022-06-27T09:35:50Z"
"spotify:track:2cTOee6bTauDFK1QuDS1BD","What Else Is There?","spotify:artist:5nPOO9iTcrs9k6yFffPxjH","Röyksopp","spotify:album:1HkKeOklBwC1auQJ5Huwcm","The Understanding","spotify:artist:5nPOO9iTcrs9k6yFffPxjH","Röyksopp","2005-06-22","https://i.scdn.co/image/ab67616d0000b27324850f3eb04b5132b96df67a","1","7","317173","https://p.scdn.co/mp3-preview/f0f647b9d0d223967e2f742b360f1ebe324023f1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","FRS940500063","spotify:user:11100324499","2022-06-27T09:35:59Z"
"spotify:track:2OnqLGs0xZvr8ZNzWJELGo","Extreme Ways","spotify:artist:3OsRAKCvk37zwYcnzRf5XF","Moby","spotify:album:4nNRmcno83xJnzFWl8uYyJ","18","spotify:artist:3OsRAKCvk37zwYcnzRf5XF","Moby","2002-05-13","https://i.scdn.co/image/ab67616d0000b27384ddf84bc3c45781554b7f65","1","9","237640","https://p.scdn.co/mp3-preview/03e375cdd54417db89abe1259c6ae6823743bf29?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBAJH0200051","spotify:user:11100324499","2022-06-27T09:36:12Z"
"spotify:track:0vTy92wY0qSzSNqY4fBXOn","Where's Your Head At - Radio Edit","spotify:artist:4YrKBkKSVeqDamzBPWVnSJ","Basement Jaxx","spotify:album:37hDLMPeRX8dnGJX6z2mgn","The Singles","spotify:artist:4YrKBkKSVeqDamzBPWVnSJ","Basement Jaxx","2005-03-21","https://i.scdn.co/image/ab67616d0000b2732812fd6a922e6421fbf86e0e","1","6","239653","https://p.scdn.co/mp3-preview/40189f5bbd7fbc218474c022a918f3c4bb72fc98?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","GBBKS0100407","spotify:user:11100324499","2022-06-27T09:36:18Z"
"spotify:track:0Ui05Ov0s4PnRc4JI3Pilg","My Favourite Game","spotify:artist:1tqZaCwM57UFKjWoYwMLrw","The Cardigans","spotify:album:5DiOwioOBqVCSH6IwGBXEc","Gran Turismo (Remastered)","spotify:artist:1tqZaCwM57UFKjWoYwMLrw","The Cardigans","1998-01-01","https://i.scdn.co/image/ab67616d0000b2735ef700b0fb079793f8b0d774","1","8","220467","","false","72","SEBKB9802010","spotify:user:11100324499","2022-06-27T09:36:24Z"
"spotify:track:5YzckYO7G171MHg1UqkxJY","Destroy Everything You Touch","spotify:artist:0ucLPotcQNI7AViFytdhBz","Ladytron","spotify:album:1j2rtIlRBcUHmxtn4Z4vGc","Witching Hour","spotify:artist:0ucLPotcQNI7AViFytdhBz","Ladytron","2005-01-01","https://i.scdn.co/image/ab67616d0000b2738debb6be8b28564b07361cd8","1","2","276493","","false","50","GBAAN0500352","spotify:user:11100324499","2022-06-27T09:36:27Z"
"spotify:track:6wW4ES7Gx0zEKdbgcTL1hO","Galvanize - Edit","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","spotify:album:0koZYtM93uGBsPaD2uqa8A","Brotherhood (Deluxe)","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","2008-01-01","https://i.scdn.co/image/ab67616d0000b27344f701af75fdefd84ece364a","1","1","268800","","false","40","GBAAA0400663","spotify:user:11100324499","2022-06-27T09:36:34Z"
