"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:05jQUgTm40hzAw5uqOy0ob","Intro","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:0UMMIkurRUmkruZ3KGBLtG","2014 Forest Hills Drive","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2014-12-09","https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8","1","1","129153","","true","59","USQX91402590","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-01T00:34:11Z"
"spotify:track:6LBpGdlukUARutol7VgWIS","January 28th","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:0UMMIkurRUmkruZ3KGBLtG","2014 Forest Hills Drive","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2014-12-09","https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8","1","2","242697","","true","70","USQX91402591","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-01T00:34:11Z"
"spotify:track:4tqcoej1zPvwePZCzuAjJd","Wet Dreamz","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:0UMMIkurRUmkruZ3KGBLtG","2014 Forest Hills Drive","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2014-12-09","https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8","1","3","239266","","true","87","USQX91402592","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-01T00:34:11Z"
"spotify:track:11qa6plS660rrrkf6VJ3cX","03’ Adolescence","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:0UMMIkurRUmkruZ3KGBLtG","2014 Forest Hills Drive","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2014-12-09","https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8","1","4","264213","","true","67","USQX91402593","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-01T00:34:11Z"
"spotify:track:52A8OAP8lTQKZCj4Rce92B","A Tale Of 2 Citiez","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:0UMMIkurRUmkruZ3KGBLtG","2014 Forest Hills Drive","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2014-12-09","https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8","1","5","269721","","true","71","USQX91402594","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-01T00:34:11Z"
"spotify:track:6sf35vqrEAN8fOFzrKmv9A","Fire Squad","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:0UMMIkurRUmkruZ3KGBLtG","2014 Forest Hills Drive","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2014-12-09","https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8","1","6","288123","","true","69","USQX91402595","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-01T00:34:11Z"
"spotify:track:5dp2DNJtGuNjwgEtAN6BZd","St. Tropez","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:0UMMIkurRUmkruZ3KGBLtG","2014 Forest Hills Drive","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2014-12-09","https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8","1","7","257872","","true","63","USQX91402596","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-01T00:34:11Z"
"spotify:track:0Thqjtu54vKMP06pwZkAWp","G.O.M.D","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:0UMMIkurRUmkruZ3KGBLtG","2014 Forest Hills Drive","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2014-12-09","https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8","1","8","301064","","true","77","USQX91402597","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-01T00:34:11Z"
"spotify:track:68Dni7IE4VyPkTOH9mRWHr","No Role Modelz","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:0UMMIkurRUmkruZ3KGBLtG","2014 Forest Hills Drive","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2014-12-09","https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8","1","9","292799","","true","92","USQX91402598","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-01T00:34:11Z"
"spotify:track:7L3yLy4K5CI7AWK2DfAbTv","Hello","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:0UMMIkurRUmkruZ3KGBLtG","2014 Forest Hills Drive","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2014-12-09","https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8","1","10","219173","","true","60","USQX91402599","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-01T00:34:11Z"
"spotify:track:5O59s7bCgTFsXDXlWecyQ1","Apparently","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:0UMMIkurRUmkruZ3KGBLtG","2014 Forest Hills Drive","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2014-12-09","https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8","1","11","292865","","true","73","USQX91402600","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-01T00:34:11Z"
