"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4GHF75LwRT2Hsv9z3ZXpM8","Johnny B. Goode","spotify:artist:293zczrfYafIItmnmM3coR","Chuck Berry","spotify:album:4ftxTaRQdhKNoazScTMiiE","Johnny B. Goode/His Complete `50s Chess Recordings","spotify:artist:293zczrfYafIItmnmM3coR","Chuck Berry","2007-01-01","https://i.scdn.co/image/ab67616d0000b273c5d01512845392d2c3e4f14f","2","21","159426","","false","0","USMC15719963","spotify:user:geekyapar%21","2016-06-19T15:17:31Z"
"spotify:track:7jPKMlLGZAMnGntHaFeU12","Rave On","spotify:artist:3wYyutjgII8LJVVOLrGI0D","Buddy Holly","spotify:album:4ufhEXGkugwUgZ2fOHx5ts","The Very Best Of Buddy Holly","spotify:artist:3wYyutjgII8LJVVOLrGI0D","Buddy Holly","1999-01-01","https://i.scdn.co/image/ab67616d0000b2739a9ff1034eeec41118081af6","1","5","108866","","false","0","USMC15804202","spotify:user:geekyapar%21","2016-06-19T15:18:50Z"
"spotify:track:2aEeghgUcnu75tzcolFMfs","La Bamba - Single Version","spotify:artist:5Y9xEAGW4GwGJgbiI6W85P","Ritchie Valens","spotify:album:77UI8F1LuhiQaKIL1qOE1W","Ritchie Valens","spotify:artist:5Y9xEAGW4GwGJgbiI6W85P","Ritchie Valens","1959","https://i.scdn.co/image/ab67616d0000b2737723fdc89d8e25e65aa6730d","1","7","126960","https://p.scdn.co/mp3-preview/b460e782da73afa26d3882db0cfb052e7cfe9947?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USRH10402003","spotify:user:geekyapar%21","2016-06-19T15:19:08Z"
"spotify:track:7hLOIb9E7VKmsVelNq6YZK","Rock Around the Clock","spotify:artist:3MFp4cYuYtTZe3d3xkLLbr","Bill Haley & His Comets","spotify:album:6O1bmqY4KrXAwgXwv7I5jz","Live Explosive Rock N' Roll","spotify:artist:3MFp4cYuYtTZe3d3xkLLbr","Bill Haley & His Comets","2011-11-01","https://i.scdn.co/image/ab67616d0000b273df8589fbf947c853d6c0ef53","1","11","179986","https://p.scdn.co/mp3-preview/002fe44a08ad60e19a372fdd0fe13a280f402af2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USA371530348","spotify:user:geekyapar%21","2016-06-19T15:19:36Z"
"spotify:track:1GT6sgFjFNeC6Pqz6G8GsB","Shake, Rattle And Roll","spotify:artist:3MFp4cYuYtTZe3d3xkLLbr","Bill Haley & His Comets","spotify:album:3JgnPB3VwNqKgYge39nL5m","Rock Around The Clock","spotify:artist:3MFp4cYuYtTZe3d3xkLLbr","Bill Haley & His Comets","2002-10-01","https://i.scdn.co/image/ab67616d0000b2739e2a182b77f222257a5c96b6","1","2","149466","","false","0","USMC15486380","spotify:user:geekyapar%21","2016-06-19T15:20:09Z"
"spotify:track:2wwRSaZgshcHSvGzWryUIi","Summertime Blues","spotify:artist:1p0t3JtUTayV2wb1RGN9mO","Eddie Cochran","spotify:album:25TCdjTn54TAHVulRohu4G","The Very Best Of","spotify:artist:1p0t3JtUTayV2wb1RGN9mO","Eddie Cochran","1990","https://i.scdn.co/image/ab67616d0000b2739faa93ae6fbf703b1aa1e3df","1","13","120000","","false","0","USEM38800220","spotify:user:geekyapar%21","2016-06-19T15:20:30Z"
"spotify:track:19J1kwHa3sgxLwaWDleGhd","Whole Lotta Shakin' Going On","spotify:artist:2zyz0VJqrDXeFDIyrfVXSo","Jerry Lee Lewis","spotify:album:7zfrzVi5p5mN06ydeH8ptF","Original Golden Hits - Volume 1","spotify:artist:2zyz0VJqrDXeFDIyrfVXSo","Jerry Lee Lewis","1969-01-01","https://i.scdn.co/image/ab67616d0000b273590307592dffc5c83ed9d129","1","7","173158","","false","0","USSE60070169","spotify:user:geekyapar%21","2016-06-19T15:21:24Z"
"spotify:track:0p8BUEoxhoHjXWJ9isitXf","Maybe Baby","spotify:artist:4r7JUeiYy24L7BuzCq9EjR","The Crickets","spotify:album:613py2myNyQU05oXh3DXQk","The Collection","spotify:artist:4r7JUeiYy24L7BuzCq9EjR","The Crickets","2003-01-01","https://i.scdn.co/image/ab67616d0000b273dbf102b02abe18e4253eef70","1","5","122626","","false","0","USMC15719982","spotify:user:geekyapar%21","2016-06-19T15:22:07Z"
"spotify:track:3Os0VNtvEnRFlXSK5dvOFu","Tutti Frutti","spotify:artist:4xls23Ye9WR9yy3yYMpAMm","Little Richard","spotify:album:4CfyfJWb1HSabAjdcLeThs","Here's Little Richard [Remastered & Expanded]","spotify:artist:4xls23Ye9WR9yy3yYMpAMm","Little Richard","1957-03","https://i.scdn.co/image/ab67616d0000b273000fb358ca63d139f6e9447f","1","1","146640","","false","0","USC4R1100478","spotify:user:geekyapar%21","2016-06-19T15:22:43Z"
"spotify:track:6OrnVjcEwJqEuoG50k4LQ0","Roll Over Beethoven - Single Version","spotify:artist:293zczrfYafIItmnmM3coR","Chuck Berry","spotify:album:6797FWDUgY9RgtlcKbaNLd","Gold","spotify:artist:293zczrfYafIItmnmM3coR","Chuck Berry","2005-01-01","https://i.scdn.co/image/ab67616d0000b2736bb509dae33c10265daed750","1","8","142906","","false","0","USMC15619964","spotify:user:geekyapar%21","2016-06-19T15:23:15Z"
