"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5ULzkcU6ySXV3F2wBSJr46","The System","spotify:artist:2XhhAWeUOlrZnGOB7aKEI8","Aphrodite's Child","spotify:album:2lWDphDAlgk8PNdODreJwv","6 6 6","spotify:artist:2XhhAWeUOlrZnGOB7aKEI8","Aphrodite's Child","1971-01-01","https://i.scdn.co/image/ab67616d0000b273a0292c98efda007877b76d04","1","1","23466","","false","2","NLF050390218","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-14T08:05:47Z"
"spotify:track:6sUm7ZNoptrA6UQWuJ6b0Q","Babylon","spotify:artist:2XhhAWeUOlrZnGOB7aKEI8","Aphrodite's Child","spotify:album:2lWDphDAlgk8PNdODreJwv","6 6 6","spotify:artist:2XhhAWeUOlrZnGOB7aKEI8","Aphrodite's Child","1971-01-01","https://i.scdn.co/image/ab67616d0000b273a0292c98efda007877b76d04","1","2","167533","","false","39","NLF057190035","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-14T08:05:47Z"
"spotify:track:2UqILem2vrLt2KLy980niE","Loud, Loud, Loud","spotify:artist:2XhhAWeUOlrZnGOB7aKEI8","Aphrodite's Child","spotify:album:2lWDphDAlgk8PNdODreJwv","6 6 6","spotify:artist:2XhhAWeUOlrZnGOB7aKEI8","Aphrodite's Child","1971-01-01","https://i.scdn.co/image/ab67616d0000b273a0292c98efda007877b76d04","1","3","162666","","false","38","NLF050290003","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-14T08:05:47Z"
"spotify:track:5FgQkEcqMXCqFdcsEx143b","The Four Horsemen","spotify:artist:2XhhAWeUOlrZnGOB7aKEI8","Aphrodite's Child","spotify:album:2lWDphDAlgk8PNdODreJwv","6 6 6","spotify:artist:2XhhAWeUOlrZnGOB7aKEI8","Aphrodite's Child","1971-01-01","https://i.scdn.co/image/ab67616d0000b273a0292c98efda007877b76d04","1","4","353426","","false","51","NLF057190036","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-14T08:05:47Z"
"spotify:track:1LEAvMU3ObxFGuijPxi5MO","The Lamb","spotify:artist:2XhhAWeUOlrZnGOB7aKEI8","Aphrodite's Child","spotify:album:2lWDphDAlgk8PNdODreJwv","6 6 6","spotify:artist:2XhhAWeUOlrZnGOB7aKEI8","Aphrodite's Child","1971-01-01","https://i.scdn.co/image/ab67616d0000b273a0292c98efda007877b76d04","1","5","274733","","false","32","NLF057190037","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-14T08:05:47Z"
"spotify:track:1ehNe8FG63Ywy3lrUjEqAy","The Seventh Seal","spotify:artist:2XhhAWeUOlrZnGOB7aKEI8","Aphrodite's Child","spotify:album:2lWDphDAlgk8PNdODreJwv","6 6 6","spotify:artist:2XhhAWeUOlrZnGOB7aKEI8","Aphrodite's Child","1971-01-01","https://i.scdn.co/image/ab67616d0000b273a0292c98efda007877b76d04","1","6","90666","","false","28","NLF057190038","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-14T08:05:47Z"
"spotify:track:2FqJYBr4L4boPdzawhXpLb","Aegian Sea","spotify:artist:2XhhAWeUOlrZnGOB7aKEI8","Aphrodite's Child","spotify:album:2lWDphDAlgk8PNdODreJwv","6 6 6","spotify:artist:2XhhAWeUOlrZnGOB7aKEI8","Aphrodite's Child","1971-01-01","https://i.scdn.co/image/ab67616d0000b273a0292c98efda007877b76d04","1","7","322666","","false","39","NLF057190039","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-14T08:05:47Z"
"spotify:track:1tZmgGcNYhQNzSZIPm33t6","Seven Bowls","spotify:artist:2XhhAWeUOlrZnGOB7aKEI8","Aphrodite's Child","spotify:album:2lWDphDAlgk8PNdODreJwv","6 6 6","spotify:artist:2XhhAWeUOlrZnGOB7aKEI8","Aphrodite's Child","1971-01-01","https://i.scdn.co/image/ab67616d0000b273a0292c98efda007877b76d04","1","8","88973","","false","27","NLF050390214","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-14T08:05:47Z"
"spotify:track:2gP0TSrKpHGvstzUlCAatH","The Wakening Beast","spotify:artist:2XhhAWeUOlrZnGOB7aKEI8","Aphrodite's Child","spotify:album:2lWDphDAlgk8PNdODreJwv","6 6 6","spotify:artist:2XhhAWeUOlrZnGOB7aKEI8","Aphrodite's Child","1971-01-01","https://i.scdn.co/image/ab67616d0000b273a0292c98efda007877b76d04","1","9","71693","","false","25","NLF050390219","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-14T08:05:47Z"
"spotify:track:1cGhNwY0MsNmKCMitXsq4C","Lament","spotify:artist:2XhhAWeUOlrZnGOB7aKEI8","Aphrodite's Child","spotify:album:2lWDphDAlgk8PNdODreJwv","6 6 6","spotify:artist:2XhhAWeUOlrZnGOB7aKEI8","Aphrodite's Child","1971-01-01","https://i.scdn.co/image/ab67616d0000b273a0292c98efda007877b76d04","1","10","165173","","false","25","NLF057190040","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-14T08:05:47Z"
