"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:24uWTDsjSCWHXmZritNFvu","Rapper's Delight - Single Version","spotify:artist:7zliF6Q946WznVk3ZMYhZX","The Sugarhill Gang","spotify:album:2537kBXqlXc14LvaHhJ9Yk","The Sugarhill Gang - 30th Anniversary Edition (Expanded Version)","spotify:artist:7zliF6Q946WznVk3ZMYhZX","The Sugarhill Gang","1980-02-07","https://i.scdn.co/image/ab67616d0000b273924df3bd6761eac05e747d05","1","6","235840","","false","0","GBUM71021600","spotify:user:geekyapar%21","2016-09-06T21:19:18Z"
"spotify:track:5mMxriCaSYyZopQDPYkyqT","Apache (Jump On It)","spotify:artist:7zliF6Q946WznVk3ZMYhZX","The Sugarhill Gang","spotify:album:6ao0po28zzbNEl6MoUigrQ","Rapper's Delight","spotify:artist:7zliF6Q946WznVk3ZMYhZX","The Sugarhill Gang","1979-09-16","https://i.scdn.co/image/ab67616d0000b273e5c0434592ef2ee99a4a02a3","1","10","374760","https://p.scdn.co/mp3-preview/0bebb2254e4ed9d51f0e511867a387e566b0c734?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBAJE0502808","spotify:user:geekyapar%21","2016-09-06T21:19:36Z"
"spotify:track:3GJqifyIDLB0SAscrYgfuJ","The Breaks","spotify:artist:25TKXk9zo9yk0HMJQ3TuE9","Kurtis Blow","spotify:album:1dQjMzEuRMzu9QhqslW39F","The Best Of Kurtis Blow","spotify:artist:25TKXk9zo9yk0HMJQ3TuE9","Kurtis Blow","1994-01-01","https://i.scdn.co/image/ab67616d0000b27348d85ec61cfeaa8c4f7b593a","1","1","469266","","false","0","USPR38000025","spotify:user:geekyapar%21","2016-09-06T21:20:19Z"
"spotify:track:5ZSDLOVEhZlvqcI6ELAT44","Planet Rock","spotify:artist:7cg61q8kK8jlFi8TKKw70p, spotify:artist:4J8cVSLFJ4T4ReYLtehLj0","Afrika Bambaataa, Afrika Bambaataa & The Soulsonic Force","spotify:album:6Kx0wYo4lkNwfJIRjpkTZE","Planet Rock / Planet Rock [Instrumental] [Digital 45]","spotify:artist:7cg61q8kK8jlFi8TKKw70p, spotify:artist:4J8cVSLFJ4T4ReYLtehLj0","Afrika Bambaataa, Afrika Bambaataa & The Soulsonic Force","1982","https://i.scdn.co/image/ab67616d0000b273020a737093b16148b243e1d6","1","1","319960","","false","0","USRH10802800","spotify:user:geekyapar%21","2016-09-06T21:20:37Z"
"spotify:track:5iMFwxh6akxfgoujdvI1rf","White Lines (Don't Do It)","spotify:artist:1JfnADNz5yYEq3hrzlZHLk, spotify:artist:0AWhixY9hX7LEPyPMjh4O0","Grandmaster Flash, Grandmaster Melle Mel","spotify:album:40o5zHSxes3t5JFLcQwoa9","Grandmaster Flash, Grandmaster Melle-Mel & The Furious Five: The Greatest Hits","spotify:artist:1JfnADNz5yYEq3hrzlZHLk, spotify:artist:0AWhixY9hX7LEPyPMjh4O0, spotify:artist:77iR4WkkEWMrhAw8lFFL2v","Grandmaster Flash, Grandmaster Melle Mel, The Furious Five","2006-05-01","https://i.scdn.co/image/ab67616d0000b27392dc7dc62bf1fca3d35adc4c","1","1","269666","https://p.scdn.co/mp3-preview/d0714b84edfa5fd49d0ba84085287c07932f859c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBAJE0609103","spotify:user:geekyapar%21","2016-09-06T21:22:04Z"
"spotify:track:7DybP2rsaLRcYqCgCGaJnP","The Message","spotify:artist:5hQCwevTf03u1rECrRMeop","Grandmaster Flash & The Furious Five","spotify:album:3BN3fyi1d31mCkksLm737o","The Greatest Hits (The Sugarhill Gang vs. Grandmaster Flash)","spotify:artist:7zliF6Q946WznVk3ZMYhZX, spotify:artist:1JfnADNz5yYEq3hrzlZHLk","The Sugarhill Gang, Grandmaster Flash","2000","https://i.scdn.co/image/ab67616d0000b27326326291e0a8da080fb7ab5f","2","11","191640","","false","0","GBAJE0609113","spotify:user:geekyapar%21","2016-09-06T21:24:05Z"
"spotify:track:4aQWK556IoJfhBDwZtdrOY","New York, New York","spotify:artist:5hQCwevTf03u1rECrRMeop, spotify:artist:0AWhixY9hX7LEPyPMjh4O0","Grandmaster Flash & The Furious Five, Grandmaster Melle Mel","spotify:album:3BN3fyi1d31mCkksLm737o","The Greatest Hits (The Sugarhill Gang vs. Grandmaster Flash)","spotify:artist:7zliF6Q946WznVk3ZMYhZX, spotify:artist:1JfnADNz5yYEq3hrzlZHLk","The Sugarhill Gang, Grandmaster Flash","2000","https://i.scdn.co/image/ab67616d0000b27326326291e0a8da080fb7ab5f","2","14","439800","","false","0","GBAJE0401789","spotify:user:geekyapar%21","2016-09-06T21:24:14Z"
"spotify:track:2hzHySiTApvJ3FlPH5OQ7I","Spoonin' Rap","spotify:artist:33xY3kRRRiPLsDjnfE3Lpw","Spoonie Gee","spotify:album:5OMysSUf9FrBHcCOc3U3k8","The Sugar Hill Hip-Hop Box Set","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2002","https://i.scdn.co/image/ab67616d0000b2737d5f601bc37ca8bb4cf7c415","1","9","421226","","false","0","GBAJE8000289","spotify:user:geekyapar%21","2016-09-06T21:24:31Z"
"spotify:track:7nGbGpy9JCBJzF4vCJ2u51","Freedom","spotify:artist:77iR4WkkEWMrhAw8lFFL2v, spotify:artist:1JfnADNz5yYEq3hrzlZHLk","The Furious Five, Grandmaster Flash","spotify:album:3T9xNY7jJda9t5B3HITybK","A Complete Introduction to Sugar Hill Records","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-06-21","https://i.scdn.co/image/ab67616d0000b273fd835381abf9c051b14baa57","1","7","496760","","false","0","GBAJE0607983","spotify:user:geekyapar%21","2016-09-06T21:26:04Z"
"spotify:track:5p6hm4DmP03mOLvbZTs2cB","Monster Jam","spotify:artist:33xY3kRRRiPLsDjnfE3Lpw, spotify:artist:0PvnF7nV4B3zOHF3qW4LlG","Spoonie Gee, The Sequence","spotify:album:3T9xNY7jJda9t5B3HITybK","A Complete Introduction to Sugar Hill Records","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-06-21","https://i.scdn.co/image/ab67616d0000b273fd835381abf9c051b14baa57","1","9","529213","","false","0","GBAJE8000016","spotify:user:geekyapar%21","2016-09-06T21:26:16Z"
