"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1WN5ocXadmLymyf4UMGNX1","She Doesn't Sleep","spotify:artist:1tt29X4uRBgHBhu9M1vEXM","Anthony Amorim","spotify:album:3JN2RiYf96DhIJT7zlUu5G","Sad Forever (Deluxe)","spotify:artist:1tt29X4uRBgHBhu9M1vEXM","Anthony Amorim","2020-12-18","https://i.scdn.co/image/ab67616d0000b27398056be84ea675887d10ba77","1","5","209743","https://p.scdn.co/mp3-preview/60f501bbebc845f2575f61a4095fbb4cc3480b6c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","usl4q1904170","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2022-04-04T07:03:07Z"
"spotify:track:21P2a9sTPM73vl7FPSK64r","Marceline PT. 2","spotify:artist:3rWZHrfrsPBxVy692yAIxF","WILLOW","spotify:album:0wfne2JijoxJm0qzJd3V5h","ARDIPITHECUS","spotify:artist:3rWZHrfrsPBxVy692yAIxF","WILLOW","2015-01-11","https://i.scdn.co/image/ab67616d0000b2736ee651e65c3766d80e7fcab7","1","10","181466","","false","40","QMJMT1500798","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2022-04-04T08:01:33Z"
"spotify:track:5rPNVwYjVEgkq6YNPki4Zc","BABYDOLL","spotify:artist:25jJ6vyXwTRa0e6XCcdR6U","Ari Abdul","spotify:album:5lB0QAZik2r9T51pB5gG0u","BABYDOLL","spotify:artist:25jJ6vyXwTRa0e6XCcdR6U","Ari Abdul","2022-02-22","https://i.scdn.co/image/ab67616d0000b2733bd1e47d746133eee38d4de1","1","1","196235","https://p.scdn.co/mp3-preview/8a3750093c843d4c33219aec9dd4c805a59b33de?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","QZFZ32285065","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2022-04-04T07:40:46Z"
"spotify:track:5ff77CZZUpY8Gvu5GuA6vb","HAUNTED","spotify:artist:5arKwJZEvT5uKq4o0JfqR4","Isabel LaRosa","spotify:album:4QhZwVQuNbbXtMgjp2Ngp2","HAUNTED","spotify:artist:5arKwJZEvT5uKq4o0JfqR4","Isabel LaRosa","2022-02-24","https://i.scdn.co/image/ab67616d0000b273271460ef9fd223069197c590","1","1","137851","https://p.scdn.co/mp3-preview/e11e173ea7cf0c8bf7e9c3a379d715e6980c319b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","QZFZ72263317","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2022-04-04T08:02:19Z"
"spotify:track:4dkRsFaaDWzQJnw69INigt","Water Sign","spotify:artist:4SKFiKjEPLdlpXSOQZhlsi","SPIDER","spotify:album:4UFz4HwY6aIfHBhQXutp77","Water Sign","spotify:artist:4SKFiKjEPLdlpXSOQZhlsi","SPIDER","2021-02-12","https://i.scdn.co/image/ab67616d0000b273ce95e5362fddb0f669c14070","1","1","218875","","false","0","QZFZ32100923","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2022-04-04T08:05:00Z"
"spotify:track:26ZzSLUJMmYp5u1hDELEWH","Transgender","spotify:artist:7K3zpFXBvPcvzhj7zlGJdO","Crystal Castles","spotify:album:1NIfkZIYVAO6vnfmFOilHc","(III)","spotify:artist:7K3zpFXBvPcvzhj7zlGJdO","Crystal Castles","2012-01-01","https://i.scdn.co/image/ab67616d0000b27339140b04426a6ae1c7842e38","1","8","184760","https://p.scdn.co/mp3-preview/371d85979434958c644918024ca769639ab78ce0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GBUM71206689","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2022-04-04T08:05:09Z"
"spotify:track:1STwouYZSMXAaJ0nCrCsun","Cult Leader","spotify:artist:1N91cyUEOTgbI7s90LzhiE","Cute Whore","spotify:album:4huVKlLQxEzWjftYB6aRjp","Cult Leader","spotify:artist:1N91cyUEOTgbI7s90LzhiE","Cute Whore","2016-06-17","https://i.scdn.co/image/ab67616d0000b2737a13d75a17158e575c4b0eea","1","1","343392","https://p.scdn.co/mp3-preview/ea89b849620d0f0a958c9fc9352520f173e23622?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","TCACP1646238","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2022-04-04T08:05:14Z"
"spotify:track:3kYhit2e5Y1ufka29ZUAoR","Sweet Serial Killer","spotify:artist:2QKsUEpStygXfQeQDwkw8E, spotify:artist:5h5JRVK3PqFl90cnvdMxRX, spotify:artist:6q61dDNTamkXwx5G9JHlUt","Paris Snow, Neros, Syd Hummel","spotify:album:1p8nhf05cKCQBEVZzqHdX0","Sweet Serial Killer","spotify:artist:2QKsUEpStygXfQeQDwkw8E, spotify:artist:5h5JRVK3PqFl90cnvdMxRX","Paris Snow, Neros","2020-04-03","https://i.scdn.co/image/ab67616d0000b2732442dd7466a9754bf8d94c1a","1","1","139237","","false","0","QZFZ42053309","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2022-04-04T08:05:19Z"
"spotify:track:7KYgg5fYYAWFCeU1A0f9G1","closer","spotify:artist:74slMAMk8L6oMf6OhNyZ8Q","Brenn!","spotify:album:0ey468J85Vj2ufbFRQLq6B","closer","spotify:artist:74slMAMk8L6oMf6OhNyZ8Q","Brenn!","2022-02-14","https://i.scdn.co/image/ab67616d0000b273667cbee270d8f093f957eadc","1","1","197713","https://p.scdn.co/mp3-preview/b737d26128d96a7ac3d61f0f9467a533940ff8f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","QZFZ22208237","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2022-04-04T08:05:23Z"
"spotify:track:4MALhH8rSUuySKUPicsp40","Pixie Hollow and Purgatory","spotify:artist:6yBtoVjaVbLRaxnxlepboB","Alexis Munroe","spotify:album:303XtVMs7RozZHPfltCDDv","Pixie Hollow and Purgatory","spotify:artist:6yBtoVjaVbLRaxnxlepboB","Alexis Munroe","2019-03-01","https://i.scdn.co/image/ab67616d0000b273f2050fa41df4e73f49a055f1","1","1","186965","https://p.scdn.co/mp3-preview/c80a359bc217e97997583f267872407d714a55f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","QZFYX1945868","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2022-04-04T08:05:28Z"
