"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6Kkt27YmFyIFrcX3QXFi2o","Liability","spotify:artist:163tK9Wjr9P9DmM0AVK7lm","Lorde","spotify:album:2B87zXm9bOWvAJdkJBTpzF","Melodrama","spotify:artist:163tK9Wjr9P9DmM0AVK7lm","Lorde","2017-06-16","https://i.scdn.co/image/ab67616d0000b273f8553e18a11209d4becd0336","1","5","171727","","false","76","NZUM71700064","spotify:user:h860yo7llu45grqygsccqwgj6","2021-08-29T10:08:40Z"
"spotify:track:7r4dwgu3hzR60pVulZ9IP9","Lay Me Down - Single Version","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","spotify:album:3uRJWbCnuU4kCxHQWp009X","Lay Me Down","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","2015-02-22","https://i.scdn.co/image/ab67616d0000b273607693628d78017660f4851e","1","1","219045","","false","54","GBUM71500262","spotify:user:h860yo7llu45grqygsccqwgj6","2021-08-29T10:08:42Z"
"spotify:track:43zdsphuZLzwA9k4DJhU0I","when the party's over","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:0S0KGZnfBGSIssfF54WSJh","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2019-03-29","https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce","1","7","196077","","false","86","USUM71815958","spotify:user:h860yo7llu45grqygsccqwgj6","2021-08-29T10:08:51Z"
"spotify:track:7InHgiDyJ0GtvnIVslWNPK","I'm Not In Love","spotify:artist:0fEfMW5bypHZ0A8eLnhwj5","Kelsey Lu","spotify:album:6NLWgp3R9U9v8KMueE6i9C","Blood","spotify:artist:0fEfMW5bypHZ0A8eLnhwj5","Kelsey Lu","2019-04-19","https://i.scdn.co/image/ab67616d0000b27314594847f07dbc57fc182226","1","9","414466","https://p.scdn.co/mp3-preview/df2555171d2f6a9781cc5171f417e610feeeb056?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USSM11809046","spotify:user:h860yo7llu45grqygsccqwgj6","2021-08-29T10:25:44Z"
"spotify:track:0jagsVVkxwxhmTIicnOaon","Lo Vas A Olvidar (with ROSALÍA)","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH, spotify:artist:7ltDVBr6mKbRvohxheJ9h1","Billie Eilish, ROSALÍA","spotify:album:3ZuV4xSFJnWDncgMICfFmX","Lo Vas A Olvidar (with ROSALÍA)","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH, spotify:artist:7ltDVBr6mKbRvohxheJ9h1","Billie Eilish, ROSALÍA","2021-01-21","https://i.scdn.co/image/ab67616d0000b273a5fe409478aefa2527076489","1","1","203464","","false","63","USUM72100008","spotify:user:h860yo7llu45grqygsccqwgj6","2021-08-29T14:18:24Z"
"spotify:track:4B24AqJKlpLXJZB2oo0HgB","No Queda Nada","spotify:artist:4SQdUpG4f7UbkJG3cJ2Iyj","Arca","spotify:album:6fumIfDEAppI5NCGHQEBSr","KiCk i","spotify:artist:4SQdUpG4f7UbkJG3cJ2Iyj","Arca","2020-06-26","https://i.scdn.co/image/ab67616d0000b2733fb118a60e7a487d5586b2d7","1","12","337130","https://p.scdn.co/mp3-preview/2acb1dafa806d20fe2794b9a1dac1f199910debb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","GBBKS1900112","spotify:user:h860yo7llu45grqygsccqwgj6","2021-08-29T14:21:21Z"
"spotify:track:7MyZeEm6keIU4vNypB8nxC","Below The Clavicle","spotify:artist:18ca9d5EU5R1AhVKPR1cm0","Eartheater","spotify:album:7sc80uUN9dNdVB325D7XZ5","Phoenix: Flames Are Dew Upon My Skin","spotify:artist:18ca9d5EU5R1AhVKPR1cm0","Eartheater","2020-10-02","https://i.scdn.co/image/ab67616d0000b273c0b4e6b66a986f141dc16315","1","3","238558","","false","0","QMB622011201","spotify:user:h860yo7llu45grqygsccqwgj6","2021-08-30T12:25:04Z"
"spotify:track:51EMSRpNm9Rg5rGViVCczv","Andromeda","spotify:artist:3Uqu1mEdkUJxPe7s31n1M9","Weyes Blood","spotify:album:0Cuqhgy8vm96JEkBY3polk","Titanic Rising","spotify:artist:3Uqu1mEdkUJxPe7s31n1M9","Weyes Blood","2019-04-05","https://i.scdn.co/image/ab67616d0000b2730c64e752dec4c08362cc4a88","1","2","280186","https://p.scdn.co/mp3-preview/6026e44361cf28d7bfb3f823b7392eb4b4a3eefb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USSUB1923202","spotify:user:h860yo7llu45grqygsccqwgj6","2021-08-30T12:34:23Z"
"spotify:track:5qspeKX1xBacLJMm2t3Yc0","A Lot's Gonna Change","spotify:artist:3Uqu1mEdkUJxPe7s31n1M9","Weyes Blood","spotify:album:0Cuqhgy8vm96JEkBY3polk","Titanic Rising","spotify:artist:3Uqu1mEdkUJxPe7s31n1M9","Weyes Blood","2019-04-05","https://i.scdn.co/image/ab67616d0000b2730c64e752dec4c08362cc4a88","1","1","261946","https://p.scdn.co/mp3-preview/a901ddf97be474f5fa6a60674897fd573f2478ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USSUB1923201","spotify:user:h860yo7llu45grqygsccqwgj6","2021-08-30T12:54:26Z"
"spotify:track:7vPHiwgCOAjSBRjAirbMvS","Sea, Swallow Me","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp, spotify:artist:3uOCouLFR4bVx0XeiQJSbl","Cocteau Twins, Harold Budd","spotify:album:5v2I3i4RPD8T1XV0pjvPNo","The Moon and the Melodies","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp, spotify:artist:3uOCouLFR4bVx0XeiQJSbl","Cocteau Twins, Harold Budd","1986-11-10","https://i.scdn.co/image/ab67616d0000b2732bace4cf1388fa974fcdc14c","1","1","189040","https://p.scdn.co/mp3-preview/f8a803fd2bbb5e50985b0f7f1f12161d725f9d6f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","GBAFL8600048","spotify:user:h860yo7llu45grqygsccqwgj6","2021-08-30T12:54:32Z"
