"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:64BBvp4VTL001ete3rWYee","GOD BLESS THE RATCHETS","spotify:artist:0H39MdGGX6dbnnQPt6NQkZ","SAINt JHN","spotify:album:6Pwhmyxs3pY7JetlZibZqr","Collection One","spotify:artist:0H39MdGGX6dbnnQPt6NQkZ","SAINt JHN","2018-03-30","https://i.scdn.co/image/ab67616d0000b273ecc824533b8582ad73e41b92","1","8","221276","","true","0","USUYG1189067","spotify:user:h860yo7llu45grqygsccqwgj6","2020-05-03T20:59:20Z"
"spotify:track:3Wvq89A8v9p6xaX5sjamSP","Mumble Rap","spotify:artist:0FOWNUFHPnMy0vOw1siGqi","Belly","spotify:album:04XJbeTbd7CvN0eXwe4K8P","Mumble Rap","spotify:artist:0FOWNUFHPnMy0vOw1siGqi","Belly","2017-10-06","https://i.scdn.co/image/ab67616d0000b273fcb038d76c01e53d5154302b","1","4","163026","","true","49","QMJMT1701400","spotify:user:h860yo7llu45grqygsccqwgj6","2020-05-03T21:00:03Z"
"spotify:track:371r4YZ3l0XNlX9vKitNDn","A.M. Horrorscope","spotify:artist:71aDSprYfvTugKgQFNGM6N, spotify:artist:6vJT8Y76aeDPZhViOj3uaQ, spotify:artist:5wzNdMyo0h1mbRnAnGfuqI","LEYAN, Tomapam, Cyph4","spotify:album:0NFY1rGKbdRlnG4rOgWLzf","The Groove Sessions, Vol. 3","spotify:artist:6vgw0jwJkUnW2NR1rzsQU3","Chinese Man","2014-04-14","https://i.scdn.co/image/ab67616d0000b27346ff9ddeaafe995077d8079d","1","10","222133","https://p.scdn.co/mp3-preview/b5869c41474fab24ab1b51c06cce2aba37eacf80?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","FRP7S1300036","spotify:user:h860yo7llu45grqygsccqwgj6","2020-05-03T21:01:30Z"
"spotify:track:119c93MHjrDLJTApCVGpvx","C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)","spotify:artist:34EP7KEpOjXcM2TCat1ISk, spotify:artist:4VmEWwd8y9MCLwexFMdpwt, spotify:artist:2yQf6b8hxahZaT5dHlWaB1, spotify:artist:4OBbOrkD4geIjOLrICN3wO, spotify:artist:4QTIR7KM0trauXspUNduhh","Wu-Tang Clan, Method Man, Raekwon, Inspectah Deck, Buddha Monk","spotify:album:3tQd5mwBtVyxCoEo4htGAV","Enter The Wu-Tang (36 Chambers) [Expanded Edition]","spotify:artist:34EP7KEpOjXcM2TCat1ISk","Wu-Tang Clan","1993-11-09","https://i.scdn.co/image/ab67616d0000b2735901aaa980d3e714bf01171c","1","8","252186","https://p.scdn.co/mp3-preview/92861e4d39e8eb09f04d4add45fc5bdf551922d1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USRC19300133","spotify:user:h860yo7llu45grqygsccqwgj6","2020-05-03T21:58:04Z"
"spotify:track:2g8HN35AnVGIk7B8yMucww","Big Poppa - 2005 Remaster","spotify:artist:5me0Irg2ANcsgc93uaYrpb","The Notorious B.I.G.","spotify:album:2HTbQ0RHwukKVXAlTmCZP2","Ready to Die (The Remaster)","spotify:artist:5me0Irg2ANcsgc93uaYrpb","The Notorious B.I.G.","1994-09-13","https://i.scdn.co/image/ab67616d0000b273db09958534ac66f9a90d3cf7","1","13","252746","https://p.scdn.co/mp3-preview/7674508c1c15cb2a27323eba7c6ef99256a58300?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USBB40580817","spotify:user:h860yo7llu45grqygsccqwgj6","2020-05-03T21:58:27Z"
"spotify:track:2KOkex4HO1z1elkiy24ODC","We Ain't Gonna Die Today","spotify:artist:1GAS0rb4L8VTPvizAx2O9J","Atmosphere","spotify:album:7akNJaXoM6TAp0S4CkPrVw","Southsiders (Deluxe Version)","spotify:artist:1GAS0rb4L8VTPvizAx2O9J","Atmosphere","2014-05-05","https://i.scdn.co/image/ab67616d0000b2730391069cb60020679de4b507","1","11","224912","","false","0","USBWK1400010","spotify:user:h860yo7llu45grqygsccqwgj6","2020-05-03T21:01:51Z"
"spotify:track:4luIziPVR28DvKlHUlIjkC","Phone Tap","spotify:artist:2Sk9ARejPHclTzcpuOqj0O","The Firm","spotify:album:6zRFV4YvGoyNnVNX3Gc6W6","Back To The 90's, vol. 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1998-08-12","https://i.scdn.co/image/ab67616d0000b2736f7082c221244ab88b3ba427","1","7","225746","","true","0","FR8GV1830080","spotify:user:h860yo7llu45grqygsccqwgj6","2020-05-03T21:03:08Z"
"spotify:track:5F3hFmk2vavtQ8qzsbty4i","This Is What It Sounds Like (Worldwind)","spotify:artist:2yN6bq26wynQcRuPkBYTDb","Black Moon","spotify:album:4SXH4XkESpGKuLAlNpPyKO","War Zone Revisited","spotify:artist:2yN6bq26wynQcRuPkBYTDb","Black Moon","2005-11-15","https://i.scdn.co/image/ab67616d0000b273801ce9b05b2dcb5f09ee466b","1","4","279666","https://p.scdn.co/mp3-preview/88b5514bac51cb06d613b0a76f4566e5a26df305?cid=9950ac751e34487dbbe027c4fd7f8e99","true","21","US6YF0900150","spotify:user:h860yo7llu45grqygsccqwgj6","2020-05-03T21:04:56Z"
"spotify:track:0aDPNOG0RKT9NxNe5gT6Oa","Still Want U","spotify:artist:28j8lBWDdDSHSSt5oPlsX2, spotify:artist:4APHks5GcW1GrlfnSvL5O3","ZHU, Karnaval Blues","spotify:album:1Cw2ULAWbEnGz9301uL9BL","RINGOS DESERT","spotify:artist:28j8lBWDdDSHSSt5oPlsX2","ZHU","2018-09-07","https://i.scdn.co/image/ab67616d0000b27377077d99bb417d23d2f58afa","1","2","213025","https://p.scdn.co/mp3-preview/b145c806382420218d8e26b3e818c98ea5394849?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","USYBL1800670","spotify:user:h860yo7llu45grqygsccqwgj6","2020-05-03T21:07:01Z"
"spotify:track:0Ed7MeXx64f6OcIuoTRCg1","Xxplosive","spotify:artist:6DPYiyq5kWVQS4RGwxzPC7, spotify:artist:3np2OYRZAgI4e6lxeGmGr8, spotify:artist:4xko5t5site4jVwopoCF21, spotify:artist:1Oa0bMld0A3u5OTYfMzp5h, spotify:artist:6NyJIFHAePjHR1pFxwisqz","Dr. Dre, Hittman, Six-Two, Nate Dogg, Kurupt","spotify:album:7q2B4M5EiBkqrlsNW8lB7N","2001","spotify:artist:6DPYiyq5kWVQS4RGwxzPC7","Dr. Dre","1999-11-16","https://i.scdn.co/image/ab67616d0000b2739b19c107109de740bad72df5","1","6","215200","","true","74","USIR19915073","spotify:user:h860yo7llu45grqygsccqwgj6","2020-05-03T21:30:13Z"
"spotify:track:7KP8ydBNwzR5OIV9KWoLQc","DÉJALO","spotify:artist:0pkwrPVI8UyXtPkavyJoZ4","A.CHAL","spotify:album:5ZtMkLhHN120GaikwTTKWq","DÉJALO","spotify:artist:0pkwrPVI8UyXtPkavyJoZ4","A.CHAL","2018-11-30","https://i.scdn.co/image/ab67616d0000b2731af79b520559bec7fa431d12","1","1","199485","https://p.scdn.co/mp3-preview/b9520d2935c34621547864b6c11eb77965d4e52d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","31","USSM11808325","spotify:user:h860yo7llu45grqygsccqwgj6","2020-05-03T21:07:04Z"
"spotify:track:3qX1dqmDdmMvvfMVfsx4Bh","m.A.A.d city","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:4XqfpACObRB5AsBcUYjL8X","Kendrick Lamar, MC Eiht","spotify:album:748dZDqSZy6aPXKcI9H80u","good kid, m.A.A.d city (Deluxe)","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2012-10-22","https://i.scdn.co/image/ab67616d0000b27378de8b28de36a74afc0348b5","1","8","350120","","true","71","USUM71210784","spotify:user:h860yo7llu45grqygsccqwgj6","2020-05-03T21:31:54Z"
"spotify:track:14FwKi5Lh5HRXeo6VNXlaN","Reflex","spotify:artist:0H39MdGGX6dbnnQPt6NQkZ","SAINt JHN","spotify:album:6Pwhmyxs3pY7JetlZibZqr","Collection One","spotify:artist:0H39MdGGX6dbnnQPt6NQkZ","SAINt JHN","2018-03-30","https://i.scdn.co/image/ab67616d0000b273ecc824533b8582ad73e41b92","1","5","241841","","true","0","TCACR1690413","spotify:user:h860yo7llu45grqygsccqwgj6","2020-05-03T21:10:15Z"
