"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4b3D4RLhizHKgf4vymmHUk","Dominos","spotify:artist:4xM0Rz2FbjZevoVLVJUgEQ","The Big Pink","spotify:album:7m1muQIs7j5wteSIr1h29Y","A Brief History Of Love","spotify:artist:4xM0Rz2FbjZevoVLVJUgEQ","The Big Pink","2009-09-13","https://i.scdn.co/image/ab67616d0000b2734c60819969582923d68db532","1","3","226053","","false","0","GBAFL0900085","spotify:user:geekyapar%21","2017-05-29T17:45:46Z"
"spotify:track:0FrDZi1aNvVji9qDiALiJa","She's Hearing Voices","spotify:artist:3MM8mtgFzaEJsqbjZBSsHJ","Bloc Party","spotify:album:6SsIdN05HQg2GwYLfXuzLB","Silent Alarm","spotify:artist:3MM8mtgFzaEJsqbjZBSsHJ","Bloc Party","2005-02-02","https://i.scdn.co/image/ab67616d0000b2734f30162c1af14cd0ce8560bc","1","6","209346","","false","0","GBDNH0400387","spotify:user:geekyapar%21","2017-05-29T17:45:55Z"
"spotify:track:1qfYG2JrchEyJiqKnkE7YQ","What You Know","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:4V1rQRHuuOWs8fXRl16OMY","Tourist History","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-02-07","https://i.scdn.co/image/ab67616d0000b273ed32602d9145d51e00a2df72","1","8","189693","","false","0","FRU700900116","spotify:user:geekyapar%21","2017-05-29T17:46:07Z"
"spotify:track:0RowwSiL7EveqydAUktoCl","Chelsea Dagger","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","spotify:album:5thUwVq71vFqXfzRaHFFvr","Costello Music (Non EU Version)","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","2006-01-01","https://i.scdn.co/image/ab67616d0000b273061c7629156c611796868a07","1","4","215306","","false","0","GBUM70601571","spotify:user:geekyapar%21","2017-05-29T17:46:42Z"
"spotify:track:2VAlwOewe5c40VHyqozF1V","Steady, As She Goes","spotify:artist:4wo1267SJuUfHgasdlfNfc","The Raconteurs","spotify:album:0ftyDJlAoBMmICs2MHvVZR","Broken Boy Soldiers","spotify:artist:4wo1267SJuUfHgasdlfNfc","The Raconteurs","2006-05-15","https://i.scdn.co/image/ab67616d0000b27337e44bf7f7c12c9f1d803984","1","1","215266","","false","0","GBBKS0600001","spotify:user:geekyapar%21","2017-05-29T17:47:17Z"
"spotify:track:086myS9r57YsLbJpU0TgK9","Why'd You Only Call Me When You're High?","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:78bpIziExqiI9qztvNFlQu","AM","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2013-09-09","https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163","1","9","161123","https://p.scdn.co/mp3-preview/be5453a4763510679fab61e39662ab0257458be6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","90","GBCEL1300370","spotify:user:geekyapar%21","2017-05-29T17:50:00Z"
"spotify:track:1PCA097woCMSDvZPUVeRI7","Blue Orchid","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:5dQCkDTTilKZBD8Fhlmxiw","Get Behind Me Satan","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","2005-06-07","https://i.scdn.co/image/ab67616d0000b2732736df44147db1abeb15f656","1","1","158280","","false","0","GBBKS0562545","spotify:user:geekyapar%21","2017-05-29T17:50:51Z"
"spotify:track:697LWfA49GjDHL7utykini","Rebellion (Lies)","spotify:artist:3kjuyTCjPG1WMFCiyc5IuB","Arcade Fire","spotify:album:0530hyl3GtZKWPebWVMZkK","Funeral","spotify:artist:3kjuyTCjPG1WMFCiyc5IuB","Arcade Fire","2005-02-28","https://i.scdn.co/image/ab67616d0000b2734a30282386ba5268a70a4530","1","9","310893","","false","0","USMRG0467009","spotify:user:geekyapar%21","2017-05-29T17:59:42Z"
"spotify:track:51LcPhaclbiR8EAyC76M2L","Don't Wanna Fight","spotify:artist:16GcWuvvybAoaHr0NqT8Eh","Alabama Shakes","spotify:album:03nQNGFi3dIxg6ghNbtVWW","Sound & Color","spotify:artist:16GcWuvvybAoaHr0NqT8Eh","Alabama Shakes","2015-04-20","https://i.scdn.co/image/ab67616d0000b273965f1a626c0d8667af96d7d3","1","2","232530","","false","0","USATO1400851","spotify:user:geekyapar%21","2017-05-29T18:02:06Z"
"spotify:track:3E14pb0zKtI9ugTGzWOOjU","Beverly Hills","spotify:artist:3jOstUTkEu2JkjvRdBA5Gu","Weezer","spotify:album:2FaklyHPw1MkZEkNsCtUh9","Make Believe","spotify:artist:3jOstUTkEu2JkjvRdBA5Gu","Weezer","2005-05-10","https://i.scdn.co/image/ab67616d0000b2732c5d55aeaee55a27704f426d","1","1","196093","","false","0","USIR10500448","spotify:user:geekyapar%21","2017-05-29T18:04:19Z"
"spotify:track:4iu49FeQQGiUh2Dn1A8qCl","Don't Owe You a Thang","spotify:artist:01aC2ikO4Xgb2LUpf9JfKp","Gary Clark Jr.","spotify:album:4KTVPkJdjNjQtP8J6S67sG","The Bright Lights EP","spotify:artist:01aC2ikO4Xgb2LUpf9JfKp","Gary Clark Jr.","2011-08-08","https://i.scdn.co/image/ab67616d0000b27362559ac3f2740c17bcee8a57","1","2","215866","https://p.scdn.co/mp3-preview/9c9a6020ca57fc973e9eec3a36c93caa3430d14a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USWB11102005","spotify:user:geekyapar%21","2017-05-29T18:05:37Z"
"spotify:track:0fpiS75Jie3hkjhM62Tojc","Alabama Coldcock","spotify:artist:0Nrwy16xCPXG8AwkMbcVvo","Black Pistol Fire","spotify:album:5cGfUv172f4PrqUhPlpENu","Hush or Howl","spotify:artist:0Nrwy16xCPXG8AwkMbcVvo","Black Pistol Fire","2014-04-01","https://i.scdn.co/image/ab67616d0000b27330cdb34b6c83d1d5c7a4d5d5","1","1","178140","https://p.scdn.co/mp3-preview/90c8909d0495d43d7186b238393195f5c8d160dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","TCABW1400305","spotify:user:geekyapar%21","2017-05-29T18:07:14Z"
"spotify:track:2AT8iROs4FQueDv2c8q2KE","R U Mine?","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:78bpIziExqiI9qztvNFlQu","AM","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2013-09-09","https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163","1","2","201726","https://p.scdn.co/mp3-preview/d41c9b18f0787cc9b2ccea10740d92dd7e7f639a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","GBCEL1300363","spotify:user:geekyapar%21","2017-05-29T18:10:22Z"
