"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:38qLvs3obCzzePUxYLtAG7","Istanbul (Not Constantinople)","spotify:artist:3stlWzoChlEtbdZAz6CNC3","The Four Lads","spotify:album:0PHOqv81FzFx8PSVqEa0NE","16 Most Requested Songs","spotify:artist:3stlWzoChlEtbdZAz6CNC3","The Four Lads","1953","https://i.scdn.co/image/ab67616d0000b2731ec7bbe2cb842457a3fc1b2f","1","10","139933","https://p.scdn.co/mp3-preview/7b2f9fcf0476b30d1ef7d91b1574c3514d6b0eec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USSM10023580","spotify:user:11131043127","2018-12-12T13:36:03Z"
"spotify:track:0UsdtLayy7SqJ4rUsDMRk8","Perhaps, Perhaps, Perhaps","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","spotify:album:6Ltxm93iOwkB1rw6nBdLNS","With A Smile And A Song","spotify:artist:3ESG6pj6a0LvUKklENalT6","Doris Day","1948","https://i.scdn.co/image/ab67616d0000b2739cc0c56419ef681b78d8977e","2","14","151706","https://p.scdn.co/mp3-preview/b5517f578873bc3dd16907791af9fd4ec620e77f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USSM16400981","spotify:user:11131043127","2019-04-01T13:51:29Z"
"spotify:track:4FmiciU3ZmfgABlbCSXcWw","La vie en rose","spotify:artist:1WPcVNert9hn7mHsPKDn7j","Édith Piaf","spotify:album:7l3ydaHRFTcEGM0D9rlfqS","de l'accordeoniste a milord","spotify:artist:1WPcVNert9hn7mHsPKDn7j","Édith Piaf","1986","https://i.scdn.co/image/ab67616d0000b273956e46e66798e6d0d92e5985","1","3","186973","https://p.scdn.co/mp3-preview/07662686690e3139aae114115e19c0607556d2b6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","FRZ114700100","spotify:user:11131043127","2018-12-12T13:38:27Z"
"spotify:track:6DaE48egpIqB7qTgUHxSG8","Brother, Can You Spare a Dime? (with Lenny Hayton & His Orchestra)","spotify:artist:6ZjFtWeHP9XN7FeKSUe80S, spotify:artist:0StdR40slU9ybqS5X6HvaQ","Bing Crosby, Lenny Hayton & His Orchestra","spotify:album:2uCRW9oSvol2jAh8yvL5Cv","The Essential Bing Crosby (The Columbia Years)","spotify:artist:6ZjFtWeHP9XN7FeKSUe80S","Bing Crosby","1932","https://i.scdn.co/image/ab67616d0000b2735e799620c379dd942507dfd3","1","7","192640","https://p.scdn.co/mp3-preview/7c9c6dc1df6cc50e244e5490358fb97af5f2d343?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","USSM13200046","spotify:user:11131043127","2018-12-12T13:40:49Z"
"spotify:track:7aJiZwE3PKpWXS1JNNMU1q","Gunfight at O.K. Corral (with Jimmy Carroll & His Orchestra)","spotify:artist:3cgO5CdhEHKMxldjZlP5ix, spotify:artist:0HYMElkfKefKVxKjel9KgC","Frankie Laine, Jimmy Carroll & His Orchestra","spotify:album:2iKc2szRNAvEvtfQM5vySt","The Essential Frankie Laine","spotify:artist:3cgO5CdhEHKMxldjZlP5ix","Frankie Laine","2014-04-18","https://i.scdn.co/image/ab67616d0000b273cc00ff4b3dd9c20d39ed07f2","2","10","137133","https://p.scdn.co/mp3-preview/1e546a7d4d049fdf9b67f1f9b60c073106c9a7f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","USSM11400262","spotify:user:11131043127","2018-12-12T13:17:01Z"
"spotify:track:0DrD6LrQzaObJaJHlCDfiW","Johnny Guitar","spotify:artist:602DnpaSXJB4b9DZrvxbDc","Peggy Lee","spotify:album:6t9xUdzSvcogPLDiqiOxEd","The Fabulous Peggy Lee","spotify:artist:602DnpaSXJB4b9DZrvxbDc","Peggy Lee","1963-06-11","https://i.scdn.co/image/ab67616d0000b273be7540433908a5239254e181","1","10","181200","","false","50","USMC15407583","spotify:user:11131043127","2018-12-12T13:48:04Z"
"spotify:track:4f43ILqlJEihi0x1p7Up2s","Singin' In The Rain","spotify:artist:1mhlGWeiNrWnhJJc2EufYk, spotify:artist:0tnczSMT5uBnSHkNVMkeou","Gene Kelly, Lennie Hayton & His Orchestra","spotify:album:1AriJ3BowYwyQSS5uNPOXS","Vintage Music No. 94 - LP: Gene Kelly","spotify:artist:1mhlGWeiNrWnhJJc2EufYk","Gene Kelly","2010-05-08","https://i.scdn.co/image/ab67616d0000b2735b82c8535e05e17cceaa053e","1","2","168097","","false","0","USA371081637","spotify:user:11131043127","2018-12-12T13:51:13Z"
"spotify:track:1qCQTy0fTXerET4x8VHyr9","What A Wonderful World","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","spotify:album:19UoBHanqMth4tk0rFw5RJ","What A Wonderful World","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","1968","https://i.scdn.co/image/ab67616d0000b273601c5174eb7d0073bb79764f","1","1","137520","","false","11","USMC16758823","spotify:user:11131043127","2018-12-12T13:53:50Z"
"spotify:track:5hbNSo9Ckl7ku8664sn0Jj","Fly Me To The Moon (In Other Words)","spotify:artist:3qUMmh5biaB5hqpF4LqS3m","Julie London","spotify:album:5auWOjG5DsSccVLD9qqjd0","The End Of The World","spotify:artist:3qUMmh5biaB5hqpF4LqS3m","Julie London","1963","https://i.scdn.co/image/ab67616d0000b273ba90acf82b9d6bbef8200c58","1","6","159106","","false","56","USEM39700123","spotify:user:11131043127","2018-12-12T13:59:38Z"
"spotify:track:5PTiZNhdidMaRZOjSI2xks","That's Amore - Remastered","spotify:artist:49e4v89VmlDcFCMyDv9wQ9","Dean Martin","spotify:album:5uQ2ZPFRPrOVDXBdXUtx8z","The Very Best Of Dean Martin","spotify:artist:49e4v89VmlDcFCMyDv9wQ9","Dean Martin","1995-01-01","https://i.scdn.co/image/ab67616d0000b2734159e79061e5e84b47bb68e6","1","1","187506","","false","52","USCA28900077","spotify:user:11131043127","2018-12-12T14:04:04Z"
"spotify:track:0HxoQJ1N7Tl3bHZvQnvhMq","Strangers In The Night - 1999 Remaster","spotify:artist:5NX29TmuYrENlpvz6IgYMJ","Wayne Newton","spotify:album:3j4XAaR4R76qM08Mfme7hG","Wild, Cool & Swingin'","spotify:artist:5NX29TmuYrENlpvz6IgYMJ","Wayne Newton","1999-01-01","https://i.scdn.co/image/ab67616d0000b273e76ff3e2c0251e8a73fc6b56","1","14","165133","","false","36","USCA29900138","spotify:user:11131043127","2018-12-12T14:05:11Z"
"spotify:track:0zRtBDhwtIFTfoK2HuURbM","Raindrops Keep Fallin' On My Head","spotify:artist:0uUNzXylqsZdmFDwdxaP1V","B.J. Thomas","spotify:album:7lU97qE3TN6fmF2f6ncoel","Raindrops Keep Fallin' On My Head","spotify:artist:0uUNzXylqsZdmFDwdxaP1V","B.J. Thomas","2005","https://i.scdn.co/image/ab67616d0000b273bbceff1d2d9e2d16dc9e298d","1","2","184493","","false","0","USACU0501964","spotify:user:11131043127","2019-01-03T06:10:56Z"
"spotify:track:2v8B8d17Xxu9uLU5sNiHSL","Delilah","spotify:artist:1T0wRBO0CK0vK8ouUMqEl5","Tom Jones","spotify:album:0CMD71ge42KYLaPZVor3bp","Delilah","spotify:artist:1T0wRBO0CK0vK8ouUMqEl5","Tom Jones","1968-01-01","https://i.scdn.co/image/ab67616d0000b273cc5d0760583f354dfd061d5f","1","1","204160","","false","65","GBF076820060","spotify:user:11131043127","2018-12-19T10:41:07Z"
"spotify:track:6ZsKRsnPsdZvXfqqE6bTPy","The Lady is a Tramp","spotify:artist:2lolQgalUvZDfp5vvVtTYV, spotify:artist:1HY2Jd0NmPuamShAr6KMms","Tony Bennett, Lady Gaga","spotify:album:5ktAYFq8wJ1hcWHaxl6AQf","Duets II","spotify:artist:2lolQgalUvZDfp5vvVtTYV","Tony Bennett","2011-09-20","https://i.scdn.co/image/ab67616d0000b273796c0744b04db30174704d24","1","1","198240","https://p.scdn.co/mp3-preview/8270f20f196a891196088ea95d38e721ae67efbb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USSM11104410","spotify:user:11131043127","2019-04-01T13:53:14Z"
"spotify:track:1AM8QdDFZMq6SrrqUnuQ9P","Feeling Good","spotify:artist:1GxkXlMwML1oSg5eLPiAz3","Michael Bublé","spotify:album:1f9vWKabhNPNQnHLleExSh","It's Time","spotify:artist:1GxkXlMwML1oSg5eLPiAz3","Michael Bublé","2005-02-08","https://i.scdn.co/image/ab67616d0000b273c6ad2b2b62b581a23a7c1759","1","1","237333","https://p.scdn.co/mp3-preview/08eb4b4d6a7f769140c2bf10351994a3dfc3b85e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USRE10401889","spotify:user:11131043127","2018-12-12T13:49:48Z"
