"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4CNI0d2PFkhVxAljz1S96z","Night of the Long Knives","spotify:artist:1HOeqtP7tHkKNJNLzQ2tnr","Everything Everything","spotify:album:3HgJKevoR2WowpaGSbT37z","A Fever Dream","spotify:artist:1HOeqtP7tHkKNJNLzQ2tnr","Everything Everything","2017-08-18","https://i.scdn.co/image/ab67616d0000b2731caa47664d543d1581521b6a","1","1","279226","https://p.scdn.co/mp3-preview/1fd736af1564528568201b9da1c4ba7382d45abe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","GBARL1700693","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:57:50Z"
"spotify:track:499nKB8nH9NdGlCkxW1dvO","Can't Do","spotify:artist:1HOeqtP7tHkKNJNLzQ2tnr","Everything Everything","spotify:album:3HgJKevoR2WowpaGSbT37z","A Fever Dream","spotify:artist:1HOeqtP7tHkKNJNLzQ2tnr","Everything Everything","2017-08-18","https://i.scdn.co/image/ab67616d0000b2731caa47664d543d1581521b6a","1","2","212066","https://p.scdn.co/mp3-preview/2d43a1a43790ff94396505fdc4b8042079029305?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","GBARL1700574","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:57:50Z"
"spotify:track:3WE4LS3Kag7thMS4yPLOxj","Desire","spotify:artist:1HOeqtP7tHkKNJNLzQ2tnr","Everything Everything","spotify:album:3HgJKevoR2WowpaGSbT37z","A Fever Dream","spotify:artist:1HOeqtP7tHkKNJNLzQ2tnr","Everything Everything","2017-08-18","https://i.scdn.co/image/ab67616d0000b2731caa47664d543d1581521b6a","1","3","205813","https://p.scdn.co/mp3-preview/431b4d7a787c977453167d02fc34ac46990d56b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","GBARL1700687","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:57:50Z"
"spotify:track:6JB1nrWc7hW5alxNOyvuG2","Big Game","spotify:artist:1HOeqtP7tHkKNJNLzQ2tnr","Everything Everything","spotify:album:3HgJKevoR2WowpaGSbT37z","A Fever Dream","spotify:artist:1HOeqtP7tHkKNJNLzQ2tnr","Everything Everything","2017-08-18","https://i.scdn.co/image/ab67616d0000b2731caa47664d543d1581521b6a","1","4","228000","https://p.scdn.co/mp3-preview/bbca7072823c2246ba55c78edf8a4097c76e06d5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","GBARL1700876","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:57:50Z"
"spotify:track:4FlMzWJ4TtOhYdiYD2l5ex","Good Shot, Good Soldier","spotify:artist:1HOeqtP7tHkKNJNLzQ2tnr","Everything Everything","spotify:album:3HgJKevoR2WowpaGSbT37z","A Fever Dream","spotify:artist:1HOeqtP7tHkKNJNLzQ2tnr","Everything Everything","2017-08-18","https://i.scdn.co/image/ab67616d0000b2731caa47664d543d1581521b6a","1","5","290826","https://p.scdn.co/mp3-preview/470c796126deba0b19b28088dac4ac71a04c9ec3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GBARL1700690","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:57:50Z"
"spotify:track:4u58myxbCSM73XAI9iuV7p","Run the Numbers","spotify:artist:1HOeqtP7tHkKNJNLzQ2tnr","Everything Everything","spotify:album:3HgJKevoR2WowpaGSbT37z","A Fever Dream","spotify:artist:1HOeqtP7tHkKNJNLzQ2tnr","Everything Everything","2017-08-18","https://i.scdn.co/image/ab67616d0000b2731caa47664d543d1581521b6a","1","6","218880","https://p.scdn.co/mp3-preview/4794793bef8c569cdbb6b7990263c177fb888caf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","GBARL1700689","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:57:50Z"
"spotify:track:5EMorUsuOmYSWwmCPfSJQ6","Put Me Together","spotify:artist:1HOeqtP7tHkKNJNLzQ2tnr","Everything Everything","spotify:album:3HgJKevoR2WowpaGSbT37z","A Fever Dream","spotify:artist:1HOeqtP7tHkKNJNLzQ2tnr","Everything Everything","2017-08-18","https://i.scdn.co/image/ab67616d0000b2731caa47664d543d1581521b6a","1","7","332960","https://p.scdn.co/mp3-preview/be8ab20e384db114c7c3f39715bf68fffde0c84a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","GBARL1700686","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:57:50Z"
"spotify:track:6GcPnXbkPm2OFC60hdD1Gh","A Fever Dream","spotify:artist:1HOeqtP7tHkKNJNLzQ2tnr","Everything Everything","spotify:album:3HgJKevoR2WowpaGSbT37z","A Fever Dream","spotify:artist:1HOeqtP7tHkKNJNLzQ2tnr","Everything Everything","2017-08-18","https://i.scdn.co/image/ab67616d0000b2731caa47664d543d1581521b6a","1","8","359213","https://p.scdn.co/mp3-preview/79f58e15c095cd09125c550e681fa86a6f8c46fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","GBARL1700688","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:57:50Z"
"spotify:track:6ZcfaNjfj5PwTU2pQLuvZS","Ivory Tower","spotify:artist:1HOeqtP7tHkKNJNLzQ2tnr","Everything Everything","spotify:album:3HgJKevoR2WowpaGSbT37z","A Fever Dream","spotify:artist:1HOeqtP7tHkKNJNLzQ2tnr","Everything Everything","2017-08-18","https://i.scdn.co/image/ab67616d0000b2731caa47664d543d1581521b6a","1","9","233760","https://p.scdn.co/mp3-preview/a8549f49a10515874b8c5a979be65249d1c86089?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","GBARL1700691","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:57:50Z"
"spotify:track:63bKXCZZW82MrJFTc0ymyZ","New Deep","spotify:artist:1HOeqtP7tHkKNJNLzQ2tnr","Everything Everything","spotify:album:3HgJKevoR2WowpaGSbT37z","A Fever Dream","spotify:artist:1HOeqtP7tHkKNJNLzQ2tnr","Everything Everything","2017-08-18","https://i.scdn.co/image/ab67616d0000b2731caa47664d543d1581521b6a","1","10","146866","https://p.scdn.co/mp3-preview/4b658d0d5390c4af2a303fe4b74c7924e43f4713?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","GBARL1700878","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:57:50Z"
