"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6Vy3xx9rO5dozgVxDynxh3","Birch Leaves I","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","spotify:album:6xFzcg8gQ0DPskI1xb5YPj","A Hand Full of Days (Vol. III)","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","2009-10-10","https://i.scdn.co/image/ab67616d0000b273c3b1e118c1736535687b6ed2","1","1","129173","https://p.scdn.co/mp3-preview/0ab28dc178880e0345ddaf4ba6cf5493d757dd5e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","QZ22B1859961","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-03T12:01:56Z"
"spotify:track:0uXyZpI7TWiMdd96GYzaqy","Feet of Clay","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","spotify:album:6xFzcg8gQ0DPskI1xb5YPj","A Hand Full of Days (Vol. III)","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","2009-10-10","https://i.scdn.co/image/ab67616d0000b273c3b1e118c1736535687b6ed2","1","2","211493","https://p.scdn.co/mp3-preview/d7b956081598bb4fd25761b69090c3683eccdefa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","QZ22B1859962","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-03T12:01:56Z"
"spotify:track:135hxmNbYUXCVS1qsF3HBR","Empty Corner of the Page","spotify:artist:7ChCUR65UlsW0rOeW8WWd1, spotify:artist:1s84hw3nM6dYHyiMGaH38w","Birch Book, Pascal Humbert","spotify:album:6xFzcg8gQ0DPskI1xb5YPj","A Hand Full of Days (Vol. III)","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","2009-10-10","https://i.scdn.co/image/ab67616d0000b273c3b1e118c1736535687b6ed2","1","3","343746","https://p.scdn.co/mp3-preview/fbe169b10c5709c57a10e6e2f30ac3d6cfd5ed9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","QZ22B1859963","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-03T12:01:56Z"
"spotify:track:1vN4hsBVC7wywQwR55W5rR","Left Hand","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","spotify:album:6xFzcg8gQ0DPskI1xb5YPj","A Hand Full of Days (Vol. III)","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","2009-10-10","https://i.scdn.co/image/ab67616d0000b273c3b1e118c1736535687b6ed2","1","4","217413","https://p.scdn.co/mp3-preview/efb732976d4b1da78d20bf2a62255e5cb735a1e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","QZ22B1859964","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-03T12:01:56Z"
"spotify:track:1UllRw8RUhVbeyaWcBXJTo","Patchwork Woman","spotify:artist:7ChCUR65UlsW0rOeW8WWd1, spotify:artist:6S0xdCxbyeZhAl87iBbSCt","Birch Book, Ron Walker","spotify:album:6xFzcg8gQ0DPskI1xb5YPj","A Hand Full of Days (Vol. III)","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","2009-10-10","https://i.scdn.co/image/ab67616d0000b273c3b1e118c1736535687b6ed2","1","5","317760","https://p.scdn.co/mp3-preview/ee90942eb3bfc8bb3873d9745e041882dcafed07?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","QZ22B1859965","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-03T12:01:56Z"
"spotify:track:23WmfW1S1ilJGp2MHtYf5h","Stray Summer Song","spotify:artist:7ChCUR65UlsW0rOeW8WWd1, spotify:artist:1s84hw3nM6dYHyiMGaH38w","Birch Book, Pascal Humbert","spotify:album:6xFzcg8gQ0DPskI1xb5YPj","A Hand Full of Days (Vol. III)","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","2009-10-10","https://i.scdn.co/image/ab67616d0000b273c3b1e118c1736535687b6ed2","1","6","389893","https://p.scdn.co/mp3-preview/da18715949ed07924782b501439dfac5a5874b46?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","QZ22B1859966","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-03T12:01:56Z"
"spotify:track:3CZ49jIS79eki4azkYDtO2","Hatched in Stone","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","spotify:album:6xFzcg8gQ0DPskI1xb5YPj","A Hand Full of Days (Vol. III)","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","2009-10-10","https://i.scdn.co/image/ab67616d0000b273c3b1e118c1736535687b6ed2","1","7","418413","https://p.scdn.co/mp3-preview/962a329e8beab382af3e66f2454e3bfa14c336f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","QZ22B1859967","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-03T12:01:56Z"
"spotify:track:1Zy5NgUZnKeEyhItqmsL6v","Sad Song","spotify:artist:7ChCUR65UlsW0rOeW8WWd1, spotify:artist:6S0xdCxbyeZhAl87iBbSCt","Birch Book, Ron Walker","spotify:album:6xFzcg8gQ0DPskI1xb5YPj","A Hand Full of Days (Vol. III)","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","2009-10-10","https://i.scdn.co/image/ab67616d0000b273c3b1e118c1736535687b6ed2","1","8","220680","https://p.scdn.co/mp3-preview/97dd91087bb0e53bc7c960e80d12e1b2abcca941?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","QZ22B1859968","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-03T12:01:56Z"
"spotify:track:6byDJZWCmPyfmxEMR2Q8Lf","Nothing More","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","spotify:album:6xFzcg8gQ0DPskI1xb5YPj","A Hand Full of Days (Vol. III)","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","2009-10-10","https://i.scdn.co/image/ab67616d0000b273c3b1e118c1736535687b6ed2","1","9","204480","https://p.scdn.co/mp3-preview/719807dbcc4e741695e59a2f2057b5310812b5d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","QZ22B1859969","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-03T12:01:56Z"
"spotify:track:30TrcSx9BifcF3KPyp3Jze","White Angel","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","spotify:album:6xFzcg8gQ0DPskI1xb5YPj","A Hand Full of Days (Vol. III)","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","2009-10-10","https://i.scdn.co/image/ab67616d0000b273c3b1e118c1736535687b6ed2","1","10","293573","https://p.scdn.co/mp3-preview/8ac44dd98dc203bc0e3bcc6bea3cc4e0fb2157ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","QZ22B1859970","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-03T12:01:56Z"
