"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5CxmVqlHdGA2EzV8pp9iSF","Put Your Dreams Away (For Another Day)","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","spotify:album:6lmuhQkwg4qkjytuho7Oxz","A Man And His Music","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","1965-12","https://i.scdn.co/image/ab67616d0000b2732da5c7f20a33bf0d4d048ae3","1","1","190666","","false","18","USRH10800893","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-23T05:21:01Z"
"spotify:track:4YLpyQjFBl0nOkavbRMHyS","All Or Nothing","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","spotify:album:6lmuhQkwg4qkjytuho7Oxz","A Man And His Music","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","1965-12","https://i.scdn.co/image/ab67616d0000b2732da5c7f20a33bf0d4d048ae3","1","2","265440","","false","17","USRH10800894","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-23T05:21:01Z"
"spotify:track:4ftSosll8M9P6ZxpFKw9Tp","I'll Never Smile Again","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","spotify:album:6lmuhQkwg4qkjytuho7Oxz","A Man And His Music","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","1965-12","https://i.scdn.co/image/ab67616d0000b2732da5c7f20a33bf0d4d048ae3","1","3","168360","","false","20","USRH10800895","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-23T05:21:01Z"
"spotify:track:22xFeCBM8vq8jQUwtRQBii","There Are Such Things","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","spotify:album:6lmuhQkwg4qkjytuho7Oxz","A Man And His Music","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","1965-12","https://i.scdn.co/image/ab67616d0000b2732da5c7f20a33bf0d4d048ae3","1","4","176706","","false","15","USRH10800896","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-23T05:21:01Z"
"spotify:track:4hgpvnCHER5RWeag5MgptS","I'll Be Seeing You","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","spotify:album:6lmuhQkwg4qkjytuho7Oxz","A Man And His Music","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","1965-12","https://i.scdn.co/image/ab67616d0000b2732da5c7f20a33bf0d4d048ae3","1","5","185093","","false","17","USRH10800897","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-23T05:21:01Z"
"spotify:track:0iVZu8F0547VdiSXezybkf","The One I Love (Belongs To Somebody Else)","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","spotify:album:6lmuhQkwg4qkjytuho7Oxz","A Man And His Music","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","1965-12","https://i.scdn.co/image/ab67616d0000b2732da5c7f20a33bf0d4d048ae3","1","6","200400","","false","16","USRH10800898","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-23T05:21:01Z"
"spotify:track:7dgDSpZklpv0fWYh5WZaUa","Polka Dots And Moonbeams","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","spotify:album:6lmuhQkwg4qkjytuho7Oxz","A Man And His Music","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","1965-12","https://i.scdn.co/image/ab67616d0000b2732da5c7f20a33bf0d4d048ae3","1","7","272133","","false","17","USRH10800899","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-23T05:21:01Z"
"spotify:track:43JRSOoBBX6uTfoU52QeaO","Night And Day","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","spotify:album:6lmuhQkwg4qkjytuho7Oxz","A Man And His Music","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","1965-12","https://i.scdn.co/image/ab67616d0000b2732da5c7f20a33bf0d4d048ae3","1","8","264973","","false","16","USRH10800900","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-23T05:21:01Z"
"spotify:track:5wPW7AexLa1cGaq6D8GdRJ","Oh! What It Seemed To Be","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","spotify:album:6lmuhQkwg4qkjytuho7Oxz","A Man And His Music","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","1965-12","https://i.scdn.co/image/ab67616d0000b2732da5c7f20a33bf0d4d048ae3","1","9","148493","","false","13","USRH10800901","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-23T05:21:01Z"
"spotify:track:1InLgdb5gX5FC7iC5zkI4Q","Soliloquy","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","spotify:album:6lmuhQkwg4qkjytuho7Oxz","A Man And His Music","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","1965-12","https://i.scdn.co/image/ab67616d0000b2732da5c7f20a33bf0d4d048ae3","1","10","484173","","false","15","USRH10800902","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-23T05:21:01Z"
"spotify:track:7uUHnjAN3DjSfnlngXcC53","Nancy (With The Laughing Face)","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","spotify:album:6lmuhQkwg4qkjytuho7Oxz","A Man And His Music","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","1965-12","https://i.scdn.co/image/ab67616d0000b2732da5c7f20a33bf0d4d048ae3","1","11","269360","","false","16","USRH10800903","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-23T05:21:01Z"
