"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3OVJVc72FUx9bie7RETbeL","Quiet Moon","spotify:artist:5rVfB0qJZvp4BPaHmb3lHA","Colossal Trailer Music","spotify:album:1Lzy0rwIQta0JHJ0jF72Jc","Submersive","spotify:artist:5rVfB0qJZvp4BPaHmb3lHA","Colossal Trailer Music","2015-12-06","https://i.scdn.co/image/ab67616d0000b27319223010c6dc59f1256c9b83","1","3","108250","https://p.scdn.co/mp3-preview/baf784d42bb799856d615ede3d852c2efad9fa05?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USHM91462689","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-18T11:50:36Z"
"spotify:track:3m8SFaxh4py58XffmhPSDS","Nordavindens Klagesang","spotify:artist:4R5FNY5clRc9Fukue1WzRB","Vàli","spotify:album:1jDGHYqPJv2YnColtdUE6x","Skogslandskap","spotify:artist:4R5FNY5clRc9Fukue1WzRB","Vàli","2013-08-30","https://i.scdn.co/image/ab67616d0000b2732625f6eae4f132a916959aed","1","1","177680","","false","0","DES561393701","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-18T11:53:20Z"
"spotify:track:493p02EmIa0C93GchYyF6x","Leaves of Yggdrasil","spotify:artist:3544ImlskUwZqWJTmqWUsa","Myrkur","spotify:album:1aRhu0xtlPbAb1X8us0uOD","Folkesange","spotify:artist:3544ImlskUwZqWJTmqWUsa","Myrkur","2020-03-20","https://i.scdn.co/image/ab67616d0000b27351f849b894f8928b7c6a3c9c","1","3","240337","https://p.scdn.co/mp3-preview/421a65e1d0ce948d0a7729663b50308498812e73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","US2641942603","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-18T11:55:41Z"
"spotify:track:2reP1SrOvXsViM6eeLqZmA","House Carpenter","spotify:artist:3544ImlskUwZqWJTmqWUsa","Myrkur","spotify:album:1aRhu0xtlPbAb1X8us0uOD","Folkesange","spotify:artist:3544ImlskUwZqWJTmqWUsa","Myrkur","2020-03-20","https://i.scdn.co/image/ab67616d0000b27351f849b894f8928b7c6a3c9c","1","9","218111","https://p.scdn.co/mp3-preview/4c8e8501360a101ad6cf62db184e3537ec350609?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","US2641942609","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-18T11:59:42Z"
"spotify:track:2ovD5JwItQasZDVBJgarfK","Herr Mannelig","spotify:artist:7ED7dE68y0YZGpyXcuiRsI","Garmarna","spotify:album:6B6OuHLGUMUhxXuXQqko97","Guds Spelemän","spotify:artist:7ED7dE68y0YZGpyXcuiRsI","Garmarna","1996-02-14","https://i.scdn.co/image/ab67616d0000b273415a64151436828591a968f2","1","1","382426","","false","19","SELIA9601010","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-18T13:15:06Z"
"spotify:track:31d1vAuT8ZysEzH2nHxWN4","Moonlit Missive #30: 'Tenrils of the Vine'","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","spotify:album:6bAAIJUhUOOp68pu8dYl2X","Moonlit Missive #30: 'Tenrils of the Vine'","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","2020-06-05","https://i.scdn.co/image/ab67616d0000b2735dd847a3f1ba3dd88b799b92","1","1","244749","","false","10","UKTUY2023052","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-18T13:21:11Z"
"spotify:track:36YqkrGKhZNbffrST2DlpV","The Wind that Cracks the Leaves","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","spotify:album:6SnNsZ6BbhvZ5k6WdscgJO","Hazel Steps through a Weathered Home","spotify:artist:1E7fIaRST7jAGkfK0O8SoM","In Gowan Ring","2002-09-17","https://i.scdn.co/image/ab67616d0000b2739ae7cb53c582c92ec1272437","1","7","384520","https://p.scdn.co/mp3-preview/00deda4ee344777d513914e73636ecf86e60c38d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","QZ22B1859993","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-18T13:21:18Z"
"spotify:track:4LDXnOCkx6f7jo23c1zFaV","Prophecy","spotify:artist:6qDQ6rJG5TOT7PppxBKhqI","Adrian Von Ziegler","spotify:album:4bc12QynMKKIcmnu4Q2sJr","The Celtic Collection","spotify:artist:6qDQ6rJG5TOT7PppxBKhqI","Adrian Von Ziegler","2012-12-12","https://i.scdn.co/image/ab67616d0000b273b6c9ec7de7ea3cb6fd5e302b","1","10","334800","https://p.scdn.co/mp3-preview/e10ba885200a07f469d229fd111fc9c7d93e4d76?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","usx9p1245742","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-18T14:29:42Z"
"spotify:track:1uZAPahrOYVwuVlmUcDV4O","Walking Roots","spotify:artist:5wtcfpKrb4no7xivzYRfXG","Hexperos","spotify:album:6kodLoT48lndP9jyvlfP6l","The Garden of the Hesperides","spotify:artist:5wtcfpKrb4no7xivzYRfXG","Hexperos","2016-04-01","https://i.scdn.co/image/ab67616d0000b273da99aa6c9654616cd452f1ec","1","1","98223","https://p.scdn.co/mp3-preview/3849b704fc1b866c833b7d700cbb19935cf0a431?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","TCADN1824396","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-19T23:19:59Z"
"spotify:track:55hlELnVdpCtQDBa5qc15j","Gathering Wildflowers","spotify:artist:5qJoiS3XGfOTRhpXZEraRX","Novemthree","spotify:album:5kVgCUnY8kgUvMW7zWXt3z","Meandering in Streams of Reflection","spotify:artist:5qJoiS3XGfOTRhpXZEraRX","Novemthree","2009-02-03","https://i.scdn.co/image/ab67616d0000b2738293e05a96ed2e3c0f2cbf9d","1","4","102999","https://p.scdn.co/mp3-preview/2f13cdc047c16ea458f578d7b096608c3bf2266d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","QZ4JJ1712314","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-19T23:29:19Z"
"spotify:track:5JkAaHkkxjyytLvEtY9o25","In the Forest","spotify:artist:3Rqjq9sDEbaEiVPg0eqy8p","Beautiful Death","spotify:album:0wuH8OVkdMWpKNNx5SlYnc","In the Forest","spotify:artist:3Rqjq9sDEbaEiVPg0eqy8p","Beautiful Death","2020-10-14","https://i.scdn.co/image/ab67616d0000b273d7ae64efe25e79c9f833b270","1","1","103143","https://p.scdn.co/mp3-preview/97d0586a5aa3feb9f55495503abc1e88be971e2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","QZMEP2011821","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-19T23:45:47Z"
"spotify:track:6zWqdMuQAOywk4igNjgDLb","Fjörgyn","spotify:artist:0xzTfHbo1gs0SIKVe2qsHh","Osi And The Jupiter","spotify:album:64fNA8e4UyRpOFXpJcCGaG","Nordlige Rúnaskog","spotify:artist:0xzTfHbo1gs0SIKVe2qsHh","Osi And The Jupiter","2019-11-29","https://i.scdn.co/image/ab67616d0000b27310e49eeb071fa0c858dd70b3","1","1","360045","","false","3","USA2P1956496","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-08-20T00:39:10Z"
"spotify:track:30TrcSx9BifcF3KPyp3Jze","White Angel","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","spotify:album:6xFzcg8gQ0DPskI1xb5YPj","A Hand Full of Days (Vol. III)","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","2009-10-10","https://i.scdn.co/image/ab67616d0000b273c3b1e118c1736535687b6ed2","1","10","293573","https://p.scdn.co/mp3-preview/8ac44dd98dc203bc0e3bcc6bea3cc4e0fb2157ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","QZ22B1859970","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-13T20:25:36Z"
"spotify:track:099zYpevPVNEG1CchEFfYG","Helvegen","spotify:artist:2N0vFuOoMtAQfBmhsRo24e","Kalandra","spotify:album:5mvzHQjFbB8ot7hvGAmGjJ","Helvegen","spotify:artist:2N0vFuOoMtAQfBmhsRo24e","Kalandra","2020-03-06","https://i.scdn.co/image/ab67616d0000b2733197ec4fd4ceb24e61d981de","1","1","412372","https://p.scdn.co/mp3-preview/8bbc032aafed8f624110afa6cffc4c1002330af1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","NO1942017010","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-15T00:20:10Z"
"spotify:track:2d5PG08IFKFdVo2MSXghdq","Bonden og Kragen","spotify:artist:3544ImlskUwZqWJTmqWUsa","Myrkur","spotify:album:29oRwbrqREDhBqQrHKZWSf","Bonden og Kragen","spotify:artist:3544ImlskUwZqWJTmqWUsa","Myrkur","2018-12-05","https://i.scdn.co/image/ab67616d0000b273443e7506a8f5ffd6446c356f","1","1","153187","https://p.scdn.co/mp3-preview/e07f3978013147513b906431e059f1d3cb647793?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","US2641802102","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-15T00:26:05Z"
"spotify:track:4NFSfmkUGtLSlbMdDVBsIh","Medianoite","spotify:artist:31B0gbLzmTRdprWvyq5S2y, spotify:artist:5JQDIWChn3FDTEznnc15q9","Sangre de Muerdago, Pablo C. Ursusson","spotify:album:2UZHZ3TFkl8nBorc7Ri4dD","Noite","spotify:artist:31B0gbLzmTRdprWvyq5S2y, spotify:artist:5JQDIWChn3FDTEznnc15q9","Sangre de Muerdago, Pablo C. Ursusson","2018-01-31","https://i.scdn.co/image/ab67616d0000b27303e50ab3c76f03bb73a0fb4a","1","1","207018","https://p.scdn.co/mp3-preview/bc1c6eeb1dce16e3ce12533de9b53ba6de69fedb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","ES5301968778","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-15T01:28:21Z"
"spotify:track:4HvaDMiA6niRLnuC4uQFGe","María Soliña","spotify:artist:31B0gbLzmTRdprWvyq5S2y, spotify:artist:5JQDIWChn3FDTEznnc15q9","Sangre de Muerdago, Pablo C. Ursusson","spotify:album:01pyFiVfjAxi28LDNofJWG","Xuntas","spotify:artist:31B0gbLzmTRdprWvyq5S2y, spotify:artist:5JQDIWChn3FDTEznnc15q9","Sangre de Muerdago, Pablo C. Ursusson","2020-11-06","https://i.scdn.co/image/ab67616d0000b2737b0ff575ba1299224488a171","1","6","127240","https://p.scdn.co/mp3-preview/a314fa3b6592b8b5920d2cdaef9b1168044579ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","ES09S2000272","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-15T01:28:24Z"
"spotify:track:1vWtTis3VRkkUp8qST4jY5","Dance For Me Wallis","spotify:artist:5RGAUCWFZyymaMSAZJeice","Abel Korzeniowski","spotify:album:0ILxbrvGwBj3jyhQjhzrP7","W.E. - Music From The Motion Picture","spotify:artist:5RGAUCWFZyymaMSAZJeice","Abel Korzeniowski","2012-01-01","https://i.scdn.co/image/ab67616d0000b273b96aa371fa634f635ab2a2d4","1","11","188346","","false","60","USUM71200032","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-09-24T00:24:13Z"
"spotify:track:4hTU2IWMbGpvYp0Rpdpw1j","Lilium (From ''Elfen Lied'')","spotify:artist:3a14nCsT2szuTW5dmBhijO, spotify:artist:60XczetinfUd9eONuLdU2V","Grissini Project, Kayo Konishi\, Yukio Kondō","spotify:album:5lcu9lZJmkQwTrLqZ5EfTh","Lilium (From ''Elfen Lied'')","spotify:artist:3a14nCsT2szuTW5dmBhijO","Grissini Project","2016-05-16","https://i.scdn.co/image/ab67616d0000b27319cc37685d64f9b975844197","1","1","246170","","false","0","USE831565518","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-22T15:59:41Z"
