"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3n4hIowPgzSjaGDgi4XgEd","Smoke a Blunt With You","spotify:artist:4Icvbp9RDt5aY2TWDOVDsr, spotify:artist:7hJcb9fa4alzcOq3EaNPoG","Afroman, Snoop Dogg","spotify:album:3NFUrU10Yj1Zmp3bM8BBJk","Cold Fro T 5 Vol. II","spotify:artist:4Icvbp9RDt5aY2TWDOVDsr","Afroman","2020-09-22","https://i.scdn.co/image/ab67616d0000b2737438bdd6db67a85eb3d9f54e","1","2","211069","","true","0","QZANL1735929","spotify:user:11100324499","2022-01-04T17:42:32Z"
"spotify:track:0qGrIWPP6U0g1bJYsT46SB","If You Wanna Drink With Us","spotify:artist:4Icvbp9RDt5aY2TWDOVDsr, spotify:artist:0DYgdSe9XquqNvfIiBBsBF","Afroman, Daddy V","spotify:album:3NFUrU10Yj1Zmp3bM8BBJk","Cold Fro T 5 Vol. II","spotify:artist:4Icvbp9RDt5aY2TWDOVDsr","Afroman","2020-09-22","https://i.scdn.co/image/ab67616d0000b2737438bdd6db67a85eb3d9f54e","1","5","228257","","true","0","QZANL1735932","spotify:user:11100324499","2022-01-04T17:43:54Z"
"spotify:track:31KLHMMpLZnphYokXlzVEF","I Feel Like Fucc'n You Up","spotify:artist:4Icvbp9RDt5aY2TWDOVDsr","Afroman","spotify:album:66R4fXYxkxl3h2WrOKeuBQ","Happily Divorced","spotify:artist:4Icvbp9RDt5aY2TWDOVDsr","Afroman","2020-09-27","https://i.scdn.co/image/ab67616d0000b273935f310ee489b4d93159dd5f","1","2","273397","","true","0","QZK6M2072612","spotify:user:11100324499","2022-01-04T17:44:05Z"
"spotify:track:15MCda09ZCtYEIYcOy7qAX","Bitch What the Fucc Is Going On?","spotify:artist:4Icvbp9RDt5aY2TWDOVDsr","Afroman","spotify:album:66R4fXYxkxl3h2WrOKeuBQ","Happily Divorced","spotify:artist:4Icvbp9RDt5aY2TWDOVDsr","Afroman","2020-09-27","https://i.scdn.co/image/ab67616d0000b273935f310ee489b4d93159dd5f","1","7","183193","","true","0","QZK6F2052255","spotify:user:11100324499","2022-01-04T17:44:16Z"
"spotify:track:2aqsdv2anLiU64yAD7sP1c","Cold Fro-T-5","spotify:artist:4Icvbp9RDt5aY2TWDOVDsr","Afroman","spotify:album:59WSCJh9LQCffwyK4LqIhV","Cold Fro T 5, Vol. 1","spotify:artist:4Icvbp9RDt5aY2TWDOVDsr","Afroman","2020-08-31","https://i.scdn.co/image/ab67616d0000b2739312c2067802a0a32e1e2003","1","2","407651","","true","0","QZANL1735917","spotify:user:11100324499","2022-01-04T17:44:27Z"
"spotify:track:0VbCdGA3pD2WtpmWl6nbvc","Let's All Smoke Some Weed","spotify:artist:4Icvbp9RDt5aY2TWDOVDsr, spotify:artist:0DYgdSe9XquqNvfIiBBsBF","Afroman, Daddy V","spotify:album:59WSCJh9LQCffwyK4LqIhV","Cold Fro T 5, Vol. 1","spotify:artist:4Icvbp9RDt5aY2TWDOVDsr","Afroman","2020-08-31","https://i.scdn.co/image/ab67616d0000b2739312c2067802a0a32e1e2003","1","11","238000","","true","0","QZANL1735926","spotify:user:11100324499","2022-01-04T17:44:33Z"
"spotify:track:0vTE3BXbBa7BBlWJP0nQ21","Pimpin' Pennsylvania","spotify:artist:4Icvbp9RDt5aY2TWDOVDsr","Afroman","spotify:album:1UwVT3uvVeWsfAeLXlWzXU","Cross Country Pimpin'","spotify:artist:4Icvbp9RDt5aY2TWDOVDsr","Afroman","2020-08-18","https://i.scdn.co/image/ab67616d0000b2733ba1a8d8724e1389cffd8751","1","3","292101","","true","0","QZK6M2077743","spotify:user:11100324499","2022-01-04T17:44:47Z"
"spotify:track:5xxnc6iYVqgArAwmVA7ZzX","Palmdale","spotify:artist:4Icvbp9RDt5aY2TWDOVDsr","Afroman","spotify:album:0GWqlDLxcvfb7jnVidIroW","Sell Your Dope (OG Re-Release)","spotify:artist:4Icvbp9RDt5aY2TWDOVDsr","Afroman","2020-08-17","https://i.scdn.co/image/ab67616d0000b273602d187da252c9ad142481de","1","2","400169","","true","0","QZK6M2061523","spotify:user:11100324499","2022-01-04T17:45:03Z"
"spotify:track:4QpyeEuNx81htT3u5uzt33","God Has Smiled on Me","spotify:artist:4Icvbp9RDt5aY2TWDOVDsr","Afroman","spotify:album:0GWqlDLxcvfb7jnVidIroW","Sell Your Dope (OG Re-Release)","spotify:artist:4Icvbp9RDt5aY2TWDOVDsr","Afroman","2020-08-17","https://i.scdn.co/image/ab67616d0000b273602d187da252c9ad142481de","1","12","360228","","true","0","QZK6M2061532","spotify:user:11100324499","2022-01-04T17:45:27Z"
"spotify:track:545TtVTHAxCKnjj5dvIzvo","Brother's Gonna Work It Out","spotify:artist:4Icvbp9RDt5aY2TWDOVDsr","Afroman","spotify:album:4RFsCvnzF0UvU4yZxm7mgX","The N-Word","spotify:artist:4Icvbp9RDt5aY2TWDOVDsr","Afroman","2015-03-17","https://i.scdn.co/image/ab67616d0000b27354da70fb90ebceadf7340f3b","1","6","350720","https://p.scdn.co/mp3-preview/dd3a7493633f659579d7ac5da10027df9fe0a35d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","5","UST8K1551436","spotify:user:11100324499","2022-01-04T17:46:18Z"
