"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0I794wn3wgcvruEUsfztnl","Frank's Choice","spotify:artist:75fIuwXxhZ1atNzWLMrgF0","Tyler Bates","spotify:album:4z7w3IoSFgysP7iNpDgUqu","The Punisher (Original Soundtrack)","spotify:artist:75fIuwXxhZ1atNzWLMrgF0","Tyler Bates","2017-11-17","https://i.scdn.co/image/ab67616d0000b273eda820ae76cd4af1f787eab6","1","18","216920","","false","53","USHR11738236","spotify:user:11100324499","2021-07-23T21:00:03Z"
"spotify:track:1ffhRcMHiQpvtCWJLYkPkE","Outsider No More","spotify:artist:27VhXJzIph9c75cBh1e8XM","P.T. Adamczyk","spotify:album:1B2QrHbMox8vPXUY7rXAFp","Cyberpunk 2077 - Original Score","spotify:artist:07vycW8ICLf5hKb22PFWXw, spotify:artist:27VhXJzIph9c75cBh1e8XM, spotify:artist:0360rTDeUjEyBXaz2Ki00a","Marcin Przybyłowicz, P.T. Adamczyk, Paul Leonard-Morgan","2020-12-11","https://i.scdn.co/image/ab67616d0000b273ca593ba6b61b7a164ae408b9","1","5","230306","https://p.scdn.co/mp3-preview/2d552c3869ef2cf3fc734a39f25fcc615b04fdcd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","PLI362015004","spotify:user:11100324499","2021-07-23T21:02:33Z"
"spotify:track:6LroHKWXb442P5bUI0tALu","Lust & Giants","spotify:artist:6qRRd4NpTdiSbIYaPw6IgB, spotify:artist:0lzSrFGE3CoEg8dtn1PS6i","Kings & Creatures, Aeph","spotify:album:06kWvWUnVlQTpAcoSKxsZA","Genera","spotify:artist:6qRRd4NpTdiSbIYaPw6IgB, spotify:artist:0lzSrFGE3CoEg8dtn1PS6i","Kings & Creatures, Aeph","2020-01-25","https://i.scdn.co/image/ab67616d0000b2739c73ad73371fb9a7bb967939","1","1","144325","","false","0","US43C1613504","spotify:user:11100324499","2021-07-23T21:03:12Z"
"spotify:track:7mSmt2yar5VUXZNBV4AnpE","Make This Right","spotify:artist:5zExRf0VQCl3GO4Jrj8r0s","The Toxic Avenger","spotify:album:1NCt4W6d8fNGkBQAjXDVrA","Furi (Original Game Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-07-05","https://i.scdn.co/image/ab67616d0000b2739ab84cdf4fa3f991708f7001","1","9","348235","https://p.scdn.co/mp3-preview/14758d8f0584b0d16b15b8593a2558941487efa8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","FR9W11612096","spotify:user:11100324499","2021-07-23T21:03:30Z"
"spotify:track:3fJeJZlQVMCKZUw0BbPkSq","American Venom","spotify:artist:6VYtpsmVgSqOFf3ttfqnVX","Woody Jackson","spotify:album:2Gbv0Wjtwn9zQYMvWtTHnK","The Music of Red Dead Redemption 2 (Original Score)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2019-08-09","https://i.scdn.co/image/ab67616d0000b2733dae5c9cf336a67a5b490608","1","21","172893","https://p.scdn.co/mp3-preview/f9614f5b42856d69acd00b5df05cb20bb1b056b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USLS51945821","spotify:user:11100324499","2021-07-23T21:03:51Z"
"spotify:track:1HM3k9oiGCQwNqG8kP35bt","My Eyes","spotify:artist:6nFvVbL2RN5czSm7NZjE51","The Anix","spotify:album:0o0QcBLeAhIGGwURLTDsEr","My Eyes","spotify:artist:6nFvVbL2RN5czSm7NZjE51","The Anix","2021-03-04","https://i.scdn.co/image/ab67616d0000b2731a7c90c7eace71a8a5b6f51d","1","1","315150","","false","0","QM5LC2100035","spotify:user:11100324499","2021-07-23T21:04:34Z"
"spotify:track:2CaoAtgLUm2BarIiZrQslN","You're Not Here","spotify:artist:6f7UIM59MQy6y0bJmQcRNe","Akira Yamaoka","spotify:album:7mUy29OoRRIqmm3XsBrdoV","SILENT HILL3 (Original Soundtrack)","spotify:artist:6f7UIM59MQy6y0bJmQcRNe","Akira Yamaoka","2003-07-16","https://i.scdn.co/image/ab67616d0000b273832b77dc1cfccecad346457f","1","2","225960","https://p.scdn.co/mp3-preview/8ccc0f60f0d52578e0c321996ecee7af4e381982?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","JPM200300034","spotify:user:11100324499","2021-07-23T21:05:26Z"
"spotify:track:0RUJQ1mAfE4Tgyj7CAw6V9","Dark Tide (feat. Megan McDuffee)","spotify:artist:27qG899eLldfpYtPr3S3NJ, spotify:artist:4n34M10wtYMrhh5tNsKwnn","Scandroid, Megan McDuffee","spotify:album:0kHC4dtVrEVtNuacqIzbRM","The Darkness and The Light (Deluxe Edition)","spotify:artist:27qG899eLldfpYtPr3S3NJ","Scandroid","2020","https://i.scdn.co/image/ab67616d0000b2735ff818c3c1751fdaa0546fcb","1","18","218672","https://p.scdn.co/mp3-preview/4ce3c5a50b63c43efda52644157beb95d4017384?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","QM5LC2000462","spotify:user:11100324499","2021-07-23T21:09:41Z"
"spotify:track:3vL3jAuprjb1czzFDWLVQk","Delete Soul","spotify:artist:65sChHf6etCvSFdXn8NPUO, spotify:artist:3kwoPkICT4iPkNjr6mL13N","ALEX, TOKYO ROSE","spotify:album:4vxFLFsnqm2UhNcMuF8QjP","Akuma","spotify:artist:65sChHf6etCvSFdXn8NPUO, spotify:artist:3kwoPkICT4iPkNjr6mL13N","ALEX, TOKYO ROSE","2017-06-23","https://i.scdn.co/image/ab67616d0000b273ab207dc3ce294935766dc776","1","12","182114","","false","0","TCADC1725190","spotify:user:11100324499","2021-07-23T21:10:13Z"
"spotify:track:5n7s2D42TwBGJ0qnanDAt3","A Phantom Pain","spotify:artist:2nrb04b45LG5tjuHHzK5lc","Ludvig Forssell","spotify:album:3XnG6qQYsUjHvxPNLooQTT","METAL GEAR SOLID Ⅴ ORIGINAL SOUNDTRACK SELECTION","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2015-09-02","https://i.scdn.co/image/ab67616d0000b273d4c887105fd19e502001b13b","2","24","239266","https://p.scdn.co/mp3-preview/3e0a26608295a32832389a0345031c5b8ac21279?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","JPM201500664","spotify:user:11100324499","2021-07-23T21:16:19Z"
"spotify:track:4pYuPkr13zQbrrDChQrfQs","BODY/PRISON","spotify:artist:6FfjnGXMhxSsJTuGLWBDth, spotify:artist:244uLu9lkdw39BJwlul3k8","HEALTH, Perturbator","spotify:album:6HodZ9bCtPbrWSqMlIEuvK","DISCO4 :: PART I","spotify:artist:6FfjnGXMhxSsJTuGLWBDth","HEALTH","2020-10-16","https://i.scdn.co/image/ab67616d0000b273aad730647e5a249a0792bc72","1","2","164253","","false","53","USC4R1802505","spotify:user:11100324499","2021-07-23T21:17:35Z"
