"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4odoLyHnSx2jIcXs16IvsV","Jesus Forgive Me, I Am A Thot","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:5ilsl5R2lGACTnPZMKIp7o","All My Heroes Are Cornballs","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2019-09-13","https://i.scdn.co/image/ab67616d0000b273c0f5083c53e881de8dec3d70","1","1","156533","","true","53","QZD5H1800100","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-31T11:07:57Z"
"spotify:track:24qzFziOb1rODxJONB9E9a","Kenan Vs. Kel","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:5ilsl5R2lGACTnPZMKIp7o","All My Heroes Are Cornballs","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2019-09-13","https://i.scdn.co/image/ab67616d0000b273c0f5083c53e881de8dec3d70","1","2","181113","","true","47","QZD5H1800102","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-31T11:07:57Z"
"spotify:track:7JMVhsR4cggN4Rvq0NQVOX","Beta Male Strategies","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:5ilsl5R2lGACTnPZMKIp7o","All My Heroes Are Cornballs","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2019-09-13","https://i.scdn.co/image/ab67616d0000b273c0f5083c53e881de8dec3d70","1","3","198008","","true","48","QZD5H1800103","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-31T11:07:57Z"
"spotify:track:0GNNFgqWRqhQ8Cng9nEXpY","JPEGMAFIA TYPE BEAT","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:5ilsl5R2lGACTnPZMKIp7o","All My Heroes Are Cornballs","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2019-09-13","https://i.scdn.co/image/ab67616d0000b273c0f5083c53e881de8dec3d70","1","4","54929","","true","44","QZD5H1800104","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-31T11:07:57Z"
"spotify:track:4Jvi9baIVaECALwpyNGVIF","Grimy Waifu","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:5ilsl5R2lGACTnPZMKIp7o","All My Heroes Are Cornballs","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2019-09-13","https://i.scdn.co/image/ab67616d0000b273c0f5083c53e881de8dec3d70","1","5","175201","","true","47","QZD5H1800105","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-31T11:07:57Z"
"spotify:track:2UpinCflz9pX3Dxi79mGOC","PTSD","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:5ilsl5R2lGACTnPZMKIp7o","All My Heroes Are Cornballs","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2019-09-13","https://i.scdn.co/image/ab67616d0000b273c0f5083c53e881de8dec3d70","1","6","148396","","true","44","QZD5H1800106","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-31T11:07:57Z"
"spotify:track:67YUnh5xggUfdudoN9gkcC","Rap Grow Old & Die x No Child Left Behind","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:5ilsl5R2lGACTnPZMKIp7o","All My Heroes Are Cornballs","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2019-09-13","https://i.scdn.co/image/ab67616d0000b273c0f5083c53e881de8dec3d70","1","7","167572","","true","43","QZD5H1800107","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-31T11:07:57Z"
"spotify:track:4TfauqAajgNMANTOBu70zJ","All My Heroes Are Cornballs","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:5ilsl5R2lGACTnPZMKIp7o","All My Heroes Are Cornballs","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2019-09-13","https://i.scdn.co/image/ab67616d0000b273c0f5083c53e881de8dec3d70","1","8","203804","","true","45","QZD5H1800108","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-31T11:07:57Z"
"spotify:track:30y5xCtLMDruFoAdZXsPD8","BBW","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:5ilsl5R2lGACTnPZMKIp7o","All My Heroes Are Cornballs","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2019-09-13","https://i.scdn.co/image/ab67616d0000b273c0f5083c53e881de8dec3d70","1","9","96081","","true","47","QZD5H1800109","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-31T11:07:57Z"
"spotify:track:4tEnmpjs9sfhFdhtfwb5oZ","PRONE!","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:5ilsl5R2lGACTnPZMKIp7o","All My Heroes Are Cornballs","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2019-09-13","https://i.scdn.co/image/ab67616d0000b273c0f5083c53e881de8dec3d70","1","10","162000","","true","42","QZD5H1800110","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-31T11:07:57Z"
"spotify:track:2VeRBKA7Aoz79qo2MrTLcC","Lifes Hard, Here's A Song About Sorrel","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:5ilsl5R2lGACTnPZMKIp7o","All My Heroes Are Cornballs","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2019-09-13","https://i.scdn.co/image/ab67616d0000b273c0f5083c53e881de8dec3d70","1","11","61625","","true","38","QZD5H1800111","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-31T11:07:57Z"
"spotify:track:5XOsO5eO4rCE0zdpa8HwgU","Thot Tactics","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:5ilsl5R2lGACTnPZMKIp7o","All My Heroes Are Cornballs","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2019-09-13","https://i.scdn.co/image/ab67616d0000b273c0f5083c53e881de8dec3d70","1","12","170360","","true","48","QZD5H1800112","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-31T11:07:57Z"
"spotify:track:5r7OKhOQl2vM8SZnCXSQk1","Free The Frail","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO, spotify:artist:0BJeP79i5wKgCqsEEiQ7G0","JPEGMAFIA, Helena Deland","spotify:album:5ilsl5R2lGACTnPZMKIp7o","All My Heroes Are Cornballs","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2019-09-13","https://i.scdn.co/image/ab67616d0000b273c0f5083c53e881de8dec3d70","1","13","210569","","true","55","QZD5H1800113","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-31T11:07:57Z"
"spotify:track:63xRnilN9zZJxlXgdkuS8u","Post Verified Lifestyle","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:5ilsl5R2lGACTnPZMKIp7o","All My Heroes Are Cornballs","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2019-09-13","https://i.scdn.co/image/ab67616d0000b273c0f5083c53e881de8dec3d70","1","14","215470","","true","44","QZD5H1800114","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-31T11:07:57Z"
"spotify:track:2XEdf7cprB6FSURwzFdxMp","BasicBitchTearGas","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:5ilsl5R2lGACTnPZMKIp7o","All My Heroes Are Cornballs","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2019-09-13","https://i.scdn.co/image/ab67616d0000b273c0f5083c53e881de8dec3d70","1","15","75969","","true","41","QZD5H1800115","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-31T11:07:57Z"
"spotify:track:6cvMj4aI5W6wVXUWkDbAIA","DOTS FREESTYLE REMIX","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO, spotify:artist:0cz2DZrX5wGn1XUdIPKYYQ, spotify:artist:1sCfVwDw9jhng9PUMNcqlo","JPEGMAFIA, Buzzy Lee, Abdu Ali","spotify:album:5ilsl5R2lGACTnPZMKIp7o","All My Heroes Are Cornballs","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2019-09-13","https://i.scdn.co/image/ab67616d0000b273c0f5083c53e881de8dec3d70","1","16","127604","","true","43","QZD5H1800116","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-31T11:07:57Z"
"spotify:track:2Go6Kd8Ud2RWRWrPgDCCBR","BUTTERMILK JESUS TYPE BEAT","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:5ilsl5R2lGACTnPZMKIp7o","All My Heroes Are Cornballs","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2019-09-13","https://i.scdn.co/image/ab67616d0000b273c0f5083c53e881de8dec3d70","1","17","69261","","true","39","QZD5H1800117","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-31T11:07:57Z"
"spotify:track:6EIz62zN5Atz9GK0LjWtCC","Papi I Missed U","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:5ilsl5R2lGACTnPZMKIp7o","All My Heroes Are Cornballs","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2019-09-13","https://i.scdn.co/image/ab67616d0000b273c0f5083c53e881de8dec3d70","1","18","242175","","true","42","QZD5H1800118","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-31T11:07:57Z"
