"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0DuagCkRRIggdD2K058KHf","Cut - 1990 Demo","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","spotify:album:2Zj1cFOmfPfykuXLVGXhhe","Wish (30th Anniversary Edition)","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","2022-11-25","https://i.scdn.co/image/ab67616d0000b273b8273202bd59c82a52cf97c6","2","2","213293","","false","53","GBUM72203300","spotify:user:","2023-01-10T13:44:13Z"
"spotify:track:7Bj4wIqRzM6vx278EFYoBh","Child Psychology","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","spotify:album:1PVtgkCZPW8AVll0gKsHDS","England Made Me","spotify:artist:6Hd3xhv1sj3rlojjvGLkGR","Black Box Recorder","1998-07-06","https://i.scdn.co/image/ab67616d0000b27368e8d2ccea9adb0dcdc0e08e","1","6","248266","https://p.scdn.co/mp3-preview/3d23a1db519c9e7b9f27bc46b5235ac4b074f900?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","GBAYE9800156","spotify:user:","2022-09-29T15:49:26Z"
"spotify:track:10nyNJ6zNy2YVYLrcwLccB","No Surprises","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:6dVIqQ8qmQ5GBnJ9shOYGE","OK Computer","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","1997-05-28","https://i.scdn.co/image/ab67616d0000b273c8b444df094279e70d0ed856","1","10","229120","https://p.scdn.co/mp3-preview/969161ef645e3e89a4ee8a0274013dae480a9e2d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","GBAYE9700386","spotify:user:","2022-09-29T15:49:26Z"
"spotify:track:37pKTyMwalomKCZjxTc2QZ","Cherry-coloured Funk","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","spotify:album:5lEphbceIgaK1XxWeSrC9E","Heaven or Las Vegas","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","1990-09-17","https://i.scdn.co/image/ab67616d0000b2735d2fdd1564ccab97e60c656f","1","1","192466","https://p.scdn.co/mp3-preview/46a28e2988f0ea7b6317fe2d2eacaf09519a7f86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBAFL9000062","spotify:user:","2022-09-29T15:49:26Z"
"spotify:track:0fOjUafaAhJV16oRBgCtz7","Ladies and gentlemen we are floating in space","spotify:artist:6DKmuXxXASTF6xaJwcTfjv","Spiritualized","spotify:album:56YzQ0dhmRMDryZsrjdHun","Ladies and gentlemen we are floating in space","spotify:artist:6DKmuXxXASTF6xaJwcTfjv","Spiritualized","1997-06-16","https://i.scdn.co/image/ab67616d0000b2734ff03e0f8b9c600b6e48b382","1","1","234053","https://p.scdn.co/mp3-preview/4f8bb958e8da40a2c599f355c923ddae02edf917?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","GBARK9700152","spotify:user:","2022-09-29T15:49:26Z"
"spotify:track:0mpKGswMW2MypC6kryHQmL","Echo's Answer","spotify:artist:0WtTGUjbur1R1cNzBvbsMU","Broadcast","spotify:album:10nM1bEq6nBmY5CvK9gDVI","The Noise Made By People","spotify:artist:0WtTGUjbur1R1cNzBvbsMU","Broadcast","2000-03-20","https://i.scdn.co/image/ab67616d0000b2732a4dd381d59a0b1eb25a5de0","1","5","191893","https://p.scdn.co/mp3-preview/fcaccc16288987f7581b0cf37b05b25d34cb22c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBBPW9900117","spotify:user:","2022-09-29T15:49:26Z"
"spotify:track:2KylN9C0wNbzLgZNTG9oiU","when you sleep","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","spotify:album:3USQKOw0se5pBNEndu82Rb","loveless","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","1991-11-04","https://i.scdn.co/image/ab67616d0000b273db8e38addb58131f77b48377","1","5","251946","https://p.scdn.co/mp3-preview/7e616c988ab95adfed9db7a0cf3fa234aa98e8c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBCEL2000154","spotify:user:","2022-09-29T15:49:26Z"
"spotify:track:0NNgY2gc1TUwBQoVp98Fxw","Venus As A Boy","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","spotify:album:2Fb37JsRMVPASJcl3wwDOa","Debut","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","1993-07-05","https://i.scdn.co/image/ab67616d0000b273768d171a47a3adae90c7c48a","1","3","282560","","false","59","GBBTF9300119","spotify:user:","2022-09-29T15:49:26Z"
"spotify:track:52Bg6oaos7twR7IUtEpqcE","Between The Bars","spotify:artist:2ApaG60P4r0yhBoDCGD8YG","Elliott Smith","spotify:album:5hryhrT7wEdLnZCbJX9F6L","Either/Or","spotify:artist:2ApaG60P4r0yhBoDCGD8YG","Elliott Smith","1997-02-25","https://i.scdn.co/image/ab67616d0000b273ea7ac80765aa4549d18a27b9","1","4","141280","","false","68","USKRS0326904","spotify:user:","2022-09-29T15:49:26Z"
"spotify:track:4WVUtbd7CL38fVdIQVN3fk","Frontier Psychiatrist","spotify:artist:3C8RpaI3Go0yFF9whvKoED","The Avalanches","spotify:album:0CvU96jYCiNP4c9u8dWHoI","Since I Left You","spotify:artist:3C8RpaI3Go0yFF9whvKoED","The Avalanches","2001-04-16","https://i.scdn.co/image/ab67616d0000b27357df27ffa7a6215bf5c78cf6","1","13","287693","https://p.scdn.co/mp3-preview/806ec2ea7d3d455f3b4a1d9b6a404eee59974267?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","AUMPO0000031","spotify:user:","2022-09-29T15:49:26Z"
"spotify:track:33HRECrmuelZxOpid6XTNX","Alison","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:53eHm1f3sFiSzWMaKOl98Z","Souvlaki","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1993","https://i.scdn.co/image/ab67616d0000b273f6e31941d10e4819d290af41","1","1","230986","https://p.scdn.co/mp3-preview/4ae39b2954d3485b077e88071f27ae3cd672be32?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","GBBQY0400035","spotify:user:","2022-09-29T15:49:26Z"
