"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5FVd6KXrgO9B3JPmC8OPst","Do I Wanna Know?","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:78bpIziExqiI9qztvNFlQu","AM","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2013-09-09","https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163","1","1","272394","https://p.scdn.co/mp3-preview/006bc465fe3d1c04dae93a050eca9d402a7322b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","90","GBCEL1300362","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T20:41:08Z"
"spotify:track:2AT8iROs4FQueDv2c8q2KE","R U Mine?","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:78bpIziExqiI9qztvNFlQu","AM","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2013-09-09","https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163","1","2","201726","https://p.scdn.co/mp3-preview/d41c9b18f0787cc9b2ccea10740d92dd7e7f639a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","GBCEL1300363","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T20:41:08Z"
"spotify:track:6wNUBZNWFxdUGof6vkaykE","One For The Road","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:78bpIziExqiI9qztvNFlQu","AM","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2013-09-09","https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163","1","3","206051","https://p.scdn.co/mp3-preview/8ad968049796e1234d20eba15c62de83d188c9f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","GBCEL1300364","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T20:41:08Z"
"spotify:track:7nzsY8vlnKdvGOEE0rjAXZ","Arabella","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:78bpIziExqiI9qztvNFlQu","AM","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2013-09-09","https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163","1","4","207356","https://p.scdn.co/mp3-preview/974bb8b08005bbc3c38a3b1389debf8e51fa1f20?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","GBCEL1300365","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T20:41:08Z"
"spotify:track:1j9rezdE3YeC7yktZXC1em","I Want It All","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:78bpIziExqiI9qztvNFlQu","AM","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2013-09-09","https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163","1","5","185406","https://p.scdn.co/mp3-preview/350cfa8b115df3bf6a843c13635fe741247bb68f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GBCEL1300366","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T20:41:08Z"
"spotify:track:5TTGoX70AFrTvuEtqHK37S","No. 1 Party Anthem","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:78bpIziExqiI9qztvNFlQu","AM","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2013-09-09","https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163","1","6","243131","https://p.scdn.co/mp3-preview/ba38bc9842d486d94889a7803367737dc011db7f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","GBCEL1300367","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T20:41:08Z"
"spotify:track:75n7mraeMycQOl2sDGYaTe","Mad Sounds","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:78bpIziExqiI9qztvNFlQu","AM","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2013-09-09","https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163","1","7","215011","https://p.scdn.co/mp3-preview/439a1d690e8ccf29e67a623da8affa8437cd3305?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBCEL1300368","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T20:41:08Z"
"spotify:track:4atMrAadB7dS8xn9vfk9PQ","Fireside","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:78bpIziExqiI9qztvNFlQu","AM","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2013-09-09","https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163","1","8","181049","https://p.scdn.co/mp3-preview/9d8d30ca185e36269b78f26111074c4f10f3f57a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","GBCEL1300369","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T20:41:08Z"
"spotify:track:086myS9r57YsLbJpU0TgK9","Why'd You Only Call Me When You're High?","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:78bpIziExqiI9qztvNFlQu","AM","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2013-09-09","https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163","1","9","161123","https://p.scdn.co/mp3-preview/be5453a4763510679fab61e39662ab0257458be6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","90","GBCEL1300370","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T20:41:08Z"
"spotify:track:0NdTUS4UiNYCNn5FgVqKQY","Snap Out Of It","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:78bpIziExqiI9qztvNFlQu","AM","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2013-09-09","https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163","1","10","193030","https://p.scdn.co/mp3-preview/f2ab7daa4bbd9ad5889c0dda818c40fe60b66406?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","GBCEL1300371","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T20:41:08Z"
