"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5juBKIr7vbfAUgFpa34DuO","Habibi","spotify:artist:3IWdvItNhmdo282Wwp0CwH","Tamino","spotify:album:5znkKeZluet6ArfR5RplEy","Amir","spotify:artist:3IWdvItNhmdo282Wwp0CwH","Tamino","2018-10-19","https://i.scdn.co/image/ab67616d0000b273ef506280e70e4dbba1c94bc9","1","1","307266","","false","60","GB6TW1800028","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T19:36:26Z"
"spotify:track:1CqjwovM2CptoWWmy6xQdE","Sun May Shine","spotify:artist:3IWdvItNhmdo282Wwp0CwH","Tamino","spotify:album:5znkKeZluet6ArfR5RplEy","Amir","spotify:artist:3IWdvItNhmdo282Wwp0CwH","Tamino","2018-10-19","https://i.scdn.co/image/ab67616d0000b273ef506280e70e4dbba1c94bc9","1","2","248906","","false","48","GB6TW1800050","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T19:36:26Z"
"spotify:track:3McYbdoWDLg4UynlqfAugA","Tummy","spotify:artist:3IWdvItNhmdo282Wwp0CwH","Tamino","spotify:album:5znkKeZluet6ArfR5RplEy","Amir","spotify:artist:3IWdvItNhmdo282Wwp0CwH","Tamino","2018-10-19","https://i.scdn.co/image/ab67616d0000b273ef506280e70e4dbba1c94bc9","1","3","190146","","false","49","GB6TW1800125","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T19:36:26Z"
"spotify:track:6z3hAgCmorPbjaGSz9xRLx","Chambers","spotify:artist:3IWdvItNhmdo282Wwp0CwH","Tamino","spotify:album:5znkKeZluet6ArfR5RplEy","Amir","spotify:artist:3IWdvItNhmdo282Wwp0CwH","Tamino","2018-10-19","https://i.scdn.co/image/ab67616d0000b273ef506280e70e4dbba1c94bc9","1","4","267840","","false","43","GB6TW1800126","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T19:36:26Z"
"spotify:track:0MPTvnXkzxpKTPwIG9Qm5u","So It Goes","spotify:artist:3IWdvItNhmdo282Wwp0CwH","Tamino","spotify:album:5znkKeZluet6ArfR5RplEy","Amir","spotify:artist:3IWdvItNhmdo282Wwp0CwH","Tamino","2018-10-19","https://i.scdn.co/image/ab67616d0000b273ef506280e70e4dbba1c94bc9","1","5","295280","","false","41","GB6TW1800127","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T19:36:26Z"
"spotify:track:62DFvt3IhKq2i8wyigqeFO","Indigo Night","spotify:artist:3IWdvItNhmdo282Wwp0CwH","Tamino","spotify:album:5znkKeZluet6ArfR5RplEy","Amir","spotify:artist:3IWdvItNhmdo282Wwp0CwH","Tamino","2018-10-19","https://i.scdn.co/image/ab67616d0000b273ef506280e70e4dbba1c94bc9","1","6","255493","","false","63","GB6TW1800049","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T19:36:26Z"
"spotify:track:01Y7ntOQnQtfcBYQuAR4Jf","Cigar","spotify:artist:3IWdvItNhmdo282Wwp0CwH","Tamino","spotify:album:5znkKeZluet6ArfR5RplEy","Amir","spotify:artist:3IWdvItNhmdo282Wwp0CwH","Tamino","2018-10-19","https://i.scdn.co/image/ab67616d0000b273ef506280e70e4dbba1c94bc9","1","7","247133","","false","55","GB6TW1800053","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T19:36:26Z"
"spotify:track:5f32woQd5AwVc6iKeSPCcP","Each Time","spotify:artist:3IWdvItNhmdo282Wwp0CwH","Tamino","spotify:album:5znkKeZluet6ArfR5RplEy","Amir","spotify:artist:3IWdvItNhmdo282Wwp0CwH","Tamino","2018-10-19","https://i.scdn.co/image/ab67616d0000b273ef506280e70e4dbba1c94bc9","1","8","311426","","false","40","GB6TW1800128","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T19:36:26Z"
"spotify:track:7tfrW6nUo2YeQGqNZcsfbr","Verses","spotify:artist:3IWdvItNhmdo282Wwp0CwH","Tamino","spotify:album:5znkKeZluet6ArfR5RplEy","Amir","spotify:artist:3IWdvItNhmdo282Wwp0CwH","Tamino","2018-10-19","https://i.scdn.co/image/ab67616d0000b273ef506280e70e4dbba1c94bc9","1","9","188253","","false","42","GB6TW1800129","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T19:36:26Z"
"spotify:track:2wrk1QM72i5hPOEzU6nGMk","w.o.t.h","spotify:artist:3IWdvItNhmdo282Wwp0CwH","Tamino","spotify:album:5znkKeZluet6ArfR5RplEy","Amir","spotify:artist:3IWdvItNhmdo282Wwp0CwH","Tamino","2018-10-19","https://i.scdn.co/image/ab67616d0000b273ef506280e70e4dbba1c94bc9","1","10","235040","","false","41","GB6TW1800131","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T19:36:26Z"
"spotify:track:7mm1KmRATyCQRc9ayFoTU2","Intervals","spotify:artist:3IWdvItNhmdo282Wwp0CwH","Tamino","spotify:album:5znkKeZluet6ArfR5RplEy","Amir","spotify:artist:3IWdvItNhmdo282Wwp0CwH","Tamino","2018-10-19","https://i.scdn.co/image/ab67616d0000b273ef506280e70e4dbba1c94bc9","1","11","218080","","false","43","GB6TW1800130","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T19:36:26Z"
"spotify:track:4tIbyvltn6p8NNzuGOyJUH","Persephone","spotify:artist:3IWdvItNhmdo282Wwp0CwH","Tamino","spotify:album:5znkKeZluet6ArfR5RplEy","Amir","spotify:artist:3IWdvItNhmdo282Wwp0CwH","Tamino","2018-10-19","https://i.scdn.co/image/ab67616d0000b273ef506280e70e4dbba1c94bc9","1","12","305253","","false","56","GB6TW1800132","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T19:36:26Z"
