"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4bxSoFQl2ExbgPLSj24UDH","Adimiz Miskindir Bizim","spotify:artist:6vcAsqIwBdhb4BRZEumnFv","Mazhar Ve Fuat","spotify:album:0FAugj2VEkZGkjhalQgu9Q","Christophe Lemaire And Now-Again Present: Where Are You From?","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-10-18","https://i.scdn.co/image/ab67616d0000b273b6a2f8bab4cdab55274de182","1","7","325320","https://p.scdn.co/mp3-preview/a0ead0bae40fe60e0b26ae17a38ac5f0557462c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","US2S71173007","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-25T21:44:00Z"
"spotify:track:6DJ1zVJeXzpfGjFtELxnNw","Bir Ay Doğar İlk Akşamdan Geceden","spotify:artist:5Q26mEUNtBa8yfc3mVYqsp","Grup Abdal","spotify:album:3BBCSsMPp5OWjgjmDs50pX","Ozanca","spotify:artist:5Q26mEUNtBa8yfc3mVYqsp","Grup Abdal","2013-03-16","https://i.scdn.co/image/ab67616d0000b273c2f0ce63e0c0e6d2a075b95f","1","13","284512","https://p.scdn.co/mp3-preview/8cc3fad481dd202e786c8fcc7380af74bd2fb5d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","TR0331209093","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-25T21:52:19Z"
"spotify:track:6XjJCUi5SRnKLDGUE04GJY","Mutlu Günler","spotify:artist:0ieiygH07boIlZyMtupW4Q","Tülay German","spotify:album:4g4XIHKWD31jv4jF6h85Fa","Burçak Tarlası","spotify:artist:0ieiygH07boIlZyMtupW4Q","Tülay German","2000-05-09","https://i.scdn.co/image/ab67616d0000b2730ad55b3de691748867f9224b","1","16","238426","https://p.scdn.co/mp3-preview/02f86fef0c7b4354908da5ebcd071ac9343081f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","TR0330603028","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-28T12:49:15Z"
"spotify:track:25aVBACddihBzKVWm60Awb","Haberin Var Mı","spotify:artist:6RXvZtTyld421VPmJtLqkL","Fikret Kızılok","spotify:album:6E8oCLz22YyRzB9TiVvlfO","Gün Ola Devran Döne","spotify:artist:6RXvZtTyld421VPmJtLqkL","Fikret Kızılok","1999-05-03","https://i.scdn.co/image/ab67616d0000b273a74cb0d6313e3a594cc12420","1","10","271045","https://p.scdn.co/mp3-preview/6adff9641fe2d8f705091e17060465f73080eb9b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","TR0330602182","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-09T14:01:34Z"
"spotify:track:5AIYp630mJJ1nVMDyjeOxG","Katip Arzuhalim Yaz Yare Böyle / Sivas Ellerinde Sazım Çalınır","spotify:artist:2NGRETzxjeN4b9o3OGY6Yn","Selda Bağcan","spotify:album:4vtDxvIZNgU3yO1RMxGWiU","Türkülerimiz 1","spotify:artist:2NGRETzxjeN4b9o3OGY6Yn","Selda Bağcan","1995-01-01","https://i.scdn.co/image/ab67616d0000b273388a7c70d615d6a13170608b","1","1","176169","https://p.scdn.co/mp3-preview/5dba84602027fdfcd15ba002e9186e312746cce7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","TR7340800135","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-09T14:05:34Z"
"spotify:track:3r5CAbMLZEWFHQJ2OiDsaU","Adaletin Bu mu Dünya","spotify:artist:2NGRETzxjeN4b9o3OGY6Yn","Selda Bağcan","spotify:album:4vtDxvIZNgU3yO1RMxGWiU","Türkülerimiz 1","spotify:artist:2NGRETzxjeN4b9o3OGY6Yn","Selda Bağcan","1995-01-01","https://i.scdn.co/image/ab67616d0000b273388a7c70d615d6a13170608b","1","2","185260","https://p.scdn.co/mp3-preview/423e5f945c8a145250f34bfb1fb11026c73f4215?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","TR7340800136","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-09T14:10:54Z"
"spotify:track:5SPsrGaLZI2yvwUGCjpsUW","Mapushanelere Güneş Doğmuyor","spotify:artist:2NGRETzxjeN4b9o3OGY6Yn","Selda Bağcan","spotify:album:4vtDxvIZNgU3yO1RMxGWiU","Türkülerimiz 1","spotify:artist:2NGRETzxjeN4b9o3OGY6Yn","Selda Bağcan","1995-01-01","https://i.scdn.co/image/ab67616d0000b273388a7c70d615d6a13170608b","1","7","162664","https://p.scdn.co/mp3-preview/35c34bc6bd73288e1a9a0f7fb3a63d19b1c6425b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","TR7340800141","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-09T14:26:07Z"
"spotify:track:7BUpmFlSMGK5COcnhVmsvH","Stil","spotify:artist:3ShO8tPKqXUUpOA0urOWW7, spotify:artist:3SASCp3Mzy7lT50cZn11yr","Acid Arab, Cem Yıldız","spotify:album:3w4Sz24GpcEaQdt0pilOGW","Musique De France","spotify:artist:3ShO8tPKqXUUpOA0urOWW7","Acid Arab","2016-10-07","https://i.scdn.co/image/ab67616d0000b273ac8aa3a4a15abc31f00e1fc0","1","6","425106","https://p.scdn.co/mp3-preview/33c2a0ea5866c2d54f958ddf2a4c84b84a7e0a4e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","BE6F51601160","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T17:21:26Z"
"spotify:track:0ttnBtm593tbSNoe0tsL16","Uskudara","spotify:artist:5Awz1emqsABeXmbv3HMnXS","Françoise Atlan","spotify:album:38iufcaZzwIOIqTwlhvBCg","Romances serfadies : entre la rose et le jasmin (Sephardic Songs)","spotify:artist:5Awz1emqsABeXmbv3HMnXS","Françoise Atlan","2005","https://i.scdn.co/image/ab67616d0000b2734c29704b1775191d5a2905a6","1","15","177360","https://p.scdn.co/mp3-preview/c5d3b3288333b5187175096f43e02ed5d358ed5a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","FR6V80508695","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-14T00:06:28Z"
"spotify:track:2ZNa5opjI2wkH1hl3AHsAy","Aman Minouche","spotify:artist:5Awz1emqsABeXmbv3HMnXS, spotify:artist:6dAPuPXv9PoTVbfWzc4k8k","Françoise Atlan, Moneim Adwan","spotify:album:0I3N3Vnacb7tORHV3PpFba","Nawah","spotify:artist:5Awz1emqsABeXmbv3HMnXS, spotify:artist:6dAPuPXv9PoTVbfWzc4k8k","Françoise Atlan, Moneim Adwan","2003-01-01","https://i.scdn.co/image/ab67616d0000b273b460c73b1d31901d2ae6c802","1","4","441120","https://p.scdn.co/mp3-preview/4d7a32a3601cea0c3fd7197dad3f5e45cd07f310?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","FR6V80502484","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-14T00:23:35Z"
