"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0ameyezi8mF5HdFqBp7DLF","Everyday","spotify:artist:5hAhrnb0Ch4ODwWu4tsbpi","Yo La Tengo","spotify:album:5iVEe1GHMtvUHwwqArThFa","And Then Nothing Turned Itself Inside-Out","spotify:artist:5hAhrnb0Ch4ODwWu4tsbpi","Yo La Tengo","2000-02-22","https://i.scdn.co/image/ab67616d0000b273d2920fdc875eec18c2572256","1","1","391933","https://p.scdn.co/mp3-preview/d77e0065caad80bec933490294fd095789cd642a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USMTD0037101","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-05T11:32:39Z"
"spotify:track:5CSWXnKRzx7vI4S4JFAunl","Our Way to Fall","spotify:artist:5hAhrnb0Ch4ODwWu4tsbpi","Yo La Tengo","spotify:album:5iVEe1GHMtvUHwwqArThFa","And Then Nothing Turned Itself Inside-Out","spotify:artist:5hAhrnb0Ch4ODwWu4tsbpi","Yo La Tengo","2000-02-22","https://i.scdn.co/image/ab67616d0000b273d2920fdc875eec18c2572256","1","2","258426","https://p.scdn.co/mp3-preview/df718b178ebc39e49ee9a9b4932da41541eb4cbc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USMTD0037102","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-05T11:32:39Z"
"spotify:track:6iH5ZpYvHlCjDyw3bxC1Vk","Saturday","spotify:artist:5hAhrnb0Ch4ODwWu4tsbpi","Yo La Tengo","spotify:album:5iVEe1GHMtvUHwwqArThFa","And Then Nothing Turned Itself Inside-Out","spotify:artist:5hAhrnb0Ch4ODwWu4tsbpi","Yo La Tengo","2000-02-22","https://i.scdn.co/image/ab67616d0000b273d2920fdc875eec18c2572256","1","3","258266","https://p.scdn.co/mp3-preview/5f68372e1c640b390fa0aa67603e49858062bebe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USMTD0037103","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-05T11:32:39Z"
"spotify:track:3KBLnOANA7gK5l8A6EFQtK","Let's Save Tony Orlando's House","spotify:artist:5hAhrnb0Ch4ODwWu4tsbpi","Yo La Tengo","spotify:album:5iVEe1GHMtvUHwwqArThFa","And Then Nothing Turned Itself Inside-Out","spotify:artist:5hAhrnb0Ch4ODwWu4tsbpi","Yo La Tengo","2000-02-22","https://i.scdn.co/image/ab67616d0000b273d2920fdc875eec18c2572256","1","4","299333","https://p.scdn.co/mp3-preview/1e3fc9f1096964d832f7f53965dda43fd4aea23b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USMTD0037104","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-05T11:32:39Z"
"spotify:track:1DSUJ2JirCE4JVDyUTHD1b","Last Days of Disco","spotify:artist:5hAhrnb0Ch4ODwWu4tsbpi","Yo La Tengo","spotify:album:5iVEe1GHMtvUHwwqArThFa","And Then Nothing Turned Itself Inside-Out","spotify:artist:5hAhrnb0Ch4ODwWu4tsbpi","Yo La Tengo","2000-02-22","https://i.scdn.co/image/ab67616d0000b273d2920fdc875eec18c2572256","1","5","388066","https://p.scdn.co/mp3-preview/f59217096b934d242e5a8660f58d52e62cf8ad30?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","USMTD0037105","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-05T11:32:39Z"
"spotify:track:5L2E2y9ECQcFkygb8P5MRh","The Crying of Lot G","spotify:artist:5hAhrnb0Ch4ODwWu4tsbpi","Yo La Tengo","spotify:album:5iVEe1GHMtvUHwwqArThFa","And Then Nothing Turned Itself Inside-Out","spotify:artist:5hAhrnb0Ch4ODwWu4tsbpi","Yo La Tengo","2000-02-22","https://i.scdn.co/image/ab67616d0000b273d2920fdc875eec18c2572256","1","6","284933","https://p.scdn.co/mp3-preview/8ec54f6f7e28a5f04c2e20c582b6188ad25bd39e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USMTD0037106","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-05T11:32:39Z"
"spotify:track:5s91S8hSrJXqYdhwHOEioV","You Can Have It All","spotify:artist:5hAhrnb0Ch4ODwWu4tsbpi","Yo La Tengo","spotify:album:5iVEe1GHMtvUHwwqArThFa","And Then Nothing Turned Itself Inside-Out","spotify:artist:5hAhrnb0Ch4ODwWu4tsbpi","Yo La Tengo","2000-02-22","https://i.scdn.co/image/ab67616d0000b273d2920fdc875eec18c2572256","1","7","276640","https://p.scdn.co/mp3-preview/c9e888221e88fe2d91cfec490064166d4b872698?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USMTD0037107","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-05T11:32:39Z"
"spotify:track:5yEnOKSssO2hhQlCTsmEgN","Tears Are in Your Eyes","spotify:artist:5hAhrnb0Ch4ODwWu4tsbpi","Yo La Tengo","spotify:album:5iVEe1GHMtvUHwwqArThFa","And Then Nothing Turned Itself Inside-Out","spotify:artist:5hAhrnb0Ch4ODwWu4tsbpi","Yo La Tengo","2000-02-22","https://i.scdn.co/image/ab67616d0000b273d2920fdc875eec18c2572256","1","8","275160","https://p.scdn.co/mp3-preview/5f441094e2b52575375faa5447b40412a0c168bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USMTD0037108","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-05T11:32:39Z"
"spotify:track:3P0jLktZBjkgvknFnxdJDN","Cherry Chapstick","spotify:artist:5hAhrnb0Ch4ODwWu4tsbpi","Yo La Tengo","spotify:album:5iVEe1GHMtvUHwwqArThFa","And Then Nothing Turned Itself Inside-Out","spotify:artist:5hAhrnb0Ch4ODwWu4tsbpi","Yo La Tengo","2000-02-22","https://i.scdn.co/image/ab67616d0000b273d2920fdc875eec18c2572256","1","9","371706","https://p.scdn.co/mp3-preview/fd86cdefd0af99f438e689664bdc5d1fbca66a15?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USMTD0037109","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-05T11:32:39Z"
"spotify:track:0YOZcGFYKktHunzTvQCYEN","From Black to Blue","spotify:artist:5hAhrnb0Ch4ODwWu4tsbpi","Yo La Tengo","spotify:album:5iVEe1GHMtvUHwwqArThFa","And Then Nothing Turned Itself Inside-Out","spotify:artist:5hAhrnb0Ch4ODwWu4tsbpi","Yo La Tengo","2000-02-22","https://i.scdn.co/image/ab67616d0000b273d2920fdc875eec18c2572256","1","10","287333","https://p.scdn.co/mp3-preview/9e1a6d76d8e13ba485cac247e11300d287a54f9f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USMTD0037110","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-05T11:32:39Z"
