"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4nORmN96KGEL7bhZTk1PNS","Of Seven Things","spotify:artist:5PrExqyv3VYpBBqC44U8EP","Backworld","spotify:album:1y0QCu9W51XlMHfYkGgwVx","Anthems From The Pleasure Park","spotify:artist:5PrExqyv3VYpBBqC44U8EP","Backworld","2008-01-01","https://i.scdn.co/image/ab67616d0000b27357e8ae15b7d287dc6f2970d8","1","1","153080","https://p.scdn.co/mp3-preview/82700e4c29d06a35afcd73002cf9acb2c47b9b7c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","uscgj0830267","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-03T12:21:48Z"
"spotify:track:7kGKnjrkHHI7lLwtIoTs8Q","Leaves Of Autumn","spotify:artist:5PrExqyv3VYpBBqC44U8EP","Backworld","spotify:album:1y0QCu9W51XlMHfYkGgwVx","Anthems From The Pleasure Park","spotify:artist:5PrExqyv3VYpBBqC44U8EP","Backworld","2008-01-01","https://i.scdn.co/image/ab67616d0000b27357e8ae15b7d287dc6f2970d8","1","2","224906","https://p.scdn.co/mp3-preview/41dc21945d425970b2b66eb3f4338db5cb6c75bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","uscgj0830268","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-03T12:21:48Z"
"spotify:track:1gOI3x5uITUOESpeIbeujQ","Pleasure Park","spotify:artist:5PrExqyv3VYpBBqC44U8EP","Backworld","spotify:album:1y0QCu9W51XlMHfYkGgwVx","Anthems From The Pleasure Park","spotify:artist:5PrExqyv3VYpBBqC44U8EP","Backworld","2008-01-01","https://i.scdn.co/image/ab67616d0000b27357e8ae15b7d287dc6f2970d8","1","3","212480","https://p.scdn.co/mp3-preview/fcdbdc4dcd88acc757ca0c7a974fafdb19f16a22?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","uscgj0830269","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-03T12:21:48Z"
"spotify:track:598EEXhoLxNTBYAIyg8pAo","Flowers Of Passion","spotify:artist:5PrExqyv3VYpBBqC44U8EP","Backworld","spotify:album:1y0QCu9W51XlMHfYkGgwVx","Anthems From The Pleasure Park","spotify:artist:5PrExqyv3VYpBBqC44U8EP","Backworld","2008-01-01","https://i.scdn.co/image/ab67616d0000b27357e8ae15b7d287dc6f2970d8","1","4","249573","https://p.scdn.co/mp3-preview/da06b0576eec13e20eb5a6771964f953bab8fbbd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","uscgj0830270","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-03T12:21:48Z"
"spotify:track:1hkzjECG2rLTn6T8PFMZEd","The Devil's Plaything","spotify:artist:5PrExqyv3VYpBBqC44U8EP","Backworld","spotify:album:1y0QCu9W51XlMHfYkGgwVx","Anthems From The Pleasure Park","spotify:artist:5PrExqyv3VYpBBqC44U8EP","Backworld","2008-01-01","https://i.scdn.co/image/ab67616d0000b27357e8ae15b7d287dc6f2970d8","1","5","250360","https://p.scdn.co/mp3-preview/d04cbc662ca40c04ec3cbd73762cb1da21dcfc50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","uscgj0830271","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-03T12:21:48Z"
"spotify:track:6w6TCObSsZnN1JzEg0Vttj","Sirens Of Titan","spotify:artist:5PrExqyv3VYpBBqC44U8EP","Backworld","spotify:album:1y0QCu9W51XlMHfYkGgwVx","Anthems From The Pleasure Park","spotify:artist:5PrExqyv3VYpBBqC44U8EP","Backworld","2008-01-01","https://i.scdn.co/image/ab67616d0000b27357e8ae15b7d287dc6f2970d8","1","6","244533","https://p.scdn.co/mp3-preview/4b1a90b9039d16cb05eb50d64562cb6d49a51599?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","uscgj0830272","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-03T12:21:48Z"
"spotify:track:0qUmQD1uQlCn4qor5gHwep","Destroying Angel","spotify:artist:5PrExqyv3VYpBBqC44U8EP","Backworld","spotify:album:1y0QCu9W51XlMHfYkGgwVx","Anthems From The Pleasure Park","spotify:artist:5PrExqyv3VYpBBqC44U8EP","Backworld","2008-01-01","https://i.scdn.co/image/ab67616d0000b27357e8ae15b7d287dc6f2970d8","1","7","153800","https://p.scdn.co/mp3-preview/5dda048494541407efbbd14f6258665058579fc8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","uscgj0830273","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-03T12:21:48Z"
"spotify:track:44UYpeCe3HqKuHgvzeAja4","Lake Of Ice","spotify:artist:5PrExqyv3VYpBBqC44U8EP","Backworld","spotify:album:1y0QCu9W51XlMHfYkGgwVx","Anthems From The Pleasure Park","spotify:artist:5PrExqyv3VYpBBqC44U8EP","Backworld","2008-01-01","https://i.scdn.co/image/ab67616d0000b27357e8ae15b7d287dc6f2970d8","1","8","199760","https://p.scdn.co/mp3-preview/5283281e997fb8e9d4eefbad5c573fb7c281a217?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","uscgj0830274","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-03T12:21:48Z"
"spotify:track:03ugX91ijbsSicT67LLuIM","After The Fall","spotify:artist:5PrExqyv3VYpBBqC44U8EP","Backworld","spotify:album:1y0QCu9W51XlMHfYkGgwVx","Anthems From The Pleasure Park","spotify:artist:5PrExqyv3VYpBBqC44U8EP","Backworld","2008-01-01","https://i.scdn.co/image/ab67616d0000b27357e8ae15b7d287dc6f2970d8","1","9","254386","https://p.scdn.co/mp3-preview/a95414a939ea415e2ad54872f25070dbbebf5f71?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","uscgj0830275","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-03T12:21:48Z"
"spotify:track:47KKH0PXO9y5dXvVtEmiH4","Magick Is Love","spotify:artist:5PrExqyv3VYpBBqC44U8EP","Backworld","spotify:album:1y0QCu9W51XlMHfYkGgwVx","Anthems From The Pleasure Park","spotify:artist:5PrExqyv3VYpBBqC44U8EP","Backworld","2008-01-01","https://i.scdn.co/image/ab67616d0000b27357e8ae15b7d287dc6f2970d8","1","10","271280","https://p.scdn.co/mp3-preview/75fa7088b4b28a88f031175266725fe15058c443?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","uscgj0830276","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-03T12:21:48Z"
