"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6lKRMylSZMtA7EqPl0pcdI","Are You Satisfied?","spotify:artist:6CwfuxIqcltXDGjfZsMd9A","MARINA","spotify:album:3dWObfa3vKyudzgmh53Xzg","The Family Jewels","spotify:artist:6CwfuxIqcltXDGjfZsMd9A","MARINA","2010-02-15","https://i.scdn.co/image/ab67616d0000b2735e586c9004ed2100d5a20427","1","1","198960","https://p.scdn.co/mp3-preview/69b2686ab7e46ed40fc207b21b02011d53e0d218?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","GBFFS0900114","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-12-21T07:01:07Z"
"spotify:track:32zkKx35Et6A515oZKxDkD","Life Itself","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","spotify:album:6qb9MDR0lfsN9a2pw77uJy","How To Be A Human Being","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","2016-08-26","https://i.scdn.co/image/ab67616d0000b273ec3d15eab5bd77027abc4b23","1","1","281406","","false","66","GB2DY1600018","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-12-27T10:08:35Z"
"spotify:track:6tMdpUXfT70TD6Eh3XfB1p","My Ordinary Life","spotify:artist:0I6yADrmeyvw66g7yjkqIF","The Living Tombstone","spotify:album:4AmFZET7RGujQAhG80kjwu","My Ordinary Life","spotify:artist:0I6yADrmeyvw66g7yjkqIF","The Living Tombstone","2017-11-23","https://i.scdn.co/image/ab67616d0000b273227edcd51b6622cdcbe9f43c","1","1","230893","https://p.scdn.co/mp3-preview/cd35f55502d1354c3600b8ae95310e9fd9f44263?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","QZANL1777908","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-12-27T04:00:30Z"
"spotify:track:4XfI7M5gLwEY84gYiH4RDD","Devil's Advocate","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","spotify:album:4uNgt1uQs6wZRm4giB3shX","Chip Chrome & The Mono-Tones","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","2020-09-25","https://i.scdn.co/image/ab67616d0000b2731a721f3757e5b67f87e1acd3","1","4","186306","https://p.scdn.co/mp3-preview/6b38ab26c40982a81369c0966a5408b2fdc655ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USSM12003781","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2022-01-21T09:36:26Z"
"spotify:track:2mDYYGaGd9uXKkK2YhDA3i","Brooklyn Bridge To Chorus","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","spotify:album:2xkZV2Hl1Omi8rk2D7t5lN","The New Abnormal","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","2020-04-10","https://i.scdn.co/image/ab67616d0000b273bfa99afb5ef0d26d5064b23b","1","3","235946","https://p.scdn.co/mp3-preview/fc60e8fce6d385376e73e393168c8c9fe60a5c4c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USRC11902728","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2022-01-10T06:18:50Z"
"spotify:track:3PXTIwwI5dmlgrY0iYQq4J","Brand New City","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","spotify:album:3Y2DBOg3GKXDlsUvh4htsi","Lush","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","2012-01-31","https://i.scdn.co/image/ab67616d0000b2732eeb705ecc1a0c21cd906c77","1","3","132773","","false","0","uscgh1222958","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-12-19T08:12:32Z"
"spotify:track:1lpxUd0kkSbVbYoUS7hLJJ","Broken Machine","spotify:artist:1kDGbuxWknIKx4FlgWxiSp","Nothing But Thieves","spotify:album:0r7wrRVD77lNrD9t2QgZrq","Broken Machine (Deluxe)","spotify:artist:1kDGbuxWknIKx4FlgWxiSp","Nothing But Thieves","2017-09-08","https://i.scdn.co/image/ab67616d0000b27303598d18d77ffb1c9c250574","1","4","234666","https://p.scdn.co/mp3-preview/45967a9be300c1d300a07fbbeda60d1e07093e67?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","GBARL1700469","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-12-25T09:24:00Z"
"spotify:track:1PrIKjBuTC3FslMCtWUxmJ","Unholy","spotify:artist:458aS6ALc3QkzwfR5USt34","The Wrecks","spotify:album:4cKYUcPZBniJthOcf89r20","Sonder","spotify:artist:458aS6ALc3QkzwfR5USt34","The Wrecks","2022-06-10","https://i.scdn.co/image/ab67616d0000b273e0ad63e68da0e6dfe52e6408","1","5","225518","https://p.scdn.co/mp3-preview/1ed7403b70ebf9e0ad5b71fee54c484e47691c7a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USA2P2214899","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2023-01-20T21:06:26Z"
"spotify:track:5pteD2j5hzE9qeP8BrVT1o","Lilith","spotify:artist:26VFTg2z8YR0cCuwLzESi2","Halsey","spotify:album:3sq0hRtlT2SYeYajr5Cx22","If I Can’t Have Love, I Want Power","spotify:artist:26VFTg2z8YR0cCuwLzESi2","Halsey","2021-08-27","https://i.scdn.co/image/ab67616d0000b2731f9f8d93bf43b569817af0a4","1","4","167240","","true","60","USUM72106125","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-12-25T08:58:09Z"
"spotify:track:3jjsRKEsF42ccXf8kWR3nu","Washing Machine Heart","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","spotify:album:42cH7mrkfljkqkxA2Ip9Xq","Be the Cowboy","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","2018-08-17","https://i.scdn.co/image/ab67616d0000b273c428f67b4a9b7e1114dfc117","1","12","128198","https://p.scdn.co/mp3-preview/041fac0989109cef6031195122ff846cc133691b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USJ5G1815012","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2021-12-21T06:59:59Z"
