"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5loVmc3MmtYGsTw12eDgcU","Elephant Gun","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:26G7PfSLTyLiIcITVl7GAK","Artifacts","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2022-01-28","https://i.scdn.co/image/ab67616d0000b273d34ab0a2566efc1bcab2d090","1","1","345093","https://p.scdn.co/mp3-preview/4ca792ef46d9be8b770eaf94c5de5b12efae7a85?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USCPT0600053","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T07:08:15Z"
"spotify:track:5Gzl7cqUFBjfSb5caYiva4","My Family's Role in the World Revolution","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:26G7PfSLTyLiIcITVl7GAK","Artifacts","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2022-01-28","https://i.scdn.co/image/ab67616d0000b273d34ab0a2566efc1bcab2d090","1","2","127746","https://p.scdn.co/mp3-preview/4801fff02c23915961776882309da21346e1c71b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USCPT0600054","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T07:08:15Z"
"spotify:track:3rI2ZzcGRplylBb2RnxvP1","Scenic World","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:26G7PfSLTyLiIcITVl7GAK","Artifacts","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2022-01-28","https://i.scdn.co/image/ab67616d0000b273d34ab0a2566efc1bcab2d090","1","3","171600","https://p.scdn.co/mp3-preview/d6823d49c95192eb13cbf3b0fdf0f63ab1156c8a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USCPT0600055","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T07:08:15Z"
"spotify:track:0tQI7OznyRtUomzxifUcvo","The Long Island Sound","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:26G7PfSLTyLiIcITVl7GAK","Artifacts","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2022-01-28","https://i.scdn.co/image/ab67616d0000b273d34ab0a2566efc1bcab2d090","1","4","80093","https://p.scdn.co/mp3-preview/3729953f68730f8c4abdf8eb8e7ed50c1890d7cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USCPT0600056","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T07:08:15Z"
"spotify:track:7LlordPfMl4ldQnURvDf2H","Carousels","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:26G7PfSLTyLiIcITVl7GAK","Artifacts","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2022-01-28","https://i.scdn.co/image/ab67616d0000b273d34ab0a2566efc1bcab2d090","1","5","242106","https://p.scdn.co/mp3-preview/6b9550e6db77b5109d9a5175053c58a0cf9bd744?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USCPT0600057","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T07:08:15Z"
"spotify:track:1Jvfw4SDF8At9B14lVqh3q","Transatlantique","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:26G7PfSLTyLiIcITVl7GAK","Artifacts","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2022-01-28","https://i.scdn.co/image/ab67616d0000b273d34ab0a2566efc1bcab2d090","1","6","215373","https://p.scdn.co/mp3-preview/eeb55f6e04e7553aed172e8a1442d07251442ace?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USCPT0700040","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T07:08:15Z"
"spotify:track:00El7e51TYBAxLUHOcvJea","O Leãozinho","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:26G7PfSLTyLiIcITVl7GAK","Artifacts","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2022-01-28","https://i.scdn.co/image/ab67616d0000b273d34ab0a2566efc1bcab2d090","1","7","200360","https://p.scdn.co/mp3-preview/46bbf184d1b9969ae6d28069fc92e749ca862909?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USKO11100498","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T07:08:15Z"
"spotify:track:10CIxxJRH3k2Mvl6Zb52En","Autumn Tall Tales","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:26G7PfSLTyLiIcITVl7GAK","Artifacts","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2022-01-28","https://i.scdn.co/image/ab67616d0000b273d34ab0a2566efc1bcab2d090","1","8","215106","https://p.scdn.co/mp3-preview/225452fe295a349eebad8abd2148883d52729a5f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","QMB622100901","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T07:08:15Z"
"spotify:track:13NiyfKg0aELrTWvgVL7eH","Fyodor Dormant","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:26G7PfSLTyLiIcITVl7GAK","Artifacts","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2022-01-28","https://i.scdn.co/image/ab67616d0000b273d34ab0a2566efc1bcab2d090","1","9","166973","https://p.scdn.co/mp3-preview/47022bf84ba019aca14c9677ff6ff4f807579041?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","QMB622100902","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T07:08:15Z"
"spotify:track:0UmdVlcIxT9cS6ARuVPctX","Poisoning Claude","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:26G7PfSLTyLiIcITVl7GAK","Artifacts","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2022-01-28","https://i.scdn.co/image/ab67616d0000b273d34ab0a2566efc1bcab2d090","1","10","181506","https://p.scdn.co/mp3-preview/6225e9a5634877c341fc585c5b578c5466e7c9c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","QMB622100903","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T07:08:15Z"
"spotify:track:762yCOsRBh7Z1t8hSRXZoL","Bercy","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:26G7PfSLTyLiIcITVl7GAK","Artifacts","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2022-01-28","https://i.scdn.co/image/ab67616d0000b273d34ab0a2566efc1bcab2d090","1","11","301760","https://p.scdn.co/mp3-preview/62b9e9f42d25c1ab8d9845870c1ca75b3670e483?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","QMB622100904","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T07:08:15Z"
"spotify:track:4Sfa6rXAO1Gr0lOkqsdWM6","Your Sails","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:26G7PfSLTyLiIcITVl7GAK","Artifacts","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2022-01-28","https://i.scdn.co/image/ab67616d0000b273d34ab0a2566efc1bcab2d090","1","12","97960","https://p.scdn.co/mp3-preview/f85311ed8f3a53d467443fe4960e0bfc4c353fc8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","QMB622100905","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T07:08:15Z"
"spotify:track:57GTxeINe2afNPNmYVz5No","Irrlichter","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:26G7PfSLTyLiIcITVl7GAK","Artifacts","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2022-01-28","https://i.scdn.co/image/ab67616d0000b273d34ab0a2566efc1bcab2d090","1","13","247600","https://p.scdn.co/mp3-preview/da9db90c3dfea9e0183c05d5510a8280e8fb85f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","QMB622100906","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T07:08:15Z"
"spotify:track:5evK27NsYgIldEmR1CCjUA","Sicily","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:26G7PfSLTyLiIcITVl7GAK","Artifacts","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2022-01-28","https://i.scdn.co/image/ab67616d0000b273d34ab0a2566efc1bcab2d090","1","14","209480","https://p.scdn.co/mp3-preview/ff0fcba0efe0e07424808f3a8658b8bdb8710018?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","QMB622100907","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T07:08:15Z"
"spotify:track:5OE9A5lqZIhPFQTpz0fPSC","Now I'm Gone","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:26G7PfSLTyLiIcITVl7GAK","Artifacts","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2022-01-28","https://i.scdn.co/image/ab67616d0000b273d34ab0a2566efc1bcab2d090","1","15","265293","https://p.scdn.co/mp3-preview/19bab27ed15075af9213ec5aeb7bf1efad7b506c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","QMB622100908","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T07:08:15Z"
"spotify:track:25kTLv3thjqb62j5cMLT7q","Napoleon On the Bellerophon","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:26G7PfSLTyLiIcITVl7GAK","Artifacts","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2022-01-28","https://i.scdn.co/image/ab67616d0000b273d34ab0a2566efc1bcab2d090","1","16","216320","https://p.scdn.co/mp3-preview/f8a0cca8c68219bafa0fbf5892a13bbc87061bde?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","USCPT0700012","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T07:08:15Z"
"spotify:track:5KdEAgGYyFy60Ta5g6676z","Interior of a Dutch House","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:26G7PfSLTyLiIcITVl7GAK","Artifacts","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2022-01-28","https://i.scdn.co/image/ab67616d0000b273d34ab0a2566efc1bcab2d090","1","17","245520","https://p.scdn.co/mp3-preview/02cb0e379ecd7e0966442d2fc17ae6d4da3240c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","QMB622100910","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T07:08:15Z"
"spotify:track:1Vl6mRdbsCzAiR7SguDgYI","Fountains and Tramways","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:26G7PfSLTyLiIcITVl7GAK","Artifacts","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2022-01-28","https://i.scdn.co/image/ab67616d0000b273d34ab0a2566efc1bcab2d090","1","18","230226","https://p.scdn.co/mp3-preview/d5be80ba2a9a5dfc20159fafe9278f92887248f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USCPT0700011","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T07:08:15Z"
"spotify:track:6lQtDEQlvdAbjLc2IO6D32","Hot Air Balloon","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:26G7PfSLTyLiIcITVl7GAK","Artifacts","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2022-01-28","https://i.scdn.co/image/ab67616d0000b273d34ab0a2566efc1bcab2d090","1","19","186586","https://p.scdn.co/mp3-preview/c25a675c18aa3a29bde8e464033da2e07e97b658?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","QMB622100912","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T07:08:15Z"
"spotify:track:3XHtGQBlfMHfKcXdTX7Mt0","Fisher Island Sound","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:26G7PfSLTyLiIcITVl7GAK","Artifacts","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2022-01-28","https://i.scdn.co/image/ab67616d0000b273d34ab0a2566efc1bcab2d090","1","20","164773","https://p.scdn.co/mp3-preview/628b0bcc6f9a5106404e27b4528fcc98034ac1ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","QMB622100913","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T07:08:15Z"
