"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0xhamEumM6S6JwW8jnoBtK","Perseverance","spotify:artist:1uivqPv0xxpaqrB8Ero5xJ","Euan Ellis","spotify:album:6Md84GL1JbJZOxZAsrYG28","Exploration","spotify:artist:1uivqPv0xxpaqrB8Ero5xJ","Euan Ellis","2021-07-30","https://i.scdn.co/image/ab67616d0000b2734d3f9f4ad41025c3244c3d29","1","3","260000","https://p.scdn.co/mp3-preview/4b701f831cd47be2adcd12ecf7e5c21a97e65b8e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","TCAFQ2143394","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2022-08-28T14:54:25Z"
"spotify:track:3z9aBNiSF0WIsROJ3S1g3o","Limits","spotify:artist:5bQ1u5yLlL2WZv49doSgRz","Hotel Pools","spotify:album:6BjqxIdVKOapZ6B6n6e3wd","Still","spotify:artist:5bQ1u5yLlL2WZv49doSgRz","Hotel Pools","2020-07-31","https://i.scdn.co/image/ab67616d0000b273342c34ab540db20825911068","1","9","211463","https://p.scdn.co/mp3-preview/0eb73f1a4d74d7b1a5c2e4ae00cdfd9ce030b213?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","QZHN82048671","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2022-08-07T12:59:26Z"
"spotify:track:3PlQcZkEvLQqGVtfyzlQjg","be there for you","spotify:artist:3xRoESQLajzT98FLABgTdv, spotify:artist:5ynSJLaMOekhm2xGFlK08a","enøize, P.A.F.F.","spotify:album:0D8lEXCUC7zGuO1zt3uqoQ","be there for you","spotify:artist:3xRoESQLajzT98FLABgTdv, spotify:artist:5ynSJLaMOekhm2xGFlK08a","enøize, P.A.F.F.","2019-09-13","https://i.scdn.co/image/ab67616d0000b273efb1afefc89a3b72ab4b3862","1","1","243333","https://p.scdn.co/mp3-preview/4a50b7d02496e76ad928fcaac74e6c0a6397b6b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","USLZJ1982497","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2022-08-09T18:23:45Z"
"spotify:track:4C4icsbsUbNrjWZOfotCrD","GN - Z11","spotify:artist:1laW2o8gMUVLMCVPHuuaHI","Ok.Regan","spotify:album:3Vinn9Vm8fHo3OIdHdAGmF","The Lonely Shuttle","spotify:artist:1laW2o8gMUVLMCVPHuuaHI","Ok.Regan","2019-03-26","https://i.scdn.co/image/ab67616d0000b2736913267a163f71ccb4bd3ca1","1","3","251509","https://p.scdn.co/mp3-preview/749bafe2311b47d3a83f8b2980ef8482e6b33a52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","QZFYZ1907958","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2022-08-28T15:42:52Z"
"spotify:track:6draFtQnVXqKYYoZc8EkCe","Gamma Spaces","spotify:artist:3hjM20WPb34IxZEvOIh0e2, spotify:artist:3YZb2aI52lJJK9ektquNK7","Electronic Visions, Zane Alexander","spotify:album:4BYozIH8i49Nz1vr9fu7Eb","Gamma Spaces","spotify:artist:3hjM20WPb34IxZEvOIh0e2, spotify:artist:3YZb2aI52lJJK9ektquNK7","Electronic Visions, Zane Alexander","2020-09-04","https://i.scdn.co/image/ab67616d0000b27378de6c634febd6d54438e0db","1","1","288000","https://p.scdn.co/mp3-preview/ca4ea367dda2d26d7bcf02f8785be33c71b96932?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","GBSMU8525015","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2022-08-30T17:53:11Z"
"spotify:track:3VXzojlgCYumPTM0wyDYUC","Release","spotify:artist:4WWpuWvJQum5ylWMjvDPHT","Decisive Koala","spotify:album:4zQ7nyGRGxFuz02DLgQm1L","Subtropical Climates","spotify:artist:4WWpuWvJQum5ylWMjvDPHT","Decisive Koala","2020-05-08","https://i.scdn.co/image/ab67616d0000b273dd0a91c7212811c20dda53ce","1","1","229874","https://p.scdn.co/mp3-preview/aa5057f8514c774eb4064981b50d4495082fca55?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","usdy42086997","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2022-08-30T18:00:47Z"
"spotify:track:076LbRmKqnYThEeFwg3jGv","Velvet Sky","spotify:artist:63QaiTh41azgSckkTVgpVD","Sub Morphine","spotify:album:5NVM8CIpIq1oBtbUDW9txi","Oracle","spotify:artist:63QaiTh41azgSckkTVgpVD","Sub Morphine","2019-03-20","https://i.scdn.co/image/ab67616d0000b273e0fdcdbca857458dc3451a5f","1","10","261333","https://p.scdn.co/mp3-preview/a99a2e56a01e044558121a8391d47d077385157c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","GBSMU6183017","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2022-09-01T16:41:17Z"
"spotify:track:67zBfTgS9coxi7fEKbp4j2","Hyperdrive","spotify:artist:3udbEWhlHjgFLXu8fwrHQq","count.00","spotify:album:1R2f98DYD3DZfwrDvDqdXA","Bad Tapes","spotify:artist:3udbEWhlHjgFLXu8fwrHQq","count.00","2020-01-03","https://i.scdn.co/image/ab67616d0000b273e2e731dfab6155e39d261cd5","1","1","216000","https://p.scdn.co/mp3-preview/4f730526d9cd8e7d4d7e9b1dc6a9b0f5edf42b64?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","QZK6Q1949300","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2022-09-02T17:09:01Z"
"spotify:track:5mBHYP59QXB6HsvVx2nHNG","Flare","spotify:artist:4E653XDFNhfX7sIlJWCiwb","Jasper De Ceuster","spotify:album:2QqWpOlOdYdkV4s7LWhMom","Outlines","spotify:artist:4E653XDFNhfX7sIlJWCiwb","Jasper De Ceuster","2019-11-28","https://i.scdn.co/image/ab67616d0000b2735a081b3b57a8053d8bb05cd7","1","2","219879","https://p.scdn.co/mp3-preview/b70155ddfb7076fd38494d074bd737894fcaaf46?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","GBSMU7245273","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2022-09-02T17:13:34Z"
"spotify:track:13BKoW4xNdcpK3VpzmKow1","Binary Star","spotify:artist:322yxVmKeH1lKYRKEAXGhe","Shikimo","spotify:album:5NCDtJJRUc8a5nRA2VUKU6","Umbra Complex","spotify:artist:322yxVmKeH1lKYRKEAXGhe","Shikimo","2019-06-07","https://i.scdn.co/image/ab67616d0000b27399a83ee40bc6f1a87c8b8005","1","5","347472","https://p.scdn.co/mp3-preview/6b54583c44f0acf3298e655cdf929180e3ad522a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","QZDA81972835","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2022-09-02T17:58:21Z"
