"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0hmPxTuEmQ3WOOPksJ2T0c","Bu Aşk Fazla Sana","spotify:artist:74xBVPWYoSf5pvo5IkePRO","Şebnem Ferah","spotify:album:1X9OEIwt2XnjUxDzmY4L8S","Kadın","spotify:artist:74xBVPWYoSf5pvo5IkePRO","Şebnem Ferah","1996","https://i.scdn.co/image/ab67616d0000b273ceeb9e99579c3cfe90fffd5f","1","4","268515","","false","0","TR0441211404","spotify:user:11100324499","2021-02-02T11:06:26Z"
"spotify:track:6Yqwe9yJsvaX3Ffge75XDP","Bugün","spotify:artist:74xBVPWYoSf5pvo5IkePRO","Şebnem Ferah","spotify:album:6ZajnMbSUN2gww8mMnAvUj","Artık Kısa Cümleler Kuruyorum","spotify:artist:74xBVPWYoSf5pvo5IkePRO","Şebnem Ferah","1999","https://i.scdn.co/image/ab67616d0000b27347f5d37408b50727d3d10199","1","3","285233","","false","0","TR0441211303","spotify:user:11100324499","2021-02-02T11:10:07Z"
"spotify:track:7iREjM6gGCLiHWyrZpKiZY","Yağmurlar","spotify:artist:74xBVPWYoSf5pvo5IkePRO","Şebnem Ferah","spotify:album:1X9OEIwt2XnjUxDzmY4L8S","Kadın","spotify:artist:74xBVPWYoSf5pvo5IkePRO","Şebnem Ferah","1996","https://i.scdn.co/image/ab67616d0000b273ceeb9e99579c3cfe90fffd5f","1","7","306967","","false","0","TR0441211407","spotify:user:11100324499","2021-02-02T11:10:10Z"
"spotify:track:4wl2ZAzq2sUfUMPhJnZDpb","Sigara","spotify:artist:74xBVPWYoSf5pvo5IkePRO","Şebnem Ferah","spotify:album:6rlwfpNoCSOjul6ZJyk7wo","Perdeler","spotify:artist:74xBVPWYoSf5pvo5IkePRO","Şebnem Ferah","2001","https://i.scdn.co/image/ab67616d0000b27377e43e439458651855be2803","1","1","294846","","false","0","TR0441211601","spotify:user:11100324499","2021-02-02T11:10:23Z"
"spotify:track:4wRDGEeILaLOVJMaIBmAEn","Mayın Tarlası","spotify:artist:74xBVPWYoSf5pvo5IkePRO","Şebnem Ferah","spotify:album:3MDxgydU3TztIAnA3Lcb44","Kelimeler Yetse","spotify:artist:74xBVPWYoSf5pvo5IkePRO","Şebnem Ferah","2003","https://i.scdn.co/image/ab67616d0000b27372c3256ed924e609ca032370","1","7","323407","","false","0","TR0441211507","spotify:user:11100324499","2021-02-02T11:10:45Z"
"spotify:track:3IJb1r6trVLNnv291wuLRF","Artık Kısa Cümleler Kuruyorum","spotify:artist:74xBVPWYoSf5pvo5IkePRO","Şebnem Ferah","spotify:album:6ZajnMbSUN2gww8mMnAvUj","Artık Kısa Cümleler Kuruyorum","spotify:artist:74xBVPWYoSf5pvo5IkePRO","Şebnem Ferah","1999","https://i.scdn.co/image/ab67616d0000b27347f5d37408b50727d3d10199","1","10","252354","","false","0","TR0441211310","spotify:user:11100324499","2021-02-02T11:11:02Z"
"spotify:track:2U3d5b4HKD77iqhU2037f1","Vazgeçtim Dünyadan","spotify:artist:74xBVPWYoSf5pvo5IkePRO","Şebnem Ferah","spotify:album:1X9OEIwt2XnjUxDzmY4L8S","Kadın","spotify:artist:74xBVPWYoSf5pvo5IkePRO","Şebnem Ferah","1996","https://i.scdn.co/image/ab67616d0000b273ceeb9e99579c3cfe90fffd5f","1","1","337246","","false","0","TR0441211401","spotify:user:11100324499","2021-02-02T11:11:07Z"
"spotify:track:5kYICmYYr97sWvLMo8xSTR","Kargalar","spotify:artist:1Xwze1G0zfRnxqBDfmWVVf","Özlem Tekin","spotify:album:5VjF96Rk1Gvpdh4XgRkKK7","Kargalar","spotify:artist:1Xwze1G0zfRnxqBDfmWVVf","Özlem Tekin","2013-01-18","https://i.scdn.co/image/ab67616d0000b273786876aed2dd9d8b711f953f","1","1","236251","","false","0","TR0341300004","spotify:user:11100324499","2021-02-02T11:11:37Z"
"spotify:track:7k5jp5wGP27Qwd6ptjqUHc","Gezegen X","spotify:artist:1Xwze1G0zfRnxqBDfmWVVf","Özlem Tekin","spotify:album:350JNqjceQeOGa5IKWhEqr","10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0","spotify:artist:1Xwze1G0zfRnxqBDfmWVVf","Özlem Tekin","2005-04-19","https://i.scdn.co/image/ab67616d0000b27349002115d56ba58744717102","1","2","232756","https://p.scdn.co/mp3-preview/3965e3b9fdc7efc1c0c68861d3d7b999438f91eb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","TR1790900271","spotify:user:11100324499","2021-02-02T11:11:45Z"
"spotify:track:17wgsCCy5uZ5qs9S6bfHDJ","Dağları Deldim","spotify:artist:1Xwze1G0zfRnxqBDfmWVVf","Özlem Tekin","spotify:album:0kTDnC9lAR3NG5Aa85M6g4","Tek Başıma","spotify:artist:1Xwze1G0zfRnxqBDfmWVVf","Özlem Tekin","2002-05-31","https://i.scdn.co/image/ab67616d0000b273b3860c18e12fccb77eabb9ab","1","2","181487","https://p.scdn.co/mp3-preview/a612f0d79d97bc24a8cc74f8cfbb3f3d7d7d611f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","TR1790900224","spotify:user:11100324499","2021-02-02T11:11:49Z"
"spotify:track:4hEuuKhZC8XolGSGhjRCqf","Laubali","spotify:artist:1Xwze1G0zfRnxqBDfmWVVf","Özlem Tekin","spotify:album:1FoNgRPxUAZAnTLzaHMTfM","Laubali","spotify:artist:1Xwze1G0zfRnxqBDfmWVVf","Özlem Tekin","1996-06-30","https://i.scdn.co/image/ab67616d0000b273ca33255487e67481ace2cd1d","1","1","181400","https://p.scdn.co/mp3-preview/a06da9bd2ea3ec3439c3c33726d567647eb355b4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","TR1790900343","spotify:user:11100324499","2021-02-02T11:11:55Z"
"spotify:track:3uKzUqchRoczOgBK5eNlxD","Vurma","spotify:artist:1Xwze1G0zfRnxqBDfmWVVf","Özlem Tekin","spotify:album:1FoNgRPxUAZAnTLzaHMTfM","Laubali","spotify:artist:1Xwze1G0zfRnxqBDfmWVVf","Özlem Tekin","1996-06-30","https://i.scdn.co/image/ab67616d0000b273ca33255487e67481ace2cd1d","1","2","224600","https://p.scdn.co/mp3-preview/fb9e82357223da0e3d447d5fffdf6cb7c5bae5f1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","TR1790900344","spotify:user:11100324499","2021-02-02T11:11:58Z"
"spotify:track:3x3bPdmaY8uJitExMr1Pbd","Biri Var","spotify:artist:1Xwze1G0zfRnxqBDfmWVVf","Özlem Tekin","spotify:album:1FoNgRPxUAZAnTLzaHMTfM","Laubali","spotify:artist:1Xwze1G0zfRnxqBDfmWVVf","Özlem Tekin","1996-06-30","https://i.scdn.co/image/ab67616d0000b273ca33255487e67481ace2cd1d","1","3","304893","https://p.scdn.co/mp3-preview/0b66b5b6c1ff86a54d99653fd5be596ca01d0c2d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","TR1790900345","spotify:user:11100324499","2021-02-02T11:12:01Z"
"spotify:track:2lQY8NlBMBVDNWE7Ie0lgS","Biberi Bol","spotify:artist:1Xwze1G0zfRnxqBDfmWVVf","Özlem Tekin","spotify:album:1FoNgRPxUAZAnTLzaHMTfM","Laubali","spotify:artist:1Xwze1G0zfRnxqBDfmWVVf","Özlem Tekin","1996-06-30","https://i.scdn.co/image/ab67616d0000b273ca33255487e67481ace2cd1d","1","4","224106","https://p.scdn.co/mp3-preview/7a9191265c5293f0cbb8b232b9b090bd58cf5874?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","TR1790900346","spotify:user:11100324499","2021-02-02T11:12:04Z"
"spotify:track:3YJr4Ip3K5yxqOZY5zJfdl","Beni Yakan Aşkın","spotify:artist:1Xwze1G0zfRnxqBDfmWVVf","Özlem Tekin","spotify:album:1FoNgRPxUAZAnTLzaHMTfM","Laubali","spotify:artist:1Xwze1G0zfRnxqBDfmWVVf","Özlem Tekin","1996-06-30","https://i.scdn.co/image/ab67616d0000b273ca33255487e67481ace2cd1d","1","10","230106","https://p.scdn.co/mp3-preview/f00cb6d0c0692195ee45c26855c92a189db6d77b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","TR1790900352","spotify:user:11100324499","2021-02-02T11:12:07Z"
"spotify:track:3qOkFwW7fDlU8iFlIDFMAw","Kumdan Kaleler","spotify:artist:1Xwze1G0zfRnxqBDfmWVVf","Özlem Tekin","spotify:album:1FoNgRPxUAZAnTLzaHMTfM","Laubali","spotify:artist:1Xwze1G0zfRnxqBDfmWVVf","Özlem Tekin","1996-06-30","https://i.scdn.co/image/ab67616d0000b273ca33255487e67481ace2cd1d","1","6","187773","https://p.scdn.co/mp3-preview/62d95eb0f46b099d0a2de128383d9a3db9e7321d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","TR1790900348","spotify:user:11100324499","2021-02-02T11:12:10Z"
