"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6iWbJdNf6Fl9y298RDZfrc","Downward Spiral","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","spotify:album:3e7vtKJ3m1zVh38VGq2g3H","Atrocity Exhibition","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","2016-09-27","https://i.scdn.co/image/ab67616d0000b2733e25c9ef701bb637773531fe","1","1","172302","","false","2","GBBPW1600097","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-19T18:31:49Z"
"spotify:track:3yM8iyra4fkuyf0H5RFHuE","Tell Me What I Don't Know","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","spotify:album:3e7vtKJ3m1zVh38VGq2g3H","Atrocity Exhibition","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","2016-09-27","https://i.scdn.co/image/ab67616d0000b2733e25c9ef701bb637773531fe","1","2","151979","","false","4","GBBPW1600098","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-19T18:31:49Z"
"spotify:track:1LUyHPbfI0EXbMkvHR0PNX","Rolling Stone","spotify:artist:7aA592KWirLsnfb5ulGWvU, spotify:artist:4dGwtd1FYag1VY1vaR1U8y","Danny Brown, Petite Noir","spotify:album:3e7vtKJ3m1zVh38VGq2g3H","Atrocity Exhibition","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","2016-09-27","https://i.scdn.co/image/ab67616d0000b2733e25c9ef701bb637773531fe","1","3","227981","","false","2","GBBPW1600099","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-19T18:31:49Z"
"spotify:track:6dHatCnuOb1TdBIeJTK3Y0","Really Doe","spotify:artist:7aA592KWirLsnfb5ulGWvU, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:0g9vAlRPK9Gt3FKCekk4TW, spotify:artist:3A5tHz1SfngyOZM2gItYKu","Danny Brown, Kendrick Lamar, Ab-Soul, Earl Sweatshirt","spotify:album:3e7vtKJ3m1zVh38VGq2g3H","Atrocity Exhibition","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","2016-09-27","https://i.scdn.co/image/ab67616d0000b2733e25c9ef701bb637773531fe","1","4","319433","","false","8","GBBPW1600100","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-19T18:31:49Z"
"spotify:track:1IIWODSnr5MIIwpdHyX10P","Lost","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","spotify:album:3e7vtKJ3m1zVh38VGq2g3H","Atrocity Exhibition","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","2016-09-27","https://i.scdn.co/image/ab67616d0000b2733e25c9ef701bb637773531fe","1","5","127255","","false","3","GBBPW1600101","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-19T18:31:49Z"
"spotify:track:7ItFoQDmQIh3MAPsxiP6Vt","Ain't it Funny","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","spotify:album:3e7vtKJ3m1zVh38VGq2g3H","Atrocity Exhibition","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","2016-09-27","https://i.scdn.co/image/ab67616d0000b2733e25c9ef701bb637773531fe","1","6","177025","","false","7","GBBPW1600102","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-19T18:31:49Z"
"spotify:track:6iMo7yzmXqMC57FOHOSotz","Golddust","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","spotify:album:3e7vtKJ3m1zVh38VGq2g3H","Atrocity Exhibition","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","2016-09-27","https://i.scdn.co/image/ab67616d0000b2733e25c9ef701bb637773531fe","1","7","144118","","false","1","GBBPW1600103","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-19T18:31:49Z"
"spotify:track:3fqfuK6PQITWU0fCKfo31d","White Lines","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","spotify:album:3e7vtKJ3m1zVh38VGq2g3H","Atrocity Exhibition","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","2016-09-27","https://i.scdn.co/image/ab67616d0000b2733e25c9ef701bb637773531fe","1","8","143729","","false","1","GBBPW1600104","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-19T18:31:49Z"
"spotify:track:6l2Q1Jb5c2VycqDEzp5ZlJ","Pneumonia","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","spotify:album:3e7vtKJ3m1zVh38VGq2g3H","Atrocity Exhibition","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","2016-09-27","https://i.scdn.co/image/ab67616d0000b2733e25c9ef701bb637773531fe","1","9","219883","","false","2","GBBPW1600105","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-19T18:31:49Z"
"spotify:track:2kmpyKQjVw5UOcVlmkxnYY","Dance In The Water","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","spotify:album:3e7vtKJ3m1zVh38VGq2g3H","Atrocity Exhibition","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","2016-09-27","https://i.scdn.co/image/ab67616d0000b2733e25c9ef701bb637773531fe","1","10","157930","","false","1","GBBPW1600106","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-19T18:31:49Z"
