"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1QfcmfDEjq74UEQEeMVtEa","Chord Left","spotify:artist:1rKrEdI6GKirxWHxIUPYms","Agnes Obel","spotify:album:6QvHf4M3JDX90qtX3XclDb","Aventine","spotify:artist:1rKrEdI6GKirxWHxIUPYms","Agnes Obel","2013-09-30","https://i.scdn.co/image/ab67616d0000b27329b3f99acf4ee06bfa44fa54","1","1","149991","https://p.scdn.co/mp3-preview/b80598bf7683fe923b0974469d00a0f634425850?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","BEP011300128","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:17:18Z"
"spotify:track:56yekF1j10fFGzKpqiNgpB","Fuel to Fire","spotify:artist:1rKrEdI6GKirxWHxIUPYms","Agnes Obel","spotify:album:6QvHf4M3JDX90qtX3XclDb","Aventine","spotify:artist:1rKrEdI6GKirxWHxIUPYms","Agnes Obel","2013-09-30","https://i.scdn.co/image/ab67616d0000b27329b3f99acf4ee06bfa44fa54","1","2","329821","https://p.scdn.co/mp3-preview/56b3844d4b4896e7c904e33fe6aef46bee881319?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","BEP011300129","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:17:18Z"
"spotify:track:4MYM5j4rMjYRhhchadXOjp","Dorian","spotify:artist:1rKrEdI6GKirxWHxIUPYms","Agnes Obel","spotify:album:6QvHf4M3JDX90qtX3XclDb","Aventine","spotify:artist:1rKrEdI6GKirxWHxIUPYms","Agnes Obel","2013-09-30","https://i.scdn.co/image/ab67616d0000b27329b3f99acf4ee06bfa44fa54","1","3","288334","https://p.scdn.co/mp3-preview/ed4597d823a1a3939e5a20b70332d47e784ef172?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","BEP011300130","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:17:18Z"
"spotify:track:6wqTQRgIg5HwQ5PxpmNI9J","Aventine","spotify:artist:1rKrEdI6GKirxWHxIUPYms","Agnes Obel","spotify:album:6QvHf4M3JDX90qtX3XclDb","Aventine","spotify:artist:1rKrEdI6GKirxWHxIUPYms","Agnes Obel","2013-09-30","https://i.scdn.co/image/ab67616d0000b27329b3f99acf4ee06bfa44fa54","1","4","248402","https://p.scdn.co/mp3-preview/88eb7098db3319228409e2c833203f0d2756f540?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","BEP011300131","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:17:18Z"
"spotify:track:0EkvCts9nJ8J66uG8h8RaA","Run Cried the Crawling","spotify:artist:1rKrEdI6GKirxWHxIUPYms","Agnes Obel","spotify:album:6QvHf4M3JDX90qtX3XclDb","Aventine","spotify:artist:1rKrEdI6GKirxWHxIUPYms","Agnes Obel","2013-09-30","https://i.scdn.co/image/ab67616d0000b27329b3f99acf4ee06bfa44fa54","1","5","266541","https://p.scdn.co/mp3-preview/439f2a286ab52786871c6c195dc700d9235b7c69?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","BEP011300132","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:17:18Z"
"spotify:track:0l9q0isx84N5U52BFSBghN","Tokka","spotify:artist:1rKrEdI6GKirxWHxIUPYms","Agnes Obel","spotify:album:6QvHf4M3JDX90qtX3XclDb","Aventine","spotify:artist:1rKrEdI6GKirxWHxIUPYms","Agnes Obel","2013-09-30","https://i.scdn.co/image/ab67616d0000b27329b3f99acf4ee06bfa44fa54","1","6","90235","https://p.scdn.co/mp3-preview/1fe5e64d76b26f18885a3bda8ec3d8eeefe484c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","BEP011300133","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:17:18Z"
"spotify:track:5YDG6b0Zu46J5AaKlXopZt","The Curse","spotify:artist:1rKrEdI6GKirxWHxIUPYms","Agnes Obel","spotify:album:6QvHf4M3JDX90qtX3XclDb","Aventine","spotify:artist:1rKrEdI6GKirxWHxIUPYms","Agnes Obel","2013-09-30","https://i.scdn.co/image/ab67616d0000b27329b3f99acf4ee06bfa44fa54","1","7","353278","https://p.scdn.co/mp3-preview/de10c73b76e6d79f658f35543833a9958304d68b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","BEP011300114","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:17:18Z"
"spotify:track:7ET1ceawcD4A5pDLY9jGI5","Pass Them By","spotify:artist:1rKrEdI6GKirxWHxIUPYms","Agnes Obel","spotify:album:6QvHf4M3JDX90qtX3XclDb","Aventine","spotify:artist:1rKrEdI6GKirxWHxIUPYms","Agnes Obel","2013-09-30","https://i.scdn.co/image/ab67616d0000b27329b3f99acf4ee06bfa44fa54","1","8","211709","https://p.scdn.co/mp3-preview/c9b108c52860a90c127c470e4f42ed292c6d8be4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","BEP011300134","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:17:18Z"
"spotify:track:6iz2x92ez3xhuFBquC1z1C","Words Are Dead","spotify:artist:1rKrEdI6GKirxWHxIUPYms","Agnes Obel","spotify:album:6QvHf4M3JDX90qtX3XclDb","Aventine","spotify:artist:1rKrEdI6GKirxWHxIUPYms","Agnes Obel","2013-09-30","https://i.scdn.co/image/ab67616d0000b27329b3f99acf4ee06bfa44fa54","1","9","226569","https://p.scdn.co/mp3-preview/3828cc8cc930fef2d64fb220452dea716eb90e5d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","BEP011300135","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:17:18Z"
"spotify:track:1PjYXXhvVnNBYF1OXCJtKC","Fivefold","spotify:artist:1rKrEdI6GKirxWHxIUPYms","Agnes Obel","spotify:album:6QvHf4M3JDX90qtX3XclDb","Aventine","spotify:artist:1rKrEdI6GKirxWHxIUPYms","Agnes Obel","2013-09-30","https://i.scdn.co/image/ab67616d0000b27329b3f99acf4ee06bfa44fa54","1","10","119144","https://p.scdn.co/mp3-preview/45f38be0604522ebe9ffbb3a2930a3eceb2bf94b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","BEP011300136","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:17:18Z"
