"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2IcC3gUetFtspfCXmVS3Hb","Kaygı Karnavalı (feat. Wodashin)","spotify:artist:4B5gFZLih5slWppwNCkd9g","RSPC","spotify:album:3ZHRgWlhUTCh3vB7QWZMhP","Le Cafard","spotify:artist:4B5gFZLih5slWppwNCkd9g","RSPC","2016-12-20","https://i.scdn.co/image/ab67616d0000b273071ee2b5be5e96411f28e9f8","1","11","259626","https://p.scdn.co/mp3-preview/b518319144cacf9b936f23da4eff5fd786e4fd4f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","GB-SMU-32-47964","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-12T16:13:56Z"
"spotify:track:7LSgT4YUwMjapYCzXTUcLD","Fatalerrorist","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:3UnG6ieycrU05vdTYrde4c","A Naşkvit","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2018-05-30","https://i.scdn.co/image/ab67616d0000b273d919006ee14d24841802c856","1","4","193770","https://p.scdn.co/mp3-preview/4981a6b2386c3ac555e4c3d8697bb5194e321bc1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","TRBGZ1700004","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-12T16:13:58Z"
"spotify:track:7mwKVp2lDlLvJzTzIoEdon","Betamaks","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:3UnG6ieycrU05vdTYrde4c","A Naşkvit","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2018-05-30","https://i.scdn.co/image/ab67616d0000b273d919006ee14d24841802c856","1","11","204068","https://p.scdn.co/mp3-preview/ac7f04727f2a9362211e9416b6657b9edb31ed6c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","TRBGZ1700011","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-12T16:14:04Z"
"spotify:track:2csm1yKCfbrykQM9N094Go","Teneke Trampet","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:52onETXkNYXPzpnX4kErY7","FERNWEH","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2014-11-29","https://i.scdn.co/image/ab67616d0000b273206f0059ac0c4907ab06695f","1","1","193620","","false","0","GBSMU2587686","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-12T16:14:10Z"
"spotify:track:68Ni0IHjiqoGvXJwNACrJf","Lüzumsuz","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:3UnG6ieycrU05vdTYrde4c","A Naşkvit","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2018-05-30","https://i.scdn.co/image/ab67616d0000b273d919006ee14d24841802c856","1","3","249773","https://p.scdn.co/mp3-preview/778a4367ed5033365312f3ac078921045e08c1d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","TRBGZ1700003","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-12T16:14:11Z"
"spotify:track:4weSo9yOXrPZFE4dPlT4FT","Mühimsemez","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:2HfYoFVeJWSldu30xrRwzV","Kendiliğinden","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2020-12-04","https://i.scdn.co/image/ab67616d0000b273e502a38fb67d0e33edba2f0f","1","10","255500","https://p.scdn.co/mp3-preview/ba6364268efdc89be5c2aa327e5456242e988ac5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","TRA162000367","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-12T16:14:31Z"
"spotify:track:2pWLa2vyWt25Es0jn6JHFX","Gidince Görücez","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:2HfYoFVeJWSldu30xrRwzV","Kendiliğinden","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2020-12-04","https://i.scdn.co/image/ab67616d0000b273e502a38fb67d0e33edba2f0f","1","20","246000","https://p.scdn.co/mp3-preview/a87ae72a6234ca43e6928d4b95b9329ad7150d0c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","TRA162000236","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-12T16:14:37Z"
"spotify:track:3mfOZ7VYtMdZcU8KFSahgB","Kesin Şamatayı","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:15rvSy2sg7GQZjmuksIg0Q","Kesin Şamatayı","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2018-09-28","https://i.scdn.co/image/ab67616d0000b273df2f3f7a6851ebf4496c64d6","1","1","265800","https://p.scdn.co/mp3-preview/2e4d431e65f12fe3cfe40b892355b0542e0bba17?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","TRA161800432","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-12T16:19:47Z"
"spotify:track:5pnSiXQz2dlqz3QjvDFo1S","Geber","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:2HfYoFVeJWSldu30xrRwzV","Kendiliğinden","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2020-12-04","https://i.scdn.co/image/ab67616d0000b273e502a38fb67d0e33edba2f0f","1","2","235000","https://p.scdn.co/mp3-preview/90063ea4c9340613f869d51c4d212a434521a6a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","TRA162000360","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-12T16:19:49Z"
"spotify:track:6TOm6nCFj27iUg92JwAK9A","Enstantana","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:3UnG6ieycrU05vdTYrde4c","A Naşkvit","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2018-05-30","https://i.scdn.co/image/ab67616d0000b273d919006ee14d24841802c856","1","10","217623","https://p.scdn.co/mp3-preview/09b99a2f56d1e3fac769ade10281f1203a2fec36?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","TRBGZ1700010","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-12T16:19:50Z"
"spotify:track:4Y1yOK7fbZi3WtJD86ZQuO","Münkir","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:3UnG6ieycrU05vdTYrde4c","A Naşkvit","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2018-05-30","https://i.scdn.co/image/ab67616d0000b273d919006ee14d24841802c856","1","5","263830","https://p.scdn.co/mp3-preview/c5505960e4146e1ecea3ae9f71df4aab56bf877a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","TRBGZ1700005","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-12T16:20:09Z"
"spotify:track:3spzSfuTf90IG8J3TC3xvr","Herr Neyse (feat. Kutay Soyocak)","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg, spotify:artist:52AVo5RdhIUnQ1pbMPV2dL","Ağaçkakan, Kutay Soyocak","spotify:album:3UnG6ieycrU05vdTYrde4c","A Naşkvit","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2018-05-30","https://i.scdn.co/image/ab67616d0000b273d919006ee14d24841802c856","1","6","255129","https://p.scdn.co/mp3-preview/540a3048ff81654b4374484347763f110d90a856?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","TRBGZ1700006","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-12T16:20:12Z"
"spotify:track:03MjZVICUKrKwIhKylrJ4v","Entropi","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:2HfYoFVeJWSldu30xrRwzV","Kendiliğinden","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2020-12-04","https://i.scdn.co/image/ab67616d0000b273e502a38fb67d0e33edba2f0f","1","11","97000","https://p.scdn.co/mp3-preview/9589dc06d7b11fdedde319b151d95a25df35f707?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","TRA162000368","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-12T16:20:16Z"
"spotify:track:24liY54vHfa4BXSxlsN33v","Faust Pazarlığı","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:2HfYoFVeJWSldu30xrRwzV","Kendiliğinden","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2020-12-04","https://i.scdn.co/image/ab67616d0000b273e502a38fb67d0e33edba2f0f","1","3","212000","https://p.scdn.co/mp3-preview/e768e521e90c4edb61c8e3864a7dfd9000bc6b8a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","TRA162000361","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-12T16:20:19Z"
"spotify:track:4fUBVbbvz5MQEkRnBXwZTf","989","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:2HfYoFVeJWSldu30xrRwzV","Kendiliğinden","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2020-12-04","https://i.scdn.co/image/ab67616d0000b273e502a38fb67d0e33edba2f0f","1","18","209777","https://p.scdn.co/mp3-preview/2b359897d0c6be3849b8fccb8fdaf09b78519a52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","TRA162000006","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-12T16:23:02Z"
"spotify:track:7m3QOBDG8G5Hl97lZKPG79","Tanıyorum Seni","spotify:artist:7JCJA9JUFT138Nuivyxp9n, spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","90 BPM, Ağaçkakan","spotify:album:24lOMJpbysrGanJ0g6sWZn","Kötülük Bizim İşimiz","spotify:artist:7JCJA9JUFT138Nuivyxp9n","90 BPM","2015-07-24","https://i.scdn.co/image/ab67616d0000b273db618155ed64fe910caf4062","1","13","262013","https://p.scdn.co/mp3-preview/fd91b7cbe89f78557de23eda56dcf386d2a6980f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","TR0061400380","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-12T16:25:39Z"
"spotify:track:4JzmBKem9JpSd6kFhsDAjL","Anlatılagelen","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:6hVJlhpcCum0hW3ZLwmof9","Anlatılagelen","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2021-06-04","https://i.scdn.co/image/ab67616d0000b27321982c7182d1998b3f87fef1","1","1","171136","https://p.scdn.co/mp3-preview/4a273aa754c6acd65d1e9b6bc7e81e9522fabd99?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","USA2P2120165","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-28T12:06:27Z"
"spotify:track:3rFaptezc16FGdGrri22Cu","Olağaniçi","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:3sVcaCkJg14frU4WdAgXkS","Olağaniçi","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2021-05-13","https://i.scdn.co/image/ab67616d0000b273096560f04008a682d6762320","1","1","196125","https://p.scdn.co/mp3-preview/abf69654b136d6b17e8a8ba96918692a4a19c377?cid=9950ac751e34487dbbe027c4fd7f8e99","true","18","AUBEC2124891","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-28T12:06:36Z"
"spotify:track:1Y0iazURwLevq2rwkSAyNX","Tümeyokum","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:2HfYoFVeJWSldu30xrRwzV","Kendiliğinden","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2020-12-04","https://i.scdn.co/image/ab67616d0000b273e502a38fb67d0e33edba2f0f","1","12","200500","https://p.scdn.co/mp3-preview/a0c6d9b0d848844527a0d5bf9d429f7801af8a9b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","TRA162000369","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-28T12:29:15Z"
"spotify:track:5h6xbc2g52GwF8i5r6VApN","İhtiyar","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:1PfaiNOzNr5PkuIfVM9b83","İhtiyar","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2018-06-22","https://i.scdn.co/image/ab67616d0000b273317a717682dec89813674122","1","1","270233","https://p.scdn.co/mp3-preview/d142badbe8ddcfc16a5261654fb12262015503b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","TRA161800308","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-06-28T12:41:23Z"
"spotify:track:2sSgBq7CNJRj5uS4IKq1Ou","Bi nevi aksesuar","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:4Km359r9lPoGROYW2slRL7","Bi nevi aksesuar","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2021-06-25","https://i.scdn.co/image/ab67616d0000b273d5edd5dfbf14dcd12e5a8d64","1","1","222857","https://p.scdn.co/mp3-preview/d783abbc4154b6a8d16f57a6adecb153ff5e1104?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","USA2P2122768","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-07-05T07:25:37Z"
"spotify:track:5EnwSOd84WVmyR02V80b90","Rast g7","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:3UnG6ieycrU05vdTYrde4c","A Naşkvit","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2018-05-30","https://i.scdn.co/image/ab67616d0000b273d919006ee14d24841802c856","1","1","133868","https://p.scdn.co/mp3-preview/ac7f9251262905ac94d498eab2a803104f194085?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","TRBGZ1700001","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T19:07:12Z"
"spotify:track:4hwgqREM0AXQt9Ds6WtSyb","Tecelli","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:3UnG6ieycrU05vdTYrde4c","A Naşkvit","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2018-05-30","https://i.scdn.co/image/ab67616d0000b273d919006ee14d24841802c856","1","7","202721","https://p.scdn.co/mp3-preview/96fe3786a33802a37d6bf51513a9648126ccf534?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","TRBGZ1700007","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T19:28:13Z"
"spotify:track:1NWvpt74ExRz9qEhu9IJVD","Şüpheli","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:3UnG6ieycrU05vdTYrde4c","A Naşkvit","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2018-05-30","https://i.scdn.co/image/ab67616d0000b273d919006ee14d24841802c856","1","8","178904","https://p.scdn.co/mp3-preview/5dae3def0160e8a3948a536480daa892e9ee5c19?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","TRBGZ1700008","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T19:47:20Z"
"spotify:track:6fE57RhM3Y04MHWWapjGYu","Acaba","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","spotify:album:3UnG6ieycrU05vdTYrde4c","A Naşkvit","spotify:artist:7ssDDQAUFA9Z5k5VbbqYxg","Ağaçkakan","2018-05-30","https://i.scdn.co/image/ab67616d0000b273d919006ee14d24841802c856","1","9","158011","https://p.scdn.co/mp3-preview/4407c3cbafca06ced65a113e831e58b423c01ca8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","TRBGZ1700009","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T19:53:19Z"
