"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4VXIryQMWpIdGgYR4TrjT1","All Girls Are The Same","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","spotify:album:6tkjU4Umpo79wwkgPMV3nZ","Goodbye & Good Riddance","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","2018-12-10","https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4","1","2","165819","","true","87","USUG11800651","spotify:user:11100324499","2021-01-22T03:59:58Z"
"spotify:track:7d94IqWX2UmSKMGUYSGFJG","Bad Energy","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","spotify:album:6n9DKpOxwifT5hOXtgLZSL","Legends Never Die","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","2020-07-10","https://i.scdn.co/image/ab67616d0000b2733e0698e4ae5ffb82a005aeeb","1","4","186749","","true","70","USUG12001899","spotify:user:11100324499","2021-01-22T04:00:08Z"
"spotify:track:5dOxHHMOFAbG3VH23t0xNm","Righteous","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","spotify:album:6n9DKpOxwifT5hOXtgLZSL","Legends Never Die","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","2020-07-10","https://i.scdn.co/image/ab67616d0000b2733e0698e4ae5ffb82a005aeeb","1","5","242180","","true","76","USUG12000979","spotify:user:11100324499","2021-01-22T04:00:11Z"
"spotify:track:7E7JTt9rsLPcZcakQcTZXA","NOT FAIR (feat. Corbin)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:3K40SMapVhc8PxyYFofHff","The Kid LAROI, Corbin","spotify:album:3YjfdLdpQcVI72uKhooZst","F*CK LOVE (SAVAGE)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","2020-11-06","https://i.scdn.co/image/ab67616d0000b273df16d539f508603bfb1efe02","2","5","166688","","true","4","USSM12004209","spotify:user:11100324499","2021-01-22T04:04:11Z"
"spotify:track:1FdFU1AY7MtF5SQ3jAFtwg","Overdue","spotify:artist:54Bjxn26WsjfslQbNVtSCm","The Get Up Kids","spotify:album:4U4Jza5h5vTfkZbVJvWwjV","On a Wire","spotify:artist:54Bjxn26WsjfslQbNVtSCm","The Get Up Kids","2002","https://i.scdn.co/image/ab67616d0000b273b4f621ac8f18acab21e1f407","1","1","178600","https://p.scdn.co/mp3-preview/b8ab62635827e131ba0596d7ef7a2c8cdbcf7de9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USVR90237001","spotify:user:11100324499","2021-01-22T04:04:21Z"
"spotify:track:1Bj6mCz6DQV28A87fJj6ip","Hunker Down","spotify:artist:3K40SMapVhc8PxyYFofHff","Corbin","spotify:album:7HQqccrUGX304AXOV2S7hY","Mourn","spotify:artist:3K40SMapVhc8PxyYFofHff","Corbin","2017-09-05","https://i.scdn.co/image/ab67616d0000b273c3d3f8b3353ae7be98b5c15d","1","7","269632","","true","0","GBWWP1703124","spotify:user:11100324499","2021-01-22T04:04:49Z"
"spotify:track:1c2gssCkuT9RMn0WXFiDps","Pull","spotify:artist:62TFj06qes00QmQuKmK7c2","Spooky Black","spotify:album:34jUAKMBHMCl3hjzb9rsut","Leaving","spotify:artist:62TFj06qes00QmQuKmK7c2","Spooky Black","2014-09-12","https://i.scdn.co/image/ab67616d0000b273dc27327ba8f41aaac53b5846","1","2","253794","https://p.scdn.co/mp3-preview/9df59e0dfb8681eb98a56b0eb510b280d03abeac?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","TCABZ1482413","spotify:user:11100324499","2021-01-22T04:05:11Z"
"spotify:track:4L8FmHQ1jEyNNNTsruTDLe","Demons","spotify:artist:2trvlbfMS5zVozEmrFNDTJ, spotify:artist:2T8OqbutJErIqe1TjxqlCE","Young Lungs, Cian P","spotify:album:754mICjENMGfI6KG0dXSUF","Demons","spotify:artist:2trvlbfMS5zVozEmrFNDTJ","Young Lungs","2017-03-10","https://i.scdn.co/image/ab67616d0000b2732693308a9e0b45e23e8d44b7","1","1","140571","https://p.scdn.co/mp3-preview/dddfab477d5ff1baebf2e92477e672cdc14c9b47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","QM42K1613325","spotify:user:11100324499","2021-01-22T04:05:29Z"
"spotify:track:0eX7yyxzmWG3Vnlvu0E5pb","Courtside","spotify:artist:2trvlbfMS5zVozEmrFNDTJ, spotify:artist:2T8OqbutJErIqe1TjxqlCE","Young Lungs, Cian P","spotify:album:0FQgex2KYtrxcP8MsDqlkd","Courtside","spotify:artist:2trvlbfMS5zVozEmrFNDTJ","Young Lungs","2016-11-25","https://i.scdn.co/image/ab67616d0000b273c2129a8998d5d6036d0dcf67","1","1","159094","https://p.scdn.co/mp3-preview/bcb07409c496da797bfbcf7e1f9d3d2afbfbe465?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","QM42K1611947","spotify:user:11100324499","2021-01-22T04:05:51Z"
"spotify:track:3PjeetzZNTIuWJGPcacvbS","Right Through You","spotify:artist:6WkUZyqghQei2G809wMKuZ","Yung Bans","spotify:album:1gazzdNoCkfeMwUOWxe7S2","Right Through You","spotify:artist:6WkUZyqghQei2G809wMKuZ","Yung Bans","2017-05-25","https://i.scdn.co/image/ab67616d0000b2738e435cc7d0455886ab06177f","1","1","150000","https://p.scdn.co/mp3-preview/81e7f0eb61fbdb8a6f2ffd3a8bcf5ec011817202?cid=9950ac751e34487dbbe027c4fd7f8e99","true","40","QZ5FA1751086","spotify:user:11100324499","2021-01-22T04:06:54Z"
