"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2zxGgrkT4uHWkpi5ELmCjH","Bang Bang","spotify:artist:62peb1sKdVJQD00xYvMCKF","Kovacs","spotify:album:1GUJ68BpXPPp98eAMzLT6N","Child Of Sin","spotify:artist:62peb1sKdVJQD00xYvMCKF","Kovacs","2023-01-13","https://i.scdn.co/image/ab67616d0000b273a20f42c9bf4a218e532fa402","1","4","190871","https://p.scdn.co/mp3-preview/8ac4ed8e96bffdbae9ee0ef1bf85ef78ebae5260?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","NLB8P2200002","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-04T22:45:22Z"
"spotify:track:7rUqS1IHQWnjpZCmTOUDEP","Surface","spotify:artist:4vECkYVXR5tUXqDk2LVzkJ","CATT","spotify:album:0WDjHyGh6JjGnnuLf61gMs","Why, Why","spotify:artist:4vECkYVXR5tUXqDk2LVzkJ","CATT","2020-11-20","https://i.scdn.co/image/ab67616d0000b2732ccc99be723a51f4b3cd7154","1","7","231000","https://p.scdn.co/mp3-preview/1dc3c8f262ed6101339fca26ed3aa6b23ac6a767?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","DEOV42001350","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-09T21:44:53Z"
"spotify:track:3BeaiIXko9QV8689eWB6yd","Stockholmsvy","spotify:artist:5bWgLmSpWnixX3inugtAVY, spotify:artist:7ig7r3UikvL9qJe7pQvCBn","Hannes, waterbaby","spotify:album:0LHAqxNQQgAlh7wk3aRWgM","Stockholmsvy","spotify:artist:5bWgLmSpWnixX3inugtAVY, spotify:artist:7ig7r3UikvL9qJe7pQvCBn","Hannes, waterbaby","2022-04-29","https://i.scdn.co/image/ab67616d0000b27307799f15b41b7d634820f9b7","1","1","161396","https://p.scdn.co/mp3-preview/ede48103113242b7b4f0686d9398173950204233?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","QM4TX2262263","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-11T07:10:48Z"
"spotify:track:2opBBQ51Y7PfZjvrK0WDbq","Cakewalk","spotify:artist:4rqegcqfzES4oBRh4n8TM1","Ezéchiel Pailhès","spotify:album:2qzB2XRfGDkIFHUVseRlJU","Oh !","spotify:artist:4rqegcqfzES4oBRh4n8TM1","Ezéchiel Pailhès","2020-05-15","https://i.scdn.co/image/ab67616d0000b273a2ee9c7c66ecc9f6e243cd29","1","10","192333","https://p.scdn.co/mp3-preview/725017ef95656eb3d6d510b0239157ffe01562c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","FR2T02000010","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-11T07:11:04Z"
"spotify:track:0tXjDTfU7FtC6sLrdoUavU","Everything Comes Closer","spotify:artist:3glvSAS5Z6057HM9ov0HOt","Elle Valenci","spotify:album:1waysib4AtUIhfFhfVH3CT","Freedom","spotify:artist:3glvSAS5Z6057HM9ov0HOt","Elle Valenci","2021-05-21","https://i.scdn.co/image/ab67616d0000b2733149cefc29c250b24219d203","1","3","174000","https://p.scdn.co/mp3-preview/67465aed7e5f1a4ec846be8bbc3a30150d0bd9dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","FRDAG2100040","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-11T07:11:16Z"
"spotify:track:6hmfvoVTNKsev2whMLjRjQ","Dead","spotify:artist:6N8vbhxZ0CYJHd8WGJ9Snf","AVEC","spotify:album:6u7QPxWQ9UUm8DRZWAIRUP","What If We Never Forget","spotify:artist:6N8vbhxZ0CYJHd8WGJ9Snf","AVEC","2016-09-23","https://i.scdn.co/image/ab67616d0000b273a04113370ecac77c4fd5399c","1","7","173585","https://p.scdn.co/mp3-preview/f1ca9792d91dd0d7eed06c0b999496981e0bb01d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","ATWF51500048","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-11T07:56:32Z"
"spotify:track:7bIF7LS9GWFQ6sbAmlFtYc","Boom, boom click!","spotify:artist:7hrruNuPITt3N9zLMdbjGz","Saint Privat","spotify:album:3hWnbksqVNqe9ntx5jcUJr","20 Years Dope Noir - Blue Album","spotify:artist:7hrruNuPITt3N9zLMdbjGz, spotify:artist:7r1EZooDnCftDgMwrFXyf3","Saint Privat, Waldeck Sextet","2022-04-29","https://i.scdn.co/image/ab67616d0000b27338829ea3f41a8442cdd78822","1","1","165533","https://p.scdn.co/mp3-preview/77d2bdbd0ac00fdcb84c5209d9c83f035f94a3f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","ATR982661981","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-11T08:03:39Z"
"spotify:track:0eerOylUIOjlGLYdxOn0ug","Dummy","spotify:artist:4kI8Ie27vjvonwaB2ePh8T","Portugal. The Man","spotify:album:6H2pOaXUBIDKMTZmedEhrk","Dummy","spotify:artist:4kI8Ie27vjvonwaB2ePh8T","Portugal. The Man","2023-03-01","https://i.scdn.co/image/ab67616d0000b273a9c3cd9374b929b927e982c2","1","1","145093","https://p.scdn.co/mp3-preview/82c01f36f71aec1b166107f3f44b4e33b819cef3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USAT22222682","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-11T08:41:06Z"
"spotify:track:1CvYa7uK1o1YU9k8liIdRB","Fine Anyway","spotify:artist:6UFqtFCNxhYqsQ1QRF6HRd","Rogér Fakhr","spotify:album:2SUgDf5a0P3u98kdkEBF3R","Fine Anyway (Habibi Funk 016)","spotify:artist:6UFqtFCNxhYqsQ1QRF6HRd","Rogér Fakhr","2021-04-09","https://i.scdn.co/image/ab67616d0000b273edf663e5b94f4c4373989290","1","3","163437","https://p.scdn.co/mp3-preview/41ec3fb3f621dd648a79b01c324027704a053a25?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","DESY21401225","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-13T21:51:48Z"
"spotify:track:7jA96NR1NL1p1xV3iuMHD6","I Wonder","spotify:artist:6EmD2wtIOZ2WEWp0w9Zyxp","Ella Grace","spotify:album:2fJ4i5B6nSaz2KjOK7JQEN","Reverence","spotify:artist:6EmD2wtIOZ2WEWp0w9Zyxp","Ella Grace","2021-04-20","https://i.scdn.co/image/ab67616d0000b273a7ec2991744af1b91603bc0f","1","2","146667","https://p.scdn.co/mp3-preview/426363c05ee8292ed06115a8ae00d6cd99e24ff0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","UKY9N2000102","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-24T05:02:18Z"
"spotify:track:07J5gvVBcXUPcsa9KVYwHu","Old Downtown","spotify:artist:0TNyEQ0n7diilLgG1ozfrB","Camp Claude","spotify:album:5PBqGLgvSKClWG2nc8jnQJ","Double Dreaming","spotify:artist:0TNyEQ0n7diilLgG1ozfrB","Camp Claude","2019-03-08","https://i.scdn.co/image/ab67616d0000b273142d99e0acee430f1b3ad587","1","4","169906","https://p.scdn.co/mp3-preview/b32535bbdf34f13c4cc8526b625d7dbdad0102df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","FR96X1894398","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-24T07:40:04Z"
"spotify:track:3sDSp2WH8w3oEOtq0G1YJ1","Marguerite","spotify:artist:64s6yr2vWCKyr5Ldwaslwk","Iliona","spotify:album:3M9I8N6CuAPJLNUHuMKsVv","Tristesse","spotify:artist:64s6yr2vWCKyr5Ldwaslwk","Iliona","2021-02-05","https://i.scdn.co/image/ab67616d0000b2739f4020eafca96f44b2194b84","1","7","154162","https://p.scdn.co/mp3-preview/4a6cbc06a796a919af7dab2c83210d4d728e12c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","FR3IV2000240","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-03-24T08:06:08Z"
