"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3ivM56zWUyto7hp01jTyHX","Danger","spotify:artist:0Z2m2UCTzEavMFLvyRCQSb","Vince De Vera & Jason Garner","spotify:album:2WJi7JBYNsVuscCX7j8AkB","Don't Starve (Original Soundtrack)","spotify:artist:3UpCiZ6G1JD38tewzRG1pr, spotify:artist:7vT9tGoKgT2cp1Xdmdasqh","Vince De Vera, Jason Garner","2013-04-23","https://i.scdn.co/image/ab67616d0000b2739ba269cfd0d33ec064a70e7d","1","4","66976","https://p.scdn.co/mp3-preview/31773eef4dd94a801a6082c0cbf169938d6faeb2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","TCABN1365588","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-12-04T09:49:50Z"
"spotify:track:6sdLRqe81XJixJe6CbFadL","Battleblock Theater - Wicked Mummy","spotify:artist:5TVfuZVGf8ALAdPhiskKnN","Patric Catani","spotify:album:1pXXzziYUZ2yVfuxKIHHUA","Video Game Music","spotify:artist:5TVfuZVGf8ALAdPhiskKnN","Patric Catani","2014-01-24","https://i.scdn.co/image/ab67616d0000b273e05bd2bcdda1a6117d7e9063","1","2","187572","https://p.scdn.co/mp3-preview/9dbcc421eb274722873703ffbf35375c8c01ecac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","DEW011401926","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-12-04T09:49:54Z"
"spotify:track:33Ry1glkDeeIk3yMQG3UCT","Garbage Day","spotify:artist:5ILrUwUCNUh1xsNFeyla89","Daniel Koestner","spotify:album:6SFBSlMnqv8xd2aQcagqaq","Donut County (Original Soundtrack)","spotify:artist:5ILrUwUCNUh1xsNFeyla89","Daniel Koestner","2018-08-28","https://i.scdn.co/image/ab67616d0000b2734b60a62bcf083f014eb86b32","1","1","167407","https://p.scdn.co/mp3-preview/cc643274656be70d3d3691109a06b739cf89d032?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","TCADT1895989","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-12-04T09:51:13Z"
"spotify:track:3KHGlSivruvImvXUsvBruF","Now I Am Become Death","spotify:artist:63OPPk7uHFdcpTuOFYpNfV, spotify:artist:0TOz0Osk0sg7XT7Msk352e","Chris Christodoulou, Christos Spirakis","spotify:album:1qZEvrm989y7uYfJhhGCaB","Deadbolt","spotify:artist:63OPPk7uHFdcpTuOFYpNfV","Chris Christodoulou","2017-08-30","https://i.scdn.co/image/ab67616d0000b2730dd0a68edf7d1d9fb270bdc5","1","1","294512","https://p.scdn.co/mp3-preview/67e751e740c86cd01db9a4389018d7cf42152183?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USE831550906","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-12-04T09:57:01Z"
"spotify:track:0Cfypy0MtNmMeAkO8YGfAO","Rockmen (Battle)","spotify:artist:546MXGKJRNfO5to1oqkfqe","Ben Prunty","spotify:album:7us4WRnwvqCE3cppHVNjIu","Ftl: Faster Than Light - Original Soundtrack","spotify:artist:546MXGKJRNfO5to1oqkfqe","Ben Prunty","2012-09-14","https://i.scdn.co/image/ab67616d0000b273771656be2fd0cc9c38fee74c","1","24","211055","https://p.scdn.co/mp3-preview/2a185ac84f71d359078c72804fb148bcd73ccc24?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","TCABO1396069","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-12-06T09:47:18Z"
"spotify:track:3JAOnEL4o9A2ZHUlFHA4vu","The Fish And The Whale (End Credits)","spotify:artist:0HIiXblDOFPXxkuI35wOMx","A Shell In The Pit","spotify:album:4ZChNgZNq3qPSdiS9keYPM","Rogue Legacy Original Soundtrack","spotify:artist:0nDn6EojHXSCPvOrtj7yYq","Tettix & A Shell in the Pit","2013-11-04","https://i.scdn.co/image/ab67616d0000b2734144f25b74e257e6de40464e","1","1","155789","https://p.scdn.co/mp3-preview/fb14f7b77e6f96df3266dde491b7fbba87489544?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USE830909594","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-12-06T09:48:06Z"
"spotify:track:1mneFHTW6aovLRyeBf8dDL","Title","spotify:artist:2msAsizgFUJio7s8sgme16","Alec Holowka","spotify:album:0f0tXQKGvvaYRsVZrzr4O8","Night in the Woods (Original Soundtrack, Vol. 1) [At the End of Everything]","spotify:artist:2msAsizgFUJio7s8sgme16","Alec Holowka","2017-02-21","https://i.scdn.co/image/ab67616d0000b273c1ae29bb5e7e53c17b4a4fd8","1","2","225700","https://p.scdn.co/mp3-preview/dd8f871330d23b392cfc19e9d439de5c94718587?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","TCAED1902823","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-12-06T10:01:39Z"
"spotify:track:34lr5hJJ7IQrYDA2Gij8py","Fall 'n' Roll (from ""Fall Guys"")","spotify:artist:3Pc4rifKK1cGDjk2bSNe8U","Game & Sound","spotify:album:6NVIocKHtoYQpvh00noBFj","Fall 'n' Roll (from ""Fall Guys"")","spotify:artist:3Pc4rifKK1cGDjk2bSNe8U","Game & Sound","2021-06-14","https://i.scdn.co/image/ab67616d0000b27361d064a2c034988135e288dd","1","1","195000","","false","0","QZGWX2015350","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-12-13T13:30:14Z"
"spotify:track:3uRikCofTghf4GBr5NXH1K","Disco Descent","spotify:artist:2CivYlBeDSjMj9Azw9cIHB","Danny Baranowsky","spotify:album:3nZQnXN0pPRe4QccJXHPS6","Crypt of the Necrodancer (Original Game Soundtrack)","spotify:artist:2CivYlBeDSjMj9Azw9cIHB","Danny Baranowsky","2015-04-28","https://i.scdn.co/image/ab67616d0000b273735452bc4bcbb34782034840","1","4","180782","https://p.scdn.co/mp3-preview/b3d2afe446e50ea39040118cbc09fd2fdbd15978?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USQY51560135","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-01-15T18:10:09Z"
"spotify:track:7D07YUQSSUsT88l6NzcTfk","The Battle of Lil' Slugger (Ch 1 Boss)","spotify:artist:2CivYlBeDSjMj9Azw9cIHB","Danny Baranowsky","spotify:album:1a4TATTxo7fdfqYxn2uMFN","Super Meat Boy! - Official Special Edition Soundtrack","spotify:artist:2CivYlBeDSjMj9Azw9cIHB","Danny Baranowsky","2011-11-25","https://i.scdn.co/image/ab67616d0000b2734655a98284f1ab6841c6a474","1","5","134400","https://p.scdn.co/mp3-preview/0b86ada841c516f2fdaf7c6950baaa5b5638b40c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","TCABD1110282","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2023-02-04T17:06:23Z"
