"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2fCdOF4nBAeQaXW84WjoiU","Geyser","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","spotify:album:42cH7mrkfljkqkxA2Ip9Xq","Be the Cowboy","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","2018-08-17","https://i.scdn.co/image/ab67616d0000b273c428f67b4a9b7e1114dfc117","1","1","143570","https://p.scdn.co/mp3-preview/5d5d59c3ac33a2d998c01de9b32582bebea7ea38?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USJ5G1815001","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T21:39:44Z"
"spotify:track:2nifujUVU1XyhTSHI2kQ8g","Why Didn't You Stop Me?","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","spotify:album:42cH7mrkfljkqkxA2Ip9Xq","Be the Cowboy","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","2018-08-17","https://i.scdn.co/image/ab67616d0000b273c428f67b4a9b7e1114dfc117","1","2","141978","https://p.scdn.co/mp3-preview/e41b32fe2b9cfb97d32d5bb8a40d98b6cbac810b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USJ5G1815002","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T21:39:44Z"
"spotify:track:6zg1bV9ESNLTmtB0Os3FA4","Old Friend","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","spotify:album:42cH7mrkfljkqkxA2Ip9Xq","Be the Cowboy","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","2018-08-17","https://i.scdn.co/image/ab67616d0000b273c428f67b4a9b7e1114dfc117","1","3","112910","https://p.scdn.co/mp3-preview/5742c4b4676b63445078d5ed41b9d1d263a7c94b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USJ5G1815003","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T21:39:44Z"
"spotify:track:7fd3aMiuwHWKsTdZafjOfZ","A Pearl","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","spotify:album:42cH7mrkfljkqkxA2Ip9Xq","Be the Cowboy","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","2018-08-17","https://i.scdn.co/image/ab67616d0000b273c428f67b4a9b7e1114dfc117","1","4","156145","https://p.scdn.co/mp3-preview/811e44af9fb03849a52a6d349b009c2c6299f821?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USJ5G1815004","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T21:39:44Z"
"spotify:track:3bjPPTMGBp8e36BYJaXDO2","Lonesome Love","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","spotify:album:42cH7mrkfljkqkxA2Ip9Xq","Be the Cowboy","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","2018-08-17","https://i.scdn.co/image/ab67616d0000b273c428f67b4a9b7e1114dfc117","1","5","110919","https://p.scdn.co/mp3-preview/402d24ff46521e7c30c4af937b8d8c9a93501429?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","USJ5G1815005","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T21:39:44Z"
"spotify:track:6QqUgSjdtWhqsEdz72XhCD","Remember My Name","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","spotify:album:42cH7mrkfljkqkxA2Ip9Xq","Be the Cowboy","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","2018-08-17","https://i.scdn.co/image/ab67616d0000b273c428f67b4a9b7e1114dfc117","1","6","135313","https://p.scdn.co/mp3-preview/12a498953ac4dd7f35ea0889c4a95b8967f39563?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USJ5G1815006","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T21:39:44Z"
"spotify:track:3pANfZVFdtuVnJsE6xa5Ox","Me and My Husband","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","spotify:album:42cH7mrkfljkqkxA2Ip9Xq","Be the Cowboy","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","2018-08-17","https://i.scdn.co/image/ab67616d0000b273c428f67b4a9b7e1114dfc117","1","7","137141","https://p.scdn.co/mp3-preview/adbd8775d24b2efd3e5289ddebf5810826878346?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USJ5G1815007","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T21:39:44Z"
"spotify:track:6DkFiavp15l8YTHQXuFuEZ","Come into the Water","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","spotify:album:42cH7mrkfljkqkxA2Ip9Xq","Be the Cowboy","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","2018-08-17","https://i.scdn.co/image/ab67616d0000b273c428f67b4a9b7e1114dfc117","1","8","92384","https://p.scdn.co/mp3-preview/970f3a990b69dbfdc3b351bbd777a4d8e9672b13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USJ5G1815008","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T21:39:44Z"
"spotify:track:2P5yIMu2DNeMXTyOANKS6k","Nobody","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","spotify:album:42cH7mrkfljkqkxA2Ip9Xq","Be the Cowboy","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","2018-08-17","https://i.scdn.co/image/ab67616d0000b273c428f67b4a9b7e1114dfc117","1","9","193429","https://p.scdn.co/mp3-preview/d1f924f6d78addbc223d141f37fa68d3f230bd4f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USJ5G1815009","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T21:39:44Z"
"spotify:track:51vArgRF64yIWk3JIcRITo","Pink in the Night","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","spotify:album:42cH7mrkfljkqkxA2Ip9Xq","Be the Cowboy","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","2018-08-17","https://i.scdn.co/image/ab67616d0000b273c428f67b4a9b7e1114dfc117","1","10","136667","https://p.scdn.co/mp3-preview/732e247e2f4046861f7394ed2b99aa44a0195d2f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USJ5G1815010","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T21:39:44Z"
