"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1BWOUFGSAbPzrhZxDMno2K","Nice and Quiet","spotify:artist:6IiZemRMna678qNhiRkYI5","Bedouine","spotify:album:5xkDtosZAm6qiGyRFc6ocB","Bedouine (Deluxe)","spotify:artist:6IiZemRMna678qNhiRkYI5","Bedouine","2017-06-23","https://i.scdn.co/image/ab67616d0000b273ff71a475e2a24897a70063cc","1","1","231066","https://p.scdn.co/mp3-preview/29208909786762b981219f8face6a2df556b548d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","QMDN21700012","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-25T15:24:31Z"
"spotify:track:3azlo5j5KZPq3qlFlGSDiH","One of These Days","spotify:artist:6IiZemRMna678qNhiRkYI5","Bedouine","spotify:album:5xkDtosZAm6qiGyRFc6ocB","Bedouine (Deluxe)","spotify:artist:6IiZemRMna678qNhiRkYI5","Bedouine","2017-06-23","https://i.scdn.co/image/ab67616d0000b273ff71a475e2a24897a70063cc","1","2","178720","https://p.scdn.co/mp3-preview/ba768ed0172772c59b8fa0d2219a0a7fc568d4ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","QMDN21700013","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-25T15:24:31Z"
"spotify:track:3R1Z6s9cYdq1PoIo0HlJqA","Back To You","spotify:artist:6IiZemRMna678qNhiRkYI5","Bedouine","spotify:album:5xkDtosZAm6qiGyRFc6ocB","Bedouine (Deluxe)","spotify:artist:6IiZemRMna678qNhiRkYI5","Bedouine","2017-06-23","https://i.scdn.co/image/ab67616d0000b273ff71a475e2a24897a70063cc","1","3","267040","https://p.scdn.co/mp3-preview/e8ef30bd3795db99c8b41d74dbf1283094f17531?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","QMDN21700015","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-25T15:24:31Z"
"spotify:track:3InUgSk89qd5gs6Yv20070","Dusty Eyes","spotify:artist:6IiZemRMna678qNhiRkYI5","Bedouine","spotify:album:5xkDtosZAm6qiGyRFc6ocB","Bedouine (Deluxe)","spotify:artist:6IiZemRMna678qNhiRkYI5","Bedouine","2017-06-23","https://i.scdn.co/image/ab67616d0000b273ff71a475e2a24897a70063cc","1","4","277773","https://p.scdn.co/mp3-preview/ccd45cc51344ca5f1f6d6ac4e5ff0ad247a60668?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","QMDN21700014","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-25T15:24:31Z"
"spotify:track:0IbMVC9W3CycP37z4LDvtF","Solitary Daughter","spotify:artist:6IiZemRMna678qNhiRkYI5","Bedouine","spotify:album:5xkDtosZAm6qiGyRFc6ocB","Bedouine (Deluxe)","spotify:artist:6IiZemRMna678qNhiRkYI5","Bedouine","2017-06-23","https://i.scdn.co/image/ab67616d0000b273ff71a475e2a24897a70063cc","1","5","260440","https://p.scdn.co/mp3-preview/cfd83201d70264b190ca245e190e8614b55c9bec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","QMDN21700016","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-25T15:24:31Z"
"spotify:track:2XmPnz6W7leSKH7zF8Nc21","Summer Cold","spotify:artist:6IiZemRMna678qNhiRkYI5","Bedouine","spotify:album:5xkDtosZAm6qiGyRFc6ocB","Bedouine (Deluxe)","spotify:artist:6IiZemRMna678qNhiRkYI5","Bedouine","2017-06-23","https://i.scdn.co/image/ab67616d0000b273ff71a475e2a24897a70063cc","1","6","168200","https://p.scdn.co/mp3-preview/77ef9e69e258366cf695f6c69e77c6dc7329a37f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","QMDN21700017","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-25T15:24:31Z"
"spotify:track:22JgwFt7sfu3yXzCSjHxHw","Mind's Eye","spotify:artist:6IiZemRMna678qNhiRkYI5","Bedouine","spotify:album:5xkDtosZAm6qiGyRFc6ocB","Bedouine (Deluxe)","spotify:artist:6IiZemRMna678qNhiRkYI5","Bedouine","2017-06-23","https://i.scdn.co/image/ab67616d0000b273ff71a475e2a24897a70063cc","1","7","194160","https://p.scdn.co/mp3-preview/7d8cc830388a1617e41d987bcb606970874781e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","QMDN21700018","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-25T15:24:31Z"
"spotify:track:2HBi6esCXDVM71wSRB3jKe","You Kill Me","spotify:artist:6IiZemRMna678qNhiRkYI5","Bedouine","spotify:album:5xkDtosZAm6qiGyRFc6ocB","Bedouine (Deluxe)","spotify:artist:6IiZemRMna678qNhiRkYI5","Bedouine","2017-06-23","https://i.scdn.co/image/ab67616d0000b273ff71a475e2a24897a70063cc","1","8","253320","https://p.scdn.co/mp3-preview/1cd60e0c768f3f6dc717d74b422ad011cb6bf16d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","QMDN21700019","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-25T15:24:31Z"
"spotify:track:0oX1BNEV2uUAPqZlN9O2QA","Heart Take Flight","spotify:artist:6IiZemRMna678qNhiRkYI5","Bedouine","spotify:album:5xkDtosZAm6qiGyRFc6ocB","Bedouine (Deluxe)","spotify:artist:6IiZemRMna678qNhiRkYI5","Bedouine","2017-06-23","https://i.scdn.co/image/ab67616d0000b273ff71a475e2a24897a70063cc","1","9","225653","https://p.scdn.co/mp3-preview/062e3248c5d61e1986f38879f6a5d386f8f537bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","QMDN21700021","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-25T15:24:31Z"
"spotify:track:4ZkwSYLBfx7VxMms0dpUgC","Skyline","spotify:artist:6IiZemRMna678qNhiRkYI5","Bedouine","spotify:album:5xkDtosZAm6qiGyRFc6ocB","Bedouine (Deluxe)","spotify:artist:6IiZemRMna678qNhiRkYI5","Bedouine","2017-06-23","https://i.scdn.co/image/ab67616d0000b273ff71a475e2a24897a70063cc","1","10","149093","https://p.scdn.co/mp3-preview/60c47b5f1a59b035485dbb1f87384beb6431ab1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","QMDN21700020","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-25T15:24:31Z"
"spotify:track:2kHPEQ5KZTAObiZT1cHSPU","Louise - Bonus Track","spotify:artist:6IiZemRMna678qNhiRkYI5","Bedouine","spotify:album:5xkDtosZAm6qiGyRFc6ocB","Bedouine (Deluxe)","spotify:artist:6IiZemRMna678qNhiRkYI5","Bedouine","2017-06-23","https://i.scdn.co/image/ab67616d0000b273ff71a475e2a24897a70063cc","1","11","191226","https://p.scdn.co/mp3-preview/25fd66fbf452f7a7de42edd7df14c4b5fccb5055?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","QMDN21700024","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-25T15:24:31Z"
"spotify:track:4fK1mRZde5WCrjHXx1359T","Deep Space - Bonus Track","spotify:artist:6IiZemRMna678qNhiRkYI5","Bedouine","spotify:album:5xkDtosZAm6qiGyRFc6ocB","Bedouine (Deluxe)","spotify:artist:6IiZemRMna678qNhiRkYI5","Bedouine","2017-06-23","https://i.scdn.co/image/ab67616d0000b273ff71a475e2a24897a70063cc","1","12","159265","https://p.scdn.co/mp3-preview/8f226ab85bd25b2e66b04786dbbac14db88a2895?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","QMDN21700025","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-25T15:24:31Z"
