"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0NaU4I4x6dGFBxaMoAFBow","Survival","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","spotify:album:1saoZHjleM0tAQQoCvpMrB","Bedtime Stories","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","1994-10-25","https://i.scdn.co/image/ab67616d0000b273b475f7c3c7720e5fd9c24249","1","1","211373","https://p.scdn.co/mp3-preview/f6d36c96bcc13019de9e88586ea073317fcfd49b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USWB19400262","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:44:29Z"
"spotify:track:15FcP9qwmIKqaD5NhfhNpu","Secret","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","spotify:album:1saoZHjleM0tAQQoCvpMrB","Bedtime Stories","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","1994-10-25","https://i.scdn.co/image/ab67616d0000b273b475f7c3c7720e5fd9c24249","1","2","304933","https://p.scdn.co/mp3-preview/444697ae83ba4fdd422d6f2daa50f30bd7b8364f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USWB19400263","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:44:29Z"
"spotify:track:0R3yZfMz44HNbeALPc93XZ","I'd Rather Be Your Lover","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","spotify:album:1saoZHjleM0tAQQoCvpMrB","Bedtime Stories","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","1994-10-25","https://i.scdn.co/image/ab67616d0000b273b475f7c3c7720e5fd9c24249","1","3","279733","https://p.scdn.co/mp3-preview/bba7c341807ba7c02b82048e457736131e599972?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USWB19400264","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:44:29Z"
"spotify:track:6eB4UdPtmFYzT8JEhKj5tt","Don't Stop","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW, spotify:artist:2MxRuu6aDaHC5wBVDN1LLV","Madonna, Daniel Abraham","spotify:album:1saoZHjleM0tAQQoCvpMrB","Bedtime Stories","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","1994-10-25","https://i.scdn.co/image/ab67616d0000b273b475f7c3c7720e5fd9c24249","1","4","278133","https://p.scdn.co/mp3-preview/ba7c056ccae7a3143f9c0579d439bf92098784c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USWB19400265","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:44:29Z"
"spotify:track:0u6SzAN3aBaI2v8d2GrFdG","Inside of Me","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","spotify:album:1saoZHjleM0tAQQoCvpMrB","Bedtime Stories","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","1994-10-25","https://i.scdn.co/image/ab67616d0000b273b475f7c3c7720e5fd9c24249","1","5","251933","https://p.scdn.co/mp3-preview/1dba8317c2c54a30777a8f1bbea43e0b4dfeeb0c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USWB19400266","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:44:29Z"
"spotify:track:4Cna7QxOOTNnylVHLtShCi","Human Nature","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","spotify:album:1saoZHjleM0tAQQoCvpMrB","Bedtime Stories","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","1994-10-25","https://i.scdn.co/image/ab67616d0000b273b475f7c3c7720e5fd9c24249","1","6","293933","https://p.scdn.co/mp3-preview/5357322966e8267bc7003d65cff59c5923b1711f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USWB19400267","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:44:29Z"
"spotify:track:5mAXJZc79Zqyclv01jCFtT","Forbidden Love","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","spotify:album:1saoZHjleM0tAQQoCvpMrB","Bedtime Stories","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","1994-10-25","https://i.scdn.co/image/ab67616d0000b273b475f7c3c7720e5fd9c24249","1","7","249253","https://p.scdn.co/mp3-preview/0db36e13df3756aabf6d7960bb2fe40287204d5e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USWB19400268","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:44:29Z"
"spotify:track:1bldGtiBMkXpSCzAiH7j6r","Love Tried to Welcome Me","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","spotify:album:1saoZHjleM0tAQQoCvpMrB","Bedtime Stories","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","1994-10-25","https://i.scdn.co/image/ab67616d0000b273b475f7c3c7720e5fd9c24249","1","8","321426","https://p.scdn.co/mp3-preview/573de942c3acaa63f8f8e63baba266811de4d75f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","USWB19400269","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:44:29Z"
"spotify:track:5vx8H6cFunr9wl2hhBIrvj","Sanctuary","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW, spotify:artist:1l7aiSjBGkQiyTuQYTigAP","Madonna, Nellee Hooper","spotify:album:1saoZHjleM0tAQQoCvpMrB","Bedtime Stories","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","1994-10-25","https://i.scdn.co/image/ab67616d0000b273b475f7c3c7720e5fd9c24249","1","9","303133","https://p.scdn.co/mp3-preview/8f71871b31f71cb8056cd5207e82dcb22f92c26f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","USWB19400270","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:44:29Z"
"spotify:track:1dOXmR1VsGmkM9c72ka0je","Bedtime Story","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","spotify:album:1saoZHjleM0tAQQoCvpMrB","Bedtime Stories","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","1994-10-25","https://i.scdn.co/image/ab67616d0000b273b475f7c3c7720e5fd9c24249","1","10","292906","https://p.scdn.co/mp3-preview/548245636bd70ab99fe54101ea89fdb241b401d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USWB19400271","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:44:29Z"
