"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1Lnf8jEyBveUSAFsXncARh","Günaydın","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","spotify:album:4lY2085XvdezeHAbLPJvp3","Benimle Oynar Mısın","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","1993-04-15","https://i.scdn.co/image/ab67616d0000b2731e2894867258adc2a562384f","1","1","124800","https://p.scdn.co/mp3-preview/ca7ac5c13dcdf7a1bd14753c336557193ebc1afc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","TR5460700084","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-10T19:51:50Z"
"spotify:track:4C7RTN7UDtH6YiVmfiLeDF","Kediler","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","spotify:album:4lY2085XvdezeHAbLPJvp3","Benimle Oynar Mısın","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","1993-04-15","https://i.scdn.co/image/ab67616d0000b2731e2894867258adc2a562384f","1","2","213960","https://p.scdn.co/mp3-preview/77c9ccaabbc286717063d0810e50cfb13b71bee1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","TR5460700085","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-10T19:51:50Z"
"spotify:track:0pnC8KYOumEqzYDALFQNAL","Olmalı mı Olmamalı mı","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","spotify:album:4lY2085XvdezeHAbLPJvp3","Benimle Oynar Mısın","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","1993-04-15","https://i.scdn.co/image/ab67616d0000b2731e2894867258adc2a562384f","1","3","131400","https://p.scdn.co/mp3-preview/ad348f8861b7c270096191c26ed98d829ce2bd0a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","TR5460700086","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-10T19:51:50Z"
"spotify:track:1blg8wO8frpqaur2Oh4zz7","Anlamsız","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","spotify:album:4lY2085XvdezeHAbLPJvp3","Benimle Oynar Mısın","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","1993-04-15","https://i.scdn.co/image/ab67616d0000b2731e2894867258adc2a562384f","1","4","94560","https://p.scdn.co/mp3-preview/01c048bed4ea060e6fc1423075c9bc140686b9d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","TR5460700087","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-10T19:51:50Z"
"spotify:track:2Av1szCH9pKPkwoewuCuiD","Herşey sevgiyle başlar","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","spotify:album:4lY2085XvdezeHAbLPJvp3","Benimle Oynar Mısın","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","1993-04-15","https://i.scdn.co/image/ab67616d0000b2731e2894867258adc2a562384f","1","5","185760","https://p.scdn.co/mp3-preview/618362a4fbf20f63d47f26c7a456a64f59cb41e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","TR5460700088","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-10T19:51:50Z"
"spotify:track:1orAbS5aIzarSEmp0cl8Qp","Suna abla","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","spotify:album:4lY2085XvdezeHAbLPJvp3","Benimle Oynar Mısın","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","1993-04-15","https://i.scdn.co/image/ab67616d0000b2731e2894867258adc2a562384f","1","6","114720","https://p.scdn.co/mp3-preview/03841765c86ed0fd2f23e9e113959280361b9e8d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","TR5460700089","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-10T19:51:50Z"
"spotify:track:3HEu0H6SI7szs3WXwxFjHk","Bahar türküsü","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","spotify:album:4lY2085XvdezeHAbLPJvp3","Benimle Oynar Mısın","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","1993-04-15","https://i.scdn.co/image/ab67616d0000b2731e2894867258adc2a562384f","1","7","143880","https://p.scdn.co/mp3-preview/b8e4d160be5b62d963f18ef4a492ebe34f3dbf95?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","TR5460700090","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-10T19:51:50Z"
"spotify:track:69QnkvrvdrIf81NhNPF6Ca","Benimle Oynarmısın","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","spotify:album:4lY2085XvdezeHAbLPJvp3","Benimle Oynar Mısın","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","1993-04-15","https://i.scdn.co/image/ab67616d0000b2731e2894867258adc2a562384f","1","8","144240","https://p.scdn.co/mp3-preview/cb1fface3481395508fad60ded793992db3c469a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","TR5460700091","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-10T19:51:50Z"
"spotify:track:5PgyibXgk8CTpjmTb8Crak","Yağmur","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","spotify:album:4lY2085XvdezeHAbLPJvp3","Benimle Oynar Mısın","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","1993-04-15","https://i.scdn.co/image/ab67616d0000b2731e2894867258adc2a562384f","1","9","154560","https://p.scdn.co/mp3-preview/eb268923770508f4a0587b56756ba66912baf44f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","TR5460700092","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-10T19:51:50Z"
"spotify:track:2zqFJkNs57kZsc6czGzoQC","Sen varsın","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","spotify:album:4lY2085XvdezeHAbLPJvp3","Benimle Oynar Mısın","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","1993-04-15","https://i.scdn.co/image/ab67616d0000b2731e2894867258adc2a562384f","1","10","131760","https://p.scdn.co/mp3-preview/c69a67e9e7eeab08df3ecb8582f19d31d1f9aeba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","TR5460700093","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-10T19:51:50Z"
"spotify:track:4ADMKCEQldRmN7Ky5UwDym","Yüzünü dökme küçük kız","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","spotify:album:4lY2085XvdezeHAbLPJvp3","Benimle Oynar Mısın","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","1993-04-15","https://i.scdn.co/image/ab67616d0000b2731e2894867258adc2a562384f","1","11","138720","https://p.scdn.co/mp3-preview/3cd3396465f674223c37f87fd99fa4bf20d477ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","TR5460700094","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-10T19:51:50Z"
"spotify:track:4diTIu1x9lgi9QUGGPUNHj","Şık latife","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","spotify:album:4lY2085XvdezeHAbLPJvp3","Benimle Oynar Mısın","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","1993-04-15","https://i.scdn.co/image/ab67616d0000b2731e2894867258adc2a562384f","1","12","174600","https://p.scdn.co/mp3-preview/90061b9f6d35d2a3683d1a8401e70b0514b5d396?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","TR5460700095","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-10T19:51:50Z"
"spotify:track:1lRbLt5bqOkXJTdpLDLt0N","Dört kişili düş","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","spotify:album:4lY2085XvdezeHAbLPJvp3","Benimle Oynar Mısın","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","1993-04-15","https://i.scdn.co/image/ab67616d0000b2731e2894867258adc2a562384f","1","13","193800","https://p.scdn.co/mp3-preview/c38cb6748b7977da94ad02a996f305485937afc2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","TR5460700096","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-10T19:51:50Z"
"spotify:track:7KdiQd92pH4FvwAOUpSP0l","Günaydın 2","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","spotify:album:4lY2085XvdezeHAbLPJvp3","Benimle Oynar Mısın","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","1993-04-15","https://i.scdn.co/image/ab67616d0000b2731e2894867258adc2a562384f","1","14","113760","https://p.scdn.co/mp3-preview/8fc42261f744ad68263ea10e7244686bde0855e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","TR5460700097","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-10T19:51:50Z"
