"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6jYg11pUUvtqbOUk5A9Dld","Dancing On The Ceiling","spotify:artist:3gMaNLQm7D9MornNILzdSl","Lionel Richie","spotify:album:0zkMNW1yQlHMIXQDOM6LT8","Best of 80s","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2021-01-15","https://i.scdn.co/image/ab67616d0000b273d3ee7afb9f5301d27b1d85b0","1","1","272280","","false","0","USMO18682745","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-07T09:03:38Z"
"spotify:track:2prdqy5XSz7SuHkOS2jpdG","Summer Of '69","spotify:artist:3Z02hBLubJxuFJfhacLSDc","Bryan Adams","spotify:album:0zkMNW1yQlHMIXQDOM6LT8","Best of 80s","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2021-01-15","https://i.scdn.co/image/ab67616d0000b273d3ee7afb9f5301d27b1d85b0","1","2","217493","","false","0","USAM18490006","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-07T09:03:38Z"
"spotify:track:4Iwzy0R1DJtLcp8sAKLpEa","You Give Love A Bad Name","spotify:artist:58lV9VcRSjABbAbfWS6skp","Bon Jovi","spotify:album:0zkMNW1yQlHMIXQDOM6LT8","Best of 80s","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2021-01-15","https://i.scdn.co/image/ab67616d0000b273d3ee7afb9f5301d27b1d85b0","1","3","223146","","false","0","USPR39402224","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-07T09:03:38Z"
"spotify:track:5mIJ9wlpyEDTo0JcxehibR","Red Red Wine","spotify:artist:69MEO1AADKg1IZrq2XLzo5","UB40","spotify:album:0zkMNW1yQlHMIXQDOM6LT8","Best of 80s","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2021-01-15","https://i.scdn.co/image/ab67616d0000b273d3ee7afb9f5301d27b1d85b0","1","4","319306","","false","0","GBAAA8300041","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-07T09:03:38Z"
"spotify:track:77eGBa0yX4Vk2mG6eeaU1t","I'm Coming Out","spotify:artist:3MdG05syQeRYPPcClLaUGl","Diana Ross","spotify:album:0zkMNW1yQlHMIXQDOM6LT8","Best of 80s","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2021-01-15","https://i.scdn.co/image/ab67616d0000b273d3ee7afb9f5301d27b1d85b0","1","5","325266","","false","0","USMO18000073","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-07T09:03:38Z"
"spotify:track:4GjMHrhWVO9xpYAgT66X62","Super Freak","spotify:artist:0FrpdcVlJQqibaz5HfBUrL","Rick James","spotify:album:0zkMNW1yQlHMIXQDOM6LT8","Best of 80s","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2021-01-15","https://i.scdn.co/image/ab67616d0000b273d3ee7afb9f5301d27b1d85b0","1","6","204600","","false","0","USMO18100048","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-07T09:03:38Z"
"spotify:track:63M4FT9WaErGFd12OsJM8v","You Make Me Feel (Mighty Real)","spotify:artist:5TGTpu4g8siFOIctZuQO7y","Sylvester","spotify:album:0zkMNW1yQlHMIXQDOM6LT8","Best of 80s","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2021-01-15","https://i.scdn.co/image/ab67616d0000b273d3ee7afb9f5301d27b1d85b0","1","7","394306","","false","0","USFI87800059","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-07T09:03:38Z"
"spotify:track:62AEMD0rITc77d3qZZKYLh","Don't You Want Me","spotify:artist:1aX2dmV8XoHYCOQRxjPESG","The Human League","spotify:album:0zkMNW1yQlHMIXQDOM6LT8","Best of 80s","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2021-01-15","https://i.scdn.co/image/ab67616d0000b273d3ee7afb9f5301d27b1d85b0","1","8","236920","","false","0","GBAAA0200924","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-07T09:03:38Z"
"spotify:track:3f798nYbwckafOXZQ7LphS","Everybody Wants To Rule The World","spotify:artist:4bthk9UfsYUYdcFyqxmSUU","Tears For Fears","spotify:album:0zkMNW1yQlHMIXQDOM6LT8","Best of 80s","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2021-01-15","https://i.scdn.co/image/ab67616d0000b273d3ee7afb9f5301d27b1d85b0","1","9","253400","","false","0","GBF088590110","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-07T09:03:38Z"
"spotify:track:0W4oqxYsgVUreQmF4u3zu4","The Look Of Love, Pt.1","spotify:artist:2s79xe5F6eUQkjwjww27Fh","ABC","spotify:album:0zkMNW1yQlHMIXQDOM6LT8","Best of 80s","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2021-01-15","https://i.scdn.co/image/ab67616d0000b273d3ee7afb9f5301d27b1d85b0","1","10","210373","","false","0","GBF088200008","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-07T09:03:38Z"
