"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6BfdnfL4MhcPwGTexstLCD","Shadow of Death (feat. Kendrick Lamar, Schoolboy Q, Ab-Soul & Jay Rock)","spotify:artist:7a9KRWdaSZktpGGnWndzbC, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:0g9vAlRPK9Gt3FKCekk4TW, spotify:artist:28ExwzUQsvgJooOI0X1mr3, spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","Black Hippy, Kendrick Lamar, Ab-Soul, Jay Rock, ScHoolboy Q","spotify:album:2wGRmwzf0BY422D0ydrjLR","Black Hippy","spotify:artist:7a9KRWdaSZktpGGnWndzbC","Black Hippy","2013-05-14","https://i.scdn.co/image/ab67616d0000b2737db50994774b98752dc07de7","1","1","218869","https://p.scdn.co/mp3-preview/1c95c826726bc4f55b78cba50137a9f2c4418545?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","FR5R00902715","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-05T18:13:26Z"
"spotify:track:4gQe4jnogRCLhgGJXbXJgI","Swimming Pools (feat. Kendrick Lamar, Schoolboy Q, Ab-Soul & Jay Rock)","spotify:artist:7a9KRWdaSZktpGGnWndzbC, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:0g9vAlRPK9Gt3FKCekk4TW, spotify:artist:28ExwzUQsvgJooOI0X1mr3, spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","Black Hippy, Kendrick Lamar, Ab-Soul, Jay Rock, ScHoolboy Q","spotify:album:2wGRmwzf0BY422D0ydrjLR","Black Hippy","spotify:artist:7a9KRWdaSZktpGGnWndzbC","Black Hippy","2013-05-14","https://i.scdn.co/image/ab67616d0000b2737db50994774b98752dc07de7","1","2","283888","https://p.scdn.co/mp3-preview/bcee0989bd1b640fdaa21a3d69acf901c5568902?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","FR5R00902716","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-05T18:13:26Z"
"spotify:track:6NhF2CXTIR6dnzvQ5eCWAD","The Recipe (feat. Kendrick Lamar, Schoolboy Q, Ab-Soul & Jay Rock)","spotify:artist:7a9KRWdaSZktpGGnWndzbC, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:0g9vAlRPK9Gt3FKCekk4TW, spotify:artist:28ExwzUQsvgJooOI0X1mr3, spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","Black Hippy, Kendrick Lamar, Ab-Soul, Jay Rock, ScHoolboy Q","spotify:album:2wGRmwzf0BY422D0ydrjLR","Black Hippy","spotify:artist:7a9KRWdaSZktpGGnWndzbC","Black Hippy","2013-05-14","https://i.scdn.co/image/ab67616d0000b2737db50994774b98752dc07de7","1","3","257652","https://p.scdn.co/mp3-preview/d11257e2ea3615768d4d21dcd3ba58ce7d061d23?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","FR5R00902717","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-05T18:13:26Z"
"spotify:track:097e3OID9lx9sBTZvMvmcm","The Heart Pt 3 (feat. Kendrick Lamar, Ab-Soul & Jay Rock)","spotify:artist:7a9KRWdaSZktpGGnWndzbC, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:0g9vAlRPK9Gt3FKCekk4TW, spotify:artist:28ExwzUQsvgJooOI0X1mr3","Black Hippy, Kendrick Lamar, Ab-Soul, Jay Rock","spotify:album:2wGRmwzf0BY422D0ydrjLR","Black Hippy","spotify:artist:7a9KRWdaSZktpGGnWndzbC","Black Hippy","2013-05-14","https://i.scdn.co/image/ab67616d0000b2737db50994774b98752dc07de7","1","4","270938","https://p.scdn.co/mp3-preview/bdba9207a0f79a42c20228c75e50abef0e74942d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","FR5R00902718","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-05T18:13:26Z"
"spotify:track:5pBcNviqx2zZIWTvyhnj8L","Don't Kill My Vibe 2013 (feat. Kendrick Lamar & Rick Ross)","spotify:artist:7a9KRWdaSZktpGGnWndzbC, spotify:artist:1sBkRIssrMs1AbVkOJbc7a, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Black Hippy, Rick Ross, Kendrick Lamar","spotify:album:2wGRmwzf0BY422D0ydrjLR","Black Hippy","spotify:artist:7a9KRWdaSZktpGGnWndzbC","Black Hippy","2013-05-14","https://i.scdn.co/image/ab67616d0000b2737db50994774b98752dc07de7","1","5","249703","https://p.scdn.co/mp3-preview/e87ffdea7a5451536a116b96a7616f86bfa9d74f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","FR5R00902719","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-05T18:13:26Z"
"spotify:track:0WppwL3DFzthQzdIwAV0lq","Gettin By (feat. Schoolboy Q & Lloyd Banks)","spotify:artist:7a9KRWdaSZktpGGnWndzbC, spotify:artist:5IcR3N7QB1j6KBL8eImZ8m, spotify:artist:3vDUJHQtqT3jFRZ2ECXDTi","Black Hippy, ScHoolboy Q, Lloyd Banks","spotify:album:2wGRmwzf0BY422D0ydrjLR","Black Hippy","spotify:artist:7a9KRWdaSZktpGGnWndzbC","Black Hippy","2013-05-14","https://i.scdn.co/image/ab67616d0000b2737db50994774b98752dc07de7","1","6","237920","https://p.scdn.co/mp3-preview/57d86b784954dfe9232ba00d31d99b21e590bd50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","FR5R00902720","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-05T18:13:26Z"
"spotify:track:20udSYqy2rAm0xH0vLR8Q5","East 2Da Westside (feat. Schoolboy Q & Cory Gunz)","spotify:artist:7a9KRWdaSZktpGGnWndzbC, spotify:artist:5IcR3N7QB1j6KBL8eImZ8m, spotify:artist:7BAaznGSsqcksud4R5ou5z","Black Hippy, ScHoolboy Q, Cory Gunz","spotify:album:2wGRmwzf0BY422D0ydrjLR","Black Hippy","spotify:artist:7a9KRWdaSZktpGGnWndzbC","Black Hippy","2013-05-14","https://i.scdn.co/image/ab67616d0000b2737db50994774b98752dc07de7","1","7","138360","https://p.scdn.co/mp3-preview/f443c5962336b772f65a819bf8b0d84768a27230?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","FR5R00902721","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-05T18:13:26Z"
"spotify:track:1aPhom57yPUoaYMA4LGYjq","Ballin (feat. Kendrick Lamar, Jay Rock & Bow Wow)","spotify:artist:7a9KRWdaSZktpGGnWndzbC, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:28ExwzUQsvgJooOI0X1mr3, spotify:artist:7352aRY2mqSxBZwzUb6LmA","Black Hippy, Kendrick Lamar, Jay Rock, Bow Wow","spotify:album:2wGRmwzf0BY422D0ydrjLR","Black Hippy","spotify:artist:7a9KRWdaSZktpGGnWndzbC","Black Hippy","2013-05-14","https://i.scdn.co/image/ab67616d0000b2737db50994774b98752dc07de7","1","8","255930","https://p.scdn.co/mp3-preview/62ea0cf4444981cad69141696feddce3ce58f567?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","FR5R00902722","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-05T18:13:26Z"
"spotify:track:5w1YqP2Zqx1cL89fBU8LwJ","Money Trees (feat. Jay Rock & Kendrick Lamar)","spotify:artist:7a9KRWdaSZktpGGnWndzbC, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:28ExwzUQsvgJooOI0X1mr3","Black Hippy, Kendrick Lamar, Jay Rock","spotify:album:2wGRmwzf0BY422D0ydrjLR","Black Hippy","spotify:artist:7a9KRWdaSZktpGGnWndzbC","Black Hippy","2013-05-14","https://i.scdn.co/image/ab67616d0000b2737db50994774b98752dc07de7","1","9","395613","https://p.scdn.co/mp3-preview/d77d322c8b0eb26b490bbed69e85b326d17e4cb2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","FR5R00902723","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-05T18:13:26Z"
"spotify:track:2ZM5JIWAy0A3yZwyhDmz1A","America (feat. Schoolboy Q & Boaz)","spotify:artist:7a9KRWdaSZktpGGnWndzbC, spotify:artist:5IcR3N7QB1j6KBL8eImZ8m, spotify:artist:6GHPFG30HgJzP3aJHNzMVs","Black Hippy, ScHoolboy Q, Boaz","spotify:album:2wGRmwzf0BY422D0ydrjLR","Black Hippy","spotify:artist:7a9KRWdaSZktpGGnWndzbC","Black Hippy","2013-05-14","https://i.scdn.co/image/ab67616d0000b2737db50994774b98752dc07de7","1","10","249720","https://p.scdn.co/mp3-preview/fbd5a2b163072e8bfa42d3b051e389bc2f9f182e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","FR5R00902724","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-05T18:13:26Z"
