"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4jrCMOG9OPe6iF4vWFxatb","Take a Bow","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:0lw68yx3MhKflWFqCsGkIs","Black Holes and Revelations","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","2006-06-19","https://i.scdn.co/image/ab67616d0000b27328933b808bfb4cbbd0385400","1","1","275493","https://p.scdn.co/mp3-preview/22086cacd512997f8353ecef41ae4ac747943469?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBAHT0500591","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T00:26:56Z"
"spotify:track:3skn2lauGk7Dx6bVIt5DVj","Starlight","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:0lw68yx3MhKflWFqCsGkIs","Black Holes and Revelations","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","2006-06-19","https://i.scdn.co/image/ab67616d0000b27328933b808bfb4cbbd0385400","1","2","240213","https://p.scdn.co/mp3-preview/f4dc0eed34079ebc130dbd81826c88006978f30e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","GBAHT0500592","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T00:26:56Z"
"spotify:track:3lPr8ghNDBLc2uZovNyLs9","Supermassive Black Hole","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:0lw68yx3MhKflWFqCsGkIs","Black Holes and Revelations","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","2006-06-19","https://i.scdn.co/image/ab67616d0000b27328933b808bfb4cbbd0385400","1","3","212439","https://p.scdn.co/mp3-preview/f4fe399267e6093182d576a6c84c0e081c81ff90?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","GBAHT0500593","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T00:26:56Z"
"spotify:track:5YXr4AGfUQpLSxtFSsKUh6","Map of the Problematique","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:0lw68yx3MhKflWFqCsGkIs","Black Holes and Revelations","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","2006-06-19","https://i.scdn.co/image/ab67616d0000b27328933b808bfb4cbbd0385400","1","4","258066","https://p.scdn.co/mp3-preview/aa7aca86c70dfb94ca00cd289959fbba8a3e4349?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBAHT0500594","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T00:26:56Z"
"spotify:track:6jH5aCuXgtygWpx7BF54at","Soldier's Poem","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:0lw68yx3MhKflWFqCsGkIs","Black Holes and Revelations","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","2006-06-19","https://i.scdn.co/image/ab67616d0000b27328933b808bfb4cbbd0385400","1","5","124706","https://p.scdn.co/mp3-preview/695b140f6f0c48ba7343d478a222a148d094d9dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","GBAHT0500595","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T00:26:56Z"
"spotify:track:2zmR3FG7iOGDAdwrVPzdg9","Invincible","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:0lw68yx3MhKflWFqCsGkIs","Black Holes and Revelations","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","2006-06-19","https://i.scdn.co/image/ab67616d0000b27328933b808bfb4cbbd0385400","1","6","301386","https://p.scdn.co/mp3-preview/80d9d4ceae574b76efc8ace4db06e9ac92492939?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","GBAHT0500596","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T00:26:56Z"
"spotify:track:6JnFVmPyJvjnfBag0hhIFa","Assassin","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:0lw68yx3MhKflWFqCsGkIs","Black Holes and Revelations","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","2006-06-19","https://i.scdn.co/image/ab67616d0000b27328933b808bfb4cbbd0385400","1","7","211133","https://p.scdn.co/mp3-preview/07c65d390a8d18b51c591c9440a4d2f6cbd0326c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBAHT0500597","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T00:26:56Z"
"spotify:track:20vZII9Yu52czI9Fk4p39r","Exo-Politics","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:0lw68yx3MhKflWFqCsGkIs","Black Holes and Revelations","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","2006-06-19","https://i.scdn.co/image/ab67616d0000b27328933b808bfb4cbbd0385400","1","8","233266","https://p.scdn.co/mp3-preview/e0af9e7cf5db9b32659142ce06b8d9afe99cdb23?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBAHT0500601","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T00:26:56Z"
"spotify:track:3Sno9FE8r2uz8QP0MtnTPL","City of Delusion","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:0lw68yx3MhKflWFqCsGkIs","Black Holes and Revelations","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","2006-06-19","https://i.scdn.co/image/ab67616d0000b27328933b808bfb4cbbd0385400","1","9","288266","https://p.scdn.co/mp3-preview/4ab5cb1e4f5811fe4dfa98deb9adc3f750646f89?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","GBAHT0500599","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T00:26:56Z"
"spotify:track:0EkE0ripJ9OFNzvZANzo5C","Hoodoo","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:0lw68yx3MhKflWFqCsGkIs","Black Holes and Revelations","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","2006-06-19","https://i.scdn.co/image/ab67616d0000b27328933b808bfb4cbbd0385400","1","10","223426","https://p.scdn.co/mp3-preview/08ea44e2fe3362c6212b8e5a3d52622d4f3b076d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBAHT0500598","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T00:26:56Z"
