"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:19YKaevk2bce4odJkP5L22","Nikes","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2016-08-20","https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526","1","1","314075","https://p.scdn.co/mp3-preview/28e1dce03e8ded7252036d30e440fe1113fead4c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","QZ5C81600001","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T10:36:05Z"
"spotify:track:2ZWlPOoWh0626oTaHrnl2a","Ivy","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2016-08-20","https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526","1","2","249191","https://p.scdn.co/mp3-preview/3eb4d77b749c0f49037e6aee78536eb35b5c88c7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","83","QZ5C81600002","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T10:36:05Z"
"spotify:track:3xKsf9qdS1CyvXSMEid6g8","Pink + White","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2016-08-20","https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526","1","3","184516","https://p.scdn.co/mp3-preview/0e3ca894e19c37cbbbd511d9eb682d8bee030126?cid=9950ac751e34487dbbe027c4fd7f8e99","false","90","QZ5C81600003","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T10:36:05Z"
"spotify:track:1IdZvb2XK8NmsovQlV6CPn","Be Yourself","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2016-08-20","https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526","1","4","86943","https://p.scdn.co/mp3-preview/f527bd2a1b2c9a67d409307c10a4c5f2c8a20eb5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","QZ5C81600004","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T10:36:05Z"
"spotify:track:35xSkNIXi504fcEwz9USRB","Solo","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2016-08-20","https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526","1","5","257380","https://p.scdn.co/mp3-preview/a29c15d496f95ef1c5fd41a92cbe72b7660d486e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","QZ5C81600005","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T10:36:05Z"
"spotify:track:4xR3MAscflQ262kMeiKshQ","Skyline To","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2016-08-20","https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526","1","6","184600","https://p.scdn.co/mp3-preview/b09b4d0344038edf2a0b2432a280f1da73227a61?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","QZ5C81600006","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T10:36:05Z"
"spotify:track:5GUYJTQap5F3RDQiCOJhrS","Self Control","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2016-08-20","https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526","1","7","249667","https://p.scdn.co/mp3-preview/64db1616c8839309c68bafc68e32c45bcb4677c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","QZ5C81600007","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T10:36:05Z"
"spotify:track:2JUqYobT8NvARdPmc4ES2x","Good Guy","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2016-08-20","https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526","1","8","66786","https://p.scdn.co/mp3-preview/4998be7f6a05028541e247fd63941b685caa5557?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","QZ5C81600008","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T10:36:05Z"
"spotify:track:7eqoqGkKwgOaWNNHx90uEZ","Nights","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2016-08-20","https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526","1","9","307151","https://p.scdn.co/mp3-preview/478a51ff059dc1abb20548ac2f3d3d73d75c3cb7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","QZ5C81600009","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T10:36:05Z"
"spotify:track:2qtoRFCOEL1gRn5q9DJC7F","Solo (Reprise)","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2016-08-20","https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526","1","10","78742","https://p.scdn.co/mp3-preview/bf9e234268e81af3488d13a335086dbc01046484?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","QZ5C81600010","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T10:36:05Z"
"spotify:track:17yrCsl1Ai6CZLBmGj6d6p","Pretty Sweet","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2016-08-20","https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526","1","11","158478","https://p.scdn.co/mp3-preview/b23f5a57b2d1b869975531f954c352e6c8d2a41e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","QZ5C81600011","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T10:36:05Z"
