"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1TVuXe3uU76qjc2mobuFvo","You're My Thrill","spotify:artist:5hW4L92KnC6dX9t7tYM4Ve","Joni Mitchell","spotify:album:2zK66VRY3rDGDuZcGvRJdZ","Both Sides Now","spotify:artist:5hW4L92KnC6dX9t7tYM4Ve","Joni Mitchell","2000-03-20","https://i.scdn.co/image/ab67616d0000b273f4df89e6b6af4ce95e220b2c","1","1","232440","","false","0","USRE19901427","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T23:44:28Z"
"spotify:track:0fJ561ClK3pIJBr0c6dtUX","At Last","spotify:artist:5hW4L92KnC6dX9t7tYM4Ve","Joni Mitchell","spotify:album:2zK66VRY3rDGDuZcGvRJdZ","Both Sides Now","spotify:artist:5hW4L92KnC6dX9t7tYM4Ve","Joni Mitchell","2000-03-20","https://i.scdn.co/image/ab67616d0000b273f4df89e6b6af4ce95e220b2c","1","2","268026","","false","0","USRE19901428","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T23:44:28Z"
"spotify:track:1BHXcIIAqAHO1EHMjYBqSM","Comes Love","spotify:artist:5hW4L92KnC6dX9t7tYM4Ve","Joni Mitchell","spotify:album:2zK66VRY3rDGDuZcGvRJdZ","Both Sides Now","spotify:artist:5hW4L92KnC6dX9t7tYM4Ve","Joni Mitchell","2000-03-20","https://i.scdn.co/image/ab67616d0000b273f4df89e6b6af4ce95e220b2c","1","3","269440","","false","0","USRE19901429","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T23:44:28Z"
"spotify:track:22mjsKyrfdeuDr2MSWCxMh","You've Changed","spotify:artist:5hW4L92KnC6dX9t7tYM4Ve","Joni Mitchell","spotify:album:2zK66VRY3rDGDuZcGvRJdZ","Both Sides Now","spotify:artist:5hW4L92KnC6dX9t7tYM4Ve","Joni Mitchell","2000-03-20","https://i.scdn.co/image/ab67616d0000b273f4df89e6b6af4ce95e220b2c","1","4","300866","","false","0","USRE19901430","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T23:44:28Z"
"spotify:track:1rXnPt4mVXOzKalO5Lj54t","Answer Me, My Love","spotify:artist:5hW4L92KnC6dX9t7tYM4Ve","Joni Mitchell","spotify:album:2zK66VRY3rDGDuZcGvRJdZ","Both Sides Now","spotify:artist:5hW4L92KnC6dX9t7tYM4Ve","Joni Mitchell","2000-03-20","https://i.scdn.co/image/ab67616d0000b273f4df89e6b6af4ce95e220b2c","1","5","203533","","false","0","USRE19901431","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T23:44:28Z"
"spotify:track:41JlTwBvRReaitzs36quB9","A Case of You","spotify:artist:5hW4L92KnC6dX9t7tYM4Ve","Joni Mitchell","spotify:album:2zK66VRY3rDGDuZcGvRJdZ","Both Sides Now","spotify:artist:5hW4L92KnC6dX9t7tYM4Ve","Joni Mitchell","2000-03-20","https://i.scdn.co/image/ab67616d0000b273f4df89e6b6af4ce95e220b2c","1","6","352826","","false","0","USRE19901432","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T23:44:28Z"
"spotify:track:6VEQmwrV1Fklae6VKMYLtA","Don't Go to Strangers","spotify:artist:5hW4L92KnC6dX9t7tYM4Ve","Joni Mitchell","spotify:album:2zK66VRY3rDGDuZcGvRJdZ","Both Sides Now","spotify:artist:5hW4L92KnC6dX9t7tYM4Ve","Joni Mitchell","2000-03-20","https://i.scdn.co/image/ab67616d0000b273f4df89e6b6af4ce95e220b2c","1","7","250973","","false","0","USRE19901433","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T23:44:28Z"
"spotify:track:3DQyoj29oW1pSG4HlnB1Jt","Sometimes I'm Happy","spotify:artist:5hW4L92KnC6dX9t7tYM4Ve","Joni Mitchell","spotify:album:2zK66VRY3rDGDuZcGvRJdZ","Both Sides Now","spotify:artist:5hW4L92KnC6dX9t7tYM4Ve","Joni Mitchell","2000-03-20","https://i.scdn.co/image/ab67616d0000b273f4df89e6b6af4ce95e220b2c","1","8","238293","","false","0","USRE19901434","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T23:44:28Z"
"spotify:track:5xgmbNkqoj2QHVmXg0ONKA","Don't Worry 'Bout Me","spotify:artist:5hW4L92KnC6dX9t7tYM4Ve","Joni Mitchell","spotify:album:2zK66VRY3rDGDuZcGvRJdZ","Both Sides Now","spotify:artist:5hW4L92KnC6dX9t7tYM4Ve","Joni Mitchell","2000-03-20","https://i.scdn.co/image/ab67616d0000b273f4df89e6b6af4ce95e220b2c","1","9","229773","","false","0","USRE19901435","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T23:44:28Z"
"spotify:track:0whisnIauNRi8Sdvzajlpx","Stormy Weather","spotify:artist:5hW4L92KnC6dX9t7tYM4Ve","Joni Mitchell","spotify:album:2zK66VRY3rDGDuZcGvRJdZ","Both Sides Now","spotify:artist:5hW4L92KnC6dX9t7tYM4Ve","Joni Mitchell","2000-03-20","https://i.scdn.co/image/ab67616d0000b273f4df89e6b6af4ce95e220b2c","1","10","187026","","false","0","USRE19901436","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-24T23:44:28Z"
