"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1u2L7PA0ytNKTRBd3lbGC9","Kad Bi' Bio Bijelo Dugme - Remastered","spotify:artist:6YrXP3uxNWpENU4zWRUSVx","Bijelo Dugme","spotify:album:28omFVbgxK85RM10PxJVuw","Box Set Deluxe (Abbey Road Remastered)","spotify:artist:6YrXP3uxNWpENU4zWRUSVx","Bijelo Dugme","2014-01-01","https://i.scdn.co/image/ab67616d0000b27346f07d962748caeed8aa90ef","1","1","627133","https://p.scdn.co/mp3-preview/69b080d71331d863e47548ecd8344850a61337af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","HRA041479298","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:11:46Z"
"spotify:track:5Yqu4ea7j10LihqB3zJUSx","Blues Za Moju Bivšu Dragu - Remastered","spotify:artist:6YrXP3uxNWpENU4zWRUSVx","Bijelo Dugme","spotify:album:28omFVbgxK85RM10PxJVuw","Box Set Deluxe (Abbey Road Remastered)","spotify:artist:6YrXP3uxNWpENU4zWRUSVx","Bijelo Dugme","2014-01-01","https://i.scdn.co/image/ab67616d0000b27346f07d962748caeed8aa90ef","1","2","384466","https://p.scdn.co/mp3-preview/b11d885b82bc532962098676afd66cc2488ed8a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","HRA041479299","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:11:46Z"
"spotify:track:348aKMwpPk3zaTVw9f2skz","Ne Spavaj Mala Moja Muzika Dok Svira - Remastered","spotify:artist:6YrXP3uxNWpENU4zWRUSVx","Bijelo Dugme","spotify:album:28omFVbgxK85RM10PxJVuw","Box Set Deluxe (Abbey Road Remastered)","spotify:artist:6YrXP3uxNWpENU4zWRUSVx","Bijelo Dugme","2014-01-01","https://i.scdn.co/image/ab67616d0000b27346f07d962748caeed8aa90ef","1","3","151973","https://p.scdn.co/mp3-preview/f57526d0330e2970e0809393423c7aa780835315?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","HRA041479300","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:11:46Z"
"spotify:track:1mBvEG2EHpax9W9jt3Z1nS","Sve Ću Da Ti Dam Samo Da Zaigram - Remastered","spotify:artist:6YrXP3uxNWpENU4zWRUSVx","Bijelo Dugme","spotify:album:28omFVbgxK85RM10PxJVuw","Box Set Deluxe (Abbey Road Remastered)","spotify:artist:6YrXP3uxNWpENU4zWRUSVx","Bijelo Dugme","2014-01-01","https://i.scdn.co/image/ab67616d0000b27346f07d962748caeed8aa90ef","1","4","247666","https://p.scdn.co/mp3-preview/4ea8bc79e7ab86843ce7b142e3ec4995c82235ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","HRA041479301","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:11:46Z"
"spotify:track:38Kq4n3hNAWo1QyzOEPyHN","Selma - Remastered","spotify:artist:6YrXP3uxNWpENU4zWRUSVx","Bijelo Dugme","spotify:album:28omFVbgxK85RM10PxJVuw","Box Set Deluxe (Abbey Road Remastered)","spotify:artist:6YrXP3uxNWpENU4zWRUSVx","Bijelo Dugme","2014-01-01","https://i.scdn.co/image/ab67616d0000b27346f07d962748caeed8aa90ef","1","5","371066","https://p.scdn.co/mp3-preview/5d447e6bd99d81f72144717f4fa60b8c85fdfd55?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","HRA041479302","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:11:46Z"
"spotify:track:0FTqp5Hb7OHndqOkE54WU8","Patim Evo Deset Dana - Remastered","spotify:artist:6YrXP3uxNWpENU4zWRUSVx","Bijelo Dugme","spotify:album:28omFVbgxK85RM10PxJVuw","Box Set Deluxe (Abbey Road Remastered)","spotify:artist:6YrXP3uxNWpENU4zWRUSVx","Bijelo Dugme","2014-01-01","https://i.scdn.co/image/ab67616d0000b27346f07d962748caeed8aa90ef","1","6","293453","https://p.scdn.co/mp3-preview/f94f0d0887e44aaaee82c180828564a391e6a671?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","HRA041479303","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:11:46Z"
"spotify:track:27H0GrZRdtB9rQlHRjjuKU","Tako Ti Je Mala Moja Kad Ljubi Bosanac, Pt. 1 - Remastered","spotify:artist:6YrXP3uxNWpENU4zWRUSVx","Bijelo Dugme","spotify:album:28omFVbgxK85RM10PxJVuw","Box Set Deluxe (Abbey Road Remastered)","spotify:artist:6YrXP3uxNWpENU4zWRUSVx","Bijelo Dugme","2014-01-01","https://i.scdn.co/image/ab67616d0000b27346f07d962748caeed8aa90ef","1","7","233840","https://p.scdn.co/mp3-preview/6553b909c8e3121835ae7c44583cf9b2776d179c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","HRA041479305","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:11:46Z"
"spotify:track:19KX4vFOdzBwZbk0rj8pim","Hop-Cup - Remastered","spotify:artist:6YrXP3uxNWpENU4zWRUSVx","Bijelo Dugme","spotify:album:28omFVbgxK85RM10PxJVuw","Box Set Deluxe (Abbey Road Remastered)","spotify:artist:6YrXP3uxNWpENU4zWRUSVx","Bijelo Dugme","2014-01-01","https://i.scdn.co/image/ab67616d0000b27346f07d962748caeed8aa90ef","1","8","142106","https://p.scdn.co/mp3-preview/1e49717232b6e0f1e9f2794fe7acb70c9a8e2234?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","HRA041479306","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:11:46Z"
"spotify:track:4EJr1Sd7siZBmqUDsF5H1i","Došao Sam Da Ti Kažem Da Odlazim - Remastered","spotify:artist:6YrXP3uxNWpENU4zWRUSVx","Bijelo Dugme","spotify:album:28omFVbgxK85RM10PxJVuw","Box Set Deluxe (Abbey Road Remastered)","spotify:artist:6YrXP3uxNWpENU4zWRUSVx","Bijelo Dugme","2014-01-01","https://i.scdn.co/image/ab67616d0000b27346f07d962748caeed8aa90ef","1","9","220826","https://p.scdn.co/mp3-preview/def4890f66ccfdcd93509625a87d7938c8d70581?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","HRA041479307","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:11:46Z"
"spotify:track:63YWnp9KAoXfGaOj5XJ845","Ne Gledaj Me Tako I Ne Ljubi Me Više - Remastered","spotify:artist:6YrXP3uxNWpENU4zWRUSVx","Bijelo Dugme","spotify:album:28omFVbgxK85RM10PxJVuw","Box Set Deluxe (Abbey Road Remastered)","spotify:artist:6YrXP3uxNWpENU4zWRUSVx","Bijelo Dugme","2014-01-01","https://i.scdn.co/image/ab67616d0000b27346f07d962748caeed8aa90ef","1","10","409506","https://p.scdn.co/mp3-preview/813f102c798f6ba38ed4dbe26b9272c94bed39a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","HRA041479308","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:11:46Z"
