"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6aUAF8JOd8zEl41B6I18xL","Fake Empire","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","spotify:album:2pG7mDkQhia2OyGE6fbkmJ","Boxer","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","2007-05-21","https://i.scdn.co/image/ab67616d0000b273026f3ccb0e906a5032330752","1","1","205040","","false","0","GBAZP0700003","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:09:52Z"
"spotify:track:5bmlHGoCE6rBsGVHx7RDLi","Mistaken For Strangers","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","spotify:album:2pG7mDkQhia2OyGE6fbkmJ","Boxer","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","2007-05-21","https://i.scdn.co/image/ab67616d0000b273026f3ccb0e906a5032330752","1","2","210960","","false","0","GBAZP0700004","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:09:52Z"
"spotify:track:2xUUm8k0aIiqemI7NXk7Km","Brainy","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","spotify:album:2pG7mDkQhia2OyGE6fbkmJ","Boxer","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","2007-05-21","https://i.scdn.co/image/ab67616d0000b273026f3ccb0e906a5032330752","1","3","198133","","false","0","GBAZP0700005","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:09:52Z"
"spotify:track:6Zj7JELwJbNb74ZI6l6ZT5","Squalor Victoria","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","spotify:album:2pG7mDkQhia2OyGE6fbkmJ","Boxer","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","2007-05-21","https://i.scdn.co/image/ab67616d0000b273026f3ccb0e906a5032330752","1","4","179333","","true","0","GBAZP0700006","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:09:52Z"
"spotify:track:0EI0bOj38coiFWWAq0XlhF","Green Gloves","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","spotify:album:2pG7mDkQhia2OyGE6fbkmJ","Boxer","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","2007-05-21","https://i.scdn.co/image/ab67616d0000b273026f3ccb0e906a5032330752","1","5","219466","","false","0","GBAZP0700007","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:09:52Z"
"spotify:track:6vmvNj64lOYWs3Vs4vZbgv","Slow Show","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","spotify:album:2pG7mDkQhia2OyGE6fbkmJ","Boxer","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","2007-05-21","https://i.scdn.co/image/ab67616d0000b273026f3ccb0e906a5032330752","1","6","248266","","false","0","GBAZP0700008","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:09:52Z"
"spotify:track:1lydAZJk7RcohAWufWQhVi","Apartment Story","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","spotify:album:2pG7mDkQhia2OyGE6fbkmJ","Boxer","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","2007-05-21","https://i.scdn.co/image/ab67616d0000b273026f3ccb0e906a5032330752","1","7","212533","","false","0","GBAZP0700009","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:09:52Z"
"spotify:track:7n6eCAMZh2xBN7Qs4UyNbn","Start a War","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","spotify:album:2pG7mDkQhia2OyGE6fbkmJ","Boxer","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","2007-05-21","https://i.scdn.co/image/ab67616d0000b273026f3ccb0e906a5032330752","1","8","196400","","false","0","GBAZP0700010","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:09:52Z"
"spotify:track:4r96BHSoqFoavq0eOAoywj","Guest Room","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","spotify:album:2pG7mDkQhia2OyGE6fbkmJ","Boxer","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","2007-05-21","https://i.scdn.co/image/ab67616d0000b273026f3ccb0e906a5032330752","1","9","198933","","false","0","GBAZP0700011","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:09:52Z"
"spotify:track:5VqDfjaS0MWbmnPI4SrWvv","Racing Like a Pro","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","spotify:album:2pG7mDkQhia2OyGE6fbkmJ","Boxer","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","2007-05-21","https://i.scdn.co/image/ab67616d0000b273026f3ccb0e906a5032330752","1","10","204240","","false","0","GBAZP0700012","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:09:52Z"
