"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3ozw8VVZPd5Joz9TQBV7S5","To Be a Woman Pt. 1","spotify:artist:7iPH2BRBF9wKa6ljxvdext","Fenne Lily","spotify:album:0KsNopmZLaB71o6i2nw95I","BREACH","spotify:artist:7iPH2BRBF9wKa6ljxvdext","Fenne Lily","2020-09-18","https://i.scdn.co/image/ab67616d0000b2731ea4bf9b7234808c24213509","1","1","97240","https://p.scdn.co/mp3-preview/a8704d56ef143368615257d02b3dd35a8c5592ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","USJ5G2020901","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:54:56Z"
"spotify:track:3qJwMD0TRsejb73xbaT43o","Alapathy","spotify:artist:7iPH2BRBF9wKa6ljxvdext","Fenne Lily","spotify:album:0KsNopmZLaB71o6i2nw95I","BREACH","spotify:artist:7iPH2BRBF9wKa6ljxvdext","Fenne Lily","2020-09-18","https://i.scdn.co/image/ab67616d0000b2731ea4bf9b7234808c24213509","1","2","194973","https://p.scdn.co/mp3-preview/2f60362cdcb2eec89562d351b1c1374f5a199c1c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USJ5G2020902","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:54:56Z"
"spotify:track:7tbR2WSnuTUOGgkUQiAupD","Berlin","spotify:artist:7iPH2BRBF9wKa6ljxvdext","Fenne Lily","spotify:album:0KsNopmZLaB71o6i2nw95I","BREACH","spotify:artist:7iPH2BRBF9wKa6ljxvdext","Fenne Lily","2020-09-18","https://i.scdn.co/image/ab67616d0000b2731ea4bf9b7234808c24213509","1","3","219680","https://p.scdn.co/mp3-preview/901c4bda8a5228af56b0383ac6ff4ea158ff22ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USJ5G2020903","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:54:56Z"
"spotify:track:2sLpyFcyzLmglrBzQN94YH","Elliott","spotify:artist:7iPH2BRBF9wKa6ljxvdext","Fenne Lily","spotify:album:0KsNopmZLaB71o6i2nw95I","BREACH","spotify:artist:7iPH2BRBF9wKa6ljxvdext","Fenne Lily","2020-09-18","https://i.scdn.co/image/ab67616d0000b2731ea4bf9b7234808c24213509","1","4","188333","https://p.scdn.co/mp3-preview/5ad4311b406c7a025aff9fa56ad30e2b2fe8a576?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USJ5G2020904","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:54:56Z"
"spotify:track:25Y0LTsWMTkPRNxHTA9Oxi","I, Nietzsche","spotify:artist:7iPH2BRBF9wKa6ljxvdext","Fenne Lily","spotify:album:0KsNopmZLaB71o6i2nw95I","BREACH","spotify:artist:7iPH2BRBF9wKa6ljxvdext","Fenne Lily","2020-09-18","https://i.scdn.co/image/ab67616d0000b2731ea4bf9b7234808c24213509","1","5","224146","https://p.scdn.co/mp3-preview/8db8e97e0663ddb536c867377f4163676f9a54c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USJ5G2020905","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:54:56Z"
"spotify:track:23WSY2vbeRRa1xoDUpLFtc","Birthday","spotify:artist:7iPH2BRBF9wKa6ljxvdext","Fenne Lily","spotify:album:0KsNopmZLaB71o6i2nw95I","BREACH","spotify:artist:7iPH2BRBF9wKa6ljxvdext","Fenne Lily","2020-09-18","https://i.scdn.co/image/ab67616d0000b2731ea4bf9b7234808c24213509","1","6","270600","https://p.scdn.co/mp3-preview/97e0ec5b64523d0a2d17032506c512df8c5b2107?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USJ5G2020906","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:54:56Z"
"spotify:track:5udBdoP5zHLgDrYqrlhvLM","Blood Moon","spotify:artist:7iPH2BRBF9wKa6ljxvdext","Fenne Lily","spotify:album:0KsNopmZLaB71o6i2nw95I","BREACH","spotify:artist:7iPH2BRBF9wKa6ljxvdext","Fenne Lily","2020-09-18","https://i.scdn.co/image/ab67616d0000b2731ea4bf9b7234808c24213509","1","7","78026","https://p.scdn.co/mp3-preview/e89daeb451b99cda0ce833386a17c14b78592973?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","USJ5G2020907","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:54:56Z"
"spotify:track:1y4xHoBnmx17CEWv3YIw4g","Solipsism","spotify:artist:7iPH2BRBF9wKa6ljxvdext","Fenne Lily","spotify:album:0KsNopmZLaB71o6i2nw95I","BREACH","spotify:artist:7iPH2BRBF9wKa6ljxvdext","Fenne Lily","2020-09-18","https://i.scdn.co/image/ab67616d0000b2731ea4bf9b7234808c24213509","1","8","184773","https://p.scdn.co/mp3-preview/6cfaaf76a7ec0eab5b19f7af7c2137b86a8adf12?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","USJ5G2020908","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:54:56Z"
"spotify:track:2lz9pdjqQy6mVT2OekH9fT","I Used To Hate My Body But Now I Just Hate You","spotify:artist:7iPH2BRBF9wKa6ljxvdext","Fenne Lily","spotify:album:0KsNopmZLaB71o6i2nw95I","BREACH","spotify:artist:7iPH2BRBF9wKa6ljxvdext","Fenne Lily","2020-09-18","https://i.scdn.co/image/ab67616d0000b2731ea4bf9b7234808c24213509","1","9","269053","https://p.scdn.co/mp3-preview/f3e40752082ddcfc065a9c754771a0640fc70ad8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USJ5G2020909","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:54:56Z"
"spotify:track:2bam9MSlxtdI5hfxr6HNON","'98","spotify:artist:7iPH2BRBF9wKa6ljxvdext","Fenne Lily","spotify:album:0KsNopmZLaB71o6i2nw95I","BREACH","spotify:artist:7iPH2BRBF9wKa6ljxvdext","Fenne Lily","2020-09-18","https://i.scdn.co/image/ab67616d0000b2731ea4bf9b7234808c24213509","1","10","66173","https://p.scdn.co/mp3-preview/134928f267049cf141fe4d038db7f2ac4c5c425f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","USJ5G2020910","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:54:56Z"
"spotify:track:26n4LnUPkC0497zwe8Fg7s","Someone Else's Trees","spotify:artist:7iPH2BRBF9wKa6ljxvdext","Fenne Lily","spotify:album:0KsNopmZLaB71o6i2nw95I","BREACH","spotify:artist:7iPH2BRBF9wKa6ljxvdext","Fenne Lily","2020-09-18","https://i.scdn.co/image/ab67616d0000b2731ea4bf9b7234808c24213509","1","11","290800","https://p.scdn.co/mp3-preview/375cf553f31da4d119c720515720a599dc1747f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USJ5G2020911","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:54:56Z"
"spotify:track:6b9GhYDEYfLvzG2mB7XT2w","Laundry and Jet Lag","spotify:artist:7iPH2BRBF9wKa6ljxvdext","Fenne Lily","spotify:album:0KsNopmZLaB71o6i2nw95I","BREACH","spotify:artist:7iPH2BRBF9wKa6ljxvdext","Fenne Lily","2020-09-18","https://i.scdn.co/image/ab67616d0000b2731ea4bf9b7234808c24213509","1","12","215520","https://p.scdn.co/mp3-preview/8800731ebe2746e7e0ea7ff3734abe63817fba20?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","USJ5G2020912","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T03:54:56Z"
