"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:49BcHCAaL082dWLyq7mEAS","Legendary Iron Hood","spotify:artist:5CuU6SRJjbbZL926nSGGxX","Open Mike Eagle","spotify:album:1VDnqZVFSg0xVF104kaIix","Brick Body Kids Still Daydream","spotify:artist:5CuU6SRJjbbZL926nSGGxX","Open Mike Eagle","2017-09-15","https://i.scdn.co/image/ab67616d0000b2737092bbc13520b5e56962a059","1","1","227229","https://p.scdn.co/mp3-preview/d393fdbe2577bc49f673142038dd8ba699d0f619?cid=9950ac751e34487dbbe027c4fd7f8e99","true","33","QM6N21748177","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-03T03:15:10Z"
"spotify:track:0V6QNE31BWyMuiKlvDRnE9","(How Could Anybody) Feel at Home","spotify:artist:5CuU6SRJjbbZL926nSGGxX","Open Mike Eagle","spotify:album:1VDnqZVFSg0xVF104kaIix","Brick Body Kids Still Daydream","spotify:artist:5CuU6SRJjbbZL926nSGGxX","Open Mike Eagle","2017-09-15","https://i.scdn.co/image/ab67616d0000b2737092bbc13520b5e56962a059","1","2","254049","https://p.scdn.co/mp3-preview/e1fa988709b16eff05a5be907cadffc14875e964?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","QM6N21748178","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-03T03:15:10Z"
"spotify:track:0uP17B2t9Px8qBTgFl6Z1g","Hymnal","spotify:artist:5CuU6SRJjbbZL926nSGGxX, spotify:artist:1tc4LrAlQ8EmlauDoAvpBa","Open Mike Eagle, Sammus","spotify:album:1VDnqZVFSg0xVF104kaIix","Brick Body Kids Still Daydream","spotify:artist:5CuU6SRJjbbZL926nSGGxX","Open Mike Eagle","2017-09-15","https://i.scdn.co/image/ab67616d0000b2737092bbc13520b5e56962a059","1","3","200751","https://p.scdn.co/mp3-preview/12138e8891ed312b9aac8e3c65c3de5c5bda9ec4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","28","QM6N21748179","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-03T03:15:10Z"
"spotify:track:1hd5tWvCHLgtzPL8IPuK98","No Selling (Uncle Butch Pretending It Dont Hurt)","spotify:artist:5CuU6SRJjbbZL926nSGGxX","Open Mike Eagle","spotify:album:1VDnqZVFSg0xVF104kaIix","Brick Body Kids Still Daydream","spotify:artist:5CuU6SRJjbbZL926nSGGxX","Open Mike Eagle","2017-09-15","https://i.scdn.co/image/ab67616d0000b2737092bbc13520b5e56962a059","1","4","182434","https://p.scdn.co/mp3-preview/2496a0e2ba440cdb16db85e2b5bcc52fd35efe42?cid=9950ac751e34487dbbe027c4fd7f8e99","true","25","QM6N21748180","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-03T03:15:10Z"
"spotify:track:2zmaLmE5iZTDIKYRHBDz70","Happy Wasteland Day","spotify:artist:5CuU6SRJjbbZL926nSGGxX","Open Mike Eagle","spotify:album:1VDnqZVFSg0xVF104kaIix","Brick Body Kids Still Daydream","spotify:artist:5CuU6SRJjbbZL926nSGGxX","Open Mike Eagle","2017-09-15","https://i.scdn.co/image/ab67616d0000b2737092bbc13520b5e56962a059","1","5","222270","https://p.scdn.co/mp3-preview/17af1f65c029c79018c8122d16a931ead9ada7ad?cid=9950ac751e34487dbbe027c4fd7f8e99","true","25","QM6N21748181","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-03T03:15:10Z"
"spotify:track:1Vb2J33frYj5xiTyz7mB50","Daydreaming in the Projects","spotify:artist:5CuU6SRJjbbZL926nSGGxX","Open Mike Eagle","spotify:album:1VDnqZVFSg0xVF104kaIix","Brick Body Kids Still Daydream","spotify:artist:5CuU6SRJjbbZL926nSGGxX","Open Mike Eagle","2017-09-15","https://i.scdn.co/image/ab67616d0000b2737092bbc13520b5e56962a059","1","6","192684","https://p.scdn.co/mp3-preview/bbd99008d9c41434679ab7dd9cd722063a424599?cid=9950ac751e34487dbbe027c4fd7f8e99","true","26","QM6N21748182","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-03T03:15:10Z"
"spotify:track:7tlGq6EAEIWsv7srZWc5f7","Brick Body Complex","spotify:artist:5CuU6SRJjbbZL926nSGGxX","Open Mike Eagle","spotify:album:1VDnqZVFSg0xVF104kaIix","Brick Body Kids Still Daydream","spotify:artist:5CuU6SRJjbbZL926nSGGxX","Open Mike Eagle","2017-09-15","https://i.scdn.co/image/ab67616d0000b2737092bbc13520b5e56962a059","1","7","247552","https://p.scdn.co/mp3-preview/82991bd2b1a02fc079a95429a981b9486100486f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","28","QM6N21748183","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-03T03:15:10Z"
"spotify:track:7iFSrkTrsyWpjXA2EKb7js","Tldr (Smithing)","spotify:artist:5CuU6SRJjbbZL926nSGGxX","Open Mike Eagle","spotify:album:1VDnqZVFSg0xVF104kaIix","Brick Body Kids Still Daydream","spotify:artist:5CuU6SRJjbbZL926nSGGxX","Open Mike Eagle","2017-09-15","https://i.scdn.co/image/ab67616d0000b2737092bbc13520b5e56962a059","1","8","167791","https://p.scdn.co/mp3-preview/57181d4aabafc950e9ac262ad96e2d2a412fe9a8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","23","QM6N21748184","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-03T03:15:10Z"
"spotify:track:2HU9QVgRXy3OJXri7wgDCi","Breezeway Ritual","spotify:artist:5CuU6SRJjbbZL926nSGGxX","Open Mike Eagle","spotify:album:1VDnqZVFSg0xVF104kaIix","Brick Body Kids Still Daydream","spotify:artist:5CuU6SRJjbbZL926nSGGxX","Open Mike Eagle","2017-09-15","https://i.scdn.co/image/ab67616d0000b2737092bbc13520b5e56962a059","1","9","144211","https://p.scdn.co/mp3-preview/fce4cb258deb4122cbea373ddd6ba65aa8afca72?cid=9950ac751e34487dbbe027c4fd7f8e99","true","20","QM6N21748185","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-03T03:15:10Z"
"spotify:track:4IE6I0KXl6bv98f59bD6WM","Wedding Ghosts","spotify:artist:5CuU6SRJjbbZL926nSGGxX","Open Mike Eagle","spotify:album:1VDnqZVFSg0xVF104kaIix","Brick Body Kids Still Daydream","spotify:artist:5CuU6SRJjbbZL926nSGGxX","Open Mike Eagle","2017-09-15","https://i.scdn.co/image/ab67616d0000b2737092bbc13520b5e56962a059","1","10","138605","https://p.scdn.co/mp3-preview/11f22ed31ea821b9b48fafd174440ac3cecf2d9a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","20","QM6N21748186","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-03T03:15:10Z"
