"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7unUg1rIAVXyYVH5LPHc4R","Introduction","spotify:artist:5c3GLXai8YOMid29ZEuR9y","Nick Drake","spotify:album:04FfqGvZJ9oUBGRVrq2FE5","Bryter Layter","spotify:artist:5c3GLXai8YOMid29ZEuR9y","Nick Drake","1970-03-06","https://i.scdn.co/image/ab67616d0000b273f624fdadb511452a2093694d","1","1","92306","","false","46","GBAAN7000049","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:14:29Z"
"spotify:track:1Juj6Rg5MhutU8gW43934B","Hazey Jane II","spotify:artist:5c3GLXai8YOMid29ZEuR9y","Nick Drake","spotify:album:04FfqGvZJ9oUBGRVrq2FE5","Bryter Layter","spotify:artist:5c3GLXai8YOMid29ZEuR9y","Nick Drake","1970-03-06","https://i.scdn.co/image/ab67616d0000b273f624fdadb511452a2093694d","1","2","226426","","false","53","GBAAN7000017","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:14:29Z"
"spotify:track:5lc8or13c2lgTWTOVIos6W","At The Chime Of A City Clock","spotify:artist:5c3GLXai8YOMid29ZEuR9y","Nick Drake","spotify:album:04FfqGvZJ9oUBGRVrq2FE5","Bryter Layter","spotify:artist:5c3GLXai8YOMid29ZEuR9y","Nick Drake","1970-03-06","https://i.scdn.co/image/ab67616d0000b273f624fdadb511452a2093694d","1","3","285613","","false","46","GBAAN7000050","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:14:29Z"
"spotify:track:0hNVjU6JKydHts0SAjHCno","One Of These Things First","spotify:artist:5c3GLXai8YOMid29ZEuR9y","Nick Drake","spotify:album:04FfqGvZJ9oUBGRVrq2FE5","Bryter Layter","spotify:artist:5c3GLXai8YOMid29ZEuR9y","Nick Drake","1970-03-06","https://i.scdn.co/image/ab67616d0000b273f624fdadb511452a2093694d","1","4","290733","","false","61","GBAAN7000015","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:14:29Z"
"spotify:track:0l2MlJk8MAvKfYDvJ4nv6l","Hazey Jane I","spotify:artist:5c3GLXai8YOMid29ZEuR9y","Nick Drake","spotify:album:04FfqGvZJ9oUBGRVrq2FE5","Bryter Layter","spotify:artist:5c3GLXai8YOMid29ZEuR9y","Nick Drake","1970-03-06","https://i.scdn.co/image/ab67616d0000b273f624fdadb511452a2093694d","1","5","269346","","false","45","GBAAN7000010","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:14:29Z"
"spotify:track:4ZYVAWHjnGFEuGGNrlHk4Y","Bryter Layter","spotify:artist:5c3GLXai8YOMid29ZEuR9y","Nick Drake","spotify:album:04FfqGvZJ9oUBGRVrq2FE5","Bryter Layter","spotify:artist:5c3GLXai8YOMid29ZEuR9y","Nick Drake","1970-03-06","https://i.scdn.co/image/ab67616d0000b273f624fdadb511452a2093694d","1","6","200666","","false","42","GBAAN7000051","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:14:29Z"
"spotify:track:1MLC5UtuCC9d5gN30e7cqj","Fly","spotify:artist:5c3GLXai8YOMid29ZEuR9y","Nick Drake","spotify:album:04FfqGvZJ9oUBGRVrq2FE5","Bryter Layter","spotify:artist:5c3GLXai8YOMid29ZEuR9y","Nick Drake","1970-03-06","https://i.scdn.co/image/ab67616d0000b273f624fdadb511452a2093694d","1","7","178000","","false","45","GBAAN7000052","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:14:29Z"
"spotify:track:2MvmsEPBWo9SMo4w3Ol7tN","Poor Boy","spotify:artist:5c3GLXai8YOMid29ZEuR9y","Nick Drake","spotify:album:04FfqGvZJ9oUBGRVrq2FE5","Bryter Layter","spotify:artist:5c3GLXai8YOMid29ZEuR9y","Nick Drake","1970-03-06","https://i.scdn.co/image/ab67616d0000b273f624fdadb511452a2093694d","1","8","367426","","false","41","GBAAN7000014","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:14:29Z"
"spotify:track:3EtIraJEHVSbBvLw5msioH","Northern Sky","spotify:artist:5c3GLXai8YOMid29ZEuR9y","Nick Drake","spotify:album:04FfqGvZJ9oUBGRVrq2FE5","Bryter Layter","spotify:artist:5c3GLXai8YOMid29ZEuR9y","Nick Drake","1970-03-06","https://i.scdn.co/image/ab67616d0000b273f624fdadb511452a2093694d","1","9","224013","","false","63","GBAAN7000016","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:14:29Z"
"spotify:track:0wQPwZhvz0pAq7ezuYYYkS","Sunday","spotify:artist:5c3GLXai8YOMid29ZEuR9y","Nick Drake","spotify:album:04FfqGvZJ9oUBGRVrq2FE5","Bryter Layter","spotify:artist:5c3GLXai8YOMid29ZEuR9y","Nick Drake","1970-03-06","https://i.scdn.co/image/ab67616d0000b273f624fdadb511452a2093694d","1","10","223080","","false","39","GBAAN7000053","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:14:29Z"
