"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4RGYDiJwgRDfeX0PkD7kFM","Yol","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","spotify:album:5XIPU7dQzSULeTx1pQf6SN","Bütün Ayazların Ortasında","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","2019-05-24","https://i.scdn.co/image/ab67616d0000b273a30c8645aac12fb3f7500fa6","1","1","328021","https://p.scdn.co/mp3-preview/f4c78da4c0aef4bb45335298e19381f5506ebc1a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","TRA161800531","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T23:18:19Z"
"spotify:track:20cg5mxChgLS0KjNRZDY3V","Çok Yaşlıyım","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","spotify:album:5XIPU7dQzSULeTx1pQf6SN","Bütün Ayazların Ortasında","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","2019-05-24","https://i.scdn.co/image/ab67616d0000b273a30c8645aac12fb3f7500fa6","1","2","165916","https://p.scdn.co/mp3-preview/e0dc09cdcd0923dea12a16e68afb512775acb4dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","TRA161800532","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T23:18:19Z"
"spotify:track:0ojmsRB96dNMaommceLXcZ","Hissederdim","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","spotify:album:5XIPU7dQzSULeTx1pQf6SN","Bütün Ayazların Ortasında","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","2019-05-24","https://i.scdn.co/image/ab67616d0000b273a30c8645aac12fb3f7500fa6","1","3","193104","https://p.scdn.co/mp3-preview/e14928012f5402134c55197e250efe4b66496edb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","TRA161800533","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T23:18:19Z"
"spotify:track:72vbDhl7Bz9HMP9j9Xsutq","Olmadım Say","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","spotify:album:5XIPU7dQzSULeTx1pQf6SN","Bütün Ayazların Ortasında","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","2019-05-24","https://i.scdn.co/image/ab67616d0000b273a30c8645aac12fb3f7500fa6","1","4","202500","https://p.scdn.co/mp3-preview/5919d41ed04a7572cf667ecc4b5bb3dc0107d3c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","TRA161800534","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T23:18:19Z"
"spotify:track:32fTczQgJuNm2FTUsWALQw","Kül Kalır (feat. Da Poet)","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3, spotify:artist:7Ml6UQvSODdViugwulEjWk","Kayra, Da Poet","spotify:album:5XIPU7dQzSULeTx1pQf6SN","Bütün Ayazların Ortasında","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","2019-05-24","https://i.scdn.co/image/ab67616d0000b273a30c8645aac12fb3f7500fa6","1","5","236086","https://p.scdn.co/mp3-preview/3f0c5e32185f46ab66346396d17ae1ac7f10a544?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","TRA161800535","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T23:18:19Z"
"spotify:track:78sb7fwbFvCiCwX44JqJ3m","Has Kepazelik","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","spotify:album:5XIPU7dQzSULeTx1pQf6SN","Bütün Ayazların Ortasında","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","2019-05-24","https://i.scdn.co/image/ab67616d0000b273a30c8645aac12fb3f7500fa6","1","6","98312","https://p.scdn.co/mp3-preview/9de41ab79bb3f751325c99a2bce76a576302a3d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","TRA161800536","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T23:18:19Z"
"spotify:track:0ZnVALGRoGXwx7SjMqZV4j","Dişçi Koltuğu","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","spotify:album:5XIPU7dQzSULeTx1pQf6SN","Bütün Ayazların Ortasında","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","2019-05-24","https://i.scdn.co/image/ab67616d0000b273a30c8645aac12fb3f7500fa6","1","7","189456","https://p.scdn.co/mp3-preview/55898a9eb3b1e9bd02437d89e586d0feb40f5728?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","TRA161800537","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T23:18:19Z"
"spotify:track:54MjO23wNS0cREDDeMqliJ","Kafamda Cehennem","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","spotify:album:5XIPU7dQzSULeTx1pQf6SN","Bütün Ayazların Ortasında","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","2019-05-24","https://i.scdn.co/image/ab67616d0000b273a30c8645aac12fb3f7500fa6","1","8","224073","https://p.scdn.co/mp3-preview/1ce2b17bd968430bcacdaaa6106c3fa0088c9ff5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","TRA161800538","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T23:18:19Z"
"spotify:track:4V1SNI0vuBX4f55B0CDiuF","Kör Karanlık","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","spotify:album:5XIPU7dQzSULeTx1pQf6SN","Bütün Ayazların Ortasında","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","2019-05-24","https://i.scdn.co/image/ab67616d0000b273a30c8645aac12fb3f7500fa6","1","9","287719","https://p.scdn.co/mp3-preview/6909a4f7874d7e75eba06ef5a516e470ad059758?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","TRA161800539","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T23:18:19Z"
"spotify:track:4dw3ri9IBsBY0lY2nABR3W","Felaketimi Beklerken (feat. Karacali)","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3, spotify:artist:47xGdc8fpRUWi1Nq3hSxk9","Kayra, Karacali","spotify:album:5XIPU7dQzSULeTx1pQf6SN","Bütün Ayazların Ortasında","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","2019-05-24","https://i.scdn.co/image/ab67616d0000b273a30c8645aac12fb3f7500fa6","1","10","200561","https://p.scdn.co/mp3-preview/cbb16c5bc57ba059e6725b0602dbc90691af7507?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","TRA161800540","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T23:18:19Z"
"spotify:track:511cWc4DcGfrgYqnltT3iL","Öfkemin Şafağı","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","spotify:album:5XIPU7dQzSULeTx1pQf6SN","Bütün Ayazların Ortasında","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","2019-05-24","https://i.scdn.co/image/ab67616d0000b273a30c8645aac12fb3f7500fa6","1","11","136500","https://p.scdn.co/mp3-preview/e0f5cf82920e33e15c33cb8d76065f2e22df12e7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","TRA161800541","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T23:18:19Z"
"spotify:track:7IntuC89hSKhQKHZhjRZo9","Haciz","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","spotify:album:5XIPU7dQzSULeTx1pQf6SN","Bütün Ayazların Ortasında","spotify:artist:5UqZ7BXoccyvTHyXLk1Pk3","Kayra","2019-05-24","https://i.scdn.co/image/ab67616d0000b273a30c8645aac12fb3f7500fa6","1","12","184044","https://p.scdn.co/mp3-preview/7c91e5cab3f231a5fcb0428d2ecfffe19bcfde83?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","TRA161800542","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T23:18:19Z"
