"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:17eu2pSgSUpIG1GFWBnODv","Kill V. Maim","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:5hB4jVN4ZHpubyiMmW81K1","Art Angels","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2015-11-06","https://i.scdn.co/image/ab67616d0000b273a26581cf15fff67319407061","1","6","246006","","false","0","GBAFL1500150","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2020-02-11T16:35:50Z"
"spotify:track:2VEsmoek0sol9MnJFyoG9e","Burnin' Up","spotify:artist:7gOdHgIoIKoe4i9Tta6qdD","Jonas Brothers","spotify:album:4jcRw4qVurxoZcfIYPKDpz","A Little Bit Longer","spotify:artist:7gOdHgIoIKoe4i9Tta6qdD","Jonas Brothers","2008-08-12","https://i.scdn.co/image/ab67616d0000b2736052733814bd844a5955f1b1","1","2","175093","","false","74","USHR10823884","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2020-02-11T16:35:53Z"
"spotify:track:0zO8ctW0UiuOefR87OeJOZ","Collard Greens","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","ScHoolboy Q, Kendrick Lamar","spotify:album:7Et3bSTLLqdABO1qCxUplS","Oxymoron (Deluxe)","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","2014-01-01","https://i.scdn.co/image/ab67616d0000b27336977e237a8f70ec6c990636","1","3","299960","","true","80","USUM71307354","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2020-02-11T16:36:13Z"
"spotify:track:4NzMOnvSJVNKF7nw5NkXIP","bury a friend","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:0lheRPWdziAtZEiww8TrUO","bury a friend","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2019-01-30","https://i.scdn.co/image/ab67616d0000b2733ce730c58a503c27c565ce3d","1","1","193143","","false","0","USUM71900770","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2020-02-11T16:36:27Z"
"spotify:track:7HGTkn2aX7MNdKs7nV2xBt","Somebody Told Me","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","spotify:album:4undIeGmofnAYKhnDclN1w","Hot Fuss","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","2004-06-15","https://i.scdn.co/image/ab67616d0000b27356a6d6e493a8f338be63fc49","1","4","197160","","false","2","USIR20400195","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2020-02-11T16:36:51Z"
"spotify:track:5ghIJDpPoe3CfHMGu71E6T","Smells Like Teen Spirit","spotify:artist:6olE6TJLqED3rqDCT0FyPh","Nirvana","spotify:album:2guirTSEqLizK7j9i1MTTZ","Nevermind (Remastered)","spotify:artist:6olE6TJLqED3rqDCT0FyPh","Nirvana","1991-09-26","https://i.scdn.co/image/ab67616d0000b273e175a19e530c898d167d39bf","1","1","301920","","false","82","USGF19942501","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2020-02-11T16:36:54Z"
"spotify:track:1TfqLAPs4K3s2rJMoCokcS","Sweet Dreams (Are Made of This) - Remastered","spotify:artist:0NKDgy9j66h3DLnN8qu1bB, spotify:artist:5MspMQqdVbdwP6ax3GXqum, spotify:artist:7gcCQIlkkfbul5Mt0jBQkg","Eurythmics, Annie Lennox, Dave Stewart","spotify:album:5jNDWA19BJbE24x1UUJGRY","Sweet Dreams (Are Made Of This)","spotify:artist:0NKDgy9j66h3DLnN8qu1bB, spotify:artist:5MspMQqdVbdwP6ax3GXqum, spotify:artist:7gcCQIlkkfbul5Mt0jBQkg","Eurythmics, Annie Lennox, Dave Stewart","1983-01-04","https://i.scdn.co/image/ab67616d0000b273b3994c94dfb241923664bb4d","1","6","216933","https://p.scdn.co/mp3-preview/d69101dbd66295473706112d3edf978b70fc4550?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","GBARL0300589","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2020-02-11T16:37:11Z"
"spotify:track:3ouugfdFz6exFXUxu7wRvD","If You Can't Hang","spotify:artist:3N8Hy6xQnQv1F1XCiyGQqA","Sleeping With Sirens","spotify:album:4TuNgoALZ10zEOHgfkxs8T","Let's Cheers To This","spotify:artist:3N8Hy6xQnQv1F1XCiyGQqA","Sleeping With Sirens","2011-05-10","https://i.scdn.co/image/ab67616d0000b273e3cd706ea9791c3959d7b474","1","2","250240","https://p.scdn.co/mp3-preview/bc12dd048c42bb0321e7b56bf759f12839b78489?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USEK71113202","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2020-02-11T16:37:18Z"
"spotify:track:3Zwu2K0Qa5sT6teCCHPShP","Thnks fr th Mmrs","spotify:artist:4UXqAaa6dQYAk18Lv7PEgX","Fall Out Boy","spotify:album:0hHopYqXhuvYSHtVyrcb1g","Infinity On High","spotify:artist:4UXqAaa6dQYAk18Lv7PEgX","Fall Out Boy","2007-01-01","https://i.scdn.co/image/ab67616d0000b273ff59837e170f95a373afc0ec","1","7","203506","","false","82","USUM70700326","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2020-02-11T16:38:35Z"
"spotify:track:6EsBn1Md8C5YdbCzvwvZq8","Self Esteem","spotify:artist:5LfGQac0EIXyAN8aUwmNAQ","The Offspring","spotify:album:5HDj9yjtyhPduBMVax56pg","Greatest Hits","spotify:artist:5LfGQac0EIXyAN8aUwmNAQ","The Offspring","2005-06-21","https://i.scdn.co/image/ab67616d0000b273142116a6c5ed50b5c7c5351e","1","3","257760","","false","2","USEP40312208","spotify:user:4og8qabtjuhxpnf6lzqd7w91n","2020-02-11T16:39:46Z"
