"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7tr3HgSUVUUawHFjIPK0f5","Cold Window","spotify:artist:7zhakwCorTNUwe17WxD3kh","nervous_testpilot","spotify:album:07rwJ1VTHV8t1cWYWy6n1s","Winter Tapes","spotify:artist:7zhakwCorTNUwe17WxD3kh","nervous_testpilot","2020-09-03","https://i.scdn.co/image/ab67616d0000b273b553252214b6e45a91ef9e44","1","6","264000","https://p.scdn.co/mp3-preview/6b6773a2b86b0d2ecda6de3dfd1015155909f302?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","QZK6P1938968","spotify:user:remifasol","2021-10-26T12:35:14Z"
"spotify:track:3EjoQYNnVMQnsym8CW2k00","Below Zero","spotify:artist:546MXGKJRNfO5to1oqkfqe","Ben Prunty","spotify:album:2Hp04R4N8uOjCjNIMnUUMX","Subnautica Below Zero (Original Soundtrack)","spotify:artist:546MXGKJRNfO5to1oqkfqe","Ben Prunty","2021-04-30","https://i.scdn.co/image/ab67616d0000b273c25feb010ba02bc326386154","1","1","161495","https://p.scdn.co/mp3-preview/76a7ecda48480a5bfd4ba8e0e48e1362432fb63d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","TCAFN2164697","spotify:user:remifasol","2021-10-26T12:35:14Z"
"spotify:track:37GaElkpKs2DVOCFlnGyFj","Isolation","spotify:artist:7zhakwCorTNUwe17WxD3kh","nervous_testpilot","spotify:album:7rJ4lfGmoqgq86dKcKLzIX","Wardialler","spotify:artist:7zhakwCorTNUwe17WxD3kh","nervous_testpilot","2019-08-14","https://i.scdn.co/image/ab67616d0000b273509d58dd11a1e137aeb26af2","1","1","280000","https://p.scdn.co/mp3-preview/cf588806435af28028081a0dadb637751cfad2e8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","QZFZ41966853","spotify:user:remifasol","2021-10-26T12:35:14Z"
"spotify:track:5G67YWTwKKRBkk1EH8aw3S","Arterial","spotify:artist:2fMe9lZs5HGGOwh8cMSIub","Lusine","spotify:album:11IULm1RrL6acmTm3qQzLH","Arterial","spotify:artist:2fMe9lZs5HGGOwh8cMSIub","Lusine","2014-08-05","https://i.scdn.co/image/ab67616d0000b273ee1e168fba1c87982bf899ce","1","1","254962","https://p.scdn.co/mp3-preview/5dcf4d51078c92004c3f03ab4756e5d22d8f05d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","US2J71401701","spotify:user:remifasol","2021-10-26T12:35:14Z"
"spotify:track:0aFUR0IBIKcDUGbsI6lZNI","Reliance","spotify:artist:1pzLNwHOW5K8iLviy5OY31","Peeps","spotify:album:62HTuKOTMtLxCpDdy7VXzi","Remnants","spotify:artist:1pzLNwHOW5K8iLviy5OY31","Peeps","2020-09-27","https://i.scdn.co/image/ab67616d0000b27396117857fd6e792b841c0a33","1","4","306000","https://p.scdn.co/mp3-preview/2edf0179ed47dabd14809718939f53f0a6e88355?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","UKXN21900698","spotify:user:remifasol","2021-10-26T12:35:14Z"
"spotify:track:2yKHHjOqWDrfRb0pHkdSLv","Wishbone","spotify:artist:7zhakwCorTNUwe17WxD3kh","nervous_testpilot","spotify:album:2531uYRqVTpFKJXO0EdVa8","Music for Code","spotify:artist:7zhakwCorTNUwe17WxD3kh","nervous_testpilot","2016-01-21","https://i.scdn.co/image/ab67616d0000b273763b21dfbc0184c5d1333dbf","1","4","292173","https://p.scdn.co/mp3-preview/5cdf03bfcd0724d60cdc08c8e1ec3f5e92c6c1db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","uscgh1628552","spotify:user:remifasol","2021-10-26T12:35:14Z"
"spotify:track:7nPwkpaxDjV1491UGhgwqu","Solitude","spotify:artist:1GHPb8Q7BpKy5BDf59XvSF","Boucle Infinie","spotify:album:1HxGwI1i1v4sbT8u3ZI1r1","Solitude","spotify:artist:1GHPb8Q7BpKy5BDf59XvSF","Boucle Infinie","2020-08-29","https://i.scdn.co/image/ab67616d0000b27359c722e73b808156bc80d1c0","1","1","286513","https://p.scdn.co/mp3-preview/562737f9ed75713cfd4b13ed5971a808959d91aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","TCAFA2075335","spotify:user:remifasol","2021-10-26T12:35:14Z"
"spotify:track:3xnKvLPmRihmWWIidtSZIp","Unhandled Promise Rejection","spotify:artist:7zhakwCorTNUwe17WxD3kh","nervous_testpilot","spotify:album:6W2S2Q8r5JnPUflSPat9Rz","Unhandled Promise Rejection","spotify:artist:7zhakwCorTNUwe17WxD3kh","nervous_testpilot","2020-03-12","https://i.scdn.co/image/ab67616d0000b273674cddbbc86ab4d2b1c15a6d","1","1","185333","https://p.scdn.co/mp3-preview/cd6a8775bb32fe25c1d902594e83fc036a276078?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","QZFZ52029173","spotify:user:remifasol","2021-10-26T12:35:14Z"
"spotify:track:4To9ZJf5vsySgPfSMu2Rik","Days Of Wonder","spotify:artist:7xKi2ige2i23llWFmlBCdi","Clemens Ruh","spotify:album:2eELAeZlol3T8saZFGXcaV","Days Of Wonder","spotify:artist:7xKi2ige2i23llWFmlBCdi","Clemens Ruh","2018-12-06","https://i.scdn.co/image/ab67616d0000b2738f163544763cf397ce3a5d85","1","1","229861","","false","0","GBSMU5685329","spotify:user:remifasol","2021-10-26T12:35:14Z"
"spotify:track:4KuaPizL55sowYUaw3Wqko","God Rays","spotify:artist:2PNSIXAY9qm1ZmLedJ53xo","Simon Chylinski","spotify:album:6ErjoGBl4xj1AfgPjcAYsk","Subnautica (Original Game Soundtrack)","spotify:artist:2PNSIXAY9qm1ZmLedJ53xo","Simon Chylinski","2018-02-01","https://i.scdn.co/image/ab67616d0000b2738f156d74f3617e3c795ab2dd","1","4","89739","https://p.scdn.co/mp3-preview/502353d6087faedc0521af82982fa448074cb26e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","TCADM1825345","spotify:user:remifasol","2021-10-26T12:35:14Z"
