"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7zWYskRENVPyJUh8FLzuoT","Flatline","spotify:artist:3ajf12ub55b51qcS94d9Co","Orla Gartland","spotify:album:116fZ74EtCb36hsHrVQskt","Flatline","spotify:artist:3ajf12ub55b51qcS94d9Co","Orla Gartland","2019-04-05","https://i.scdn.co/image/ab67616d0000b273ff90e658578e9d3641b59621","1","1","201203","https://p.scdn.co/mp3-preview/4705892e9d71f24af9307c5053a4d554551fdffc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","QM4TX1954939","spotify:user:216zux5oqjsud6yhfpnxccqhi","2019-05-10T19:32:56Z"
"spotify:track:2Rj9HWaNkUsxdjM2khuqNd","I Go Crazy","spotify:artist:3ajf12ub55b51qcS94d9Co","Orla Gartland","spotify:album:2xrrcq31pRHAPdQ322aOFy","I Go Crazy","spotify:artist:3ajf12ub55b51qcS94d9Co","Orla Gartland","2018-07-27","https://i.scdn.co/image/ab67616d0000b273ccbafc73c823076f5eae5237","1","1","214574","https://p.scdn.co/mp3-preview/da196541ced3712e321f97dbc8445fbf9297138b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBLFP1840625","spotify:user:216zux5oqjsud6yhfpnxccqhi","2019-05-10T19:33:05Z"
"spotify:track:4EcYqXGZ1MOl7gBLcRO9Ya","still feel.","spotify:artist:7sOR7gk6XUlGnxj3p9F54k","half•alive","spotify:album:4RTurpeSKtgEAvSeEehsiO","still feel.","spotify:artist:7sOR7gk6XUlGnxj3p9F54k","half•alive","2018-08-03","https://i.scdn.co/image/ab67616d0000b2730dee3c4d3000d8c7baecab99","1","1","247437","https://p.scdn.co/mp3-preview/73a277ee93fa6cc41e296863a8d23926397cee1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBKPL1814938","spotify:user:216zux5oqjsud6yhfpnxccqhi","2019-05-10T19:33:15Z"
"spotify:track:6BBfG9FiwJhRVMCd9IYl6c","In The Middle","spotify:artist:21TinSsF5ytwsfdyz5VSVS","dodie","spotify:album:6xeFX3yRvaEV7ny5WKZ4cA","You - EP","spotify:artist:21TinSsF5ytwsfdyz5VSVS","dodie","2017-08-11","https://i.scdn.co/image/ab67616d0000b27309815974458b8b0535b23a7d","1","1","181632","https://p.scdn.co/mp3-preview/ce1990dd83c6882d40685fa0553ed6143de9765d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBLFP1744737","spotify:user:216zux5oqjsud6yhfpnxccqhi","2019-05-10T19:33:28Z"
"spotify:track:0z29wv0x2IXrpWxNgICET7","Why Am I Like This?","spotify:artist:3ajf12ub55b51qcS94d9Co","Orla Gartland","spotify:album:0EiHyIG1skb5rzVkbBkva6","Why Am I Like This?","spotify:artist:3ajf12ub55b51qcS94d9Co","Orla Gartland","2019-02-08","https://i.scdn.co/image/ab67616d0000b2738aa3cab41954fe2158a19933","1","1","212713","https://p.scdn.co/mp3-preview/1c00526b5c15493d9bf5bc92ce87ad7f0659e393?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","QM4TW1923052","spotify:user:216zux5oqjsud6yhfpnxccqhi","2019-05-10T19:33:31Z"
"spotify:track:6UnCGAEmrbGIOSmGRZQ1M2","Light On","spotify:artist:4NZvixzsSefsNiIqXn0NDe","Maggie Rogers","spotify:album:5AHWNPo3gllDmixgAoFru4","Heard It In A Past Life","spotify:artist:4NZvixzsSefsNiIqXn0NDe","Maggie Rogers","2019-01-18","https://i.scdn.co/image/ab67616d0000b273d658a02ba8931985bdc4e0da","1","5","233880","","false","70","USUG11801654","spotify:user:216zux5oqjsud6yhfpnxccqhi","2019-05-10T19:33:35Z"
"spotify:track:7qoFhSKDXCgWeSiwOxOnS6","Between My Teeth","spotify:artist:3ajf12ub55b51qcS94d9Co","Orla Gartland","spotify:album:6vBlfwGSU53Dmmm7ikl71l","Between My Teeth","spotify:artist:3ajf12ub55b51qcS94d9Co","Orla Gartland","2018-11-02","https://i.scdn.co/image/ab67616d0000b2731a2f7b6406d8fc8d5dc133aa","1","1","196093","https://p.scdn.co/mp3-preview/4fe8137ce32b68cd8616789083b374f536155a27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","QM6N21859423","spotify:user:216zux5oqjsud6yhfpnxccqhi","2019-05-10T19:33:52Z"
"spotify:track:1ABvDz0JnQGO8M8NYjRNMp","Don’t Feel Like Crying","spotify:artist:4TrraAsitQKl821DQY42cZ","Sigrid","spotify:album:4OaTrPkuAYkelxCnm92njS","Sucker Punch","spotify:artist:4TrraAsitQKl821DQY42cZ","Sigrid","2019-03-08","https://i.scdn.co/image/ab67616d0000b27337f6fcbee30fd4020bce5633","1","5","157010","","false","54","GBUM71807541","spotify:user:216zux5oqjsud6yhfpnxccqhi","2019-05-10T19:34:06Z"
"spotify:track:57RA3JGafJm5zRtKJiKPIm","Are You Bored Yet? (feat. Clairo)","spotify:artist:0NIPkIjTV8mB795yEIiPYL, spotify:artist:3l0CmX0FuQjFxr8SK7Vqag","Wallows, Clairo","spotify:album:7eed9MBclFPjjjvotfR2e9","Nothing Happens","spotify:artist:0NIPkIjTV8mB795yEIiPYL","Wallows","2019-03-22","https://i.scdn.co/image/ab67616d0000b27384feca0133d9a8e6539a8325","1","4","178000","https://p.scdn.co/mp3-preview/7149829d4c4645d0d4d7c9b13285879d68042a72?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USAT21812258","spotify:user:216zux5oqjsud6yhfpnxccqhi","2019-05-10T19:34:31Z"
"spotify:track:1m3gqvFmyoUAXPuKJxq7IP","Lonely People","spotify:artist:3ajf12ub55b51qcS94d9Co","Orla Gartland","spotify:album:0RLLv1QOQdbv42z2Arh7es","Lonely People","spotify:artist:3ajf12ub55b51qcS94d9Co","Orla Gartland","2015-01-18","https://i.scdn.co/image/ab67616d0000b2736651db6a01932d104773f86d","1","1","189500","","false","0","GBKPL1416559","spotify:user:216zux5oqjsud6yhfpnxccqhi","2019-05-10T19:34:44Z"
