"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4vmqU3xlzuhxtaeXrtAX1F","EdEddnEddy","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","spotify:album:1gPqbxhs90kppgOVxGOPzd","The Never Story","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","2017-03-10","https://i.scdn.co/image/ab67616d0000b273f705b14ca8b81af140d1f1d3","1","4","140511","","true","62","USUM71701758","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-31T20:59:17Z"
"spotify:track:4kVxStqN7DeoZje5aidAn3","Anti-Matter","spotify:artist:77AKJs9SJqxHXbPgtJPKRa, spotify:artist:7zDPvKo7b0I7OPefCwqrsE","King Geedorah, Mr Fantastik","spotify:album:1mrhahrlJu5JfzgeV6Cy8t","Take Me To Your Leader","spotify:artist:77AKJs9SJqxHXbPgtJPKRa","King Geedorah","2003-06-17","https://i.scdn.co/image/ab67616d0000b273de20cdc5935096897bb687fc","1","8","206946","https://p.scdn.co/mp3-preview/d7ebf1314c1277525d234c5301ca6e2320a96abb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBCFB0300217","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-31T20:59:28Z"
"spotify:track:2Lmpxi7j95HOvsR6zj1Fl3","an Interlude Called “Circus” (feat. Eryn Allen Kane)","spotify:artist:7Hjbimq43OgxaBRpFXic4x, spotify:artist:5xI4mPixKfrCCspATqbpy3","Saba, Eryn Allen Kane","spotify:album:4dhK1XKetMnAilmo6CMID8","Few Good Things","spotify:artist:7Hjbimq43OgxaBRpFXic4x","Saba","2022-02-04","https://i.scdn.co/image/ab67616d0000b273aac20d5f8a96a41831a10c80","1","4","62973","https://p.scdn.co/mp3-preview/4355c484ea69f9d710510e42022fdc1fe1b92f96?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","QMFME2188620","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-31T21:02:07Z"
"spotify:track:4w7lBzX0EcDuy8tQLQvjC2","Scatter Brain (feat. Ludacris & JID)","spotify:artist:67gqUXxHedeUGDTxwBzdjS, spotify:artist:3ipn9JLAPI5GUEo4y4jcoi, spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","Conway the Machine, Ludacris, JID","spotify:album:35C2QYq4OgkEXETksStyzz","La Maquina","spotify:artist:67gqUXxHedeUGDTxwBzdjS","Conway the Machine","2021-04-16","https://i.scdn.co/image/ab67616d0000b273e9166dea653ce1aa302d2916","1","9","209117","https://p.scdn.co/mp3-preview/5eb15e6a14a5fc58743503795be908fa24504779?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","USUYG1365629","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-31T21:05:17Z"
"spotify:track:2RPbEp0DyBVlkRvvYKopO7","Wat's Wrong (feat. Zacari & Kendrick Lamar)","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM, spotify:artist:3qBKjEOanahMxlRojwCzhI, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Isaiah Rashad, Zacari, Kendrick Lamar","spotify:album:6jjX8mGrsWtrpYpFhGMrg1","The Sun's Tirade","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","2016-09-02","https://i.scdn.co/image/ab67616d0000b273fbdec8696ff05ae19265dfa0","1","5","330783","https://p.scdn.co/mp3-preview/cb1b761dfd28ee1b1964c5947d3c56b72ccfe97e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","TCACR1650835","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-31T21:07:57Z"
"spotify:track:5d59BCNLaPgc6mluepPhSx","GOD DON'T LIKE UGLY!","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:5k1geNqLd4yHzyg5L6XF2z","OFFLINE","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2022-02-24","https://i.scdn.co/image/ab67616d0000b273642272408b82a8959f82f1dc","1","3","69684","https://p.scdn.co/mp3-preview/e86da9701eda9a6a4b5a0094fd74fc4f3be6285d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","QZDA52258936","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-31T21:09:36Z"
"spotify:track:5bYFQquNKlqHPRX5gRHLOT","UNTITLED","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:5k1geNqLd4yHzyg5L6XF2z","OFFLINE","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2022-02-24","https://i.scdn.co/image/ab67616d0000b273642272408b82a8959f82f1dc","1","4","168205","https://p.scdn.co/mp3-preview/7e04f802b9469f61e5ffdd59ad8591c3b7814be9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","QZDA52258937","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-31T21:10:53Z"
"spotify:track:1Is8hGpkGMiePASAxBluxM","16","spotify:artist:5SXuuuRpukkTvsLuUknva1","Baby Keem","spotify:album:3r46DPIQeBQbjvjjV5mXGg","The Melodic Blue","spotify:artist:5SXuuuRpukkTvsLuUknva1","Baby Keem","2021-09-10","https://i.scdn.co/image/ab67616d0000b2731bfa23b13d0504fb90c37b39","1","16","156040","https://p.scdn.co/mp3-preview/ed6e777ae611109bb9c130e879fc0ef692824ed4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USSM12106871","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-31T21:14:30Z"
"spotify:track:5jJYJthaXUdkHKmiS6TuXe","Distance (feat. Issa Gold & Erick The Architect)","spotify:artist:1Nd1g8fezKoJ6DGauWbZIm, spotify:artist:2P5sC9cVZDToPxyomzF1UH, spotify:artist:1dqGS5sT6PE2wEvP1gROZC, spotify:artist:4AQPiL37xjPAgBfEEYQrg9, spotify:artist:2mQLwfvZtvtTbipKn3xHmK, spotify:artist:0fYw4bch7qTxBZLS3rSVMj","Beast Coast, Joey Bada$$, Flatbush Zombies, Issa Gold, Erick the Architect, Powers Pleasant","spotify:album:1NPxBmG3k3UzybcaxxSVuB","Escape From New York","spotify:artist:1Nd1g8fezKoJ6DGauWbZIm, spotify:artist:2P5sC9cVZDToPxyomzF1UH, spotify:artist:1dqGS5sT6PE2wEvP1gROZC","Beast Coast, Joey Bada$$, Flatbush Zombies","2019-05-24","https://i.scdn.co/image/ab67616d0000b2738f14916deb5ec438bd130144","1","7","133053","https://p.scdn.co/mp3-preview/6fd4dde2ff3d83aa76f6a4420d16b081d8f46292?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","USSM11903514","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-31T21:22:04Z"
"spotify:track:1AqemxWsT0iGg5Lvkm16Bt","Fukk Sleep (feat. FKA twigs)","spotify:artist:13ubrt8QOOCPljQ2FL1Kca, spotify:artist:6nB0iY1cjSY1KyhYyuIIKH","A$AP Rocky, FKA twigs","spotify:album:3MATDdrpHmQCmuOcozZjDa","TESTING","spotify:artist:13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","2018-05-25","https://i.scdn.co/image/ab67616d0000b2739feadc48ab0661e9b3a9170b","1","4","192973","https://p.scdn.co/mp3-preview/f1b7a8a50ee9b8cd78a7bd6dc5793b9fa97e8c9c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","USRC11801926","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-31T21:31:02Z"
