"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:49UDOG8DoBajXTJSTqfRMg","Kyoto","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","spotify:album:2xECuqnvvmVktV7UO8Dd3s","Punisher","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","2020-06-18","https://i.scdn.co/image/ab67616d0000b2733040ca980277cf1445934add","1","3","184524","","false","0","USJ5G2020003","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-20T09:46:19Z"
"spotify:track:0ON6N75bFQXfiJM4wZIJbD","Seismic","spotify:artist:0zGRuj0aQ3mM6i2dQoO8h0","Mid-Air Thief","spotify:album:6xzqytqEOwBgNIYaGzgTMR","Gongjoong Doduk","spotify:artist:0zGRuj0aQ3mM6i2dQoO8h0","Mid-Air Thief","2015-02-09","https://i.scdn.co/image/ab67616d0000b273ff1a8513e43298f72bf65a83","1","2","211694","https://p.scdn.co/mp3-preview/30c7c6ef74014788dc713521fbfd03214334f926?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","KRMIM2005324","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-20T09:46:32Z"
"spotify:track:6K4t31amVTZDgR3sKmwUJJ","The Less I Know The Better","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:79dL7FLiJFOO0EoehUHQBv","Currents","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2015-07-17","https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79","1","7","216320","","true","88","AUUM71500303","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-20T09:48:40Z"
"spotify:track:6t1ahr2f1t9iSjjNFwFb4C","Jungle","spotify:artist:6zVFRTB0Y1whWyH7ZNmywf","Tash Sultana","spotify:album:7JV505O1I9Sc3uHtFEFtkf","Notion","spotify:artist:6zVFRTB0Y1whWyH7ZNmywf","Tash Sultana","2017-03-01","https://i.scdn.co/image/ab67616d0000b273aab3ca4ee8519fe68dc8427d","1","4","315602","","false","46","AUBEC1601210","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-20T09:48:52Z"
"spotify:track:6omtEA4W0TP4TO8PxAuedN","Cold Wind Blowin'","spotify:artist:2Gu6Q05ExIGwHTF43kqLBI","David Lynch","spotify:album:3WKhAcQ1Jrfsol37gkcHyG","The Big Dream","spotify:artist:2Gu6Q05ExIGwHTF43kqLBI","David Lynch","2013-07-10","https://i.scdn.co/image/ab67616d0000b2733c80b970bd6cd48ae7d396e1","1","4","229240","https://p.scdn.co/mp3-preview/c64c5af3b6bb9a1fadbd51332f8cb465e94b3869?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","GBGNS1301040","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-27T21:17:50Z"
"spotify:track:5JbxiG90IN2anqHToMdlGT","Бесполезно","spotify:artist:2zYmwYLeJvcr8vRQe5pQRa","Valentin Strykalo","spotify:album:20YkqA8ivmBOheN4QGjp1V","Развлечение","spotify:artist:2zYmwYLeJvcr8vRQe5pQRa","Valentin Strykalo","2016-10-13","https://i.scdn.co/image/ab67616d0000b273c57d665b700dc1d788b1c00d","1","7","424380","https://p.scdn.co/mp3-preview/3747cdbe5f0f518ccbae50700df9ec753e14fb4f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","ushm81647761","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-27T21:21:14Z"
"spotify:track:6JwqoBUyhDrkrhDcPxohUM","Acid Rain on Broken Rooftops","spotify:artist:7kMXAaL47nt5wVkkyEbiON","Ørdop Wolkenscheidt","spotify:album:06Wy4Ua6OmrTNqK4n7BZJo","Music for an Empty Metropolis","spotify:artist:7kMXAaL47nt5wVkkyEbiON","Ørdop Wolkenscheidt","2019-03-09","https://i.scdn.co/image/ab67616d0000b27336254bd15ebbc599f4a8a3c3","1","3","278095","https://p.scdn.co/mp3-preview/d51ebc1824edf5dbdcdada73e96e4035ae772da4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","SE5BU1937276","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-27T21:24:03Z"
"spotify:track:4V5SmRtMLu9ccAoerVlPLl","Bırak Aksın","spotify:artist:1poI3l63ENJgUiWAKGv2Sp","Journers","spotify:album:5QHvbP0h6Ubn9AMcjIYora","Bırak Aksın","spotify:artist:1poI3l63ENJgUiWAKGv2Sp","Journers","2020-03-09","https://i.scdn.co/image/ab67616d0000b2734aa75997d5be113650d31d6c","1","1","182500","https://p.scdn.co/mp3-preview/4083e9b9ae47e02b2c524f253f9c85308c46619f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","QZFZ52008004","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-28T14:08:23Z"
"spotify:track:4tSffoeKFOMlh6NW5N6OIO","Tesadüfen Hayatta","spotify:artist:6TNFlMsNERcjX4gb3jntBk","Brek","spotify:album:1TkyNSJ3jtVykRGYsmzLCW","Tesadüfen Hayatta","spotify:artist:6TNFlMsNERcjX4gb3jntBk","Brek","2018-09-14","https://i.scdn.co/image/ab67616d0000b27349f62d66db6539b1e5509c4b","1","1","176789","https://p.scdn.co/mp3-preview/1d5e91b5bb8d9bf4081451bfd1c52698806d4e63?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","QM6MZ1896806","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-28T16:38:16Z"
"spotify:track:3NqHQ4V2U4wQuWlByWfa1r","Castle in the Mist","spotify:artist:6vuQJMjP5BC4Wyrq6mpVlb","ICO","spotify:album:7Gp7M4UtFXPJ6qc5oILizv","ICO〜霧の中の旋律〜","spotify:artist:6vuQJMjP5BC4Wyrq6mpVlb","ICO","2002-02-20","https://i.scdn.co/image/ab67616d0000b27321f072e3ea9dcb445622d545","1","4","185173","https://p.scdn.co/mp3-preview/a4d394ef11c1131b79543eabc5184243c3c54cde?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","JPE300100864","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-08-28T16:46:12Z"
