"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4s6LhHAV5SEsOV0lC2tjvJ","California Dreamin' - Single Version","spotify:artist:1bs7HoMkSyQwcobCpE9KpN","The Mamas & The Papas","spotify:album:76oMr4Y2pOtcrvZLc2ZikF","If You Can Believe Your Eyes & Ears","spotify:artist:1bs7HoMkSyQwcobCpE9KpN","The Mamas & The Papas","1966-03","https://i.scdn.co/image/ab67616d0000b27308181b9f840a06e7a071cf72","1","7","162373","","false","83","USMC16532697","spotify:user:22skuem7c42kuu2lm66e3qg3y","2021-02-08T17:35:41Z"
"spotify:track:4GUvOaJiYlvFTKXDEg3QR6","What a Difference a Day Makes","spotify:artist:32LHRiof0sa4taYew9i3Fa","Dinah Washington","spotify:album:3zoDLuBtILNMGV555HHSu1","Dinah Washington - The Great American Songbook","spotify:artist:32LHRiof0sa4taYew9i3Fa","Dinah Washington","2011-08-09","https://i.scdn.co/image/ab67616d0000b27317ec34f18bac1b4f96063ce6","1","11","152360","https://p.scdn.co/mp3-preview/ed705d59d4f6b1875d0c45d61baf92df8ee28258?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","SEWDL0324209","spotify:user:22skuem7c42kuu2lm66e3qg3y","2021-02-08T17:36:11Z"
"spotify:track:1IDQXWGLzpLIAvMHJIMgU5","掙脫","spotify:artist:3df3XLKuqTQ6iOSmi0K3Wp","Faye Wong","spotify:album:4J3XjEzUvDKGNyCESR2Jls","天空","spotify:artist:3df3XLKuqTQ6iOSmi0K3Wp","Faye Wong","1994-01-01","https://i.scdn.co/image/ab67616d0000b2735cb1d2103dea499cb64c28f3","1","9","268200","","false","42","HKG079400176","spotify:user:22skuem7c42kuu2lm66e3qg3y","2021-02-08T17:38:22Z"
"spotify:track:4uGIJG1jYFonGc4LGp5uQL","Somebody to Love","spotify:artist:2qFr8w5sWUITRlzZ9kZotF","Jefferson Airplane","spotify:album:6lPb7Eoon6QPbscWbMsk6a","Surrealistic Pillow","spotify:artist:2qFr8w5sWUITRlzZ9kZotF","Jefferson Airplane","1967","https://i.scdn.co/image/ab67616d0000b2732dac7a01676ddb36c1d0ec05","1","2","174840","https://p.scdn.co/mp3-preview/19c01e1fdf45dd0a1e47051dd2e449de658a991c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USRC10301008","spotify:user:22skuem7c42kuu2lm66e3qg3y","2021-02-08T17:38:37Z"
"spotify:track:0haoDgX7K78fJJR5UXzh8G","Les Aventures de TINTIN","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","spotify:album:5bBCfJWiZe2sC98S8Ge7OP","Copine","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","2013-03-27","https://i.scdn.co/image/ab67616d0000b27372f64b0832fd73fe1d1506eb","1","1","276053","https://p.scdn.co/mp3-preview/c43f5722504e5498988a6c82de85f76885ea4337?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","JPA301100192","spotify:user:22skuem7c42kuu2lm66e3qg3y","2021-02-08T17:39:04Z"
"spotify:track:5h1Y5ZU60rke2qJbQYGgBN","Things In Life","spotify:artist:0UmBaQJflaHddKtf1lrA6F","Dennis Brown","spotify:album:3mRQoE9cU9M2xqmj7UW3Kb","Lloyd Daley's Matador Productions 1968-72: Reggae Classics From The Originator","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1992-01-01","https://i.scdn.co/image/ab67616d0000b2737f2896fc78330795c188b980","1","7","193026","","false","48","USHB19209207","spotify:user:22skuem7c42kuu2lm66e3qg3y","2021-02-08T17:41:13Z"
"spotify:track:15Mh8m2BGTUptR8yy7fNAS","Only You","spotify:artist:1G1mX30GpUJqOr1QU2eBSs","Yazoo","spotify:album:35XWsJcKVHGmDKE8XUd3o3","Upstairs at Eric's","spotify:artist:1G1mX30GpUJqOr1QU2eBSs","Yazoo","1982-07-01","https://i.scdn.co/image/ab67616d0000b273e0c3e555afcd70597d605b8e","1","6","194173","https://p.scdn.co/mp3-preview/102e7c91e9b215243dc1b9d047a7d67b240bb601?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GBAJH9900151","spotify:user:22skuem7c42kuu2lm66e3qg3y","2021-02-08T17:42:35Z"
"spotify:track:4XCGfHpGVq8xw800o5cwWs","Les Fleurs","spotify:artist:2i1IdHG5w0wiSmJGoqAGlj","Minnie Riperton","spotify:album:3FuJjgDLCnwRgnRLfjjGPV","Come To My Garden","spotify:artist:2i1IdHG5w0wiSmJGoqAGlj","Minnie Riperton","1970-11-01","https://i.scdn.co/image/ab67616d0000b273d85c957794c2a5b8b11de5f9","1","1","199293","","false","62","USCA20706796","spotify:user:22skuem7c42kuu2lm66e3qg3y","2021-02-08T17:43:49Z"
"spotify:track:7BIj2EumM3JA6NmxPcF6C5","上を向いて歩こう","spotify:artist:3WKkjW8B7x5UZmfC9pnDmN","Kyu Sakamoto","spotify:album:51VPN0fGRllJBCpi449czB","ベスト9!","spotify:artist:3WKkjW8B7x5UZmfC9pnDmN","Kyu Sakamoto","2009-09-09","https://i.scdn.co/image/ab67616d0000b2735ca640a51c19062c680cd829","1","1","188960","","false","51","JPTO07614700","spotify:user:22skuem7c42kuu2lm66e3qg3y","2021-02-08T17:44:12Z"
"spotify:track:2cVr3kgag9vfl6aXnYfmav","Lolita Ya Ya","spotify:artist:6PyGlGbMoNqkofF14K4BWb","Nelson Riddle","spotify:album:7DDr6cIizxHIS51kCjblhF","Lolita (Original Motion Picture Soundtrack)","spotify:artist:6PyGlGbMoNqkofF14K4BWb","Nelson Riddle","1962-06-21","https://i.scdn.co/image/ab67616d0000b273bfad7b43698b19a7a5504b89","1","4","203933","https://p.scdn.co/mp3-preview/25fb059f09cd5564d2474046cf467458be8de524?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USNLR1400631","spotify:user:22skuem7c42kuu2lm66e3qg3y","2021-02-08T17:45:19Z"
