"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1Uf9cT6BIRr333uIZ64H0T","Concerto Grosso for Strings ""Palladio"": I. Allegretto","spotify:artist:1q1wfzh2xtpj27TnIAqIvd, spotify:artist:4G2W8xOZ8D0KRJX4GIETWe, spotify:artist:2P4DEqPDDyGY3cHfEWkRIE","Karl Jenkins, Metamorphose String Orchestra, Pavel Lyubomudrov","spotify:album:4mv1rkeHVJtjXKzfJce8R5","Concerto Grosso for Strings ""Palladio"": I. Allegretto","spotify:artist:1q1wfzh2xtpj27TnIAqIvd, spotify:artist:2P4DEqPDDyGY3cHfEWkRIE, spotify:artist:4G2W8xOZ8D0KRJX4GIETWe","Karl Jenkins, Pavel Lyubomudrov, Metamorphose String Orchestra","2020-10-23","https://i.scdn.co/image/ab67616d0000b273c16ca599030bb99ea236fcab","1","1","153088","https://p.scdn.co/mp3-preview/c5fd698d238c0b999af990a7a4103d780f537c5a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","ITD542001656","spotify:user:halidon","2022-05-23T08:09:39Z"
"spotify:track:6XT9QIwZBrJJkPBDjHGW1Y","Die Worte des Erlösers am Kreuze, Hob. XX:1: IX. Il Terremoto","spotify:artist:656RXuyw7CE0dtjdPgjJV6, spotify:artist:4G2W8xOZ8D0KRJX4GIETWe, spotify:artist:2P4DEqPDDyGY3cHfEWkRIE","Joseph Haydn, Metamorphose String Orchestra, Pavel Lyubomudrov","spotify:album:6fpqXy71bD8IOhALdU6WHK","Die Worte des Erlösers am Kreuze, Hob. XX:1: IX. Il Terremoto","spotify:artist:656RXuyw7CE0dtjdPgjJV6, spotify:artist:2P4DEqPDDyGY3cHfEWkRIE, spotify:artist:4G2W8xOZ8D0KRJX4GIETWe","Joseph Haydn, Pavel Lyubomudrov, Metamorphose String Orchestra","2021-02-05","https://i.scdn.co/image/ab67616d0000b2736d8de7fd1b9110d30fa6f63a","1","1","105343","https://p.scdn.co/mp3-preview/ee41c2a5f38c018d5cc6594fc6c10b7d83158b9d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","ITD542100087","spotify:user:halidon","2022-05-23T08:08:51Z"
"spotify:track:2JIfLTeDcerjIMZOenVr2Z","Le grand cahier: X. L'incendie","spotify:artist:28yzshAIS5oCBCAhVR5vpJ, spotify:artist:4G2W8xOZ8D0KRJX4GIETWe, spotify:artist:2P4DEqPDDyGY3cHfEWkRIE","Alexander Litvinovsky, Metamorphose String Orchestra, Pavel Lyubomudrov","spotify:album:6SqJ7tpZS9AQBMq7QFjzWA","Le Grand Cahier (Suite for String Orchestra)","spotify:artist:28yzshAIS5oCBCAhVR5vpJ, spotify:artist:2P4DEqPDDyGY3cHfEWkRIE, spotify:artist:4G2W8xOZ8D0KRJX4GIETWe","Alexander Litvinovsky, Pavel Lyubomudrov, Metamorphose String Orchestra","2017-10-20","https://i.scdn.co/image/ab67616d0000b27305032081d5c39f7d3bef0426","1","10","140960","https://p.scdn.co/mp3-preview/f6fb3d4470200f4eb2afe1a07a0fcd233a676929?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","ITD541702674","spotify:user:halidon","2022-05-23T08:40:45Z"
"spotify:track:6sZSmWzcFpTOQcAOD4v16T","Swan Lake, Op. 20: Spanish Dance","spotify:artist:3MKCzCnpzw3TjUYs2v7vDA, spotify:artist:4G2W8xOZ8D0KRJX4GIETWe, spotify:artist:2P4DEqPDDyGY3cHfEWkRIE","Pyotr Ilyich Tchaikovsky, Metamorphose String Orchestra, Pavel Lyubomudrov","spotify:album:2WB51Np9pJO33k6R8F70Jv","Tchaikovsky: Serenade for Strings Op. 48, The Nutcracker, Swan Lake (Live Recording)","spotify:artist:3MKCzCnpzw3TjUYs2v7vDA, spotify:artist:2P4DEqPDDyGY3cHfEWkRIE, spotify:artist:4G2W8xOZ8D0KRJX4GIETWe","Pyotr Ilyich Tchaikovsky, Pavel Lyubomudrov, Metamorphose String Orchestra","2017-10-20","https://i.scdn.co/image/ab67616d0000b27355689cdc20318900786ede6f","1","9","131315","https://p.scdn.co/mp3-preview/ca930d9f47874d8d64a82037f5342073ed65044c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","ITD541702696","spotify:user:halidon","2022-05-23T08:22:54Z"
"spotify:track:0DMMXLqEuzQ5gqGPXnM33O","The Four Seasons, Violin Concerto No. 2 in G Minor, RV 315 ""Summer"": III. Presto","spotify:artist:2QOIawHpSlOwXDvSqQ9YJR, spotify:artist:0WSVqHbz9zfeI7IA6EpBFW, spotify:artist:2P4DEqPDDyGY3cHfEWkRIE, spotify:artist:4G2W8xOZ8D0KRJX4GIETWe","Antonio Vivaldi, Yuliya Lebedenko, Pavel Lyubomudrov, Metamorphose String Orchestra","spotify:album:0XilojUfAToN4z548oCNGe","Vivaldi: The Four Seasons","spotify:artist:2QOIawHpSlOwXDvSqQ9YJR, spotify:artist:0WSVqHbz9zfeI7IA6EpBFW, spotify:artist:2P4DEqPDDyGY3cHfEWkRIE, spotify:artist:4G2W8xOZ8D0KRJX4GIETWe","Antonio Vivaldi, Yuliya Lebedenko, Pavel Lyubomudrov, Metamorphose String Orchestra","2017-10-20","https://i.scdn.co/image/ab67616d0000b2735e91ff620f5ea666d2a2adfa","1","6","160066","https://p.scdn.co/mp3-preview/bcfbe04f01ccc899967f51766cc1169776f65f5f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","ITD541702704","spotify:user:halidon","2022-05-23T08:48:07Z"
"spotify:track:2WIaibXvcQfD1r6kA5XoHz","The Four Seasons, Violin Concerto No. 4 in F Minor, RV 297 ""Winter"": I. Allegro non molto","spotify:artist:2QOIawHpSlOwXDvSqQ9YJR, spotify:artist:0WSVqHbz9zfeI7IA6EpBFW, spotify:artist:2P4DEqPDDyGY3cHfEWkRIE, spotify:artist:4G2W8xOZ8D0KRJX4GIETWe","Antonio Vivaldi, Yuliya Lebedenko, Pavel Lyubomudrov, Metamorphose String Orchestra","spotify:album:0XilojUfAToN4z548oCNGe","Vivaldi: The Four Seasons","spotify:artist:2QOIawHpSlOwXDvSqQ9YJR, spotify:artist:0WSVqHbz9zfeI7IA6EpBFW, spotify:artist:2P4DEqPDDyGY3cHfEWkRIE, spotify:artist:4G2W8xOZ8D0KRJX4GIETWe","Antonio Vivaldi, Yuliya Lebedenko, Pavel Lyubomudrov, Metamorphose String Orchestra","2017-10-20","https://i.scdn.co/image/ab67616d0000b2735e91ff620f5ea666d2a2adfa","1","10","196173","https://p.scdn.co/mp3-preview/ce43986e28014652a8fbdc242d08e3cb233e5458?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","ITD541702708","spotify:user:halidon","2022-05-23T08:07:48Z"
"spotify:track:2qNXGXyHw6y9F4kOm8rnVD","The Four Seasons, Violin Concerto No. 4 in F Minor, RV 297 ""Winter"": III. Allegro","spotify:artist:2QOIawHpSlOwXDvSqQ9YJR, spotify:artist:0WSVqHbz9zfeI7IA6EpBFW, spotify:artist:2P4DEqPDDyGY3cHfEWkRIE, spotify:artist:4G2W8xOZ8D0KRJX4GIETWe","Antonio Vivaldi, Yuliya Lebedenko, Pavel Lyubomudrov, Metamorphose String Orchestra","spotify:album:0XilojUfAToN4z548oCNGe","Vivaldi: The Four Seasons","spotify:artist:2QOIawHpSlOwXDvSqQ9YJR, spotify:artist:0WSVqHbz9zfeI7IA6EpBFW, spotify:artist:2P4DEqPDDyGY3cHfEWkRIE, spotify:artist:4G2W8xOZ8D0KRJX4GIETWe","Antonio Vivaldi, Yuliya Lebedenko, Pavel Lyubomudrov, Metamorphose String Orchestra","2017-10-20","https://i.scdn.co/image/ab67616d0000b2735e91ff620f5ea666d2a2adfa","1","12","185666","https://p.scdn.co/mp3-preview/252e7ede910ff5385ff882f4f9f9a8db3b5a8369?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","ITD541702710","spotify:user:halidon","2022-05-23T08:08:02Z"
"spotify:track:3Yd6ShNi52uyX1ZwtFJffF","Suite No. 11 in D Minor, HWV 437: III. Sarabande","spotify:artist:1QL7yTHrdahRMpvNtn6rI2, spotify:artist:4G2W8xOZ8D0KRJX4GIETWe, spotify:artist:2P4DEqPDDyGY3cHfEWkRIE","George Frideric Handel, Metamorphose String Orchestra, Pavel Lyubomudrov","spotify:album:7eD2MSiY8Za6QGXxuROD3h","Suite No. 11 in D Minor, HWV 437: III. Sarabande","spotify:artist:1QL7yTHrdahRMpvNtn6rI2, spotify:artist:4G2W8xOZ8D0KRJX4GIETWe, spotify:artist:2P4DEqPDDyGY3cHfEWkRIE","George Frideric Handel, Metamorphose String Orchestra, Pavel Lyubomudrov","2021-11-05","https://i.scdn.co/image/ab67616d0000b273d52eadd5f1bd067cf3fe1377","1","1","168698","https://p.scdn.co/mp3-preview/62091f0129b4f17e25cfdd227e5637ba5c8e3a33?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","ITD542101361","spotify:user:halidon","2022-05-23T08:08:37Z"
"spotify:track:6q0chyjzg4iVQa04XyQE6j","Suite No. 1 from Romeo and Juliet, Op. 64bis: No. 6, Death of Tybalt","spotify:artist:4kHtgiRnpmFIV5Tm4BIs8l, spotify:artist:4G2W8xOZ8D0KRJX4GIETWe, spotify:artist:2P4DEqPDDyGY3cHfEWkRIE","Sergei Prokofiev, Metamorphose String Orchestra, Pavel Lyubomudrov","spotify:album:516WmU9AkueLx2UfqbkjsK","Prokofiev - Romeo and Juliet: Death of Tybalt, Friar Laurence","spotify:artist:4kHtgiRnpmFIV5Tm4BIs8l, spotify:artist:2P4DEqPDDyGY3cHfEWkRIE, spotify:artist:4G2W8xOZ8D0KRJX4GIETWe","Sergei Prokofiev, Pavel Lyubomudrov, Metamorphose String Orchestra","2017-10-20","https://i.scdn.co/image/ab67616d0000b2734e28fa5f706a67798321772c","1","1","272073","https://p.scdn.co/mp3-preview/960c9998bb2df6415a277a4cae21cf5c858ac21d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","ITD541702697","spotify:user:halidon","2022-05-23T08:10:25Z"
"spotify:track:5rPqo5uyPn5MDoJkkiu8Nr","Night on Bald Mountain","spotify:artist:284mnx33IWcymQEpMxyfHl, spotify:artist:2LmyJyCF5V1eQyvHgJNbTn, spotify:artist:3gacryguGmpmCvgPGt2CBI","Modest Mussorgsky, Leonard Bernstein, New York Philharmonic","spotify:album:6DXbZ4agtuw4h0zldzdx8f","Mussorgsky: Pictures at an Exhibition & Night on Bald Mountain","spotify:artist:284mnx33IWcymQEpMxyfHl, spotify:artist:2LmyJyCF5V1eQyvHgJNbTn","Modest Mussorgsky, Leonard Bernstein","1962","https://i.scdn.co/image/ab67616d0000b2734e9578d5103f04cbd67cfadd","1","16","660866","https://p.scdn.co/mp3-preview/e9c7be0718595519c2ff43e6c066313b135f9b96?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USSM16500340","spotify:user:halidon","2022-05-23T08:04:54Z"
"spotify:track:57max5cCIabzkGHQgNuaKK","Swan Lake, Op. 20: Scene by a Lake","spotify:artist:3MKCzCnpzw3TjUYs2v7vDA, spotify:artist:4G2W8xOZ8D0KRJX4GIETWe, spotify:artist:2P4DEqPDDyGY3cHfEWkRIE","Pyotr Ilyich Tchaikovsky, Metamorphose String Orchestra, Pavel Lyubomudrov","spotify:album:32U7wenzwEZdl1mLEpboYH","Swan Lake, Op. 20: Scene by a Lake","spotify:artist:3MKCzCnpzw3TjUYs2v7vDA, spotify:artist:2P4DEqPDDyGY3cHfEWkRIE, spotify:artist:4G2W8xOZ8D0KRJX4GIETWe","Pyotr Ilyich Tchaikovsky, Pavel Lyubomudrov, Metamorphose String Orchestra","2019-05-24","https://i.scdn.co/image/ab67616d0000b2739227c6546ff1cd0d2fc4264c","1","1","151552","https://p.scdn.co/mp3-preview/d2223687d95f8d2ba9b8c0d35d6fb8c30710f3d8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","ITD541900334","spotify:user:halidon","2022-05-23T08:09:56Z"
"spotify:track:4xIXr8dKTCHPdslvk36HVv","The Carnival of the Animals, R. 125: VII. Aquarium - Live","spotify:artist:436sYg6CZhNefQJogaXeK0, spotify:artist:6Gpp97J33tkrQ8g8A0kx1B, spotify:artist:5fvF0JmVowf90YXfo09jLu","Camille Saint-Saëns, Orchestra da Camera Fiorentina, Giuseppe Lanzetta","spotify:album:6npIMfrQDovwmgVWqPcstA","Saint-Saëns: The Carnival of the Animals (Live)","spotify:artist:436sYg6CZhNefQJogaXeK0, spotify:artist:5fvF0JmVowf90YXfo09jLu, spotify:artist:6Gpp97J33tkrQ8g8A0kx1B","Camille Saint-Saëns, Giuseppe Lanzetta, Orchestra da Camera Fiorentina","2021-07-02","https://i.scdn.co/image/ab67616d0000b2739205a80608a416176d8ae9b1","1","7","138293","https://p.scdn.co/mp3-preview/8d645e830ee22c4175642c7ff4c15d6214448fee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","ITD542100785","spotify:user:halidon","2022-05-23T08:06:42Z"
"spotify:track:3Zw5qqyOSqadBvFhxxVO3p","Il Barbiere di Siviglia: ""Cavatina di Figaro""","spotify:artist:4cljIUQT485JcBY5VwRsbY, spotify:artist:2rnwz2jKUolu28QfCW7q7v, spotify:artist:6pKXo0olftD18nJ1luiiGC","Cesare Sterbini, Mauro Bonfanti, Filippo Neri","spotify:album:1ln1iYOar9ubMbdyxLMySe","Il Barbiere di Siviglia: ""Cavatina di Figaro""","spotify:artist:4cljIUQT485JcBY5VwRsbY, spotify:artist:2rnwz2jKUolu28QfCW7q7v, spotify:artist:6pKXo0olftD18nJ1luiiGC","Cesare Sterbini, Mauro Bonfanti, Filippo Neri","2021-11-19","https://i.scdn.co/image/ab67616d0000b273b95ff5235ca443814f7a11f6","1","1","295770","https://p.scdn.co/mp3-preview/b0464b09359ef9bc919f470c874cd70e1a95fa44?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","ITD542101445","spotify:user:halidon","2022-05-23T08:05:44Z"
