"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7qbLE7ssJcnWD6EO7My847","Ol' 55","spotify:artist:7x83XhcMbOTl1UdYsPTuZM","Tom Waits","spotify:album:67F2ya9fonXH0jVVgLa7sb","Closing Time (Remastered)","spotify:artist:7x83XhcMbOTl1UdYsPTuZM","Tom Waits","1973-03-06","https://i.scdn.co/image/ab67616d0000b2739c853aae7a8aa1db84a52dd8","1","1","236480","https://p.scdn.co/mp3-preview/dd64a6ed293d766f7b2993176ba2ff8a1edac75a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USEP41718371","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-08T14:09:38Z"
"spotify:track:23Uv9xqLumDqEBNIdHhCcO","I Hope That I Don't Fall In Love With You","spotify:artist:7x83XhcMbOTl1UdYsPTuZM","Tom Waits","spotify:album:67F2ya9fonXH0jVVgLa7sb","Closing Time (Remastered)","spotify:artist:7x83XhcMbOTl1UdYsPTuZM","Tom Waits","1973-03-06","https://i.scdn.co/image/ab67616d0000b2739c853aae7a8aa1db84a52dd8","1","2","233533","https://p.scdn.co/mp3-preview/380d21aa9ea6e8013114a6f4c3bbe2e6f04748f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USEP41718372","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-08T14:09:38Z"
"spotify:track:17hdHrBZWGtBjUiejapzKG","Virginia Avenue","spotify:artist:7x83XhcMbOTl1UdYsPTuZM","Tom Waits","spotify:album:67F2ya9fonXH0jVVgLa7sb","Closing Time (Remastered)","spotify:artist:7x83XhcMbOTl1UdYsPTuZM","Tom Waits","1973-03-06","https://i.scdn.co/image/ab67616d0000b2739c853aae7a8aa1db84a52dd8","1","3","189426","https://p.scdn.co/mp3-preview/38c3101cc3a9e1ca4baca8d013a9f0d477f0dc13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USEP41718373","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-08T14:09:38Z"
"spotify:track:1MbqOV4uT2Rrxxyk1ZvCTT","Old Shoes (& Picture Postcards)","spotify:artist:7x83XhcMbOTl1UdYsPTuZM","Tom Waits","spotify:album:67F2ya9fonXH0jVVgLa7sb","Closing Time (Remastered)","spotify:artist:7x83XhcMbOTl1UdYsPTuZM","Tom Waits","1973-03-06","https://i.scdn.co/image/ab67616d0000b2739c853aae7a8aa1db84a52dd8","1","4","219840","https://p.scdn.co/mp3-preview/1e2557fad6c1b6c83184bb72c35b57b87ed6c401?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USEP41718374","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-08T14:09:38Z"
"spotify:track:76lp85JWnxm976F9sv3EGR","Midnight Lullaby","spotify:artist:7x83XhcMbOTl1UdYsPTuZM","Tom Waits","spotify:album:67F2ya9fonXH0jVVgLa7sb","Closing Time (Remastered)","spotify:artist:7x83XhcMbOTl1UdYsPTuZM","Tom Waits","1973-03-06","https://i.scdn.co/image/ab67616d0000b2739c853aae7a8aa1db84a52dd8","1","5","205786","https://p.scdn.co/mp3-preview/71d85891b62a80e7aa486da54c139068ea60c8dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USEP41718375","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-08T14:09:38Z"
"spotify:track:75QoXqTlvBwuITzow9egCB","Martha","spotify:artist:7x83XhcMbOTl1UdYsPTuZM","Tom Waits","spotify:album:67F2ya9fonXH0jVVgLa7sb","Closing Time (Remastered)","spotify:artist:7x83XhcMbOTl1UdYsPTuZM","Tom Waits","1973-03-06","https://i.scdn.co/image/ab67616d0000b2739c853aae7a8aa1db84a52dd8","1","6","268866","https://p.scdn.co/mp3-preview/3ac8aa89e18d69a49469340877b22127fc4c98a1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USEP41718376","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-08T14:09:38Z"
"spotify:track:4kcSEG03RjpZdvqW2bmBUY","Rosie","spotify:artist:7x83XhcMbOTl1UdYsPTuZM","Tom Waits","spotify:album:67F2ya9fonXH0jVVgLa7sb","Closing Time (Remastered)","spotify:artist:7x83XhcMbOTl1UdYsPTuZM","Tom Waits","1973-03-06","https://i.scdn.co/image/ab67616d0000b2739c853aae7a8aa1db84a52dd8","1","7","242040","https://p.scdn.co/mp3-preview/48342fad5bd728d4c72f69d2f65c3ad54a1033ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USEP41718377","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-08T14:09:38Z"
"spotify:track:3zpbLR7jCbqE5KQYdO8QAm","Lonely","spotify:artist:7x83XhcMbOTl1UdYsPTuZM","Tom Waits","spotify:album:67F2ya9fonXH0jVVgLa7sb","Closing Time (Remastered)","spotify:artist:7x83XhcMbOTl1UdYsPTuZM","Tom Waits","1973-03-06","https://i.scdn.co/image/ab67616d0000b2739c853aae7a8aa1db84a52dd8","1","8","192440","https://p.scdn.co/mp3-preview/c955da8321a102f7afe6996c55f9f11ccec1fdf2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USEP41718378","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-08T14:09:38Z"
"spotify:track:5mCkgtwXW7oJrp8hAgwuMh","Ice Cream Man","spotify:artist:7x83XhcMbOTl1UdYsPTuZM","Tom Waits","spotify:album:67F2ya9fonXH0jVVgLa7sb","Closing Time (Remastered)","spotify:artist:7x83XhcMbOTl1UdYsPTuZM","Tom Waits","1973-03-06","https://i.scdn.co/image/ab67616d0000b2739c853aae7a8aa1db84a52dd8","1","9","184533","https://p.scdn.co/mp3-preview/bd467fdfaeda24e98f57be09cf37eb9801f182f1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USEP41718379","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-08T14:09:38Z"
"spotify:track:57jsZAk8iqJgfTdOu54QiO","Little Trip To Heaven (On The Wings Of Your Love)","spotify:artist:7x83XhcMbOTl1UdYsPTuZM","Tom Waits","spotify:album:67F2ya9fonXH0jVVgLa7sb","Closing Time (Remastered)","spotify:artist:7x83XhcMbOTl1UdYsPTuZM","Tom Waits","1973-03-06","https://i.scdn.co/image/ab67616d0000b2739c853aae7a8aa1db84a52dd8","1","10","220346","https://p.scdn.co/mp3-preview/78894c9175a40b90b05e1e7336f19c1d980a22b6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USEP41718380","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-08T14:09:38Z"
