"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6Tzv50D47Vy568fYYcVbD8","See How","spotify:artist:5mZC7ndY6oGMxJentRwsuV","Young Fathers","spotify:album:03Dp6OJS4wd7dI1rRszPwj","Cocoa Sugar","spotify:artist:5mZC7ndY6oGMxJentRwsuV","Young Fathers","2018-03-09","https://i.scdn.co/image/ab67616d0000b2736acb9ab5797d3548c59bc515","1","1","121170","https://p.scdn.co/mp3-preview/a1641129e63cfd0a1c36ad72700746d2b3ce2dfa?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","GBCFB1700584","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-02T21:35:45Z"
"spotify:track:7LcIawCmZR3XozBp3Ah89J","Fee Fi","spotify:artist:5mZC7ndY6oGMxJentRwsuV","Young Fathers","spotify:album:03Dp6OJS4wd7dI1rRszPwj","Cocoa Sugar","spotify:artist:5mZC7ndY6oGMxJentRwsuV","Young Fathers","2018-03-09","https://i.scdn.co/image/ab67616d0000b2736acb9ab5797d3548c59bc515","1","2","161799","https://p.scdn.co/mp3-preview/a496e06dd05c3f7052cd944ccef081721c350221?cid=9950ac751e34487dbbe027c4fd7f8e99","true","35","GBCFB1700585","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-02T21:35:45Z"
"spotify:track:6dqs8fnEKzvqYta2abiJKN","In My View","spotify:artist:5mZC7ndY6oGMxJentRwsuV","Young Fathers","spotify:album:03Dp6OJS4wd7dI1rRszPwj","Cocoa Sugar","spotify:artist:5mZC7ndY6oGMxJentRwsuV","Young Fathers","2018-03-09","https://i.scdn.co/image/ab67616d0000b2736acb9ab5797d3548c59bc515","1","3","195445","https://p.scdn.co/mp3-preview/06a55a9b3564266f8bac9dd501239d5e276646f1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","GBCFB1700586","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-02T21:35:45Z"
"spotify:track:2ORzpXfnI75Tvtx06z4FdZ","Turn","spotify:artist:5mZC7ndY6oGMxJentRwsuV","Young Fathers","spotify:album:03Dp6OJS4wd7dI1rRszPwj","Cocoa Sugar","spotify:artist:5mZC7ndY6oGMxJentRwsuV","Young Fathers","2018-03-09","https://i.scdn.co/image/ab67616d0000b2736acb9ab5797d3548c59bc515","1","4","216591","https://p.scdn.co/mp3-preview/2225a475cdac8e085df7afe62cf0d339c86ef715?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","GBCFB1700587","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-02T21:35:45Z"
"spotify:track:09CViXNGyH05AItXMtM6fC","Lord","spotify:artist:5mZC7ndY6oGMxJentRwsuV","Young Fathers","spotify:album:03Dp6OJS4wd7dI1rRszPwj","Cocoa Sugar","spotify:artist:5mZC7ndY6oGMxJentRwsuV","Young Fathers","2018-03-09","https://i.scdn.co/image/ab67616d0000b2736acb9ab5797d3548c59bc515","1","5","217120","https://p.scdn.co/mp3-preview/9891d49ecf26c53492fd20780732ff5169b201c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","GBCFB1700496","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-02T21:35:45Z"
"spotify:track:2kMLvJYtQ3Tcxk7WhlLXqD","Tremolo","spotify:artist:5mZC7ndY6oGMxJentRwsuV","Young Fathers","spotify:album:03Dp6OJS4wd7dI1rRszPwj","Cocoa Sugar","spotify:artist:5mZC7ndY6oGMxJentRwsuV","Young Fathers","2018-03-09","https://i.scdn.co/image/ab67616d0000b2736acb9ab5797d3548c59bc515","1","6","188781","https://p.scdn.co/mp3-preview/18dd9a0c39d7adf7a54df25cba96663a7b047bab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","GBCFB1700588","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-02T21:35:45Z"
"spotify:track:6RoDIK2n85nJefiu67q9OS","Wow","spotify:artist:5mZC7ndY6oGMxJentRwsuV","Young Fathers","spotify:album:03Dp6OJS4wd7dI1rRszPwj","Cocoa Sugar","spotify:artist:5mZC7ndY6oGMxJentRwsuV","Young Fathers","2018-03-09","https://i.scdn.co/image/ab67616d0000b2736acb9ab5797d3548c59bc515","1","7","240114","https://p.scdn.co/mp3-preview/6815530a27b9f5a371ce5fb99b94ee8aa6ea7c5f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","GBCFB1700589","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-02T21:35:45Z"
"spotify:track:5zD2LwEFI1gHhLIVPtr9jY","Border Girl","spotify:artist:5mZC7ndY6oGMxJentRwsuV","Young Fathers","spotify:album:03Dp6OJS4wd7dI1rRszPwj","Cocoa Sugar","spotify:artist:5mZC7ndY6oGMxJentRwsuV","Young Fathers","2018-03-09","https://i.scdn.co/image/ab67616d0000b2736acb9ab5797d3548c59bc515","1","8","241021","https://p.scdn.co/mp3-preview/01d66bdc33b9ec93f6729b9d5ecff48bff69db58?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","GBCFB1700590","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-02T21:35:45Z"
"spotify:track:6Zf1lF3uGZDhEp7DhbkDMh","Holy Ghost","spotify:artist:5mZC7ndY6oGMxJentRwsuV","Young Fathers","spotify:album:03Dp6OJS4wd7dI1rRszPwj","Cocoa Sugar","spotify:artist:5mZC7ndY6oGMxJentRwsuV","Young Fathers","2018-03-09","https://i.scdn.co/image/ab67616d0000b2736acb9ab5797d3548c59bc515","1","9","152654","https://p.scdn.co/mp3-preview/cb9db36de2275b6da05d54fa9b8d16c1971328f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","GBCFB1700591","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-02T21:35:45Z"
"spotify:track:5jNBVAaounXwGugJTsDSqh","Wire","spotify:artist:5mZC7ndY6oGMxJentRwsuV","Young Fathers","spotify:album:03Dp6OJS4wd7dI1rRszPwj","Cocoa Sugar","spotify:artist:5mZC7ndY6oGMxJentRwsuV","Young Fathers","2018-03-09","https://i.scdn.co/image/ab67616d0000b2736acb9ab5797d3548c59bc515","1","10","100341","https://p.scdn.co/mp3-preview/05279329c75651d30addeb80250e23e8c1f75609?cid=9950ac751e34487dbbe027c4fd7f8e99","true","32","GBCFB1700592","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-02T21:35:45Z"
