"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3aj4HqVn4etp5NNeSLQqBZ","Loud Love","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:354t0L81z7gfWBz4ALDTRd","Louder Than Love","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1989-09-05","https://i.scdn.co/image/ab67616d0000b273d239dbb523613898faf0d4d1","1","7","297493","","false","0","USAM18974573","spotify:user:geekyapar%21","2017-05-18T18:49:04Z"
"spotify:track:4UH0OtOrLpdKz1j0ISe2J3","Rusty Cage","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:6AA5g730FNzwKI08H7rxBk","Badmotorfinger","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1991-10-08","https://i.scdn.co/image/ab67616d0000b273f3d09e34a20117b3b1f84ff4","1","1","268800","","false","0","USAM19104305","spotify:user:geekyapar%21","2017-05-18T18:50:06Z"
"spotify:track:15HU3rC6VxXhHXHA59M28R","Jesus Christ Pose","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:6AA5g730FNzwKI08H7rxBk","Badmotorfinger","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1991-10-08","https://i.scdn.co/image/ab67616d0000b273f3d09e34a20117b3b1f84ff4","1","4","350826","","false","0","USAM19100282","spotify:user:geekyapar%21","2017-05-18T18:51:34Z"
"spotify:track:6mBMzC3pmn6l3Vp0gWeJpX","Hunger Strike - 25th Anniversary Mix","spotify:artist:0iHb0mCbqZTYeb4y9Pirrd","Temple Of The Dog","spotify:album:54OgudGxTodEydf94N5BOW","Temple Of The Dog (Deluxe Edition)","spotify:artist:0iHb0mCbqZTYeb4y9Pirrd","Temple Of The Dog","2016-04-16","https://i.scdn.co/image/ab67616d0000b273889d259b25b34b3a004654b8","1","3","246266","","false","0","USUM71607186","spotify:user:geekyapar%21","2017-05-18T18:55:27Z"
"spotify:track:1szW8tOoDoLECq1ohwMuZr","Right Turn","spotify:artist:64tNsm6TnZe2zpcMVMOoHL","Alice In Chains","spotify:album:4b0EWRIWecUztiLiaoEN4K","Sap","spotify:artist:64tNsm6TnZe2zpcMVMOoHL","Alice In Chains","1992-02-04","https://i.scdn.co/image/ab67616d0000b2738047e76ac2d48c96104e8ffc","1","3","194040","https://p.scdn.co/mp3-preview/027f195a97ef658acd7290fee7697bf708e92737?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USSM19100555","spotify:user:geekyapar%21","2017-05-18T18:57:52Z"
"spotify:track:3vBA9cISon26MlnDWdKSSQ","Fell On Black Days","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:4ePl0meknOkJ892O9yszEY","Superunknown (20th Anniversary)","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1994-03-09","https://i.scdn.co/image/ab67616d0000b2738911bae00cdb228c10030978","1","3","283026","","false","0","USAM19400003","spotify:user:geekyapar%21","2017-05-18T18:52:03Z"
"spotify:track:6KQ3HT7VY3gHPyY2sxTIPg","Superunknown","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:4ePl0meknOkJ892O9yszEY","Superunknown (20th Anniversary)","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1994-03-09","https://i.scdn.co/image/ab67616d0000b2738911bae00cdb228c10030978","1","5","306920","","false","0","USAM19400005","spotify:user:geekyapar%21","2017-05-18T18:52:10Z"
"spotify:track:3ztCt91U2wGkDZuzbCwH6H","Black Hole Sun","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:4ePl0meknOkJ892O9yszEY","Superunknown (20th Anniversary)","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1994-03-09","https://i.scdn.co/image/ab67616d0000b2738911bae00cdb228c10030978","1","7","318586","","false","0","USAM19400007","spotify:user:geekyapar%21","2017-05-18T18:52:12Z"
"spotify:track:0X8Ow44Hprzvqsgu0WCaDN","The Day I Tried To Live","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:4ePl0meknOkJ892O9yszEY","Superunknown (20th Anniversary)","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1994-03-09","https://i.scdn.co/image/ab67616d0000b2738911bae00cdb228c10030978","1","10","320106","","false","0","USAM19400010","spotify:user:geekyapar%21","2017-05-18T18:52:16Z"
"spotify:track:7nrepJkvqZOzQXciFgxh16","Ty Cobb","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:4FCC9c8D7cvwgGWWBsQXoV","Down On The Upside","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1996-05-21","https://i.scdn.co/image/ab67616d0000b27330ce472ea36f95412b50f003","1","5","185293","","false","0","USAM19602230","spotify:user:geekyapar%21","2017-05-18T18:53:51Z"
"spotify:track:38kh2SrPYyTrNfiiLidOtk","An Unkind","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:4FCC9c8D7cvwgGWWBsQXoV","Down On The Upside","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1996-05-21","https://i.scdn.co/image/ab67616d0000b27330ce472ea36f95412b50f003","1","15","128199","","false","0","USAM19602240","spotify:user:geekyapar%21","2017-05-18T18:54:40Z"
"spotify:track:5dsYVdaWnWIRm419kNBbag","Can't Change Me","spotify:artist:0XHiH53dHrvbwfjYM7en7I","Chris Cornell","spotify:album:0ixYgnczD7ao9weSDlPFnI","Euphoria Morning","spotify:artist:0XHiH53dHrvbwfjYM7en7I","Chris Cornell","1999-01-01","https://i.scdn.co/image/ab67616d0000b273bd74dc1cdeeb5c4b57945cab","1","1","202440","","false","49","USIR19902495","spotify:user:geekyapar%21","2017-05-18T19:01:52Z"
"spotify:track:1KeMPxiiGuSqty4ecRllVE","Sunshower - Great Expectations Soundtrack","spotify:artist:0XHiH53dHrvbwfjYM7en7I","Chris Cornell","spotify:album:2YE4tk7FOB1GlbkwpsJHxo","Great Expectations","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1998","https://i.scdn.co/image/ab67616d0000b273f19956f6f44c382d6334b342","1","4","353693","https://p.scdn.co/mp3-preview/c10c6d02b0264d22c463d21feabb4c2ac7cdb042?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USRHD0530210","spotify:user:geekyapar%21","2017-05-18T19:03:09Z"
"spotify:track:2xlG9mnVa52SKAzsxDctbM","Cochise","spotify:artist:2ziB7fzrXBoh1HUPS6sVFn","Audioslave","spotify:album:293aYSIVNjjmkAwupnlxRd","Audioslave","spotify:artist:2ziB7fzrXBoh1HUPS6sVFn","Audioslave","2002-11-17","https://i.scdn.co/image/ab67616d0000b27355280797e907795bb2f4537b","1","1","222026","https://p.scdn.co/mp3-preview/7f8318da7b43c860c850cb10f3f0faaa9b648801?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USSM10211584","spotify:user:geekyapar%21","2017-05-18T19:04:11Z"
"spotify:track:2MrWu3Gt6ucsOHC6eE8oLV","Like a Stone","spotify:artist:2ziB7fzrXBoh1HUPS6sVFn","Audioslave","spotify:album:293aYSIVNjjmkAwupnlxRd","Audioslave","spotify:artist:2ziB7fzrXBoh1HUPS6sVFn","Audioslave","2002-11-17","https://i.scdn.co/image/ab67616d0000b27355280797e907795bb2f4537b","1","5","293960","https://p.scdn.co/mp3-preview/46d898c23fb28b9f52abf78b794aa500988d2132?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USSM10211587","spotify:user:geekyapar%21","2017-05-18T19:04:16Z"
