"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5l4eNAXmYK9uLx5P2RMPq9","Scylla","spotify:artist:35g8f5IFah4OggJ9drwDfJ","Corpo-Mente","spotify:album:13TFD9hLg0f7pVgsnfGvlf","Corpo-Mente","spotify:artist:35g8f5IFah4OggJ9drwDfJ","Corpo-Mente","2015-03-24","https://i.scdn.co/image/ab67616d0000b2739844802fefb00fe34b1f8b97","1","1","261675","https://p.scdn.co/mp3-preview/273e2a132197abdae43871e1af201edec844ef51?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","TCACD1572633","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T00:53:55Z"
"spotify:track:1l80Li3fe6slAbdQCz0244","Arsalein","spotify:artist:35g8f5IFah4OggJ9drwDfJ","Corpo-Mente","spotify:album:13TFD9hLg0f7pVgsnfGvlf","Corpo-Mente","spotify:artist:35g8f5IFah4OggJ9drwDfJ","Corpo-Mente","2015-03-24","https://i.scdn.co/image/ab67616d0000b2739844802fefb00fe34b1f8b97","1","2","247200","https://p.scdn.co/mp3-preview/b77eec8088d2f85f41bffd972720642ca8cb4d6f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","TCACD1572634","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T00:53:55Z"
"spotify:track:0O8k8aChBTHLOBaYyHmz8m","Fia","spotify:artist:35g8f5IFah4OggJ9drwDfJ","Corpo-Mente","spotify:album:13TFD9hLg0f7pVgsnfGvlf","Corpo-Mente","spotify:artist:35g8f5IFah4OggJ9drwDfJ","Corpo-Mente","2015-03-24","https://i.scdn.co/image/ab67616d0000b2739844802fefb00fe34b1f8b97","1","3","224562","https://p.scdn.co/mp3-preview/802518c12e37324d3373f5e856a8b2739ce7596d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","TCACD1572635","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T00:53:55Z"
"spotify:track:6G38jd5rXbu3Szf26K4wz9","Velandi","spotify:artist:35g8f5IFah4OggJ9drwDfJ","Corpo-Mente","spotify:album:13TFD9hLg0f7pVgsnfGvlf","Corpo-Mente","spotify:artist:35g8f5IFah4OggJ9drwDfJ","Corpo-Mente","2015-03-24","https://i.scdn.co/image/ab67616d0000b2739844802fefb00fe34b1f8b97","1","4","209612","https://p.scdn.co/mp3-preview/24cb7cfba65d839a011c414705767a5ecab0f9d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","TCACD1572637","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T00:53:55Z"
"spotify:track:2sqF4zTEnETWeqln0Xs9Fj","Dorma","spotify:artist:35g8f5IFah4OggJ9drwDfJ","Corpo-Mente","spotify:album:13TFD9hLg0f7pVgsnfGvlf","Corpo-Mente","spotify:artist:35g8f5IFah4OggJ9drwDfJ","Corpo-Mente","2015-03-24","https://i.scdn.co/image/ab67616d0000b2739844802fefb00fe34b1f8b97","1","5","322656","https://p.scdn.co/mp3-preview/66d004f5cd9a282bf51783b055e316c5f19d4a8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","TCACD1572638","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T00:53:55Z"
"spotify:track:0dPb9T5DnoH4LDVvdxDlKu","Dulcin","spotify:artist:35g8f5IFah4OggJ9drwDfJ","Corpo-Mente","spotify:album:13TFD9hLg0f7pVgsnfGvlf","Corpo-Mente","spotify:artist:35g8f5IFah4OggJ9drwDfJ","Corpo-Mente","2015-03-24","https://i.scdn.co/image/ab67616d0000b2739844802fefb00fe34b1f8b97","1","6","344368","https://p.scdn.co/mp3-preview/82594621ed6742028591bf23dec524270eb8cbb7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","TCACD1572639","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T00:53:55Z"
"spotify:track:0CznpIlCoaUa2vvyeBAd6o","Equus","spotify:artist:35g8f5IFah4OggJ9drwDfJ","Corpo-Mente","spotify:album:13TFD9hLg0f7pVgsnfGvlf","Corpo-Mente","spotify:artist:35g8f5IFah4OggJ9drwDfJ","Corpo-Mente","2015-03-24","https://i.scdn.co/image/ab67616d0000b2739844802fefb00fe34b1f8b97","1","7","167333","https://p.scdn.co/mp3-preview/45881661e86ab10c956b632a27a28ed8729c8c44?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","TCACD1572640","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T00:53:55Z"
"spotify:track:1xvf1mRhxkNbCEdvuXQo3a","Ort","spotify:artist:35g8f5IFah4OggJ9drwDfJ","Corpo-Mente","spotify:album:13TFD9hLg0f7pVgsnfGvlf","Corpo-Mente","spotify:artist:35g8f5IFah4OggJ9drwDfJ","Corpo-Mente","2015-03-24","https://i.scdn.co/image/ab67616d0000b2739844802fefb00fe34b1f8b97","1","8","237166","https://p.scdn.co/mp3-preview/976a2e2df0c9aaf4065a797bd2da196a22bb5d3a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","TCACD1572641","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T00:53:55Z"
"spotify:track:4uzXwIvOq57nQGfNga2dDe","Saelli","spotify:artist:35g8f5IFah4OggJ9drwDfJ","Corpo-Mente","spotify:album:13TFD9hLg0f7pVgsnfGvlf","Corpo-Mente","spotify:artist:35g8f5IFah4OggJ9drwDfJ","Corpo-Mente","2015-03-24","https://i.scdn.co/image/ab67616d0000b2739844802fefb00fe34b1f8b97","1","9","218400","https://p.scdn.co/mp3-preview/1830ed024cb82730ab21ecc56e67ae5c6691c503?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","TCACD1572642","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T00:53:55Z"
"spotify:track:71lV40NuQtfuFzvZg6NaFA","Encell","spotify:artist:35g8f5IFah4OggJ9drwDfJ","Corpo-Mente","spotify:album:13TFD9hLg0f7pVgsnfGvlf","Corpo-Mente","spotify:artist:35g8f5IFah4OggJ9drwDfJ","Corpo-Mente","2015-03-24","https://i.scdn.co/image/ab67616d0000b2739844802fefb00fe34b1f8b97","1","10","193925","https://p.scdn.co/mp3-preview/36b42518ea2c3f1819d68776deac5fe0a9aa018b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","TCACD1572643","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T00:53:55Z"
