"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:24c1txwflIN6PYzYcwETXx","That's How I Got To Memphis","spotify:artist:0YUuO4YhpZHyJO0Fwtue7A","Al Dunkleman","spotify:album:6fLcyKaJgS72WR84lYQOHI","When We Were Young","spotify:artist:0YUuO4YhpZHyJO0Fwtue7A","Al Dunkleman","2011-01-30","https://i.scdn.co/image/ab67616d0000b273b542075e038f0d3374394a1c","1","14","252533","https://p.scdn.co/mp3-preview/87e5fbdcd5b046f6d7d1e082c9f93bc41dd023ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","usx9p1083982","spotify:user:geekyapar%21","2016-06-14T00:05:30Z"
"spotify:track:6sQv6XMvSp0PB0cuuS6Dfz","City of New Orleans","spotify:artist:0n5eyZr2XjOLUODPGZrlLB","Steve Goodman","spotify:album:61MUZCoQITIcWwghwrgYHM","Steve Goodman","spotify:artist:0n5eyZr2XjOLUODPGZrlLB","Steve Goodman","1999-07-27","https://i.scdn.co/image/ab67616d0000b273af8189afb0031f2199e750d3","1","7","230960","https://p.scdn.co/mp3-preview/271a6c60c364a66f2e0e041161047ceb4d0d24ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USBR17100009","spotify:user:geekyapar%21","2016-06-14T00:06:09Z"
"spotify:track:4rOnP375aaUNspsiMwjgpE","Darkest Hour - Live","spotify:artist:0B6QEFtRnneEzb4iqjI0Nw","Arlo Guthrie","spotify:album:7cXOfL3x1Yi8QVxuusGot2","Live in Sydney","spotify:artist:0B6QEFtRnneEzb4iqjI0Nw","Arlo Guthrie","2005-08-09","https://i.scdn.co/image/ab67616d0000b273188a04ac6eac6d4bccb6319a","2","3","237240","https://p.scdn.co/mp3-preview/677dbce426e278775f5ebe6c703695008c976592?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","US34Z0512416","spotify:user:geekyapar%21","2016-06-14T00:07:36Z"
"spotify:track:5LuknRPeVshUospowKL081","Rocky Mountain High","spotify:artist:6fXkUfHZCanjQoqTMkgFJl","Chuck Pyle","spotify:album:76SwDRUFMjDAnYolsv2XMz","Higher Ground...songs Of Colorado","spotify:artist:6fXkUfHZCanjQoqTMkgFJl","Chuck Pyle","2007-07-05","https://i.scdn.co/image/ab67616d0000b273a4f8d477bcc4a9b53fd1c565","1","6","323040","https://p.scdn.co/mp3-preview/4771248feee982e285fbe0e86469e8f1fbc4e481?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","us3k80710006","spotify:user:geekyapar%21","2016-06-14T00:09:26Z"
"spotify:track:4AeTiKSPrP3ay2hwuBu8HX","Hey, Good Lookin' - Single Version","spotify:artist:1FClsNYBUoNFtGgzeG74dW, spotify:artist:6LF21o9Yfj4a16Rw38Vxml","Hank Williams, Drifting Cowboys","spotify:album:6xSIkWmRSu7INDL0jf4WsN","40 Greatest Hits","spotify:artist:1FClsNYBUoNFtGgzeG74dW","Hank Williams","1978-01-01","https://i.scdn.co/image/ab67616d0000b2739f947a520ca398829635dfad","2","2","174160","","false","0","USPR39400682","spotify:user:geekyapar%21","2016-06-14T00:09:56Z"
"spotify:track:0w4duPAMQIPQXQ8SSUsQdU","Your Cheatin' Heart - Single Version","spotify:artist:1FClsNYBUoNFtGgzeG74dW, spotify:artist:6LF21o9Yfj4a16Rw38Vxml","Hank Williams, Drifting Cowboys","spotify:album:6xSIkWmRSu7INDL0jf4WsN","40 Greatest Hits","spotify:artist:1FClsNYBUoNFtGgzeG74dW","Hank Williams","1978-01-01","https://i.scdn.co/image/ab67616d0000b2739f947a520ca398829635dfad","2","16","162573","","false","0","USPR35202092","spotify:user:geekyapar%21","2016-06-14T00:10:06Z"
"spotify:track:3o4wvUqGwFynWBhDkouaW9","Okie From Muskogee","spotify:artist:2ptmyXoL7poH6Zq62h1QT9","Merle Haggard","spotify:album:4jYMckUS2fDzuSqNB2kKIw","Okie From Muskogee","spotify:artist:2ptmyXoL7poH6Zq62h1QT9","Merle Haggard","1996-01-01","https://i.scdn.co/image/ab67616d0000b2733fcd1abc994c07d73df21773","1","1","160138","","false","0","USSE60414198","spotify:user:geekyapar%21","2016-06-14T00:10:17Z"
"spotify:track:5xZYQAl2oktfGQ20rLOJt6","Mammas, Don't Let Your Babies Grow Up to Be Cowboys","spotify:artist:7wCjDgV6nqBsHguQXPAaIM, spotify:artist:5W5bDNCqJ1jbCgTxDD0Cb3","Waylon Jennings, Willie Nelson","spotify:album:76v3XMhmRuxlakE6e3lKox","The Essential Waylon Jennings","spotify:artist:7wCjDgV6nqBsHguQXPAaIM","Waylon Jennings","2007-05-01","https://i.scdn.co/image/ab67616d0000b2732e0602f8d0c03e380a1f3e62","2","14","152533","https://p.scdn.co/mp3-preview/0dfb15524d3afb547dde9ad8a98787ca8db72f30?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USRN19500016","spotify:user:geekyapar%21","2016-06-14T00:10:32Z"
"spotify:track:2xYQTU2bbg6WVAmpY1eae4","Always On My Mind","spotify:artist:5W5bDNCqJ1jbCgTxDD0Cb3","Willie Nelson","spotify:album:5lSPP40Df9t2nkusLZtXTb","Always On My Mind","spotify:artist:5W5bDNCqJ1jbCgTxDD0Cb3","Willie Nelson","1982-02-01","https://i.scdn.co/image/ab67616d0000b273674ff2cc42d818ae5017097e","1","2","212666","https://p.scdn.co/mp3-preview/8bbd0362ca9a04e6a66260d6e6018c2262eb0d39?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USSM18100410","spotify:user:geekyapar%21","2016-06-14T00:10:38Z"
"spotify:track:6tYUO1M9hGwGvpdMIQDaO0","Louisiana Woman, Mississippi Man","spotify:artist:7gi3jmwpUpNWdswT8eEprF, spotify:artist:1FE0rls8gfQT3laAeRYNgl","Conway Twitty, Loretta Lynn","spotify:album:0AJnJbUn82EfNk9tIpK2nk","All Time Greatest Hits","spotify:artist:1FE0rls8gfQT3laAeRYNgl","Loretta Lynn","2002-01-01","https://i.scdn.co/image/ab67616d0000b273b0ec426504bc46fe87179efb","1","14","152266","","false","0","USMC17301384","spotify:user:geekyapar%21","2016-06-14T00:11:01Z"
