"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0JkIre0YxNmKGMU5V7ZiDx","Coward Of The County","spotify:artist:4tw2Lmn9tTPUv7Gy7mVPI4","Kenny Rogers","spotify:album:3dJ7K3zS6Ux7OFAWcG8eWI","Kenny","spotify:artist:4tw2Lmn9tTPUv7Gy7mVPI4","Kenny Rogers","1979-10-10","https://i.scdn.co/image/ab67616d0000b27392089ddbc4ebd1f4d7e85bdb","1","11","258733","","false","67","USCN18700085","spotify:user:11100324499","2022-05-02T14:03:16Z"
"spotify:track:5KqldkCunQ2rWxruMEtGh0","The Gambler","spotify:artist:4tw2Lmn9tTPUv7Gy7mVPI4","Kenny Rogers","spotify:album:3XdvQjIMjdwxRivZrg1ziJ","The Gambler","spotify:artist:4tw2Lmn9tTPUv7Gy7mVPI4","Kenny Rogers","1978-11-20","https://i.scdn.co/image/ab67616d0000b273c289ed4316aaab5a5b7376c1","1","1","214880","","false","78","USCN17800055","spotify:user:11100324499","2022-05-02T14:03:20Z"
"spotify:track:1oQnkSQhOQSSPCN0Hb9DCf","The Gambler","spotify:artist:6kACVPfCOnqzgfEF5ryl0x","Johnny Cash","spotify:album:7z2djJtIKZPZtPeTk2VXFq","Gone Girl","spotify:artist:6kACVPfCOnqzgfEF5ryl0x","Johnny Cash","1978-12-01","https://i.scdn.co/image/ab67616d0000b273f5a48386faf6787ec94112a2","1","7","221053","https://p.scdn.co/mp3-preview/7d503f302c470daee115e232b430ce8838b53b8e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USSM19902354","spotify:user:11100324499","2022-05-02T14:05:29Z"
"spotify:track:6apPqjW8ezpKEicAkkBlvO","Islands in the Stream","spotify:artist:32vWCbZh0xZ4o9gkz4PsEU, spotify:artist:4tw2Lmn9tTPUv7Gy7mVPI4","Dolly Parton, Kenny Rogers","spotify:album:0Qk5ItMuEF2zYoHN8J1sKT","Pure & Simple","spotify:artist:32vWCbZh0xZ4o9gkz4PsEU","Dolly Parton","2016-08-19","https://i.scdn.co/image/ab67616d0000b273058c78826c35cbc3d03516c1","2","8","250053","https://p.scdn.co/mp3-preview/529de121886f65d6c7d288675591cb4d2199f74a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USRN19600175","spotify:user:11100324499","2022-05-02T14:05:39Z"
"spotify:track:3MoCJ7TOCMlFdyeBEHt24q","Ruby Don't Take Your Love To Town","spotify:artist:4tw2Lmn9tTPUv7Gy7mVPI4","Kenny Rogers","spotify:album:3F2U1EogOtRUuiHoZ1sFrl","Ten Years Of Gold","spotify:artist:4tw2Lmn9tTPUv7Gy7mVPI4","Kenny Rogers","1977-10-23","https://i.scdn.co/image/ab67616d0000b273467c4bc5d8d8fcc14260be23","1","1","173933","","false","62","USCN18600056","spotify:user:11100324499","2022-05-02T14:05:47Z"
"spotify:track:1K1nzhbKCNmrNXi9B07mPF","Forever In Blue Jeans","spotify:artist:7mEIug7XUlQHikrFxjTWes","Neil Diamond","spotify:album:4ufmoUiQbFCyWUM5OVtdsm","You Don't Bring Me Flowers","spotify:artist:7mEIug7XUlQHikrFxjTWes","Neil Diamond","1978-12-16","https://i.scdn.co/image/ab67616d0000b27334b9a6b282fb02bb2cc950f9","1","2","217533","","false","67","USUG11400767","spotify:user:11100324499","2022-05-02T14:05:52Z"
"spotify:track:69HICMmc6nNLucAx3aJX9M","Thank God I'm a Country Boy","spotify:artist:7EK1bQADBoqbYXnT4Cqv9w","John Denver","spotify:album:6zWmAA39H0c4SjnD4MB1Dm","Back Home Again","spotify:artist:7EK1bQADBoqbYXnT4Cqv9w","John Denver","1974-06-15","https://i.scdn.co/image/ab67616d0000b2733c16761584c4015495bdda87","1","5","193093","https://p.scdn.co/mp3-preview/3737284ace6d8663c8fcd45a2dfd5a1541219b59?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USRC17407659","spotify:user:11100324499","2022-05-02T14:05:59Z"
"spotify:track:79yxkv3OXHrqvjJkadhOCm","You're My Best Friend","spotify:artist:4Ti0EKl2PVEms2NRMVGqNe","Don Williams","spotify:album:5YACbbzs7AE6BcIVIgLcJg","You're My Best Friend","spotify:artist:4Ti0EKl2PVEms2NRMVGqNe","Don Williams","1975-04-04","https://i.scdn.co/image/ab67616d0000b273fdc3ffb0ec0a0f124753e238","1","1","169560","","false","58","USMC17551551","spotify:user:11100324499","2022-05-02T14:06:04Z"
"spotify:track:6R6ib5FgDYlG0rPA9c5DVv","Queen Of Hearts","spotify:artist:4L1z1IcfK7lbqx8izGHaw5","Juice Newton","spotify:album:13TOuCZy3QU2Tt1llKPUqc","Juice","spotify:artist:4L1z1IcfK7lbqx8izGHaw5","Juice Newton","1981-01-01","https://i.scdn.co/image/ab67616d0000b273662ce40b359cf7f6990fbee8","1","4","205826","","false","61","USCN18100033","spotify:user:11100324499","2022-05-02T14:06:08Z"
"spotify:track:15ADURMdkO25JGD5mIcodM","Lucille","spotify:artist:4tw2Lmn9tTPUv7Gy7mVPI4","Kenny Rogers","spotify:album:5LYk7eiOau7NSQn6GQbF9k","Kenny Rogers","spotify:artist:4tw2Lmn9tTPUv7Gy7mVPI4","Kenny Rogers","1976-10-18","https://i.scdn.co/image/ab67616d0000b273c478c6674ce0b3219e8e3e7e","1","7","220866","","false","64","USCN18600057","spotify:user:11100324499","2022-05-02T14:06:13Z"
"spotify:track:1Czs2PIz1ZR1zeNrO22xvl","Daytime Friends","spotify:artist:4tw2Lmn9tTPUv7Gy7mVPI4","Kenny Rogers","spotify:album:3p5Z39I51PdmEVV6Wc1M4b","Daytime Friends","spotify:artist:4tw2Lmn9tTPUv7Gy7mVPI4","Kenny Rogers","1977-07-25","https://i.scdn.co/image/ab67616d0000b273d58a4c175aa990a998428561","1","1","194240","","false","54","USCN18700154","spotify:user:11100324499","2022-05-02T14:06:23Z"
"spotify:track:6dGWq08LXuIw6T2oUeHECh","Convoy","spotify:artist:0iTkPxRldzi5lmS6qZ70JV","C.W. McCall","spotify:album:6XbZ0Hc2LQaLJuUaFrHfTY","C.W. McCall's Greatest Hits","spotify:artist:0iTkPxRldzi5lmS6qZ70JV","C.W. McCall","1990-01-01","https://i.scdn.co/image/ab67616d0000b273183cad608b1e5a734f052710","1","1","230600","","false","64","USPR37500034","spotify:user:11100324499","2022-05-02T14:06:33Z"
"spotify:track:5AjTZe2LOEXovYmwKffidT","Way Out West","spotify:artist:0AluwN4mocA305JLqpZytD, spotify:artist:4v0Hh2bdIAJnaUqAOipfYs","James Blundell, James Reyne","spotify:album:5TzRcn21IXTIfUDu8m48pH","I Shall Be Released - The Best Of James Blundell","spotify:artist:0AluwN4mocA305JLqpZytD","James Blundell","2001-01-01","https://i.scdn.co/image/ab67616d0000b273961cb89c8c44074d235f88bc","1","17","242666","","false","55","AUEM09200003","spotify:user:11100324499","2022-05-02T14:06:44Z"
"spotify:track:064SVQsmWl5EF0zahmzkQk","Let Your Love Flow","spotify:artist:5iB5AWIa7qreioi0AF3Bxa","The Bellamy Brothers","spotify:album:77EM0wkGevYQcBo1AJt7B0","Bellamy Brothers","spotify:artist:5iB5AWIa7qreioi0AF3Bxa","The Bellamy Brothers","1976-07-01","https://i.scdn.co/image/ab67616d0000b2734a1088e7cfa7600b59363a5e","1","6","198760","https://p.scdn.co/mp3-preview/c5fbc4c7474e6e7599da395f57a9cff47040d940?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USCRB0101211","spotify:user:11100324499","2022-05-02T14:06:50Z"
"spotify:track:2cIKLkNyXliGa1we1FOOJn","Lights On The Hill - Remastered 1992","spotify:artist:0M4w6wFmaVFmP4lIndnEU5, spotify:artist:34wyMtIMapUICxpdi5hkjf","Slim Dusty, The Travelling Country Band","spotify:album:7x201Ntvhwic5InkKSNRZa","Lights On The Hill (Remastered)","spotify:artist:0M4w6wFmaVFmP4lIndnEU5","Slim Dusty","1975","https://i.scdn.co/image/ab67616d0000b273e56e074597ceac8cbdf60cf0","1","7","184506","","false","47","AUEM09200286","spotify:user:11100324499","2022-05-02T14:06:56Z"
"spotify:track:2RXRm46VHpP7VFfYawtM38","I Recall A Gypsy Woman","spotify:artist:4Ti0EKl2PVEms2NRMVGqNe","Don Williams","spotify:album:636jxOsNtMC0sFZaRhpJ3p","Volume One","spotify:artist:4Ti0EKl2PVEms2NRMVGqNe","Don Williams","1973-06-01","https://i.scdn.co/image/ab67616d0000b273d85ead7acd559dfe94bc1174","1","5","204946","","false","48","USMC17447799","spotify:user:11100324499","2022-05-02T14:07:02Z"
"spotify:track:2EoIt9vdgFRNW03u5IvFsQ","Achy Breaky Heart","spotify:artist:60rpJ9SgigSd16DOAG7GSa","Billy Ray Cyrus","spotify:album:2Rh2JyaBjJwPMFR9Dl60nV","Some Gave All","spotify:artist:60rpJ9SgigSd16DOAG7GSa","Billy Ray Cyrus","1992","https://i.scdn.co/image/ab67616d0000b273bf80fa37dadf36f79441104f","1","2","203373","","false","71","USPG19290113","spotify:user:11100324499","2022-05-02T14:07:05Z"
"spotify:track:73AL2HKdhoR2AjSRq6iTGY","Reuben James","spotify:artist:4tw2Lmn9tTPUv7Gy7mVPI4","Kenny Rogers","spotify:album:3F2U1EogOtRUuiHoZ1sFrl","Ten Years Of Gold","spotify:artist:4tw2Lmn9tTPUv7Gy7mVPI4","Kenny Rogers","1977-10-23","https://i.scdn.co/image/ab67616d0000b273467c4bc5d8d8fcc14260be23","1","2","161933","","false","44","USCN18700149","spotify:user:11100324499","2022-05-02T14:07:18Z"
"spotify:track:7mTBUlWPquXPQzDg8yGLlJ","Blanket On The Ground","spotify:artist:3Xt0yrWeurmp48fodXqMWf","Billie Jo Spears","spotify:album:2m7xJ3oCOzUKMhHIaFsdwG","Country Greats","spotify:artist:3Xt0yrWeurmp48fodXqMWf","Billie Jo Spears","1987-01-01","https://i.scdn.co/image/ab67616d0000b27372be65ee79f25602a032ca45","1","9","215360","","false","57","USCA29500516","spotify:user:11100324499","2022-05-02T14:07:22Z"
"spotify:track:0t7MJkSH7C4PpsFxnOf10M","The Greatest Place on Earth","spotify:artist:4KMpd5oZ5YmVSxAv9RTv7i","Rebel Son","spotify:album:2G5ppBbktUcaeD7LlJK0UI","Outhouse of Representatives","spotify:artist:4KMpd5oZ5YmVSxAv9RTv7i","Rebel Son","2010-05-18","https://i.scdn.co/image/ab67616d0000b2732d0587662f2e63f60248a8d4","1","15","280613","https://p.scdn.co/mp3-preview/1a156962b2e5f9cea84d7538caf76d41c185503d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","TCACN1699560","spotify:user:11100324499","2022-05-02T14:08:20Z"
"spotify:track:3Bfp4AYSb03ApwMxFz2Z8r","Redneck Piece of White Trash","spotify:artist:4KMpd5oZ5YmVSxAv9RTv7i","Rebel Son","spotify:album:0cITG00foQOhCbxp8Nr1R7","Choke on Smoke","spotify:artist:4KMpd5oZ5YmVSxAv9RTv7i","Rebel Son","2005-05-07","https://i.scdn.co/image/ab67616d0000b2736dd6fc6f90ae3a82dc22a8e6","1","10","215146","https://p.scdn.co/mp3-preview/292770040d782c8abf136824085efe21d7308a5f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","TCACN1699851","spotify:user:11100324499","2022-05-02T14:08:29Z"
"spotify:track:0PoWkxngD5dyl2rnrlIygP","Sittin' up Drinkin' with Robert E. Lee","spotify:artist:4KMpd5oZ5YmVSxAv9RTv7i","Rebel Son","spotify:album:2M9gjXgtGBUjhYKDyvn4mc","Articles of Confederation","spotify:artist:4KMpd5oZ5YmVSxAv9RTv7i","Rebel Son","2004-04-28","https://i.scdn.co/image/ab67616d0000b2737fac214f39ba759842a43138","1","12","337960","https://p.scdn.co/mp3-preview/42986393a71b089e0a48b0d30330b08eba70c686?cid=9950ac751e34487dbbe027c4fd7f8e99","true","36","TCACN1699886","spotify:user:11100324499","2022-05-02T14:08:42Z"
