"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5gM7VAJD2cmHVuiGEdssXu","Bad Ritual","spotify:artist:7HeVXdOdMhLslVputGTZFQ","Timber Timbre","spotify:album:0wEUibNMYKz5fbadNEDzUm","Creep on Creepin' On","spotify:artist:7HeVXdOdMhLslVputGTZFQ","Timber Timbre","2011-04-04","https://i.scdn.co/image/ab67616d0000b273f0bb33f7acfa53e033ba21cf","1","1","187226","https://p.scdn.co/mp3-preview/8881c0aabffd1d3794ee3f20aaae33dee07a379e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","CAAA11006101","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:24:56Z"
"spotify:track:3T1tdgm6qOSXRGB2xOwTo8","Obelisk","spotify:artist:7HeVXdOdMhLslVputGTZFQ","Timber Timbre","spotify:album:0wEUibNMYKz5fbadNEDzUm","Creep on Creepin' On","spotify:artist:7HeVXdOdMhLslVputGTZFQ","Timber Timbre","2011-04-04","https://i.scdn.co/image/ab67616d0000b273f0bb33f7acfa53e033ba21cf","1","2","113346","https://p.scdn.co/mp3-preview/f51404d2e4244b30c8bfd26569cb7fd2446ab287?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","CAAA11006102","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:24:56Z"
"spotify:track:3jRnZnN2unWMlxSXPTqL5A","Creep on Creepin' On","spotify:artist:7HeVXdOdMhLslVputGTZFQ","Timber Timbre","spotify:album:0wEUibNMYKz5fbadNEDzUm","Creep on Creepin' On","spotify:artist:7HeVXdOdMhLslVputGTZFQ","Timber Timbre","2011-04-04","https://i.scdn.co/image/ab67616d0000b273f0bb33f7acfa53e033ba21cf","1","3","239160","https://p.scdn.co/mp3-preview/e716beaf97ec77fdf5efad744a5b588fd4513707?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","CAAA11006103","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:24:56Z"
"spotify:track:2geTpwGhrTrBGuMdZNLgd9","Black Water","spotify:artist:7HeVXdOdMhLslVputGTZFQ","Timber Timbre","spotify:album:0wEUibNMYKz5fbadNEDzUm","Creep on Creepin' On","spotify:artist:7HeVXdOdMhLslVputGTZFQ","Timber Timbre","2011-04-04","https://i.scdn.co/image/ab67616d0000b273f0bb33f7acfa53e033ba21cf","1","4","359826","https://p.scdn.co/mp3-preview/0bb9e35755aa141f972e59e095cbfd90fc4f55ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","CAAA11006104","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:24:56Z"
"spotify:track:3QTvTy2OlL1NwzDIh5LFWf","Swamp Magic","spotify:artist:7HeVXdOdMhLslVputGTZFQ","Timber Timbre","spotify:album:0wEUibNMYKz5fbadNEDzUm","Creep on Creepin' On","spotify:artist:7HeVXdOdMhLslVputGTZFQ","Timber Timbre","2011-04-04","https://i.scdn.co/image/ab67616d0000b273f0bb33f7acfa53e033ba21cf","1","5","181240","https://p.scdn.co/mp3-preview/2a3b2f6e746907929cfc5a5e4a1b96edcff98a01?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","CAAA11006105","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:24:56Z"
"spotify:track:4zL2Qj05OgM0a6wR6AfHJf","Woman","spotify:artist:7HeVXdOdMhLslVputGTZFQ","Timber Timbre","spotify:album:0wEUibNMYKz5fbadNEDzUm","Creep on Creepin' On","spotify:artist:7HeVXdOdMhLslVputGTZFQ","Timber Timbre","2011-04-04","https://i.scdn.co/image/ab67616d0000b273f0bb33f7acfa53e033ba21cf","1","6","231986","https://p.scdn.co/mp3-preview/cf22f4afa9d3a94d03cdfcc28e9cf91eabf752f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","CAAA11006106","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:24:56Z"
"spotify:track:277Q7oMONMHO4irSeJu4mT","Too Old to Die Young","spotify:artist:7HeVXdOdMhLslVputGTZFQ","Timber Timbre","spotify:album:0wEUibNMYKz5fbadNEDzUm","Creep on Creepin' On","spotify:artist:7HeVXdOdMhLslVputGTZFQ","Timber Timbre","2011-04-04","https://i.scdn.co/image/ab67616d0000b273f0bb33f7acfa53e033ba21cf","1","7","291946","https://p.scdn.co/mp3-preview/ee7c8c1aaeb830e79c1ad95933e1c0968ea2a093?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","CAAA11006107","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:24:56Z"
"spotify:track:6niPetRLw8OumAVz3qFBa6","Lonesome Hunter","spotify:artist:7HeVXdOdMhLslVputGTZFQ","Timber Timbre","spotify:album:0wEUibNMYKz5fbadNEDzUm","Creep on Creepin' On","spotify:artist:7HeVXdOdMhLslVputGTZFQ","Timber Timbre","2011-04-04","https://i.scdn.co/image/ab67616d0000b273f0bb33f7acfa53e033ba21cf","1","8","283040","https://p.scdn.co/mp3-preview/e8cfc7b3874c0e7639b2b2aa236913b7940929bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","CAAA11006108","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:24:56Z"
"spotify:track:0poTXNFR6FYUKZKyEHHS2t","Do I Have Power","spotify:artist:7HeVXdOdMhLslVputGTZFQ","Timber Timbre","spotify:album:0wEUibNMYKz5fbadNEDzUm","Creep on Creepin' On","spotify:artist:7HeVXdOdMhLslVputGTZFQ","Timber Timbre","2011-04-04","https://i.scdn.co/image/ab67616d0000b273f0bb33f7acfa53e033ba21cf","1","9","271346","https://p.scdn.co/mp3-preview/f0fd912d6656a04a711f45cfa5436cc331a9d1b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","CAAA11006109","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:24:56Z"
"spotify:track:57LEHMoxw7xuiLfTn9ee4i","Souvenirs","spotify:artist:7HeVXdOdMhLslVputGTZFQ","Timber Timbre","spotify:album:0wEUibNMYKz5fbadNEDzUm","Creep on Creepin' On","spotify:artist:7HeVXdOdMhLslVputGTZFQ","Timber Timbre","2011-04-04","https://i.scdn.co/image/ab67616d0000b273f0bb33f7acfa53e033ba21cf","1","10","213653","https://p.scdn.co/mp3-preview/1ca00035bba104e82ddd7a27e499c265fe7c5ef8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","CAAA11006110","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-12T21:24:56Z"
