"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1bba9FSgBnz3GJis8a3jel","Another Night In","spotify:artist:3dmSPhg0tdao8ePj4pySJ5","Tindersticks","spotify:album:7zTHakPULeWgNBXeuMyZkd","Curtains","spotify:artist:3dmSPhg0tdao8ePj4pySJ5","Tindersticks","1997-06-24","https://i.scdn.co/image/ab67616d0000b273aa632bfd5b18aea8cba0553f","1","1","312160","","false","41","GBAUP9700009","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:00:04Z"
"spotify:track:399kHNY20PZnRp6yTXpd2b","Rented Rooms","spotify:artist:3dmSPhg0tdao8ePj4pySJ5","Tindersticks","spotify:album:7zTHakPULeWgNBXeuMyZkd","Curtains","spotify:artist:3dmSPhg0tdao8ePj4pySJ5","Tindersticks","1997-06-24","https://i.scdn.co/image/ab67616d0000b273aa632bfd5b18aea8cba0553f","1","2","312106","","false","35","GBAUP9700010","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:00:04Z"
"spotify:track:5ddVzsXNKe8FcQvHBELNA5","Don't Look Down","spotify:artist:3dmSPhg0tdao8ePj4pySJ5","Tindersticks","spotify:album:7zTHakPULeWgNBXeuMyZkd","Curtains","spotify:artist:3dmSPhg0tdao8ePj4pySJ5","Tindersticks","1997-06-24","https://i.scdn.co/image/ab67616d0000b273aa632bfd5b18aea8cba0553f","1","3","258133","","false","22","GBAUP9700011","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:00:04Z"
"spotify:track:0ZdZ7wyoXZSaId8plDa4Wh","Dick's Slow Song","spotify:artist:3dmSPhg0tdao8ePj4pySJ5","Tindersticks","spotify:album:7zTHakPULeWgNBXeuMyZkd","Curtains","spotify:artist:3dmSPhg0tdao8ePj4pySJ5","Tindersticks","1997-06-24","https://i.scdn.co/image/ab67616d0000b273aa632bfd5b18aea8cba0553f","1","4","249466","","false","20","GBAUP9700012","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:00:04Z"
"spotify:track:3R0cnIpUoqXw56nLFlSaUJ","The Fast One","spotify:artist:3dmSPhg0tdao8ePj4pySJ5","Tindersticks","spotify:album:7zTHakPULeWgNBXeuMyZkd","Curtains","spotify:artist:3dmSPhg0tdao8ePj4pySJ5","Tindersticks","1997-06-24","https://i.scdn.co/image/ab67616d0000b273aa632bfd5b18aea8cba0553f","1","5","112093","","false","18","GBAUP9700013","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:00:04Z"
"spotify:track:1O3rif9HNK8GhJFrQre3LS","Ballad Of Tindersticks","spotify:artist:3dmSPhg0tdao8ePj4pySJ5","Tindersticks","spotify:album:7zTHakPULeWgNBXeuMyZkd","Curtains","spotify:artist:3dmSPhg0tdao8ePj4pySJ5","Tindersticks","1997-06-24","https://i.scdn.co/image/ab67616d0000b273aa632bfd5b18aea8cba0553f","1","6","457200","","false","21","GBAUP9700014","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:00:04Z"
"spotify:track:4KQCdGOPkXpw40MFOQQ72D","Dancing","spotify:artist:3dmSPhg0tdao8ePj4pySJ5","Tindersticks","spotify:album:7zTHakPULeWgNBXeuMyZkd","Curtains","spotify:artist:3dmSPhg0tdao8ePj4pySJ5","Tindersticks","1997-06-24","https://i.scdn.co/image/ab67616d0000b273aa632bfd5b18aea8cba0553f","1","7","176706","","false","20","GBAUP9700015","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:00:04Z"
"spotify:track:6gnLW87RGIVgAIUPrESqmT","Let's Pretend","spotify:artist:3dmSPhg0tdao8ePj4pySJ5","Tindersticks","spotify:album:7zTHakPULeWgNBXeuMyZkd","Curtains","spotify:artist:3dmSPhg0tdao8ePj4pySJ5","Tindersticks","1997-06-24","https://i.scdn.co/image/ab67616d0000b273aa632bfd5b18aea8cba0553f","1","8","201960","","false","48","GBAUP9700016","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:00:04Z"
"spotify:track:0pM6a5s7IVlm2pWc27gxqj","Desperate Man","spotify:artist:3dmSPhg0tdao8ePj4pySJ5","Tindersticks","spotify:album:7zTHakPULeWgNBXeuMyZkd","Curtains","spotify:artist:3dmSPhg0tdao8ePj4pySJ5","Tindersticks","1997-06-24","https://i.scdn.co/image/ab67616d0000b273aa632bfd5b18aea8cba0553f","1","9","201333","","false","24","GBAUP9700017","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:00:04Z"
"spotify:track:4PfIxgWzpC5ExTz9eaQTOu","Buried Bones","spotify:artist:3dmSPhg0tdao8ePj4pySJ5, spotify:artist:5dcXREoVoEL6BbRl5oHSz2","Tindersticks, Ann Magnuson","spotify:album:7zTHakPULeWgNBXeuMyZkd","Curtains","spotify:artist:3dmSPhg0tdao8ePj4pySJ5","Tindersticks","1997-06-24","https://i.scdn.co/image/ab67616d0000b273aa632bfd5b18aea8cba0553f","1","10","243240","","false","38","GBAUP9700018","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-02T07:00:04Z"
